,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
Accumulated time steps,0.0,550.0,1451.0,1826.0,2482.0,2945.0,3859.0,4662.0,5661.0,6660.0,7197.0,7660.0,8354.0,9279.0,9829.0,10264.0,11263.0,12262.0,12967.0,13532.0,14340.0,15002.0,15720.0,16447.0,17446.0,18019.0,18805.0,19575.0
Episode reward,0.0,73.90983378870301,56.30631986702909,81.45463719780523,70.91349914975851,78.05531379296738,71.92762522581586,66.56795962720454,-31.002469424236036,-31.960465798214972,77.57647287409776,85.21761247013083,82.2972611850791,69.02041230759893,82.4959651514873,86.5247251855268,-25.399645550942576,-24.566366962521826,82.76257338598583,82.80442152541781,76.51749416333544,78.06052877649171,80.43040883405887,76.04935056219759,-26.30163736699374,82.30923259212327,78.53788562576409,73.72953519025943
Episode feedback,0.8,0.3448905103195429,0.20111111088765432,0.1443850263519117,0.10076335862478876,0.10389610367122055,0.06133625404015745,0.04114713211827041,0.03106212421737262,0.00901803606310818,0.005597014914930943,0.006493506479451285,0.00432900432275757,0.0032467532432394444,0.0018214936214544742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,43.098116397857666,101.03481793403625,123.64566802978516,160.22715091705322,186.06343698501587,234.11393666267395,275.0248203277588,325.4594039916992,374.758216381073,401.61352276802063,425.01238441467285,459.8274989128113,505.41800022125244,532.8876621723175,554.7014851570129,603.3949863910675,652.4602437019348,687.1382887363434,715.5112926959991,755.8268420696259,788.365382194519,823.6310892105103,859.1047809123993,907.7677552700043,937.5399339199066,978.4534225463867,1020.296112537384
total minutes,0.0,0.7183019399642945,1.6839136322339376,2.0607611338297525,2.6704525152842202,3.101057283083598,3.901898944377899,4.583747005462646,5.424323399861653,6.245970273017884,6.6935587128003435,7.0835397402445475,7.663791648546854,8.423633337020874,8.881461036205291,9.245024752616882,10.056583106517792,10.874337395032247,11.45230481227239,11.925188211599986,12.597114034493764,13.139423036575318,13.727184820175172,14.318413015206655,15.129462587833405,15.625665565331778,16.30755704243978,17.0049352089564
cummulative feedback,0.0,189.0,370.0,424.0,490.0,538.0,594.0,627.0,658.0,667.0,670.0,673.0,676.0,679.0,680.0,680.0,680.0,680.0,680.0,680.0,680.0,680.0,680.0,680.0,680.0,680.0,680.0,680.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
