,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Accumulated time steps,0.0,1000.0,1999.0,2998.0,3997.0,4996.0,5995.0,6994.0,7993.0,8992.0,9991.0,10990.0,11989.0,12988.0,13987.0,14986.0,15985.0,16984.0,17983.0,18982.0,19981.0
Episode reward,0.0,-28.591821745523944,-28.594375636774597,-26.85597525608806,-28.176006614265006,-27.184356581500168,-26.419378243818898,-26.68442641853894,-26.88523273223813,-26.56968503200557,-27.155581745026907,-26.68062371339988,-27.80247692102308,-26.983402798598767,-27.081035377578353,-27.87270485988715,-27.2567984676131,-27.229399231542892,-26.555762415456094,-26.255850444891664,-27.627809180600686
Episode feedback,0.8,0.40280561081883204,0.2404809616828848,0.12625250488351453,0.050100200350601004,0.03406813623840868,0.012024048084144241,0.0060120240420721205,0.0030060120210360602,0.0,0.0,0.00100200400701202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,67.74598288536072,129.39824771881104,185.22688508033752,236.95591521263123,287.17944049835205,335.8271791934967,385.3347749710083,434.1421957015991,482.53857231140137,531.6588261127472,580.6330461502075,629.2780859470367,677.7256252765656,726.165041923523,774.7261905670166,822.702139377594,871.1240260601044,919.2698101997375,967.7044403553009,1015.8751924037933
total minutes,0.0,1.129099714756012,2.156637461980184,3.0871147513389587,3.949265253543854,4.786324008305868,5.597119653224945,6.422246249516805,7.235703261693319,8.042309538523357,8.860980435212452,9.677217435836791,10.487968099117278,11.295427087942759,12.102750698725382,12.912103176116943,13.7117023229599,14.518733767668406,15.32116350332896,16.128407339255016,16.931253206729888
cummulative feedback,0.0,402.0,642.0,768.0,818.0,852.0,864.0,870.0,873.0,873.0,873.0,874.0,874.0,874.0,874.0,874.0,874.0,874.0,874.0,874.0,874.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
