,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
Accumulated time steps,0.0,635.0,1120.0,1368.0,1724.0,2085.0,2410.0,2639.0,3638.0,4228.0,4526.0,4994.0,5324.0,5549.0,6206.0,6507.0,7031.0,7838.0,8568.0,9201.0,9869.0,10462.0,10840.0,11700.0,12185.0,12638.0,13481.0,14131.0,14762.0,15241.0,16065.0,17064.0,18063.0,19062.0
Episode reward,0.0,71.24675468075398,76.17421146701108,88.01328556764349,82.3255529605975,82.2267873125011,86.51826890461724,90.60272679426616,-44.861720871015976,75.56654372535209,87.0613041283968,82.42830547040276,85.06353580118936,90.16642767546907,78.53970808308404,89.50760573733606,84.39442328432723,78.7196971124544,77.73994486042777,81.77222411343504,75.8332576299083,81.99704031297492,86.26768226705843,66.94503162836959,81.63976452568262,85.98858497400224,73.17731305019338,76.32435581713196,76.809193903869,79.41337419193445,71.37407142903375,-31.195780059637734,-29.3202878974875,-31.717095224028256
Episode feedback,0.8,0.3665086882045676,0.23140495819957654,0.13765182130505335,0.1830985910335251,0.12222222188271605,0.16358024640870295,0.10964912232610034,0.05911823641370918,0.04414261452607366,0.03703703691233321,0.021413276185410543,0.006079027337145814,0.013392857083067602,0.010670731691050714,0.009999999966666668,0.005736137656336257,0.0012406947875425623,0.0,0.003164556957018106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002092050204828347,0.0,0.0,0.0,0.0
total seconds,0.0,48.67933654785156,78.72790741920471,93.23566770553589,114.5865523815155,134.77104330062866,153.67414212226868,166.77605175971985,218.03290176391602,248.26980137825012,263.96846437454224,287.8089609146118,304.46703243255615,316.2212233543396,348.97923040390015,364.3604803085327,390.62042236328125,430.1363637447357,465.8664174079895,496.9737718105316,529.2566545009613,558.2955424785614,577.217889547348,618.8629546165466,642.9130167961121,666.1299831867218,709.2729723453522,742.2678275108337,775.720844745636,800.4692647457123,840.4747021198273,889.4851877689362,939.5723392963409,988.6883335113525
total minutes,0.0,0.811322275797526,1.3121317903200784,1.5539277950922648,1.9097758730252583,2.246184055010478,2.5612357020378114,2.7796008626619977,3.633881696065267,4.137830022970835,4.399474406242371,4.796816015243531,5.074450540542602,5.2703537225723265,5.816320506731669,6.072674671808879,6.5103403727213545,7.168939395745595,7.764440290133158,8.282896196842193,8.820944241682689,9.304925707976023,9.620298159122466,10.314382576942444,10.715216946601867,11.102166386445363,11.821216205755869,12.371130458513896,12.9286807457606,13.341154412428539,14.007911701997122,14.82475312948227,15.659538988272349,16.478138891855874
cummulative feedback,0.0,232.0,344.0,378.0,443.0,487.0,540.0,565.0,624.0,650.0,661.0,671.0,673.0,676.0,683.0,686.0,689.0,690.0,690.0,692.0,692.0,692.0,692.0,692.0,692.0,692.0,692.0,692.0,692.0,693.0,693.0,693.0,693.0,693.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
