,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Accumulated time steps,0.0,360.0,1122.0,1377.0,1985.0,2242.0,2676.0,3004.0,3756.0,4755.0,5566.0,6459.0,7171.0,8012.0,8529.0,9528.0,10527.0,11309.0,12308.0,13307.0,14306.0,15305.0,16304.0,17303.0,18302.0,19301.0,19804.0
Episode reward,0.0,82.38477525937458,63.87134143147548,88.77002173991156,74.40569776185808,87.22592670515343,80.75849111685332,87.432503370943,71.04257574527358,-39.15320151238551,70.88038811547229,69.6740766204441,77.15678101056113,71.40370174509196,80.8491168679564,-32.80715585122196,-32.841242191793604,73.19816177142758,-35.309325068478564,-35.38882071487655,-37.55634465512981,-33.99606005087545,-35.15660790117811,-38.8126666309801,-33.79917173648534,-36.33258995347509,80.65465382567028
Episode feedback,0.8,0.37988826709528417,0.2733245725711898,0.2519685029450059,0.19275123526729615,0.1054687495880127,0.11085450320818821,0.06422018328984654,0.08521970694378202,0.03206412822438464,0.01358024689681451,0.011210762319270446,0.009845288312453885,0.010714285701530612,0.001937984492368247,0.00200400801402404,0.00100200400701202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,26.80000948905945,76.84946155548096,93.57433986663818,130.0963373184204,144.72140789031982,168.60559105873108,186.47945499420166,226.58036422729492,276.48085951805115,316.4789443016052,360.32513761520386,395.6619448661804,437.9939823150635,463.57090735435486,512.352522611618,561.7565014362335,600.0714702606201,654.3253281116486,703.4864068031311,752.0912640094757,800.2378919124603,849.1400063037872,897.5325758457184,945.9553248882294,994.3198943138123,1019.6369254589081
total minutes,0.0,0.44666682481765746,1.280824359258016,1.5595723311106364,2.16827228864034,2.4120234648386636,2.810093184312185,3.1079909165700275,3.7763394037882487,4.608014325300853,5.27464907169342,6.005418960253397,6.5943657477696735,7.299899705251058,7.726181789239248,8.539208710193634,9.362608357270558,10.001191171010335,10.905422135194142,11.724773446718851,12.53485440015793,13.337298198541005,14.152333438396454,14.958876264095306,15.765922081470489,16.571998238563538,16.993948757648468
cummulative feedback,0.0,136.0,344.0,408.0,525.0,552.0,600.0,621.0,685.0,717.0,728.0,738.0,745.0,754.0,755.0,757.0,758.0,758.0,758.0,758.0,758.0,758.0,758.0,758.0,758.0,758.0,758.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
