,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
Accumulated time steps,0.0,605.0,843.0,1083.0,1336.0,1942.0,2478.0,3404.0,3788.0,4161.0,4807.0,5499.0,6131.0,6776.0,7338.0,7897.0,8536.0,9202.0,10201.0,11200.0,12199.0,13198.0,14197.0,15196.0,16195.0,17021.0,18020.0,18681.0,19680.0
Episode reward,0.0,72.03487601881287,88.8270167253276,89.61689188489689,88.74780671467586,73.38735601692487,78.16435384238338,65.11452653159935,86.54080417194751,87.17116168830262,75.65238698761112,73.86247538302382,77.69911742058486,76.93722332650697,79.15861530346133,80.7042242763065,75.23628304407029,78.86827290593874,-36.84453292332327,-33.81571938100333,-35.657927156109714,-39.07533558799867,-34.48562268404765,-35.363413246074145,-38.72953011457268,69.17745683507039,-36.71898372369955,75.774201260612,-32.5656185778071
Episode feedback,0.8,0.4228855714380007,0.29957805780768754,0.2594142248560074,0.22222222134038802,0.12727272706235912,0.13271028012577518,0.07567567559386414,0.05744125311373041,0.051075268679905195,0.02480620151192837,0.011577424006400255,0.01426307446234061,0.013975155257802555,0.0053475935733554485,0.008960573460644133,0.0031347962333310403,0.0,0.00100200400701202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,42.90991711616516,59.59553027153015,77.10859560966492,94.00790429115295,128.6035144329071,159.79674673080444,209.9524483680725,230.7049205303192,250.83110070228577,283.8395619392395,319.1751413345337,353.07030510902405,385.99053716659546,413.8662266731262,441.4862196445465,472.7380106449127,505.7565236091614,554.3501694202423,602.6717345714569,651.4668762683868,700.2332932949066,749.0636625289917,797.688907623291,846.105623960495,886.1254589557648,934.5370945930481,966.8274369239807,1015.9853522777557
total minutes,0.0,0.7151652852694194,0.9932588378588358,1.285143260161082,1.5667984048525492,2.1433919072151184,2.663279112180074,3.4992074728012086,3.8450820088386535,4.180518345038096,4.730659365653992,5.319585688908895,5.8845050851504,6.433175619443258,6.897770444552104,7.358103660742442,7.878966844081878,8.429275393486023,9.239169490337371,10.044528909524281,10.85778127113978,11.670554888248443,12.484394375483195,13.29481512705485,14.101760399341583,14.768757649262746,15.575618243217468,16.11379061539968,16.933089204629262
cummulative feedback,0.0,255.0,326.0,388.0,444.0,521.0,592.0,662.0,684.0,703.0,719.0,727.0,736.0,745.0,748.0,753.0,755.0,755.0,756.0,756.0,756.0,756.0,756.0,756.0,756.0,756.0,756.0,756.0,756.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
