,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Accumulated time steps,0.0,545.0,1544.0,2243.0,2515.0,3011.0,3530.0,4529.0,5528.0,6223.0,6673.0,7497.0,8446.0,9037.0,9741.0,10740.0,11383.0,12197.0,13077.0,13597.0,13941.0,14503.0,14947.0,15621.0,15996.0,16453.0,16964.0,17963.0,18659.0,19658.0
Episode reward,0.0,73.75307902577694,-45.023637246339874,72.49718758454502,87.22464624357731,80.407692166976,78.87468422210927,-36.86873583970936,-34.7943881902936,75.79592985542091,84.0791902487337,70.04675774540014,72.26335564972268,83.155184791383,78.62932782816236,-32.11633606105568,82.73783774791781,71.10904409521368,65.82036864443504,84.74813502390377,84.9042294808731,81.60284072401627,84.2199848810123,79.52625607221759,83.72541470738828,88.12937147604309,84.17479166025483,-26.69448903949477,76.57471662665458,-28.92041168982506
Episode feedback,0.8,0.39779005451604044,0.17635270523411553,0.14326647543944632,0.09963099594232105,0.07070707056422815,0.0791505789977788,0.03206412822438464,0.024048096168288482,0.014409221881254724,0.004454342974489214,0.0012150668271991897,0.0010548523195623922,0.0,0.0028449502093243952,0.00100200400701202,0.0,0.001230012298610071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,38.64416456222534,96.43485975265503,135.95820474624634,151.31072878837585,177.4441909790039,204.97547483444214,254.96161484718323,304.50097393989563,339.2043306827545,362.20852494239807,402.65433382987976,449.0002295970917,477.84748935699463,513.4056797027588,562.5086631774902,594.3738000392914,639.6009528636932,682.5973937511444,708.275586605072,725.5226845741272,753.0782492160797,775.1911945343018,808.1046063899994,826.869366645813,849.6274552345276,874.8996567726135,922.9634964466095,957.0618703365326,1006.0665216445923
total minutes,0.0,0.6440694093704223,1.6072476625442504,2.2659700791041057,2.5218454798062644,2.9574031829833984,3.4162579139073688,4.249360247453054,5.075016232331594,5.653405511379242,6.036808749039968,6.7109055638313295,7.483337159951528,7.9641248226165775,8.556761328379313,9.375144386291504,9.906230000654856,10.660015881061554,11.376623229185741,11.804593110084534,12.09204474290212,12.551304153601329,12.919853242238363,13.46841010649999,13.78115611076355,14.160457587242126,14.581660946210226,15.382724940776825,15.951031172275544,16.767775360743205
cummulative feedback,0.0,216.0,392.0,492.0,519.0,554.0,595.0,627.0,651.0,661.0,663.0,664.0,665.0,665.0,667.0,668.0,668.0,669.0,669.0,669.0,669.0,669.0,669.0,669.0,669.0,669.0,669.0,669.0,669.0,669.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
