,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Accumulated time steps,0.0,563.0,840.0,1437.0,1697.0,2030.0,2349.0,3238.0,3773.0,4104.0,4607.0,5507.0,6254.0,6721.0,7048.0,7640.0,8249.0,8783.0,9229.0,9993.0,10992.0,11991.0,12626.0,13316.0,13861.0,14800.0,15772.0,16520.0,17070.0,17608.0,18388.0,19387.0
Episode reward,0.0,72.19123135173474,85.55803165461845,73.3777648126736,88.00479412798306,85.51763396553747,82.20383218966928,66.65380973798467,78.38052616301185,86.06167086274696,81.37766633125818,66.94488041888988,77.19924841655092,84.527062491777,88.3622078736903,87.34215036526258,83.4581419732764,88.1511035344696,85.04927381722459,80.11964973619902,-27.0222872845172,-27.627142243364904,85.01790048137352,86.80946810101732,84.11357625294119,70.60459086884593,79.76882564432844,80.72814467690782,85.16995238757517,87.59675689045075,80.59089598147487,-28.443761526438113
Episode feedback,0.8,0.3814616748993553,0.2536231874868725,0.17953020104105671,0.1467181461516674,0.1626506019197271,0.0723270437977137,0.0698198197411939,0.06554307103830885,0.04545454531680441,0.03187250989666831,0.012235817561472951,0.010723860575437184,0.008583690968704526,0.003067484653167225,0.0016920473744635408,0.00822368419700052,0.0,0.0,0.0,0.00100200400701202,0.00100200400701202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,38.95757484436035,57.17936730384827,92.34784507751465,107.67841911315918,127.18386125564575,144.48247265815735,190.84710049629211,218.92424941062927,236.4633345603943,262.15158557891846,306.10865926742554,343.0062427520752,366.60553646087646,383.16056394577026,412.0753073692322,442.91074085235596,469.2353048324585,491.46030926704407,529.2309191226959,577.7453417778015,626.2414009571075,658.0007855892181,693.374242067337,721.8386895656586,769.3440682888031,817.7713346481323,854.2328133583069,881.6388478279114,908.3284084796906,946.3952646255493,995.5445833206177
total minutes,0.0,0.6492929140726725,0.9529894550641378,1.5391307512919108,1.794640318552653,2.1197310209274294,2.408041210969289,3.180785008271535,3.6487374901771545,3.9410555760065713,4.369193092981974,5.101810987790426,5.716770712534586,6.110092274347941,6.386009399096171,6.867921789487203,7.381845680872599,7.820588413874308,8.191005154450734,8.820515318711598,9.629089029630025,10.437356682618459,10.966679759820302,11.55623736778895,12.03064482609431,12.822401138146718,13.629522244135538,14.237213555971781,14.693980797131855,15.138806807994843,15.773254410425823,16.592409722010295
cummulative feedback,0.0,214.0,284.0,391.0,429.0,483.0,506.0,568.0,603.0,618.0,634.0,645.0,653.0,657.0,658.0,659.0,664.0,664.0,664.0,664.0,665.0,666.0,666.0,666.0,666.0,666.0,666.0,666.0,666.0,666.0,666.0,666.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
