,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Accumulated time steps,0.0,444.0,1218.0,1396.0,1751.0,2679.0,3558.0,4557.0,5203.0,5947.0,6302.0,7301.0,8300.0,9299.0,10298.0,10721.0,11720.0,12719.0,13718.0,14717.0,15716.0,16715.0,17694.0,18220.0,19219.0
Episode reward,0.0,81.46417561925713,74.26150353750725,90.63044394984034,85.42828108547076,65.1276296768561,66.50223630172077,-40.873679385274635,75.44221122689811,74.16886411886549,85.29395621052639,-37.29594107517578,-35.02345445090959,-33.08820011509207,-32.05702329875781,84.82328510707747,-34.35777482036178,-34.353216111225166,-33.511696001397866,-34.59023006866335,-34.16802070870835,-36.11992114531216,67.95972379275507,82.48904510386855,-33.2964309116141
Episode feedback,0.8,0.49547511200118755,0.47994825293667753,0.3107344615212742,0.32768361489354914,0.3376483275753524,0.2744874712135678,0.2344689376408127,0.20620155006790458,0.168236877297124,0.1836158186903508,0.1052104207362621,0.1252505008765025,0.11122244477833422,0.08817635261705777,0.07582938370656545,0.05310621237163706,0.06412825644876928,0.04609218432255292,0.03206412822438464,0.0200400801402404,0.025050100175300502,0.02658486704848173,0.015238095209070294,0.01603206411219232
total seconds,0.0,35.05187201499939,96.6421902179718,109.81523990631104,135.00989818572998,199.43496775627136,256.89440655708313,317.84931206703186,357.3619933128357,400.12647581100464,421.78126549720764,475.42278575897217,529.8471422195435,583.366682767868,635.8076708316803,658.2499725818634,708.5550827980042,759.2900259494781,809.7111194133759,858.9387373924255,908.0621175765991,957.290408372879,1005.2263660430908,1031.7610573768616,1081.081686258316
total minutes,0.0,0.5841978669166565,1.61070317029953,1.8302539984385173,2.2501649697621664,3.3239161292711894,4.281573442618052,5.297488534450531,5.9560332218805945,6.668774596850077,7.029687758286794,7.92371309598287,8.830785703659057,9.722778046131134,10.596794513861338,10.97083287636439,11.809251379966735,12.654833765824636,13.495185323556264,14.315645623207093,15.134368626276652,15.954840139547985,16.75377276738485,17.196017622947693,18.018028104305266
cummulative feedback,0.0,219.0,590.0,645.0,761.0,1074.0,1315.0,1549.0,1682.0,1807.0,1872.0,1977.0,2102.0,2213.0,2301.0,2333.0,2386.0,2450.0,2496.0,2528.0,2548.0,2573.0,2599.0,2607.0,2623.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
