,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86
Accumulated time steps,0.0,1000.0,1270.0,1549.0,1802.0,2060.0,2331.0,2493.0,2644.0,2815.0,2990.0,3148.0,3413.0,3679.0,3834.0,3985.0,4353.0,4519.0,4891.0,5046.0,5310.0,5473.0,5732.0,5891.0,6257.0,6413.0,6572.0,6944.0,7201.0,7476.0,7643.0,7811.0,8078.0,8227.0,8387.0,8673.0,8848.0,9123.0,9404.0,9670.0,9824.0,10091.0,10247.0,10516.0,10793.0,11172.0,11435.0,11603.0,11885.0,12151.0,12419.0,12581.0,12863.0,13147.0,13320.0,13476.0,13760.0,14023.0,14179.0,14377.0,14780.0,15155.0,15317.0,15481.0,15639.0,15795.0,15952.0,16227.0,16497.0,16662.0,16823.0,16983.0,17248.0,17403.0,17574.0,17730.0,17890.0,18047.0,18433.0,18596.0,18748.0,18919.0,19071.0,19226.0,19376.0,19648.0,19912.0
Episode reward,0.0,-64.87335486157622,84.62500231573779,83.20613943343659,86.12642381413542,85.58774113129974,84.68820019223949,90.83659209347807,91.50755136230076,90.32577489843817,90.01892353053617,91.04368204025525,85.7989324281002,85.50528379841107,91.00832707528829,91.48961442274282,79.86283149619709,90.48648303363164,79.24454029647958,91.3293580017519,85.48300422850294,91.78488867307168,85.33408660026133,91.12013691493063,77.5066632671047,90.76499016225944,90.68287055548515,79.05216679030629,85.61186899125771,84.88978443042248,89.5852267524014,89.93684768103185,83.83107399393356,91.59267863258978,91.2250117251941,83.59399140619158,89.26299963886211,84.6857154665937,83.1765647683887,85.30522196341838,90.92340604035458,84.37500124350238,90.3794795090017,84.30708532096202,82.35151883112073,77.29427448257019,85.67244556751999,89.66479547066116,84.50863520943219,84.46560426418644,84.58665305648418,90.59882970920135,83.34152375854339,82.52837306494044,89.72920956092744,90.23999028232409,82.23207476217125,86.27920259335352,91.467609064669,86.92247101368648,75.4871207833574,77.88184560987106,90.17159305142735,90.43660372797711,90.23591059292661,90.8802229381279,91.44511992039699,84.54356569219266,85.58265122677132,90.55383061704362,91.09945102521843,91.13991679455111,85.3696356308616,90.14255261907317,89.16523982359362,90.67921326741575,90.55094833267671,90.73454170112146,76.3429487745479,90.49570051410872,90.94139881522239,90.3218380510537,90.42645577078346,89.94934486801944,90.89628344871082,84.02911087139381,83.95822657613516
Episode feedback,0.8,0.19839679338837996,0.23791821472892857,0.1618705030148543,0.15873015810027716,0.1828793767203137,0.14074074021947874,0.14906832205547627,0.11999999920000001,0.1117647052249135,0.1206896544787951,0.1273885342204552,0.13636363584710745,0.10566037695977216,0.12987012902681735,0.09999999933333334,0.08174386898707393,0.06666666626262627,0.08086253347476406,0.14285714192949908,0.07984790844164294,0.12962962882944673,0.08914728647617332,0.044303797187950654,0.04657534233814975,0.09677419292403747,0.0632911388399295,0.04312668451987416,0.07812499969482423,0.04744525530129469,0.03614457809551459,0.017964071748718134,0.04887218026739782,0.02702702684441198,0.03144654068272616,0.04561403492767006,0.028735632018760737,0.029197080185412116,0.028571428469387757,0.022641509348522607,0.013071895339399377,0.030075187856860197,0.03225806430801249,0.033582089426932506,0.018115941963348037,0.026455026385039614,0.02290076327137113,0.005988023916239378,0.0035587188485454845,0.02641509423994304,0.022471910028195093,0.0,0.0035587188485454845,0.010600706676322591,0.011627906909140076,0.012903225723204995,0.0,0.011450381635685566,0.012903225723204995,0.010152284212424954,0.002487562182866761,0.010695187137178644,0.01242236017128969,0.018404907862546577,0.0,0.0,0.006410256369165024,0.007299270046353029,0.003717472105139509,0.006097560938429507,0.0,0.006289308136545232,0.0,0.0,0.005882352906574395,0.0,0.012578616273090464,0.0,0.0025974025906560973,0.0,0.0,0.0,0.006622516512433666,0.006493506451340867,0.006711409350930139,0.007380073773505263,0.0
total seconds,0.0,70.69638180732727,92.31887817382812,112.76266098022461,132.08502984046936,151.22368240356445,170.32168459892273,182.45420169830322,193.10582971572876,205.11189794540405,217.5578591823578,229.75401735305786,249.42336010932922,267.59754252433777,278.86189913749695,289.1832456588745,312.212965965271,322.9361927509308,346.2193567752838,357.14433550834656,373.6132142543793,385.07461643218994,401.45868945121765,411.33497762680054,432.84251832962036,443.3246212005615,453.6198983192444,475.26570439338684,491.3641724586487,507.5352439880371,517.7118966579437,527.8771061897278,543.5883400440216,552.6390476226807,562.2944457530975,579.2508463859558,589.655960559845,605.7915229797363,621.9389278888702,637.6155858039856,647.4666352272034,664.1655702590942,674.6095530986786,692.0133075714111,709.1251881122589,731.3514006137848,747.3440024852753,757.3995158672333,773.9535577297211,789.8485496044159,805.8520936965942,815.5533230304718,831.4365265369415,848.0852098464966,858.5386936664581,867.872175693512,883.5129809379578,898.5726084709167,907.6680767536163,919.17973279953,941.6439158916473,962.593353509903,972.1036386489868,981.8855094909668,991.0592460632324,1000.1089668273926,1009.3831214904785,1024.7999713420868,1039.9695529937744,1049.539694070816,1058.9608886241913,1068.276917219162,1083.069375038147,1092.1056506633759,1102.154897928238,1111.1616942882538,1120.702474117279,1129.9838156700134,1151.2046918869019,1160.6408565044403,1169.399500131607,1179.2339324951172,1188.578447341919,1197.6488764286041,1206.5744035243988,1222.1479091644287,1237.2131431102753
total minutes,0.0,1.1782730301221211,1.538647969563802,1.8793776830037434,2.2014171640078226,2.520394706726074,2.838694743315379,3.040903361638387,3.218430495262146,3.418531632423401,3.6259643197059632,3.8292336225509644,4.157056001822154,4.459959042072296,4.647698318958282,4.819720760981242,5.203549432754516,5.3822698791821795,5.7703226129213965,5.952405591805776,6.226886904239654,6.417910273869833,6.690978157520294,6.855582960446676,7.21404197216034,7.388743686676025,7.560331638654073,7.921095073223114,8.189402874310812,8.458920733133953,8.628531610965728,8.797951769828796,9.05980566740036,9.210650793711345,9.37157409588496,9.654180773099263,9.827599342664083,10.096525382995605,10.365648798147838,10.626926430066426,10.791110587120055,11.069426170984904,11.243492551644643,11.533555126190185,11.818753135204314,12.189190010229746,12.455733374754589,12.623325264453888,12.899225962162017,13.164142493406931,13.430868228276571,13.592555383841196,13.85727544228236,14.13475349744161,14.308978227774302,14.464536261558532,14.725216348965963,14.976210141181946,15.127801279226938,15.3196622133255,15.69406526486079,16.043222558498382,16.201727310816448,16.364758491516113,16.517654101053875,16.668482780456543,16.82305202484131,17.079999522368112,17.332825883229575,17.4923282345136,17.64934814373652,17.80461528698603,18.05115625063578,18.201760844389597,18.369248298803964,18.519361571470895,18.67837456862132,18.833063594500224,19.186744864781698,19.344014275074006,19.489991668860117,19.65389887491862,19.80964078903198,19.9608146071434,20.10957339207331,20.369131819407144,20.62021905183792
cummulative feedback,0.0,198.0,262.0,307.0,347.0,394.0,432.0,456.0,474.0,493.0,514.0,534.0,570.0,598.0,618.0,633.0,663.0,674.0,704.0,726.0,747.0,768.0,791.0,798.0,815.0,830.0,840.0,856.0,876.0,889.0,895.0,898.0,911.0,915.0,920.0,933.0,938.0,946.0,954.0,960.0,962.0,970.0,975.0,984.0,989.0,999.0,1005.0,1006.0,1007.0,1014.0,1020.0,1020.0,1021.0,1024.0,1026.0,1028.0,1028.0,1031.0,1033.0,1035.0,1036.0,1040.0,1042.0,1045.0,1045.0,1045.0,1046.0,1048.0,1049.0,1050.0,1050.0,1051.0,1051.0,1051.0,1052.0,1052.0,1054.0,1054.0,1055.0,1055.0,1055.0,1055.0,1056.0,1057.0,1058.0,1060.0,1060.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
