,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Accumulated time steps,0.0,342.0,1158.0,1800.0,2163.0,2437.0,3131.0,3497.0,3857.0,4111.0,4368.0,5201.0,5573.0,6572.0,7009.0,7829.0,8828.0,9427.0,10011.0,10894.0,11674.0,12078.0,12989.0,13561.0,14185.0,14323.0,14627.0,14864.0,15162.0,15488.0,15806.0,16463.0,16799.0,17189.0,17583.0,17897.0,18224.0,19003.0,19316.0
Episode reward,0.0,83.05761862908707,56.688940005752954,69.82222527908752,82.60162418794303,85.83713614429593,65.01128090096557,82.05623241084221,82.86684705458953,88.72398436268219,87.36499240095358,65.0898355096665,82.55490071139221,-43.53480238261083,78.82588247816932,63.91374301581559,-49.268488801808665,74.78589690161245,79.71432012952339,63.11583952826591,68.02253258500255,83.6839494289679,59.36358994413683,78.04084593369888,79.89693908838409,94.30884628054476,89.30384059904505,88.01602847478324,87.21979709344568,90.01832136770827,87.30664115353301,79.43793166685842,85.52679481418004,87.24669351929859,84.36636465323566,90.77539185059422,88.9112696636664,72.31888735204502,86.73731858954844
Episode feedback,0.8,0.45882352806228377,0.26503067452143475,0.2917316688116511,0.24585635291199903,0.20879120802640583,0.1558441556192725,0.15342465711390504,0.1977715871928368,0.2055335960255589,0.15234374940490722,0.17548076901985485,0.14824797803706743,0.15330661307283908,0.09403669703202593,0.10744810731691318,0.09118236463809383,0.10367892959251016,0.06518010280415076,0.07142857134758665,0.06418485229244564,0.05707196015614898,0.048351648298514675,0.04903677749730862,0.04173354728453684,0.08029197021684693,0.0297029701990001,0.016949152470554438,0.013468013422666621,0.03692307680946746,0.02208201885778543,0.030487804831573467,0.032835820797505015,0.023136246727156178,0.01526717553367131,0.01597444084353214,0.009202453959501675,0.01542416450459619,0.012820512779421433
total seconds,0.0,24.058620929718018,74.1319260597229,117.6818265914917,144.06664085388184,162.62595891952515,204.767352104187,227.30009531974792,250.80652332305908,267.50040674209595,282.8748848438263,332.1255946159363,353.82392168045044,410.5421676635742,434.7522220611572,479.3883318901062,533.0567579269409,566.358880519867,596.780074596405,642.7277348041534,683.163637638092,704.3719770908356,751.238142490387,780.6347577571869,812.4207935333252,820.4871439933777,836.214173078537,848.7013776302338,863.8659174442291,880.6519756317139,897.0823924541473,930.1479051113129,947.5069732666016,967.2824423313141,987.0132732391357,1002.9299278259277,1019.4048414230347,1057.8886396884918,1073.8817329406738
total minutes,0.0,0.4009770154953003,1.2355321009953817,1.9613637765248617,2.4011106808980305,2.7104326486587524,3.4127892017364503,3.7883349219957987,4.180108722050985,4.4583401123682656,4.714581414063772,5.535426576932271,5.89706536134084,6.842369461059571,7.245870367685954,7.98980553150177,8.88427929878235,9.439314675331115,9.94633457660675,10.712128913402557,11.386060627301534,11.739532951513926,12.520635708173115,13.010579295953114,13.540346558888753,13.674785733222961,13.936902884642283,14.145022960503896,14.397765290737151,14.677532927195232,14.951373207569123,15.502465085188549,15.791782887776693,16.121374038855233,16.450221220652264,16.715498797098796,16.990080690383913,17.631477328141532,17.898028882344565
cummulative feedback,0.0,156.0,372.0,559.0,648.0,705.0,813.0,869.0,940.0,992.0,1031.0,1177.0,1232.0,1385.0,1426.0,1514.0,1605.0,1667.0,1705.0,1768.0,1818.0,1841.0,1885.0,1913.0,1939.0,1950.0,1959.0,1963.0,1967.0,1979.0,1986.0,2006.0,2017.0,2026.0,2032.0,2037.0,2040.0,2052.0,2056.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
