,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Accumulated time steps,0.0,336.0,768.0,1097.0,1430.0,1937.0,2280.0,2543.0,3255.0,3747.0,4746.0,5154.0,5594.0,5917.0,6588.0,7587.0,7918.0,8852.0,9392.0,10244.0,11243.0,11852.0,12390.0,13389.0,13823.0,14822.0,15821.0,16820.0,17627.0,18626.0,19625.0
Episode reward,0.0,84.05213968624766,80.092002415257,84.38092643758395,84.09637004993027,77.87459883867751,84.42162048299554,87.30691264961861,66.4638278452764,79.66391415773158,-42.66640280299705,81.7652117507226,80.7583776895235,88.95337086019799,73.61667786158725,-41.75471865065245,84.69332072643459,61.84698422381539,76.72635907252186,61.99509466488051,-44.99801407202407,75.90599352759763,78.48707658187703,-42.031987476393745,83.56635632942418,-38.83002698036191,-40.72375210856517,-43.418571673024445,67.79177357204358,-41.050051528419246,-41.70443818690692
Episode feedback,0.8,0.49999999850299404,0.44083526579852605,0.3689024378996877,0.38855421569712584,0.34584980168804386,0.318713449360487,0.26335877762076804,0.2222222219096734,0.3034623211742112,0.2244488975706925,0.19164619117531648,0.1571753982752269,0.21118012356776358,0.13432835800846513,0.14028056098168282,0.13333333292929292,0.09324758832449348,0.1168831166662651,0.08578143350671982,0.05110220435761302,0.06743421041540426,0.05214152690476438,0.04308617230151686,0.06004618923776862,0.03206412822438464,0.02905811620334858,0.02304609216127646,0.022332506175766122,0.0150300601051803,0.01903807613322838
total seconds,0.0,27.400569915771484,63.10721206665039,89.20055651664734,115.47243165969849,154.00528359413147,178.76620030403137,196.72117376327515,244.24959182739258,278.25211691856384,340.7602400779724,366.214937210083,391.98435044288635,412.13356733322144,449.78679490089417,506.1472373008728,525.3852274417877,575.5895502567291,605.6302514076233,650.7431175708771,701.6066269874573,733.1199555397034,760.5690343379974,810.9784786701202,833.4228384494781,882.330671787262,931.4224426746368,980.185647726059,1019.7133300304413,1068.5841567516327,1117.31338429451
total minutes,0.0,0.4566761652628581,1.0517868677775064,1.4866759419441222,1.9245405276616414,2.566754726568858,2.9794366717338563,3.2786862293879193,4.070826530456543,4.6375352819760645,5.679337334632874,6.103582286834717,6.533072507381439,6.868892788887024,7.496446581681569,8.43578728834788,8.756420457363129,9.593159170945485,10.093837523460389,10.845718626181284,11.693443783124287,12.218665925661723,12.676150572299957,13.516307977835337,13.890380640824636,14.705511196454365,15.523707377910615,16.336427462100982,16.99522216717402,17.809735945860545,18.62188973824183
cummulative feedback,0.0,167.0,357.0,478.0,607.0,782.0,891.0,960.0,1118.0,1267.0,1491.0,1569.0,1638.0,1706.0,1796.0,1936.0,1980.0,2067.0,2130.0,2203.0,2254.0,2295.0,2323.0,2366.0,2392.0,2424.0,2453.0,2476.0,2494.0,2509.0,2528.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
