,0
Accumulated time steps,"[0, 1000, 1990, 2238, 2769, 3039, 3531, 3781, 4045, 4296, 4449, 4700, 4950, 5213, 5367, 5624, 5874, 6146, 6300, 6558, 6706, 6857, 7037, 7286, 7436, 7591, 7744, 7998, 8256, 8413, 8651, 8916, 9070, 9222, 9386, 9532, 9785, 10042, 10302, 10565, 10824, 11192, 11355, 11741, 12003, 12165, 12530, 12690, 12966, 13151, 13540, 13819, 13980, 14156, 14537, 14852, 15112, 15274, 15534, 15703, 15982, 16144, 16303, 16592, 16856, 17044, 17316, 17480, 17728, 17997, 18191, 18347, 18503, 18766, 18953, 19123, 19391, 19663, 19815, 20065, 20455, 20621, 20885, 21163, 21427, 21690, 21981, 22143, 22304, 22511, 22666, 22862, 23042, 23199, 23352, 23520, 23673, 23942, 24107, 24278, 24678, 25038, 25307, 25571, 25843, 26120, 26373, 26623, 26975, 27134, 27399, 27554, 27732, 28092, 28252, 28508, 28698, 28860, 29018, 29301, 29479, 29734]"
Episode reward,"[0, -63.783710473496626, 37.601884660201826, 83.95919809558649, 68.0885032165842, 84.05357190800115, 70.80691387323496, 86.05350937357802, 85.32898510933217, 86.06524682494636, 91.40399761996322, 85.58119066753946, 85.6846333959279, 85.29169522876728, 91.48325221519084, 86.22027022958851, 84.83597083896437, 83.4392614897755, 91.88304603888034, 85.49643707978561, 91.45867912530304, 91.84641549295614, 87.96038652365922, 85.7587962434294, 91.7024862874662, 90.84192918618119, 91.33406163104901, 85.39970748868859, 84.87902417637375, 91.14738462948522, 87.03701491625694, 84.64026617777228, 91.17155548791833, 91.49699512324452, 90.47547237168841, 92.22753095707205, 85.69579456546455, 86.45311979487624, 85.06699799959159, 86.3130808143664, 85.85953296980793, 78.99865566395628, 90.96431948478372, 79.52020955190841, 85.54449707412967, 89.9416163006842, 78.22265345626988, 90.42090024624484, 85.15142764275737, 88.40392777101415, 78.04829871649235, 83.77746839690792, 90.57307787268721, 89.3888866071712, 77.86654760526925, 80.70194675430612, 83.67580864541486, 90.20116037276419, 83.79415569880335, 89.50176301552536, 84.04832012053211, 90.23281322642724, 90.60659779817396, 83.62303771898252, 85.65819224345132, 87.28099169857167, 85.77793779452745, 90.17023884555758, 85.88396798639525, 83.57507513414032, 87.8661241562396, 91.13969492746105, 90.13647659306588, 84.42294348095142, 89.01997118863271, 90.19967736492846, 84.92987311079811, 84.56280123816474, 91.69258566023332, 85.61622487349442, 74.64972034530768, 89.96238581905519, 84.75600544945965, 84.08853176809001, 85.24666697383068, 85.14924683940474, 83.68494592038437, 90.17712253066723, 90.18242279180615, 86.46011713202043, 90.64963799190306, 86.83852229792794, 89.1336874842683, 91.0325026635213, 91.04450769690182, 90.05439202733949, 91.03793076307211, 84.62526140358707, 90.08035818142397, 89.32292562235081, 73.22797697098942, 78.35064139748678, 82.52984569705194, 86.13671500848082, 83.86797593149515, 86.08661922699412, 85.53891981540922, 84.87805265856073, 77.47197967599188, 90.50693295179863, 85.08973676626742, 91.00961274628179, 89.20325040559055, 80.3795711794483, 90.85047149100849, 84.36785288366256, 88.16559661725286, 90.31280078235044, 90.73030955072907, 84.06031050934129, 90.08778647953913, 84.60809285524014]"
Episode feedback,"[0.8, 0.14428857700973088, 0.24671385212667962, 0.1781376511006573, 0.14528301859380563, 0.09665427473362723, 0.11405295292453574, 0.10843373450428219, 0.09885931521346268, 0.07999999968, 0.07894736790166205, 0.095999999616, 0.04819277089079208, 0.02671755714993299, 0.0588235290272972, 0.0703124997253418, 0.056224899372590766, 0.03690036886752632, 0.006535947669699688, 0.04280155625369044, 0.02040816312647508, 0.03333333311111111, 0.016759776442682815, 0.03225806438605619, 0.04697986545651097, 0.012987012902681734, 0.02631578930055402, 0.03557312238903904, 0.007782101137034626, 0.03846153821499014, 0.021097046324485037, 0.022727272641184574, 0.026143790678798753, 0.0, 0.012269938575031052, 0.013793103353151011, 0.011904761857520787, 0.007812499969482422, 0.00386100384609651, 0.030534351028494843, 0.007751937954449853, 0.010899182531609857, 0.006172839468068892, 0.0, 0.0076628352196826234, 0.01242236017128969, 0.0027472527397053494, 0.012578616273090464, 0.0, 0.00543478257915879, 0.0025773195809862897, 0.0035971222892189846, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.005952380916950114, 0.0035971222892189846, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.006134969287515526, 0.004048582979560393, 0.0, 0.0, 0.0, 0.0064516128616024975, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
total seconds,"[0, 73.16370987892151, 167.28141260147095, 187.04315304756165, 228.22310161590576, 246.6177453994751, 282.6970489025116, 303.30807185173035, 325.3632836341858, 341.64486289024353, 352.1963393688202, 370.1741213798523, 387.5340235233307, 404.79827976226807, 415.12922286987305, 431.43774151802063, 447.3258502483368, 465.1429967880249, 475.3924388885498, 492.9587163925171, 503.84092020988464, 515.2224531173706, 528.3113791942596, 544.2039048671722, 554.9433536529541, 565.3687009811401, 576.1479575634003, 593.2506878376007, 609.5927090644836, 620.8618407249451, 636.8714320659637, 656.0542347431183, 666.1839940547943, 675.4002192020416, 686.8782956600189, 697.1201038360596, 712.6283140182495, 728.2017209529877, 742.723794221878, 758.6728994846344, 775.7794554233551, 799.5062553882599, 808.8845415115356, 829.959520816803, 845.7741894721985, 857.0414781570435, 878.0555045604706, 887.5073735713959, 902.6293318271637, 913.5236124992371, 935.5360541343689, 953.415641784668, 963.9135978221893, 974.7000052928925, 998.0314078330994, 1017.0279839038849, 1032.1671230793, 1043.43301486969, 1057.6749708652496, 1067.4235775470734, 1082.9677226543427, 1092.271216392517, 1101.4741623401642, 1117.1102120876312, 1131.52286028862, 1142.358830690384, 1157.4569807052612, 1166.9288375377655, 1180.7555499076843, 1196.3055901527405, 1207.1177744865417, 1216.416097164154, 1225.5756092071533, 1240.1029162406921, 1250.9220659732819, 1260.50927400589, 1275.1111652851105, 1289.6513435840607, 1298.4699182510376, 1312.5696823596954, 1334.0011069774628, 1343.851368188858, 1358.6067349910736, 1374.0396707057953, 1388.4417572021484, 1403.346821308136, 1419.7957077026367, 1429.0361483097076, 1438.3243882656097, 1449.976457118988, 1458.8055317401886, 1470.2149147987366, 1480.418788909912, 1489.5304646492004, 1498.4923729896545, 1508.1973786354065, 1517.0460381507874, 1531.7645490169525, 1541.2415790557861, 1551.0549998283386, 1573.8585171699524, 1594.5029842853546, 1610.5637147426605, 1626.489108324051, 1642.7575883865356, 1658.5650522708893, 1673.1127648353577, 1687.33526968956, 1707.1435441970825, 1716.5999023914337, 1731.342685699463, 1740.5875580310822, 1751.5722827911377, 1772.9518315792084, 1782.4911496639252, 1797.444123506546, 1808.470957517624, 1818.0163342952728, 1827.4163193702698, 1843.4638719558716, 1853.9271659851074, 1868.010036945343]"
total minutes,"[0, 1.2193951646486918, 2.7880235433578493, 3.1173858841260276, 3.803718360265096, 4.110295756657918, 4.711617481708527, 5.055134530862173, 5.422721393903097, 5.694081048170726, 5.869938989480336, 6.169568689664205, 6.4589003920555115, 6.746637996037801, 6.918820381164551, 7.1906290253003435, 7.45543083747228, 7.752383279800415, 7.923207314809163, 8.21597860654195, 8.397348670164744, 8.58704088528951, 8.80518965323766, 9.070065081119537, 9.249055894215902, 9.422811683019003, 9.602465959390004, 9.887511463960012, 10.159878484408061, 10.347697345415751, 10.614523867766062, 10.934237245718638, 11.103066567579905, 11.256670320034027, 11.447971594333648, 11.61866839726766, 11.877138566970824, 12.136695349216462, 12.378729903697968, 12.644548324743907, 12.929657590389251, 13.325104256470999, 13.48140902519226, 13.83265868028005, 14.096236491203308, 14.284024635950724, 14.634258409341177, 14.791789559523265, 15.043822197119395, 15.22539354165395, 15.592267568906149, 15.890260696411133, 16.06522663036982, 16.245000088214873, 16.63385679721832, 16.95046639839808, 17.202785384654998, 17.390550247828166, 17.627916181087492, 17.790392959117888, 18.049462044239043, 18.20452027320862, 18.357902705669403, 18.618503534793852, 18.858714338143667, 19.039313844839732, 19.290949678421022, 19.44881395896276, 19.679259165128073, 19.938426502545674, 20.118629574775696, 20.273601619402566, 20.426260153452557, 20.66838193734487, 20.8487010995547, 21.008487900098164, 21.25185275475184, 21.494189059734346, 21.64116530418396, 21.876161372661592, 22.233351782957712, 22.397522803147634, 22.643445583184562, 22.90066117842992, 23.14069595336914, 23.38911368846893, 23.663261795043944, 23.817269138495128, 23.972073137760162, 24.16627428531647, 24.313425529003144, 24.503581913312278, 24.67364648183187, 24.82550774415334, 24.97487288316091, 25.136622977256774, 25.284100635846457, 25.529409150282543, 25.687359650929768, 25.850916663805645, 26.230975286165872, 26.575049738089245, 26.84272857904434, 27.108151805400848, 27.379293139775594, 27.642750871181487, 27.88521274725596, 28.122254494826, 28.45239240328471, 28.60999837319056, 28.85571142832438, 29.00979263385137, 29.192871379852296, 29.549197192986806, 29.708185827732088, 29.957402058442433, 30.14118262529373, 30.300272238254546, 30.456938656171165, 30.72439786593119, 30.898786099751792, 31.133500615755718]"
cummulative feedback,"[0, 144, 388, 432, 509, 535, 591, 618, 644, 664, 676, 700, 712, 719, 728, 746, 760, 770, 771, 782, 785, 790, 793, 801, 808, 810, 814, 823, 825, 831, 836, 842, 846, 846, 848, 850, 853, 855, 856, 864, 866, 870, 871, 871, 873, 875, 876, 878, 878, 879, 880, 881, 881, 881, 881, 881, 881, 881, 881, 882, 883, 883, 883, 883, 883, 883, 883, 884, 885, 885, 885, 885, 886, 886, 886, 886, 886, 886, 886, 886, 886, 886, 886, 886, 886, 886, 886, 886, 886, 886, 886, 886, 886, 886, 886, 886, 886, 886, 886, 886, 886, 886, 886, 886, 886, 886, 886, 886, 886, 886, 886, 886, 886, 886, 886, 886, 886, 886, 886, 886, 886, 886]"
e,"[0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01]"
buffer size,"[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]"
human model,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
tau,[0.0003]
