,0
Accumulated time steps,"[0, 558, 1115, 1494, 1754, 2026, 2183, 2547, 2703, 2964, 3220, 3377, 3529, 3685, 3951, 4231, 4389, 4586, 4934, 5569, 5821, 5995, 6162, 6330, 6491, 6789, 7057, 7311, 7792, 8060, 8217, 8463, 8750, 8993, 9238, 9395, 9552, 9720, 10023, 10283, 10543, 10808, 11069, 11238, 11506, 11778, 12022, 12373, 12535, 12701, 13090, 13269, 13522, 13681, 13953, 14131, 14523, 14698, 14963, 15119, 15274, 15433, 15623, 15876, 16151, 16471, 16633, 16900, 17070, 17236, 17516, 17800, 17960, 18112, 18264, 18420, 18591, 18754, 18932, 19093, 19267, 19425, 19586, 19742, 19899, 20166, 20325, 20575, 20733, 20889, 21182, 21337, 21490, 21643, 21831, 21983, 22142, 22306, 22479, 22641, 22808, 22969, 23121, 23282, 23442, 23684, 23841, 23996, 24269, 24429, 24886, 25172, 25431, 25702, 25859, 26203, 26466, 26770, 26919, 27080, 27333, 27584, 27850, 28000, 28278, 28541, 28714, 29093, 29257, 29509, 29660, 29930]"
Episode reward,"[0, 70.48892080065656, 72.73962981672368, 79.5027502078859, 85.50920154431904, 85.53824159064952, 90.79574651111466, 77.61666507063713, 90.42802970895669, 84.23521534919107, 84.40620823571675, 90.35118440930196, 90.9883549719467, 90.11868360346712, 83.89295224471132, 81.81801629093964, 90.22013040686355, 85.60498056311111, 78.63343610723827, 57.17199482868771, 84.64137727937718, 87.84122523168332, 88.87796209727556, 89.87857805988013, 90.47785939918958, 80.99276857319934, 82.77519261539209, 84.44108211014023, 70.22337809532127, 83.43701360451705, 90.1199830773132, 83.87627587995266, 82.00940293789311, 83.48567524873232, 83.69930458536763, 90.10070037522598, 90.73575891288644, 90.71239598593827, 79.97173454977948, 83.5500546882423, 83.88566943942064, 82.44936522019813, 83.54634003082145, 88.06181912163966, 84.0268068555735, 80.20457561061731, 83.7215899365661, 74.4881647105623, 88.9273430339205, 90.62059429040701, 75.08842517762194, 86.90751506771957, 83.64820427438782, 89.90026165409732, 79.9969192947006, 88.88179987209078, 74.23764342093739, 88.80009102794693, 83.34528007132111, 90.20201858474576, 89.81856472274671, 90.16002125382144, 87.46146320159733, 83.06100567375671, 82.97658454834712, 77.87562040271052, 88.85182634891572, 82.5315693893887, 89.94511599724281, 88.12847412436186, 81.11082132131216, 81.80320927950042, 89.89909897586091, 89.50585863806269, 90.02780785795771, 90.03615834264869, 88.00881830811511, 89.12943659070136, 87.87543666752228, 89.75906743484366, 87.27479863649582, 90.05862380827062, 89.56557597329164, 90.3835973107933, 90.23025956770888, 82.2936043701577, 89.62060000835467, 83.35421289491708, 90.02823868024787, 89.83413792481048, 80.47040965203695, 90.5318259785448, 89.79074827903032, 89.88461115427624, 87.70049844443, 90.29927591334423, 89.97247878856844, 90.12002625443621, 88.68425769233558, 90.48114189715884, 90.24304647510397, 90.11904467872064, 90.62029150532327, 88.49907501797443, 90.10666931555102, 82.93946233362392, 90.04564901938744, 90.12937081608695, 83.17868376784696, 90.53816853491591, 65.01140919974517, 78.26137834383769, 83.25601421333204, 82.59039173581095, 90.22673937861354, 76.37175008654033, 82.78914731678569, 78.97674760783953, 89.89617622584825, 89.33751188473643, 82.86615240332968, 82.44439002690703, 82.47058821066241, 90.6081043777794, 83.97805488655702, 83.08156305978898, 89.04557540142257, 75.88639990625676, 89.91591334577025, 81.85413328607532, 90.09228034214969, 82.85200091192189]"
Episode feedback,"[0.8, 0.3435251792382641, 0.2499999995503597, 0.15343915303322975, 0.16216216153605342, 0.0811808115085579, 0.07692307642998028, 0.07162534415530208, 0.08387096720083247, 0.09230769195266272, 0.07058823501730103, 0.04487179458415516, 0.04635761558703566, 0.04516129003121749, 0.03396226402278391, 0.025089605644840123, 0.03821656026613656, 0.01020408158059142, 0.03458213246518117, 0.017350157701340446, 0.027888446104030094, 0.011560693574793678, 0.018072289047757296, 0.011976047832478756, 0.0187499998828125, 0.023569023489666587, 0.018726591690162577, 0.011857707463013014, 0.014583333302951388, 0.014981273352130063, 0.01923076910749507, 0.0, 0.00699300696855592, 0.0, 0.0, 0.0, 0.006410256369165024, 0.005988023916239378, 0.009933774801543793, 0.00386100384609651, 0.0, 0.003787878773530762, 0.007692307662721894, 0.0, 0.0, 0.0, 0.0, 0.002857142848979592, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0036900368867526317, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
total seconds,"[0, 48.257434368133545, 91.61879396438599, 117.78809952735901, 136.18537640571594, 153.4775195121765, 163.9361710548401, 186.2476406097412, 196.70447158813477, 213.42314672470093, 229.22607469558716, 239.03856706619263, 248.57539749145508, 258.48179388046265, 274.32388162612915, 290.1747086048126, 300.01114439964294, 311.7708251476288, 332.1870996952057, 367.2728636264801, 382.1317050457001, 392.27436661720276, 402.23248291015625, 412.2414879798889, 422.0561933517456, 439.36171793937683, 455.10909628868103, 469.70683431625366, 496.6310453414917, 511.8242094516754, 521.3133087158203, 535.1998844146729, 551.3534154891968, 565.0594363212585, 578.7471899986267, 587.9745972156525, 597.6562066078186, 607.3816382884979, 624.444783449173, 638.9805126190186, 653.575520992279, 668.829779624939, 683.5036294460297, 693.0444376468658, 708.1151115894318, 723.1721246242523, 736.6868240833282, 755.8711023330688, 765.3611943721771, 775.0420229434967, 795.971403837204, 806.2877535820007, 820.5409777164459, 829.9893617630005, 845.6784167289734, 856.3184304237366, 877.5424609184265, 887.5765626430511, 902.4783356189728, 911.4717423915863, 920.7803473472595, 930.2209784984589, 940.9594857692719, 954.8192567825317, 970.0737543106079, 987.5708117485046, 996.8977224826813, 1011.840657711029, 1021.8213102817535, 1031.3971500396729, 1046.8768622875214, 1062.3063933849335, 1071.6321601867676, 1080.6465847492218, 1089.639478445053, 1098.459397315979, 1108.2326996326447, 1117.82004404068, 1128.0793526172638, 1137.7568893432617, 1147.5568299293518, 1156.78191781044, 1165.99787068367, 1175.2491416931152, 1184.3576591014862, 1199.197907447815, 1208.2594525814056, 1222.0143640041351, 1231.3937695026398, 1240.4038529396057, 1257.0841994285583, 1265.9848935604095, 1274.838627576828, 1283.919018983841, 1294.85560131073, 1303.5826907157898, 1312.73273563385, 1322.3387370109558, 1332.2678678035736, 1341.9973993301392, 1351.601669549942, 1360.8285779953003, 1369.6976239681244, 1379.4680750370026, 1388.9039645195007, 1402.5460171699524, 1411.6067850589752, 1420.6967697143555, 1436.0924820899963, 1445.5569789409637, 1470.745815038681, 1486.6214439868927, 1501.2096045017242, 1516.1710319519043, 1525.4340932369232, 1544.4564056396484, 1559.3711199760437, 1576.220134973526, 1585.065875530243, 1594.6462483406067, 1609.0879878997803, 1623.6058247089386, 1638.73140001297, 1647.6188695430756, 1663.3333988189697, 1678.6212184429169, 1688.6992716789246, 1709.5266001224518, 1719.0222735404968, 1733.141526222229, 1742.2375106811523, 1757.5021948814392]"
total minutes,"[0, 0.8042905728022257, 1.5269798994064332, 1.9631349921226502, 2.269756273428599, 2.557958658536275, 2.732269517580668, 3.1041273434956866, 3.278407859802246, 3.5570524454116823, 3.820434578259786, 3.983976117769877, 4.1429232915242515, 4.308029898007711, 4.572064693768819, 4.836245143413544, 5.000185739994049, 5.196180419127146, 5.536451661586762, 6.121214393774668, 6.368861750761668, 6.537906110286713, 6.703874715169271, 6.870691466331482, 7.03426988919576, 7.322695298989614, 7.58515160481135, 7.828447238604228, 8.277184089024862, 8.530403490861257, 8.688555145263672, 8.919998073577881, 9.189223591486613, 9.417657272020977, 9.645786499977111, 9.799576620260874, 9.960936776796977, 10.123027304808298, 10.407413057486217, 10.649675210316977, 10.892925349871318, 11.147162993748983, 11.391727157433827, 11.550740627447764, 11.80191852649053, 12.05286874373754, 12.278113734722137, 12.597851705551147, 12.756019906202953, 12.917367049058278, 13.266190063953399, 13.438129226366678, 13.675682961940765, 13.83315602938334, 14.094640278816223, 14.27197384039561, 14.625707681973775, 14.792942710717519, 15.041305593649547, 15.191195706526438, 15.346339122454326, 15.503682974974314, 15.682658096154531, 15.913654279708862, 16.1678959051768, 16.459513529141745, 16.61496204137802, 16.864010961850486, 17.030355171362558, 17.189952500661214, 17.44794770479202, 17.705106556415558, 17.86053600311279, 18.01077641248703, 18.16065797408422, 18.307656621932985, 18.47054499387741, 18.630334067344666, 18.801322543621062, 18.962614822387696, 19.125947165489197, 19.279698630174, 19.433297844727836, 19.587485694885252, 19.7392943183581, 19.986631790796917, 20.137657543023426, 20.366906066735584, 20.523229491710662, 20.673397548993428, 20.951403323809306, 21.099748226006827, 21.2473104596138, 21.398650316397347, 21.580926688512168, 21.726378178596498, 21.878878927230836, 22.038978950182596, 22.204464463392892, 22.366623322168987, 22.526694492499033, 22.680476299921672, 22.828293732802074, 22.991134583950043, 23.148399408658346, 23.37576695283254, 23.52677975098292, 23.67827949523926, 23.93487470149994, 24.09261631568273, 24.512430250644684, 24.777024066448213, 25.020160075028738, 25.269517199198404, 25.42390155394872, 25.74094009399414, 25.989518666267394, 26.2703355828921, 26.417764592170716, 26.577437472343444, 26.818133131663004, 27.06009707848231, 27.312190000216166, 27.460314492384594, 27.722223313649497, 27.97702030738195, 28.14498786131541, 28.492110002040864, 28.65037122567495, 28.885692103703818, 29.03729184468587, 29.291703248023985]"
cummulative feedback,"[0, 191, 330, 388, 430, 452, 464, 490, 503, 527, 545, 552, 559, 566, 575, 582, 588, 590, 602, 613, 620, 622, 625, 627, 630, 637, 642, 645, 652, 656, 659, 659, 661, 661, 661, 661, 662, 663, 666, 667, 667, 668, 670, 670, 670, 670, 670, 671, 671, 671, 671, 671, 671, 671, 672, 672, 672, 672, 672, 672, 672, 672, 672, 672, 672, 672, 672, 672, 672, 672, 672, 672, 672, 672, 672, 672, 672, 672, 672, 672, 672, 672, 672, 672, 672, 672, 672, 672, 672, 672, 672, 672, 672, 672, 672, 672, 672, 672, 672, 672, 672, 672, 672, 672, 672, 672, 672, 672, 672, 672, 672, 672, 672, 672, 672, 672, 672, 672, 672, 672, 672, 672, 672, 672, 672, 672, 672, 672, 672, 672, 672, 672]"
e,"[0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01]"
buffer size,"[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]"
human model,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
tau,[0.00045]
