,0
Accumulated time steps,"[0, 1000, 1999, 2857, 3120, 3408, 3857, 4141, 4403, 4657, 5100, 5354, 5610, 5983, 6526, 6775, 7151, 7620, 7775, 7952, 8212, 8462, 8622, 8881, 9037, 9195, 9580, 9732, 10106, 10268, 10624, 10879, 11034, 11291, 11446, 11603, 11765, 11919, 12173, 12448, 12709, 12865, 13216, 13399, 13658, 13921, 14284, 14441, 14702, 15063, 15219, 15496, 15652, 16018, 16188, 16464, 16738, 16903, 17061, 17325, 17714, 17981, 18142, 18418, 18707, 18978, 19135, 19294, 19457, 19613, 19776, 20192, 20359, 20512, 20731, 20884, 21152, 21305, 21579, 21741, 21899, 22158, 22318, 22474, 22746, 22919, 23078, 23240, 23417, 23670, 23823, 23981, 24257, 24422, 24688, 24850, 25104, 25360, 25517, 25673, 25842, 25997, 26252, 26406, 26563, 26729, 26905, 27062, 27219, 27480, 27754, 28019, 28275, 28760, 29038, 29195, 29361, 29627, 29783, 29938]"
Episode reward,"[0, -61.821485086546744, -69.86488492637547, 59.177814784589, 85.54119492382216, 82.95085227509117, 73.78260190463834, 83.62484568005624, 86.08883661013485, 85.95744928676999, 75.05996878415411, 85.59779149525338, 85.8765536842721, 79.55338798834416, 66.16351262021851, 85.44587954966384, 77.77655170641128, 71.72288127661346, 91.16803459283761, 89.2524524822952, 85.16184410713964, 85.66951160755558, 90.30622569727717, 85.38881093851346, 90.72593051256497, 90.24733364566363, 76.76996412717975, 90.71358413796365, 77.6041900740729, 90.46213419177545, 78.37447949316837, 85.70928635009129, 90.55849028390452, 84.72535073865417, 90.38816389618873, 90.53560285017589, 89.85246439511823, 90.74105968110143, 85.68932506666863, 83.34089121032271, 85.02725723647119, 90.82731707547418, 79.12080030134902, 87.48147708220469, 84.50706489815946, 85.02533386194939, 78.20263632919672, 90.64491962811672, 84.51925013219228, 78.57548234104475, 90.76720026720851, 83.00176159749425, 90.45086477966328, 78.03787813853175, 89.35780951714155, 84.04275471041655, 84.28748105201952, 90.00989326380298, 90.3927289115266, 83.80838482210552, 74.64888620973119, 82.34633052008101, 89.79627362996116, 82.33749986751323, 80.80550221777979, 82.39772151943878, 89.8317233240546, 90.20319251998626, 90.18178343250085, 90.12400846001762, 89.79720164172026, 73.87269671543018, 90.24332825353761, 90.35963590385084, 84.67374562417072, 90.58554480856367, 84.77979796801715, 90.75604253075053, 83.99012732403631, 90.4268981689274, 90.2806643314972, 84.34528621818164, 90.19629978920585, 90.11575182933508, 81.52724626284376, 89.27903907276577, 90.2356961312263, 90.14583277077215, 88.08382527627158, 84.48421150434099, 91.12967637785206, 90.22074510906579, 83.56722007049781, 89.52713259277282, 84.11754275333436, 90.54111574713154, 84.77818728385925, 84.04891602594286, 90.5185426420711, 90.49151127830744, 89.82440391040245, 90.61946284779071, 83.58364374529368, 90.68452660260319, 90.57389441095428, 89.59111222423951, 88.45995192781798, 90.13138850786851, 90.10613477265255, 84.11077843440512, 83.50155319554301, 84.63952242911813, 84.23949487905294, 68.44622753883404, 83.61753250816444, 90.47222471987239, 89.57521000362019, 84.81734783938998, 90.32829503034816, 89.9372718858563]"
Episode feedback,"[0.8, 0.11422845679937028, 0.13627254495363472, 0.1971995330254381, 0.16030534289959794, 0.12195121908727799, 0.0937499997907366, 0.11307420454744098, 0.08812260502635018, 0.043478260697714384, 0.04751131210970291, 0.06324110646940274, 0.047058823344867357, 0.07526881700196554, 0.04428044272272981, 0.06854838682036941, 0.04533333321244445, 0.03632478624716926, 0.03246753225670434, 0.02840909074767562, 0.019305019230482553, 0.020080321204496702, 0.012578616273090464, 0.03488372079502434, 0.03870967716961499, 0.01910828013306828, 0.026041666598849825, 0.019867549537300997, 0.010723860561062035, 0.018633540256934533, 0.014084507002578853, 0.03543307072664145, 0.0194805193540226, 0.015624999938964844, 0.006493506451340867, 0.006410256369165024, 0.01242236017128969, 0.006535947669699688, 0.015810276617350686, 0.010948905069529544, 0.015384615325443787, 0.0064516128616024975, 0.011428571395918368, 0.010989010928631809, 0.015503875908899706, 0.0038167938785618554, 0.008287292794786485, 0.006410256369165024, 0.019230769156804734, 0.005555555540123457, 0.0, 0.0, 0.0, 0.010958904079564647, 0.00591715972830083, 0.010909090869421488, 0.018315018247930335, 0.012195121876859014, 0.0, 0.007604562708727899, 0.0025773195809862897, 0.015037593928430099, 0.006249999960937501, 0.010909090869421488, 0.003472222210165895, 0.007407407379972565, 0.006410256369165024, 0.00632911388399295, 0.006172839468068892, 0.0064516128616024975, 0.0, 0.0, 0.006024096349252432, 0.0, 0.0, 0.0, 0.0, 0.019736841975415514, 0.0, 0.0, 0.00636942671102276, 0.01162790693167478, 0.0, 0.0, 0.0036900368867526317, 0.005813953454570038, 0.0, 0.0, 0.005681818149535124, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0037735848914204344, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.006060606023875115, 0.0057142856816326535, 0.0, 0.0, 0.0, 0.0, 0.003787878773530762, 0.0, 0.00413223139642101, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
total seconds,"[0, 66.4263391494751, 134.1371250152588, 196.5484585762024, 215.42239379882812, 235.25813579559326, 263.789208650589, 282.72681951522827, 300.1565010547638, 315.471116065979, 342.2204558849335, 358.02960443496704, 373.67849802970886, 396.97511053085327, 429.0007801055908, 444.74555134773254, 467.09113240242004, 494.01249837875366, 503.44028067588806, 514.3275656700134, 529.305694103241, 543.7814955711365, 553.3830609321594, 568.9913830757141, 579.0702750682831, 588.9466576576233, 611.499276638031, 620.9049715995789, 642.0481472015381, 651.9204249382019, 672.0891103744507, 687.1493332386017, 696.5459077358246, 711.6767015457153, 721.1052281856537, 731.1127023696899, 741.3598914146423, 750.7951519489288, 765.9078476428986, 781.5844693183899, 796.6153764724731, 805.9754509925842, 826.0829756259918, 836.876261472702, 851.830582857132, 866.6254081726074, 887.1768231391907, 896.4150810241699, 911.682142496109, 931.7913911342621, 940.9585115909576, 956.6990513801575, 965.8396537303925, 986.2794349193573, 996.3663511276245, 1011.9490706920624, 1027.8207275867462, 1037.5916514396667, 1046.8008978366852, 1061.7088327407837, 1083.8448479175568, 1099.1917471885681, 1108.6388518810272, 1124.2487208843231, 1140.1065537929535, 1155.4048790931702, 1164.548587322235, 1173.8101687431335, 1183.6432735919952, 1192.83376121521, 1202.2419669628143, 1225.1037776470184, 1234.7133984565735, 1243.6895201206207, 1255.8925757408142, 1264.8887467384338, 1279.6656396389008, 1288.716074705124, 1303.7088639736176, 1313.1183168888092, 1322.5724112987518, 1337.1779882907867, 1346.2816197872162, 1355.3818967342377, 1370.3125376701355, 1380.2679286003113, 1389.4317691326141, 1398.7047185897827, 1408.91730093956, 1422.9962229728699, 1432.1059708595276, 1441.339608669281, 1456.4412443637848, 1466.1078746318817, 1480.7617383003235, 1490.1017198562622, 1504.3110671043396, 1518.5353701114655, 1527.9777731895447, 1537.077394247055, 1546.748507976532, 1555.6786165237427, 1569.66348862648, 1578.7363142967224, 1587.8341484069824, 1597.2996804714203, 1607.5503187179565, 1616.61434841156, 1626.037415266037, 1640.7537064552307, 1655.917977809906, 1670.8010520935059, 1685.1441566944122, 1711.5290491580963, 1727.1721985340118, 1736.3880603313446, 1746.228021144867, 1761.0896518230438, 1770.2921240329742, 1779.7064318656921]"
total minutes,"[0, 1.1071056524912517, 2.235618750254313, 3.2758076429367065, 3.590373229980469, 3.920968929926554, 4.396486810843149, 4.712113658587138, 5.0026083509127295, 5.257851934432983, 5.703674264748892, 5.9671600739161175, 6.227974967161814, 6.616251842180888, 7.150013001759847, 7.412425855795543, 7.784852206707001, 8.233541639645894, 8.390671344598134, 8.572126094500224, 8.82176156838735, 9.063024926185609, 9.22305101553599, 9.48318971792857, 9.65117125113805, 9.815777627627055, 10.19165461063385, 10.348416193326313, 10.700802453358968, 10.865340415636698, 11.201485172907512, 11.452488887310029, 11.609098462263743, 11.861278359095255, 12.018420469760894, 12.1852117061615, 12.355998190244039, 12.513252532482147, 12.765130794048309, 13.026407821973164, 13.276922941207886, 13.432924183209737, 13.76804959376653, 13.9479376912117, 14.197176380952198, 14.44375680287679, 14.786280385653178, 14.940251350402832, 15.19470237493515, 15.529856518904369, 15.682641859849294, 15.944984189669292, 16.09732756217321, 16.43799058198929, 16.606105852127076, 16.865817844867706, 17.130345459779104, 17.29319419066111, 17.44668163061142, 17.695147212346395, 18.064080798625945, 18.3198624531428, 18.47731419801712, 18.737478681405385, 19.001775896549226, 19.256747984886168, 19.409143122037253, 19.563502812385558, 19.72738789319992, 19.880562686920165, 20.037366116046904, 20.418396294116974, 20.578556640942892, 20.72815866867701, 20.93154292901357, 21.081479112307232, 21.327760660648345, 21.478601245085397, 21.72848106622696, 21.885305281480154, 22.042873521645863, 22.286299804846447, 22.438026996453605, 22.58969827890396, 22.838542294502258, 23.004465476671854, 23.157196152210236, 23.31174530982971, 23.48195501565933, 23.716603716214497, 23.86843284765879, 24.022326811154684, 24.274020739396413, 24.435131243864696, 24.67936230500539, 24.835028664271036, 25.07185111840566, 25.30892283519109, 25.466296219825743, 25.61795657078425, 25.779141799608865, 25.92797694206238, 26.161058143774667, 26.312271904945373, 26.463902473449707, 26.62166134119034, 26.792505311965943, 26.943572473526, 27.100623587767284, 27.34589510758718, 27.598632963498435, 27.846684201558432, 28.08573594490687, 28.525484152634938, 28.7862033089002, 28.93980100552241, 29.10380035241445, 29.35149419705073, 29.504868733882905, 29.661773864428202]"
cummulative feedback,"[0, 114, 250, 419, 461, 496, 538, 570, 593, 604, 625, 641, 653, 681, 705, 722, 739, 756, 761, 766, 771, 776, 778, 787, 793, 796, 806, 809, 813, 816, 821, 830, 833, 837, 838, 839, 841, 842, 846, 849, 853, 854, 858, 860, 864, 865, 868, 869, 874, 876, 876, 876, 876, 880, 881, 884, 889, 891, 891, 893, 894, 898, 899, 902, 903, 905, 906, 907, 908, 909, 909, 909, 910, 910, 910, 910, 910, 913, 913, 913, 914, 917, 917, 917, 918, 919, 919, 919, 920, 920, 920, 920, 920, 920, 921, 921, 921, 921, 921, 921, 921, 921, 921, 921, 921, 922, 923, 923, 923, 923, 923, 924, 924, 926, 926, 926, 926, 926, 926, 926]"
e,"[0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001]"
buffer size,"[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]"
human model,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
tau,[0.0002]
