,0
Accumulated time steps,"[0, 1000, 1999, 2998, 3997, 4762, 5474, 5945, 6415, 6685, 7059, 7319, 7475, 7848, 8000, 8154, 8394, 8683, 8861, 9131, 9289, 9645, 9807, 9960, 10119, 10489, 10640, 10791, 10936, 11128, 11289, 11536, 11693, 11848, 12006, 12160, 12325, 12576, 12937, 13093, 13352, 13611, 13846, 14090, 14251, 14414, 14675, 14927, 15186, 15442, 15817, 16081, 16234, 16508, 16761, 16926, 17085, 17241, 17492, 17738, 18015, 18178, 18463, 18831, 18983, 19136, 19478, 19801, 19972, 20211, 20586, 20745, 20904, 21172, 21347, 21625, 21884, 22147, 22395, 22651, 22809, 22984, 23322, 23577, 23728, 23990, 24228, 24378, 24629, 24788, 25054, 25316, 25580, 25737, 26003, 26267, 26424, 26575, 26728, 26878, 27035, 27189, 27475, 27824, 27977, 28248, 28443, 28597, 28751, 29000, 29176, 29326, 29596, 29939]"
Episode reward,"[0, -64.70569188600422, -70.1538119815525, -71.80587810242753, -64.43112599535242, 72.22307656101586, 61.28145501881384, 73.40662736768417, 76.12717490009967, 85.27168932395556, 77.93361262523788, 86.1423339361061, 91.47026717068715, 77.81324989880024, 91.2604572921026, 92.04174414032865, 88.11786085672507, 81.43069343634455, 88.75319536199815, 82.85832468328333, 92.3359694933634, 77.91034564502036, 89.52221377371956, 90.89699674762566, 88.5222493553401, 78.4097842399216, 90.82423462887353, 91.53828877574435, 91.4827697328652, 87.59594371922434, 90.27658351443895, 85.35097731052514, 91.01187507900366, 90.45601999677362, 90.32264836121654, 90.8196650657089, 88.84424685083778, 83.83703552925337, 78.09223231415986, 90.5016043155974, 84.792716891607, 84.61169731258623, 84.90185391811896, 84.83539621743586, 89.77820960995042, 90.6568100521528, 83.91565228038506, 84.57656743955923, 85.20990397109368, 84.52829650393574, 78.81707841690991, 85.15354634378092, 91.04257870976902, 81.84891009449166, 84.73299113268243, 89.12661868877632, 90.12423217176388, 90.91011270121535, 85.53322534909479, 85.36647112601153, 82.4379477308955, 90.00920114861799, 82.25370876359307, 79.34509972433963, 91.13979394307971, 91.3587882517457, 79.06208645842997, 80.1585239312261, 89.01814745775387, 85.03048398803823, 75.21009145623071, 89.60413315507503, 89.82618835580143, 85.14107834156633, 88.65923805634615, 83.49707986651292, 83.13864525156154, 85.49859727332641, 84.76634837174399, 85.22015464712297, 89.89980314036684, 88.52126913022829, 78.47092852809801, 85.3853463684656, 90.51289654691169, 84.62280147377669, 85.01105420637704, 90.33001291422028, 84.93319748371115, 90.2596095723011, 83.56250862881194, 84.20092756271859, 85.2741580593242, 90.55171668461271, 85.36148405103708, 84.51745577960187, 90.18912066728045, 91.66669140249448, 91.63900180372633, 90.80160708429362, 90.53987979857183, 90.98785360136874, 83.49784875411498, 79.12829157766944, 90.92438436063404, 82.95077325587361, 86.9171697941777, 90.86190011797005, 90.37311158202127, 84.37879219834568, 88.79781002674707, 90.90312774607686, 83.53547010745189, 79.08258437938485]"
Episode feedback,"[0.8, 0.09118236463809383, 0.08316633258199767, 0.056112224392673125, 0.06212424843474524, 0.07198952870158438, 0.026722925419517686, 0.025531914839293797, 0.017057569260005182, 0.003717472105139509, 0.02680965140265509, 0.00772200769219302, 0.0064516128616024975, 0.010752688143137935, 0.0, 0.006535947669699688, 0.0, 0.003472222210165895, 0.0, 0.007434944210279018, 0.0, 0.002816901400515771, 0.0, 0.0, 0.0, 0.013550135464633779, 0.013333333244444445, 0.0, 0.0, 0.0, 0.012499999921875001, 0.0040650406338819485, 0.006410256369165024, 0.006493506451340867, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0064516128616024975, 0.0, 0.0, 0.0, 0.004115226320513472, 0.0, 0.0, 0.003846153831360947, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
total seconds,"[0, 60.29700040817261, 121.7518937587738, 179.44531798362732, 239.5803723335266, 288.0463433265686, 328.93676829338074, 356.1706123352051, 382.5128836631775, 397.52677845954895, 418.96406388282776, 433.9839859008789, 443.4406590461731, 464.2147855758667, 472.98741483688354, 482.1312177181244, 495.569650888443, 511.3449378013611, 521.6296103000641, 536.7560284137726, 545.755211353302, 565.298877954483, 574.5507571697235, 583.5920209884644, 592.9022176265717, 613.5004262924194, 622.758927822113, 632.1207938194275, 640.7922291755676, 651.9564225673676, 661.522686958313, 675.61270403862, 685.380628824234, 694.3487241268158, 703.6450879573822, 712.840003490448, 722.3525996208191, 736.7024300098419, 756.2475266456604, 765.3477346897125, 779.5809435844421, 794.0653541088104, 807.2173638343811, 821.0479719638824, 830.3054542541504, 839.7670314311981, 854.2925639152527, 868.4339632987976, 882.9205086231232, 897.2036998271942, 917.8817186355591, 932.4617257118225, 941.4297587871552, 956.4352495670319, 970.5359921455383, 979.8421921730042, 989.145201921463, 998.2663631439209, 1012.4577188491821, 1026.0524151325226, 1041.4646666049957, 1051.0422880649567, 1067.124883890152, 1087.9881932735443, 1096.9562718868256, 1105.8153779506683, 1124.572485923767, 1142.8685410022736, 1152.8148596286774, 1166.4106397628784, 1186.7086160182953, 1196.071985244751, 1205.6464004516602, 1221.2256481647491, 1231.2334938049316, 1247.1886010169983, 1261.7751531600952, 1276.4188904762268, 1290.4046459197998, 1304.849986076355, 1313.859461069107, 1324.1612765789032, 1342.670503616333, 1356.8473262786865, 1365.5177383422852, 1380.1513888835907, 1393.892112493515, 1402.507321357727, 1416.4825704097748, 1425.6394956111908, 1440.49201130867, 1455.0318763256073, 1469.5636177062988, 1478.7682316303253, 1493.4005048274994, 1507.9873654842377, 1516.9274249076843, 1525.6291151046753, 1534.5429964065552, 1543.2774834632874, 1552.3829109668732, 1561.304512500763, 1576.9010472297668, 1595.682626247406, 1604.4919621944427, 1619.4916822910309, 1630.4892959594727, 1639.3217358589172, 1648.2547860145569, 1662.1211969852448, 1671.9616706371307, 1680.5319166183472, 1695.5113208293915, 1714.3740255832672]"
total minutes,"[0, 1.0049500068028767, 2.0291982293128967, 2.990755299727122, 3.993006205558777, 4.800772388776143, 5.482279471556345, 5.936176872253418, 6.375214727719625, 6.625446307659149, 6.982734398047129, 7.233066431681315, 7.390677650769551, 7.736913092931112, 7.8831235806147255, 8.035520295302073, 8.25949418147405, 8.522415630022685, 8.6938268383344, 8.94593380689621, 9.0959201892217, 9.42164796590805, 9.575845952828725, 9.726533683141072, 9.881703627109527, 10.225007104873658, 10.379315463701884, 10.535346563657125, 10.67987048625946, 10.865940376122792, 11.025378115971883, 11.260211733977, 11.4230104804039, 11.57247873544693, 11.727418132623036, 11.8806667248408, 12.039209993680318, 12.278373833497366, 12.60412544409434, 12.755795578161875, 12.99301572640737, 13.234422568480174, 13.453622730573018, 13.684132866064708, 13.838424237569173, 13.99611719051997, 14.238209398587545, 14.473899388313294, 14.715341810385386, 14.953394997119904, 15.298028643925985, 15.541028761863709, 15.690495979785918, 15.940587492783864, 16.175599869092306, 16.330703202883402, 16.485753365357716, 16.63777271906535, 16.874295314153034, 17.100873585542043, 17.357744443416596, 17.51737146774928, 17.785414731502534, 18.133136554559073, 18.28260453144709, 18.430256299177806, 18.742874765396117, 19.04780901670456, 19.213580993811288, 19.440177329381306, 19.778476933638256, 19.934533087412515, 20.094106674194336, 20.353760802745818, 20.520558230082194, 20.786476683616637, 21.029585886001588, 21.27364817460378, 21.50674409866333, 21.74749976793925, 21.897657684485118, 22.069354609648386, 22.377841726938883, 22.614122104644775, 22.75862897237142, 23.002523148059844, 23.23153520822525, 23.375122022628783, 23.608042840162913, 23.760658260186514, 24.008200188477833, 24.250531272093454, 24.49272696177165, 24.646137193838754, 24.890008413791655, 25.133122758070627, 25.282123748461405, 25.427151918411255, 25.57571660677592, 25.721291391054788, 25.873048516114554, 26.021741875012715, 26.281684120496113, 26.594710437456765, 26.74153270324071, 26.991528038183848, 27.174821599324545, 27.322028930981954, 27.470913100242615, 27.702019949754078, 27.86602784395218, 28.008865276972454, 28.258522013823193, 28.572900426387786]"
cummulative feedback,"[0, 91, 174, 230, 292, 347, 366, 378, 386, 387, 397, 399, 400, 404, 404, 405, 405, 406, 406, 408, 408, 409, 409, 409, 409, 414, 416, 416, 416, 416, 418, 419, 420, 421, 421, 421, 421, 421, 421, 422, 422, 422, 422, 423, 423, 423, 424, 424, 424, 424, 424, 424, 424, 424, 424, 424, 424, 424, 424, 424, 424, 424, 424, 424, 424, 424, 424, 424, 424, 424, 424, 424, 424, 424, 424, 424, 424, 424, 424, 424, 424, 424, 424, 424, 424, 424, 424, 424, 424, 424, 424, 424, 424, 424, 424, 424, 424, 424, 424, 424, 424, 424, 424, 424, 424, 424, 424, 424, 424, 424, 424, 424, 424, 424]"
e,"[0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001]"
buffer size,"[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]"
human model,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
tau,[0.00045]
