,0
Accumulated time steps,"[0, 958, 1234, 2233, 2704, 2962, 3237, 3492, 3649, 3904, 4261, 4810, 5066, 5249, 5654, 5922, 6196, 6465, 6740, 6893, 7419, 7569, 7728, 7986, 8137, 8401, 8556, 8710, 8860, 9112, 9292, 9539, 9793, 9965, 10122, 10374, 10638, 10896, 11048, 11295, 11454, 11705, 11860, 12015, 12183, 12342, 12500, 12659, 13015, 13179, 13433, 13595, 13751, 14004, 14170, 14332, 14600, 14759, 14924, 15192, 15441, 15725, 15877, 16059, 16308, 16566, 16919, 17174, 17334, 17598, 17754, 18105, 18262, 18422, 18693, 18852, 19009, 19167, 19332, 19677, 19829, 19993, 20166, 20438, 20722, 20891, 21045, 21304, 21597, 21900, 22063, 22319, 22487, 22639, 22804, 23080, 23343, 23598, 23775, 24042, 24201, 24480, 24644, 24951, 25220, 25494, 25671, 25935, 26099, 26361, 26643, 26914, 27073, 27332, 27503, 27889, 28143, 28409, 28586, 28741, 28901, 29170, 29329, 29708]"
Episode reward,"[0, 51.21032735245162, 84.95358309780289, -68.89257506705854, 74.10950451832329, 87.861116369299, 81.73739240860752, 86.46425928265846, 90.26498651387584, 85.20753663969109, 80.07797400739172, 67.1476411679169, 86.475014599797, 89.07769510438749, 76.67343775518546, 85.73826433012643, 83.65292381738277, 85.04370406816628, 85.32457715005046, 91.34722999061577, 71.5485955395721, 91.72249992933311, 90.46953942295673, 85.93075639214135, 91.4730861702687, 85.87111817533813, 91.82641754928505, 91.31822513613353, 91.6287985521678, 87.72885306099133, 89.38485934856908, 86.88575053603677, 85.81701386844618, 90.52131748025548, 90.283849242801, 85.83856776142163, 85.3272771688636, 86.66631425298914, 91.76999786623378, 87.48781061838793, 91.00204035916794, 86.00597152198966, 91.88326098319106, 91.20330584366036, 89.78397978312908, 90.95048423244413, 91.35237014509302, 91.16226888697017, 80.63361558514615, 90.44452337258109, 84.70508551581956, 90.91390530566751, 91.1273923350642, 84.8703231839802, 88.95624590793406, 91.10705055294993, 83.89379786496099, 91.31810572504314, 89.91672648657733, 84.92614740251918, 85.81164875270522, 85.29908209867554, 91.38193072207523, 88.94962174347816, 87.4314616599662, 85.48134770345395, 81.20599048691551, 84.86318765169712, 90.35495110704709, 83.5259584027013, 90.78309540848092, 79.72186522128159, 90.84845672730026, 90.10108612034766, 83.46717581137773, 90.50764476538876, 90.7746541581568, 90.63409560378543, 89.52724943883717, 80.01193339364616, 90.98195627023321, 90.31185740983616, 89.43976376819492, 84.76114797796801, 83.31730657176504, 90.17281431595539, 91.53849882582577, 85.46066567090669, 82.21221246919272, 81.569477889966, 90.70625919749821, 86.03321244237196, 89.58276282060235, 91.22475187062881, 90.75942313900494, 83.18352070875613, 83.76292922334268, 84.57746725361467, 88.49492231124867, 86.33566896260564, 90.7921171615433, 83.82916879252471, 90.30414125300386, 79.82075973560711, 83.56097455717372, 83.72219186860073, 89.02922934201455, 85.0222506259566, 90.17556172204478, 85.67373496719428, 83.32445786833985, 85.3343761055145, 90.37759343540557, 84.81152894735743, 89.77176047771815, 76.31318117362828, 84.61649564720229, 83.7996911455142, 89.25245195445449, 91.10445557248626, 90.74637740175, 84.52808878355494, 90.73034424678163, 78.26375207249745]"
Episode feedback,"[0.8, 0.23849372359990195, 0.24363636275041323, 0.14228456899570685, 0.18510638258488005, 0.15953307330920982, 0.16058394101976664, 0.10236220432140865, 0.13461538375246548, 0.10236220432140865, 0.06741573014770863, 0.03832116781328254, 0.05098039195693964, 0.043956043714527236, 0.0693069305215175, 0.06367041174655276, 0.08058608029089348, 0.029850746157273334, 0.04014598525494166, 0.04605263127596953, 0.06476190463854875, 0.04026845610558083, 0.044303797187950654, 0.07392996080182895, 0.03333333311111111, 0.07604562708727898, 0.0389610387080452, 0.019607843009099065, 0.05369127480744111, 0.04382470102061872, 0.02793296073780469, 0.048780487606583385, 0.015810276617350686, 0.040935672275229984, 0.03205128184582512, 0.02390438237488294, 0.030418250834911596, 0.01167315170555194, 0.026490066049734664, 0.028455284437173642, 0.0, 0.015999999936, 0.012987012902681734, 0.0, 0.0, 0.00632911388399295, 0.01273885342204552, 0.0253164555359718, 0.025352112604641937, 0.006134969287515526, 0.03952569154337671, 0.0, 0.019354838584807493, 0.015873015810027716, 0.01212121204775023, 0.02484472034257938, 0.011235955014097547, 0.0, 0.006097560938429507, 0.007490636676065031, 0.016129032193028095, 0.0035335688921075306, 0.013245033024867332, 0.0055248618479289404, 0.0, 0.0, 0.005681818165676653, 0.007874015717031434, 0.006289308136545232, 0.0038022813543639494, 0.019354838584807493, 0.005714285697959184, 0.006410256369165024, 0.02515723254618093, 0.007407407379972565, 0.00632911388399295, 0.0, 0.00636942671102276, 0.0, 0.0029069767357355327, 0.006622516512433666, 0.006134969287515526, 0.005813953454570038, 0.007380073773505263, 0.0035335688921075306, 0.005952380916950114, 0.013071895339399377, 0.0038759689772249264, 0.0, 0.0, 0.0, 0.0, 0.0, 0.006622516512433666, 0.0, 0.003636363623140496, 0.0, 0.003937007858515717, 0.0, 0.0, 0.00632911388399295, 0.0035971222892189846, 0.006134969287515526, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0038314176098413117, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0025974025906560973, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
total seconds,"[0, 72.05854392051697, 94.0391035079956, 160.69493651390076, 194.21313786506653, 212.19404006004333, 231.51334238052368, 247.98234605789185, 258.7429585456848, 275.40471863746643, 297.44340419769287, 328.74108815193176, 344.20542335510254, 355.2754578590393, 380.092111825943, 396.8437387943268, 414.3812277317047, 430.18722128868103, 446.53177976608276, 456.4548370838165, 488.1002748012543, 497.3930187225342, 507.3460125923157, 523.4870200157166, 532.8445489406586, 549.6751711368561, 559.5221908092499, 568.8345694541931, 578.716468334198, 594.2184977531433, 605.0825963020325, 619.9993994235992, 634.3344886302948, 644.8303022384644, 654.6344337463379, 669.2926654815674, 684.8628163337708, 699.3769357204437, 708.8776533603668, 723.187908411026, 732.2205319404602, 746.7613039016724, 756.1072561740875, 764.980789899826, 774.6021192073822, 783.9852602481842, 793.1501128673553, 802.6859369277954, 823.095686674118, 832.4691483974457, 847.5031046867371, 856.8932061195374, 866.2633891105652, 880.9166672229767, 890.7721004486084, 900.8858988285065, 915.9043893814087, 925.286687374115, 935.0363123416901, 950.2109572887421, 964.30979347229, 980.0825946331024, 989.1158955097198, 999.7300372123718, 1013.7261066436768, 1028.2381687164307, 1047.7902965545654, 1062.448037147522, 1072.115534067154, 1087.1485249996185, 1096.5839676856995, 1116.0928673744202, 1125.5031833648682, 1135.2707116603851, 1150.835836648941, 1160.0391945838928, 1169.0934693813324, 1178.2782571315765, 1187.7646596431732, 1206.6010386943817, 1215.8043050765991, 1225.4409911632538, 1235.705990076065, 1251.2588884830475, 1267.7926397323608, 1277.8091173171997, 1286.9238059520721, 1301.485172510147, 1317.811648607254, 1334.7902858257294, 1344.3162159919739, 1358.6184194087982, 1368.427099943161, 1377.5139331817627, 1386.935355424881, 1402.2760424613953, 1417.327309370041, 1431.666196346283, 1441.7015025615692, 1456.690104484558, 1466.1739840507507, 1481.4143977165222, 1491.108186006546, 1508.0780885219574, 1523.0225200653076, 1538.075404882431, 1548.3060972690582, 1563.012612104416, 1572.3298795223236, 1587.1452662944794, 1602.6501970291138, 1617.5391714572906, 1626.7977809906006, 1641.1373100280762, 1650.9033629894257, 1672.0338509082794, 1686.1062715053558, 1700.8214237689972, 1710.9899320602417, 1720.0138471126556, 1729.4600501060486, 1744.4846770763397, 1753.5733540058136, 1774.1585302352905]"
total minutes,"[0, 1.200975732008616, 1.5673183917999267, 2.678248941898346, 3.236885631084442, 3.536567334334056, 3.8585557063420612, 4.133039100964864, 4.31238264242808, 4.590078643957773, 4.957390069961548, 5.479018135865529, 5.736757055918376, 5.921257630983988, 6.3348685304323835, 6.6140623132387795, 6.906353795528412, 7.169787021478017, 7.442196329434712, 7.607580618063609, 8.135004580020905, 8.28988364537557, 8.455766876538595, 8.724783666928609, 8.88074248234431, 9.161252852280935, 9.32536984682083, 9.480576157569885, 9.645274472236633, 9.903641629219056, 10.084709938367208, 10.333323323726654, 10.57224147717158, 10.747171703974406, 10.910573895772298, 11.154877758026123, 11.414380272229513, 11.656282262007396, 11.814627556006114, 12.053131806850434, 12.203675532341004, 12.44602173169454, 12.601787602901458, 12.749679831663768, 12.910035320123036, 13.066421004136403, 13.219168547789256, 13.37809894879659, 13.718261444568634, 13.874485806624095, 14.12505174477895, 14.281553435325623, 14.437723151842754, 14.681944453716278, 14.846201674143474, 15.014764980475109, 15.265073156356811, 15.421444789568584, 15.583938539028168, 15.836849288145702, 16.071829891204835, 16.334709910551705, 16.485264925161996, 16.662167286872865, 16.895435110727945, 17.13730281194051, 17.463171609242757, 17.70746728579203, 17.868592234452567, 18.119142083326974, 18.276399461428323, 18.60154778957367, 18.75838638941447, 18.921178527673085, 19.180597277482352, 19.333986576398214, 19.48489115635554, 19.63797095219294, 19.796077660719554, 20.110017311573028, 20.263405084609985, 20.424016519387564, 20.595099834601083, 20.85431480805079, 21.12987732887268, 21.296818621953328, 21.448730099201203, 21.691419541835785, 21.96352747678757, 22.246504763762157, 22.4052702665329, 22.64364032347997, 22.80711833238602, 22.958565553029377, 23.11558925708135, 23.371267374356588, 23.622121822834014, 23.86110327243805, 24.028358376026155, 24.278168408075967, 24.43623306751251, 24.690239961942037, 24.8518031001091, 25.13463480869929, 25.383708667755126, 25.63459008137385, 25.80510162115097, 26.050210201740263, 26.205497992038726, 26.45242110490799, 26.710836617151895, 26.958986190954842, 27.113296349843342, 27.352288500467935, 27.515056049823762, 27.867230848471323, 28.10177119175593, 28.347023729483286, 28.516498867670695, 28.666897451877595, 28.82433416843414, 29.074744617938997, 29.22622256676356, 29.56930883725484]"
cummulative feedback,"[0, 228, 295, 437, 524, 565, 609, 635, 656, 682, 706, 727, 740, 748, 776, 793, 815, 823, 834, 841, 875, 881, 888, 907, 912, 932, 938, 941, 949, 960, 965, 977, 981, 988, 993, 999, 1007, 1010, 1014, 1021, 1021, 1025, 1027, 1027, 1027, 1028, 1030, 1034, 1043, 1044, 1054, 1054, 1057, 1061, 1063, 1067, 1070, 1070, 1071, 1073, 1077, 1078, 1080, 1081, 1081, 1081, 1083, 1085, 1086, 1087, 1090, 1092, 1093, 1097, 1099, 1100, 1100, 1101, 1101, 1102, 1103, 1104, 1105, 1107, 1108, 1109, 1111, 1112, 1112, 1112, 1112, 1112, 1112, 1113, 1113, 1114, 1114, 1115, 1115, 1115, 1116, 1117, 1118, 1118, 1118, 1118, 1118, 1118, 1118, 1119, 1119, 1119, 1119, 1119, 1119, 1120, 1120, 1120, 1120, 1120, 1120, 1120, 1120, 1120]"
e,"[0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001]"
buffer size,"[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]"
human model,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
tau,[0.0002]
