,0
Accumulated time steps,"[0, 1000, 1999, 2261, 2523, 2794, 3399, 3658, 4097, 4350, 4626, 4779, 5055, 5209, 5494, 5877, 6149, 6422, 6670, 6950, 7100, 7363, 7510, 7754, 7919, 8167, 8418, 8775, 8927, 9081, 9251, 9555, 9794, 9947, 10198, 10346, 10596, 10867, 11016, 11170, 11318, 11466, 11799, 11952, 12098, 12240, 12499, 12650, 12944, 13083, 13435, 13674, 13971, 14125, 14377, 14722, 15079, 15337, 15487, 15771, 15923, 16177, 16329, 16594, 16875, 17126, 17286, 17465, 17631, 17969, 18123, 18371, 18733, 19025, 19180, 19444, 19609, 19961, 20394, 20649, 20813, 20975, 21134, 21392, 21578, 21860, 22026, 22288, 22649, 22911, 23255, 23567, 23829, 24192, 24448, 24610, 25016, 25274, 25664, 25844, 26118, 26371, 26523, 26875, 27217, 27387, 27545, 27795, 28057, 28221, 28473, 28721, 28885, 29129, 29478, 29733, 29988]"
Episode reward,"[0, -57.71214240662761, -60.344291561148246, 85.70524789752542, 86.8809626400603, 83.41220814709607, 68.87742228978902, 86.36524507138677, 75.75084032655163, 85.4185809803918, 83.07402848277451, 92.08578477350913, 82.87761520839723, 91.08931693346948, 82.74353259588403, 77.90657539202707, 85.28853475894074, 83.04618169230785, 85.61284034292636, 82.67416721961715, 90.9048184359011, 84.16600095105083, 91.9184338601241, 86.73750141260021, 89.83209493058986, 85.86461098287286, 86.61455061580062, 78.97625283922254, 90.78379566023969, 91.05161944400767, 89.83543088416994, 81.91009552654766, 86.90196264636093, 90.48646841530743, 84.34629118429145, 91.75378595679513, 85.96344559101243, 85.01043969301277, 91.85324494595388, 91.94047620695638, 91.87464220579628, 91.7872086493083, 83.17032239002955, 91.71108212090292, 91.79722890842322, 92.13213254904922, 86.50629091478281, 92.09541429115163, 85.5084183990031, 92.56665865803087, 80.55706105831209, 85.93797505943165, 81.78816815701757, 91.23111598113738, 85.31875587048482, 81.99729029463575, 80.08248515580678, 85.24354851228631, 91.38270667751713, 81.26998989430975, 91.32022953349846, 85.80089847821654, 91.91782345891758, 83.43687436704938, 84.51298841898235, 84.91230947212382, 91.17094354829098, 89.56839855116459, 89.66272211306864, 81.38657824731462, 91.57551280230531, 86.54598222882031, 76.69977259768625, 80.28763129283553, 90.35573264543241, 84.30215490521827, 90.22819159124712, 78.65353631926564, 76.59772361607922, 86.10227430773769, 90.11153313990974, 91.3072747589462, 91.56067012367994, 85.79721769899382, 88.2155200428123, 84.86694480363805, 89.75378223179689, 84.02804170056055, 80.45919863987194, 85.28973901469486, 80.23342675152523, 79.8970450111937, 84.64593122920442, 81.41998851468546, 85.86127519957338, 90.41147133437713, 80.21215298230872, 85.84049808072831, 77.77409358387155, 89.00475931995013, 84.92341483350947, 85.99313400547497, 91.27905943201532, 79.68887792343037, 79.0258066130497, 88.95497201406914, 90.3239099232741, 84.71422831478782, 86.54487291408881, 89.82395667959412, 84.6728955132823, 85.33051652823828, 90.25545426356096, 85.28286204128302, 82.15628962487237, 85.05939492350409, 86.20497599170658]"
Episode feedback,"[0.8, 0.21142284547953621, 0.08116232456797362, 0.10727969307555674, 0.10727969307555674, 0.07037037010973937, 0.0711920528622648, 0.06976744159004868, 0.02739726021142178, 0.05158730138259007, 0.029090908985123967, 0.03289473662569252, 0.025454545361983473, 0.013071895339399377, 0.028169013985320374, 0.018324607281872757, 0.03321033198077368, 0.014705882298875433, 0.008097165959120786, 0.025089605644840123, 0.006711409350930139, 0.007633587757123711, 0.0, 0.01646090528205389, 0.01829268281528852, 0.01214574893868118, 0.007999999968, 0.011235955024618103, 0.019867549537300997, 0.0, 0.01183431945660166, 0.003300330022111122, 0.0, 0.006578947325138505, 0.003999999984, 0.0, 0.00401606424089934, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0030120481836986503, 0.006578947325138505, 0.006896551676575506, 0.0, 0.0038759689772249264, 0.0, 0.0, 0.007246376759084227, 0.0028490028408860316, 0.0, 0.0, 0.0, 0.0, 0.0029069767357355327, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
total seconds,"[0, 72.0896315574646, 132.4449441432953, 149.73075890541077, 166.86174368858337, 183.7225387096405, 220.2171835899353, 236.15087914466858, 261.55963611602783, 277.14363265037537, 293.6593472957611, 303.2167012691498, 319.37590646743774, 328.56888246536255, 345.29916071891785, 366.9756679534912, 383.08921670913696, 398.7157287597656, 413.0288052558899, 429.26548075675964, 438.19369888305664, 453.0269627571106, 461.5974953174591, 475.37269949913025, 485.1098554134369, 499.23797845840454, 513.3042435646057, 533.4886960983276, 542.6866879463196, 551.6708536148071, 561.8667223453522, 578.9139235019684, 592.2303500175476, 601.0097274780273, 615.1437318325043, 623.7279269695282, 637.6102356910706, 652.650378704071, 661.6445636749268, 670.4995634555817, 679.1186974048615, 687.8195986747742, 706.3195993900299, 715.3323187828064, 724.1969764232635, 732.7904212474823, 747.496931552887, 756.4640028476715, 773.2750635147095, 781.4479937553406, 800.6261587142944, 814.2539792060852, 830.8822634220123, 839.7645087242126, 853.6389539241791, 873.1198840141296, 892.2761232852936, 906.6125099658966, 915.2062251567841, 930.8451547622681, 939.600668668747, 953.6978406906128, 962.6813585758209, 977.3966379165649, 993.2362816333771, 1007.2419474124908, 1016.4234089851379, 1026.6090857982635, 1036.1251044273376, 1054.9538428783417, 1064.0487151145935, 1078.1108484268188, 1098.1733367443085, 1114.17724776268, 1123.4039843082428, 1138.250619649887, 1147.7329025268555, 1167.1668956279755, 1190.3236808776855, 1204.7459154129028, 1214.3002243041992, 1223.7944848537445, 1233.301842212677, 1247.542593240738, 1258.4029762744904, 1274.1837060451508, 1283.8217310905457, 1298.6030805110931, 1318.4218318462372, 1332.9445114135742, 1351.4791865348816, 1368.5785353183746, 1383.0454106330872, 1403.1305146217346, 1417.4188449382782, 1426.7051634788513, 1448.4103903770447, 1462.941668510437, 1483.8035006523132, 1493.929369688034, 1508.9989047050476, 1523.147781610489, 1532.1080598831177, 1551.366206407547, 1570.237152814865, 1580.1247384548187, 1589.1694145202637, 1603.3994753360748, 1618.2100932598114, 1627.6913659572601, 1641.7339160442352, 1655.5926263332367, 1665.1804766654968, 1678.738038778305, 1698.0800805091858, 1712.2813892364502, 1726.6445052623749]"
total minutes,"[0, 1.2014938592910767, 2.2074157357215882, 2.495512648423513, 2.7810290614763895, 3.0620423118273417, 3.6702863931655885, 3.935847985744476, 4.359327268600464, 4.619060544172923, 4.894322454929352, 5.053611687819163, 5.322931774457296, 5.476148041089376, 5.7549860119819645, 6.116261132558187, 6.384820278485616, 6.645262145996094, 6.8838134209314985, 7.154424679279328, 7.303228314717611, 7.550449379285177, 7.6932915886243185, 7.922878324985504, 8.085164256890614, 8.320632974306742, 8.555070726076762, 8.89147826830546, 9.04477813243866, 9.194514226913451, 9.364445372422535, 9.648565391699472, 9.870505833625794, 10.016828791300457, 10.252395530541738, 10.395465449492137, 10.626837261517842, 10.877506311734518, 11.027409394582113, 11.174992724259694, 11.318644956747692, 11.463659977912902, 11.771993323167164, 11.922205313046772, 12.069949607054392, 12.213173687458038, 12.458282192548117, 12.607733380794524, 12.887917725245158, 13.024133229255677, 13.343769311904907, 13.570899653434754, 13.848037723700205, 13.996075145403545, 14.227315898736318, 14.551998066902161, 14.87126872142156, 15.11020849943161, 15.2534370859464, 15.514085912704468, 15.660011144479116, 15.894964011510213, 16.044689309597015, 16.289943965276084, 16.55393802722295, 16.78736579020818, 16.9403901497523, 17.110151429971058, 17.268751740455627, 17.58256404797236, 17.73414525190989, 17.96851414044698, 18.302888945738474, 18.569620796044667, 18.723399738470714, 18.970843660831452, 19.128881708780924, 19.452781593799592, 19.838728014628092, 20.079098590215047, 20.238337071736655, 20.396574747562408, 20.555030703544617, 20.7923765540123, 20.973382937908173, 21.236395100752514, 21.397028851509095, 21.643384675184887, 21.973697197437286, 22.215741856892905, 22.524653108914695, 22.809642255306244, 23.050756843884788, 23.38550857702891, 23.62364741563797, 23.778419391314188, 24.140173172950746, 24.382361141840615, 24.730058344205222, 24.898822828133902, 25.149981745084126, 25.385796360174815, 25.535134331385294, 25.856103440125782, 26.170619213581084, 26.335412307580313, 26.48615690867106, 26.72332458893458, 26.970168220996857, 27.128189432621003, 27.362231934070586, 27.59321043888728, 27.753007944424947, 27.97896731297175, 28.301334675153097, 28.538023153940838, 28.77740842103958]"
cummulative feedback,"[0, 211, 292, 320, 348, 367, 410, 428, 440, 453, 461, 466, 473, 475, 483, 490, 499, 503, 505, 512, 513, 515, 515, 519, 522, 525, 527, 531, 534, 534, 536, 537, 537, 538, 539, 539, 540, 540, 540, 540, 540, 540, 541, 542, 543, 543, 544, 544, 544, 545, 546, 546, 546, 546, 546, 547, 547, 547, 547, 547, 547, 547, 547, 547, 547, 547, 547, 547, 547, 547, 547, 547, 547, 547, 547, 547, 547, 547, 547, 547, 547, 547, 547, 547, 547, 547, 547, 547, 547, 547, 547, 547, 547, 547, 547, 547, 547, 547, 547, 547, 547, 547, 547, 547, 547, 547, 547, 547, 547, 547, 547, 547, 547, 547, 547, 547, 547]"
e,"[0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001]"
buffer size,"[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]"
human model,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
tau,[0.00045]
