,0
Accumulated time steps,"[0, 847, 1381, 1643, 2088, 2631, 2893, 3269, 3460, 3707, 3863, 4218, 4372, 4639, 4887, 5146, 5406, 5560, 5813, 5966, 6222, 6372, 6647, 6992, 7164, 7419, 7569, 7941, 8099, 8259, 8425, 8678, 8842, 8995, 9252, 9612, 9770, 10077, 10232, 10490, 10743, 11003, 11260, 11524, 11858, 12031, 12191, 12347, 12633, 12795, 12948, 13103, 13361, 13515, 13769, 13920, 14076, 14252, 14532, 14690, 14848, 15113, 15263, 15414, 15665, 15817, 16091, 16374, 16638, 16999, 17146, 17309, 17670, 17824, 17971, 18236, 18393, 18553, 18711, 19011, 19268, 19432, 19700, 19854, 20006, 20155, 20308, 20454, 20715, 20865, 21117, 21277, 21555, 21716, 21876, 22134, 22287, 22455, 22610, 22779, 23051, 23207, 23365, 23516, 23785, 23940, 24088, 24243, 24398, 24553, 24723, 24884, 25042, 25190, 25338, 25488, 25651, 25935, 26087, 26341, 26496, 26650, 26842, 27000, 27164, 27316, 27610, 27763, 27920, 28195, 28358, 28522, 28686, 28846, 29000, 29167, 29320, 29480, 29739]"
Episode reward,"[0, 64.95494962901583, 65.87325798468434, 85.10554823791996, 75.43795332040858, 69.92015000093379, 85.46223815557222, 77.80513542613647, 88.28059902421302, 86.70499496007523, 91.25706798458448, 79.5974326736208, 91.22126934224445, 84.81432245594891, 86.38562080499656, 84.54544578430863, 85.27294842404537, 90.84331886154015, 84.92117563352566, 90.81153436046947, 85.99879356801846, 91.71436772582764, 83.38076794777383, 79.04611628123467, 89.16248996017796, 85.10795971922234, 91.04766729428668, 77.90445553537963, 90.52865693672067, 90.53454724314392, 89.66149523640628, 85.66355921789336, 89.82910998015568, 90.3933036739574, 84.7129874734837, 78.58958978815775, 90.72518687707998, 80.76797722895608, 90.6289514311354, 85.0817077494426, 84.82719511981928, 84.46700035534165, 83.83835584285146, 82.9232120390109, 77.42634791734736, 88.64622857973083, 90.7480045880863, 89.99965027637458, 82.33873664954557, 89.89384828058367, 90.72606210140003, 91.01345785728103, 83.47100128877392, 90.54159803449213, 84.15996249734722, 90.33915481066072, 90.0215483990981, 88.4641163511155, 82.14782559101047, 90.6820648737413, 90.88676657154085, 83.38133045882975, 91.63152926630235, 89.82140874013565, 83.73613271186338, 90.31774510802606, 83.4879880315995, 83.08605229634665, 83.56631271969817, 76.15070470763462, 90.63806970295276, 90.73142247845996, 76.78572287115455, 90.14570936004289, 90.89853350120774, 83.15063052419819, 90.12886729447752, 90.08242381570966, 90.80664782864434, 80.47982085610624, 82.23643439198511, 88.61850271585233, 83.24311866160365, 90.61494472816075, 90.56975459075147, 90.71114904048046, 90.26766621531148, 91.15339574361292, 83.22793498010215, 90.19766541997245, 82.39439476417685, 90.67503034073589, 83.57157732054347, 90.06295584203993, 90.07393398673113, 83.59650104211288, 90.24345740501415, 88.38691453725225, 90.14679562912582, 88.48751560953964, 83.25452528653993, 89.76521858817405, 89.81228209267898, 90.82121188368555, 83.41629850936357, 90.53111911035839, 90.55082000077886, 89.98167818070061, 90.42005039007252, 90.42542735436439, 89.11396729667108, 90.30487102306681, 90.51752849913314, 91.39536156368332, 89.93748364293523, 90.24314206494275, 90.91156207357376, 83.92312229538702, 89.825740777619, 84.1357531906507, 90.23080795913104, 90.80639412537813, 86.67626495273267, 90.19214971785405, 90.08368978776119, 90.27238544255333, 81.46490355000074, 90.09625431033942, 90.18629863610666, 81.67875505209527, 91.1082446030703, 90.19278634054031, 88.19985540354836, 89.10559403887187, 90.72945500610946, 89.06324793357746, 90.34772259375808, 89.38207184552108, 84.23650632508713]"
Episode feedback,"[0.8, 0.42603550245439586, 0.15572232616187182, 0.17241379244285904, 0.11936936910051944, 0.11254612525360494, 0.04597701131809574, 0.10133333306311111, 0.06315789440443213, 0.09349593457928482, 0.09677419292403747, 0.09039547997063424, 0.026143790678798753, 0.05639097723161287, 0.05263157873428511, 0.07751937954449853, 0.05405405384535114, 0.03921568601819813, 0.027777777667548503, 0.03947368395083103, 0.047058823344867357, 0.026845637403720556, 0.04014598525494166, 0.017441860414413198, 0.02923976591087856, 0.019685039292578584, 0.026845637403720556, 0.026954177824921353, 0.01273885342204552, 0.03144654068272616, 0.018181818071625347, 0.003968253952506929, 0.018404907862546577, 0.03947368395083103, 0.003906249984741211, 0.016713091875451, 0.00636942671102276, 0.006535947691058994, 0.012987012902681734, 0.019455252842586566, 0.007936507905013858, 0.00772200769219302, 0.003906249984741211, 0.0038022813543639494, 0.006006005987969952, 0.011627906909140076, 0.012578616273090464, 0.012903225723204995, 0.0, 0.01242236017128969, 0.006578947325138505, 0.006493506451340867, 0.003891050568517313, 0.0, 0.007905138308675343, 0.0, 0.0064516128616024975, 0.0057142856816326535, 0.0035842293778343033, 0.0, 0.00636942671102276, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0035460992782053217, 0.0038022813543639494, 0.0, 0.0, 0.0, 0.0027777777700617283, 0.0, 0.0068493150215800346, 0.0, 0.0, 0.0, 0.0, 0.0033444815941656133, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.006578947325138505, 0.0, 0.006493506451340867, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
total seconds,"[0, 78.75366234779358, 115.06383323669434, 133.53817772865295, 162.48491549491882, 197.76105904579163, 213.4811429977417, 237.40315890312195, 249.57573461532593, 265.5329656600952, 276.06927704811096, 298.22516989707947, 307.6350607872009, 323.9437437057495, 338.8199837207794, 354.81952953338623, 370.45872139930725, 379.9475965499878, 394.5514786243439, 403.8578643798828, 419.4580280780792, 428.55357217788696, 445.17152166366577, 465.3996636867523, 476.11509561538696, 491.46603655815125, 501.0890107154846, 522.9905631542206, 532.2623434066772, 542.2046720981598, 552.1649630069733, 566.6413445472717, 576.4593687057495, 585.8392286300659, 600.0613100528717, 620.3468399047852, 629.6395347118378, 647.1270403862, 656.4000871181488, 671.0694963932037, 685.5589962005615, 700.2977061271667, 714.5837137699127, 729.3778917789459, 748.122570514679, 758.3571193218231, 767.8829011917114, 777.1710107326508, 792.9344310760498, 802.4052627086639, 811.3754398822784, 820.6045522689819, 835.2060279846191, 844.4590866565704, 858.545975446701, 867.2863211631775, 876.504054069519, 886.8945252895355, 902.6282942295074, 911.8775544166565, 921.3998329639435, 936.1458120346069, 945.035272359848, 953.8166878223419, 967.983870267868, 977.1355259418488, 992.7204525470734, 1008.70259141922, 1023.5622718334198, 1043.3108711242676, 1052.1378409862518, 1061.9598298072815, 1081.983520746231, 1091.0549252033234, 1100.3169813156128, 1115.1230430603027, 1124.2649538516998, 1133.625893831253, 1143.0470054149628, 1159.727117061615, 1173.940481185913, 1183.463802099228, 1198.4935202598572, 1207.5329344272614, 1216.3914420604706, 1225.0118191242218, 1233.8849339485168, 1242.4327816963196, 1256.97638297081, 1265.8638665676117, 1279.848261833191, 1289.1331028938293, 1304.6808087825775, 1313.8368017673492, 1323.044272661209, 1337.6044478416443, 1346.590249300003, 1356.4431371688843, 1365.5963819026947, 1375.3629441261292, 1390.7468342781067, 1400.0739204883575, 1409.5850093364716, 1418.6895883083344, 1433.8459503650665, 1442.9746997356415, 1451.5933842658997, 1460.6114583015442, 1469.8291330337524, 1479.1808524131775, 1489.281136751175, 1498.812516450882, 1508.0445289611816, 1516.8157784938812, 1525.568651676178, 1534.3665025234222, 1543.9841828346252, 1559.8086256980896, 1568.470813035965, 1582.9323470592499, 1592.8263235092163, 1603.7557735443115, 1616.9049665927887, 1628.2822868824005, 1638.8280668258667, 1648.0798032283783, 1665.12526512146, 1674.201316833496, 1683.5159895420074, 1698.8766372203827, 1708.468020915985, 1718.5581192970276, 1728.4221127033234, 1738.8747870922089, 1748.5674088001251, 1759.1389288902283, 1769.019142150879, 1778.421416759491, 1793.2254531383514]"
total minutes,"[0, 1.312561039129893, 1.9177305539449057, 2.2256362954775493, 2.7080819249153136, 3.296017650763194, 3.5580190499623616, 3.9567193150520326, 4.159595576922099, 4.425549427668254, 4.601154617468516, 4.970419498284658, 5.1272510131200155, 5.399062395095825, 5.646999728679657, 5.913658825556437, 6.174312023321788, 6.3324599424997965, 6.575857977072398, 6.73096440633138, 6.990967134634654, 7.1425595362981165, 7.419525361061096, 7.756661061445872, 7.935251593589783, 8.19110060930252, 8.351483511924744, 8.716509385903676, 8.871039056777954, 9.03674453496933, 9.202749383449554, 9.444022409121196, 9.607656145095826, 9.763987143834433, 10.001021834214528, 10.339113998413087, 10.493992245197296, 10.785450673103332, 10.940001451969147, 11.184491606553395, 11.42598327000936, 11.67162843545278, 11.909728562831878, 12.156298196315765, 12.468709508577982, 12.639285322030386, 12.79804835319519, 12.952850178877513, 13.215573851267497, 13.373421045144399, 13.522923998037975, 13.676742537816365, 13.92010046641032, 14.07431811094284, 14.30909959077835, 14.454772019386292, 14.608400901158651, 14.781575421492258, 15.043804903825125, 15.197959240277608, 15.356663882732391, 15.602430200576782, 15.750587872664134, 15.896944797039032, 16.133064504464468, 16.28559209903081, 16.545340875784557, 16.811709856987, 17.059371197223662, 17.388514518737793, 17.5356306831042, 17.699330496788026, 18.033058679103853, 18.184248753388722, 18.338616355260214, 18.585384051005047, 18.737749230861663, 18.893764897187552, 19.05078342358271, 19.32878528436025, 19.565674686431883, 19.7243967016538, 19.974892004330954, 20.125548907121022, 20.27319070100784, 20.416863652070365, 20.564748899141946, 20.707213028271994, 20.94960638284683, 21.097731109460195, 21.330804363886514, 21.485551714897156, 21.744680146376293, 21.89728002945582, 22.050737877686817, 22.293407464027403, 22.44317082166672, 22.607385619481406, 22.759939698378243, 22.922715735435485, 23.179113904635113, 23.334565341472626, 23.493083488941192, 23.644826471805573, 23.897432506084442, 24.049578328927357, 24.193223071098327, 24.343524305025735, 24.497152217229207, 24.65301420688629, 24.82135227918625, 24.9802086075147, 25.13407548268636, 25.28026297489802, 25.426144194602966, 25.57277504205704, 25.73306971391042, 25.996810428301494, 26.141180217266083, 26.38220578432083, 26.54710539182027, 26.729262892405192, 26.948416109879812, 27.138038114706674, 27.313801113764445, 27.46799672047297, 27.752087752024334, 27.90335528055827, 28.058599825700124, 28.31461062033971, 28.47446701526642, 28.642635321617128, 28.807035211722056, 28.981246451536816, 29.14279014666875, 29.31898214817047, 29.483652369181314, 29.640356945991517, 29.88709088563919]"
cummulative feedback,"[0, 360, 443, 488, 541, 602, 614, 652, 664, 687, 702, 734, 738, 753, 766, 786, 800, 806, 813, 819, 831, 835, 846, 852, 857, 862, 866, 876, 878, 883, 886, 887, 890, 896, 897, 903, 904, 906, 908, 913, 915, 917, 918, 919, 921, 923, 925, 927, 927, 929, 930, 931, 932, 932, 934, 934, 935, 936, 937, 937, 938, 938, 938, 938, 938, 938, 938, 939, 940, 940, 940, 940, 941, 941, 942, 942, 942, 942, 942, 943, 943, 943, 943, 943, 943, 943, 943, 943, 943, 943, 943, 943, 943, 943, 943, 943, 944, 944, 945, 945, 945, 945, 945, 945, 945, 945, 945, 945, 945, 945, 945, 945, 945, 945, 945, 945, 945, 945, 945, 945, 945, 945, 945, 945, 945, 945, 945, 945, 945, 945, 945, 945, 945, 945, 945, 945, 945, 945, 945]"
e,"[0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01]"
buffer size,"[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]"
human model,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
tau,[0.0003]
