,0
Accumulated time steps,"[0, 1000, 1279, 1563, 1831, 2197, 2558, 2824, 3081, 3237, 3414, 3619, 3975, 4248, 4615, 4775, 5027, 5292, 5658, 5913, 6072, 6233, 6487, 6646, 6813, 6967, 7122, 7291, 7444, 7793, 7946, 8216, 8483, 8743, 8901, 9070, 9424, 9690, 10149, 10307, 10467, 10635, 10791, 10948, 11207, 11476, 11768, 12023, 12276, 12549, 12813, 13090, 13344, 13594, 13850, 14103, 14257, 14412, 14566, 14926, 15079, 15332, 15489, 15644, 15800, 15952, 16216, 16497, 16684, 16964, 17374, 17743, 18057, 18239, 18394, 18554, 18824, 18988, 19144, 19402, 19688, 19940, 20315, 20584, 20840, 20994, 21147, 21298, 21457, 21726, 21883, 22060, 22438, 22699, 22967, 23315, 23472, 23743, 23895, 24183, 24337, 24800, 25047, 25315, 25665, 25952, 26221, 26477, 26634, 26991, 27149, 27309, 27686, 27859, 28135, 28513, 28772, 28952, 29109, 29458, 29710, 29865]"
Episode reward,"[0, -46.271901977181045, 84.8742441027935, 83.014931412685, 85.67313581181865, 80.36572235867061, 81.03064762577723, 85.02709434551818, 85.46120448051929, 91.40752237366227, 89.34057322794202, 86.44685833885566, 80.5029879941001, 83.07511538155947, 78.44141706758332, 90.62942162449318, 85.83887225919307, 84.770758434974, 77.88263150797249, 84.95509133338768, 90.52245480036147, 90.59128040725214, 85.47893662575062, 90.58383137317344, 89.07794821000148, 90.98027240353787, 90.3685494331154, 89.66246945041976, 91.09374296600072, 80.21382699989772, 91.02600947795474, 83.96807570912183, 84.06395447645515, 84.9112781805376, 90.41785743691104, 90.43079684973566, 78.91788806352272, 84.70676723930254, 73.34345413888275, 90.74105272889526, 90.29756410943986, 89.55479982048553, 90.69109059946958, 90.52939692822856, 84.80344347652907, 83.74114599200757, 80.48799259854522, 84.81133939098234, 84.75040622037673, 83.28199055357483, 84.47365784671648, 82.29420974714962, 85.29409923353667, 84.99599801395154, 84.76635771078905, 84.88564567565408, 90.9510548391853, 90.59079899031332, 90.86351058494093, 77.94234499094733, 90.73598557115267, 85.12135578660352, 90.4618844090349, 90.63002892791205, 90.52619152633248, 90.68311363354486, 84.72785858321794, 82.61445411921082, 88.53073791153152, 83.27306771826271, 74.44900097316321, 77.91222744716836, 78.85305338631137, 87.79180390183063, 90.41626551907251, 90.2430852762598, 83.75097812291794, 90.1966487306039, 90.36399522485988, 84.60557589136513, 81.78793323074382, 84.64820102187143, 76.5191015310236, 84.05373556678515, 84.87849755752185, 90.76062361341607, 91.41366178187116, 90.36304608064907, 89.65477848769665, 84.9404425443655, 90.3885809235706, 88.94945579498749, 77.27948214586186, 84.81490738610668, 83.90675889855825, 79.53856396986659, 90.02800072490915, 85.45321807266106, 90.63501316638173, 84.69531539376204, 90.85539362535107, 72.12770467050193, 85.48455584712684, 84.33314787770468, 80.21425948502734, 82.22229708227349, 84.14512155985757, 84.81058362122745, 90.2698339273613, 77.44523995225553, 89.74027996223984, 90.4360367054374, 76.44342427844542, 89.19621420244607, 83.5726117796547, 78.18312214292898, 84.90441686721556, 88.49447270734967, 90.58730057893393, 78.43257026337032, 85.50356647812194, 90.8282997634267]"
Episode feedback,"[0.8, 0.3346693383420147, 0.2697841716914238, 0.21908127131066688, 0.2659176020003086, 0.1424657530343404, 0.1777777772839506, 0.16603773522249912, 0.1445312494354248, 0.2258064501560874, 0.12499999928977273, 0.13235294052768168, 0.135211267224757, 0.11397058781628461, 0.09289617460957329, 0.08176100577508802, 0.1752988040824749, 0.0909090905647383, 0.08219178059673485, 0.07480314931179863, 0.08860759437590131, 0.07499999953125, 0.07114624477807809, 0.08227848049190835, 0.012048192698504864, 0.07843137203639626, 0.05844155806206781, 0.04761904733560091, 0.04605263127596953, 0.025862068891200952, 0.03947368395083103, 0.0408921931565346, 0.030075187856860197, 0.03088803076877208, 0.05095541368818208, 0.053571428252551026, 0.050991501271978754, 0.0754716978284087, 0.04148471606662726, 0.03821656026613656, 0.06289308136545232, 0.03592814349743627, 0.012903225723204995, 0.01923076910749507, 0.03100775181779941, 0.0111940298089775, 0.024054982735206246, 0.003937007858515717, 0.03571428557256236, 0.036764705747188584, 0.030418250834911596, 0.028985507141356857, 0.027667984080363698, 0.01606425696359736, 0.00392156861207228, 0.011904761857520787, 0.013071895339399377, 0.006493506451340867, 0.026143790678798753, 0.0027855153125751664, 0.01315789465027701, 0.015873015810027716, 0.01923076910749507, 0.012987012902681734, 0.0064516128616024975, 0.0, 0.011406844063091847, 0.010714285676020409, 0.0053763440571164296, 0.0035842293778343033, 0.009779951076332638, 0.002717391296963611, 0.009584664506119283, 0.0, 0.0, 0.012578616273090464, 0.003717472105139509, 0.006134969287515526, 0.0064516128616024975, 0.007782101137034626, 0.010526315752539242, 0.003984063729147156, 0.002673796784294661, 0.0037313432696591668, 0.00392156861207228, 0.006535947669699688, 0.0, 0.0, 0.00632911388399295, 0.014925373078636667, 0.0, 0.0, 0.0, 0.007692307662721894, 0.0, 0.0, 0.0, 0.0037037036899862825, 0.0, 0.0, 0.006535947669699688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.006289308136545232, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
total seconds,"[0, 89.78960394859314, 113.4040904045105, 136.018292427063, 158.4017210006714, 183.59006452560425, 209.75055575370789, 229.3211636543274, 247.4286286830902, 259.87678050994873, 272.378564119339, 286.71331334114075, 311.00951528549194, 329.075074672699, 352.18841338157654, 362.67953753471375, 380.88132405281067, 398.36405873298645, 421.23897314071655, 437.34941506385803, 447.9746606349945, 458.3427038192749, 473.9924440383911, 484.537700176239, 494.720582485199, 504.66589617729187, 514.6027345657349, 525.0269291400909, 534.4998967647552, 554.6058003902435, 564.0529472827911, 579.9473986625671, 595.4257006645203, 610.694521188736, 620.6798403263092, 631.022486448288, 651.8846530914307, 668.768456697464, 695.5287845134735, 705.1166801452637, 715.2923114299774, 725.4878249168396, 734.690717458725, 743.971063375473, 759.0294668674469, 774.2451720237732, 791.2690396308899, 805.5169878005981, 820.2537443637848, 836.0873878002167, 851.5439622402191, 867.3470296859741, 882.0613057613373, 896.2790689468384, 910.3871784210205, 924.5804340839386, 933.5787434577942, 942.700546503067, 952.0063796043396, 971.588840007782, 980.699714422226, 995.0579679012299, 1004.3559975624084, 1013.6790716648102, 1022.7548158168793, 1031.3690054416656, 1046.113646030426, 1062.0052471160889, 1072.6993379592896, 1088.0384891033173, 1111.082405090332, 1130.7805726528168, 1148.104288816452, 1158.414798259735, 1167.3510518074036, 1176.7121078968048, 1191.8665533065796, 1201.578397989273, 1210.9079375267029, 1225.3045608997345, 1241.3791432380676, 1255.5612287521362, 1276.666684627533, 1292.1591138839722, 1306.717321395874, 1316.0858025550842, 1325.221293926239, 1334.6627163887024, 1344.7090129852295, 1360.6305949687958, 1370.2806174755096, 1380.5718517303467, 1401.388775587082, 1416.7070152759552, 1431.713662147522, 1451.059560060501, 1460.2641820907593, 1475.4439034461975, 1484.5244636535645, 1500.303210258484, 1509.696590423584, 1534.5885229110718, 1548.382581949234, 1563.232586145401, 1582.2928326129913, 1598.00852560997, 1613.222477197647, 1627.7300388813019, 1636.9326980113983, 1656.4515180587769, 1665.7713162899017, 1675.344981431961, 1696.58149933815, 1706.9520664215088, 1722.3182685375214, 1743.5174119472504, 1758.0540747642517, 1768.799732208252, 1778.4313163757324, 1798.6592705249786, 1813.437307357788, 1822.9913265705109]"
total minutes,"[0, 1.496493399143219, 1.8900681734085083, 2.26697154045105, 2.6400286833445232, 3.0598344087600706, 3.4958425958951316, 3.8220193942387897, 4.123810478051504, 4.3312796751658125, 4.5396427353223165, 4.778555222352346, 5.183491921424865, 5.484584577878317, 5.869806889692942, 6.044658958911896, 6.348022067546845, 6.639400978883107, 7.020649552345276, 7.289156917730967, 7.466244343916575, 7.6390450636545815, 7.899874067306518, 8.07562833627065, 8.245343041419982, 8.411098269621531, 8.576712242762248, 8.750448819001516, 8.90833161274592, 9.24343000650406, 9.400882454713186, 9.665789977709453, 9.923761677742004, 10.178242019812267, 10.344664005438487, 10.5170414408048, 10.864744218190511, 11.146140944957732, 11.592146408557891, 11.751944669087727, 11.921538523832957, 12.091463748613993, 12.24484529097875, 12.39951772292455, 12.650491114457449, 12.90408620039622, 13.187817327181499, 13.42528313000997, 13.670895739396412, 13.934789796670279, 14.19239937067032, 14.455783828099568, 14.701021762688955, 14.937984482447307, 15.173119640350341, 15.409673901398977, 15.55964572429657, 15.711675775051116, 15.86677299340566, 16.193147333463035, 16.344995240370434, 16.584299465020496, 16.73926662604014, 16.894651194413502, 17.045913596947987, 17.18948342402776, 17.435227433840435, 17.700087451934813, 17.878322299321493, 18.13397481838862, 18.518040084838866, 18.846342877546945, 19.1350714802742, 19.30691330432892, 19.455850863456725, 19.611868464946745, 19.864442555109658, 20.02630663315455, 20.18179895877838, 20.42174268166224, 20.689652387301127, 20.926020479202272, 21.27777807712555, 21.535985231399536, 21.778622023264568, 21.93476337591807, 22.08702156543732, 22.244378606478374, 22.41181688308716, 22.677176582813264, 22.838010291258495, 23.009530862172443, 23.35647959311803, 23.611783587932585, 23.861894369125366, 24.18432600100835, 24.33773636817932, 24.590731724103293, 24.742074394226073, 25.005053504308066, 25.161609840393066, 25.576475381851196, 25.806376365820565, 26.053876435756685, 26.371547210216523, 26.633475426832835, 26.88704128662745, 27.128833981355033, 27.282211633523307, 27.607525300979614, 27.762855271498363, 27.92241635719935, 28.2763583223025, 28.449201107025146, 28.705304475625358, 29.058623532454174, 29.30090124607086, 29.4799955368042, 29.64052193959554, 29.977654508749644, 30.2239551226298, 30.38318877617518]"
cummulative feedback,"[0, 334, 409, 471, 542, 594, 658, 702, 739, 774, 796, 823, 871, 902, 936, 949, 993, 1017, 1047, 1066, 1080, 1092, 1110, 1123, 1125, 1137, 1146, 1154, 1161, 1170, 1176, 1187, 1195, 1203, 1211, 1220, 1238, 1258, 1277, 1283, 1293, 1299, 1301, 1304, 1312, 1315, 1322, 1323, 1332, 1342, 1350, 1358, 1365, 1369, 1370, 1373, 1375, 1376, 1380, 1381, 1383, 1387, 1390, 1392, 1393, 1393, 1396, 1399, 1400, 1401, 1405, 1406, 1409, 1409, 1409, 1411, 1412, 1413, 1414, 1416, 1419, 1420, 1421, 1422, 1423, 1424, 1424, 1424, 1425, 1429, 1429, 1429, 1429, 1431, 1431, 1431, 1431, 1432, 1432, 1432, 1433, 1433, 1433, 1433, 1433, 1433, 1433, 1433, 1433, 1433, 1433, 1434, 1434, 1434, 1434, 1434, 1434, 1434, 1434, 1434, 1434, 1434]"
e,"[0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01]"
buffer size,"[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]"
human model,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
tau,[0.0002]
