,0
Accumulated time steps,"[0, 947, 1115, 1389, 1897, 2447, 2699, 2955, 3219, 3404, 3664, 3821, 4187, 4338, 4590, 4746, 4904, 5164, 5533, 5690, 5868, 6115, 6326, 6588, 6755, 6916, 7319, 7575, 7744, 7899, 8054, 8219, 8372, 8641, 8800, 8958, 9311, 9468, 9739, 9993, 10157, 10319, 10564, 10721, 10888, 11057, 11216, 11372, 11617, 11784, 12051, 12207, 12467, 12629, 12781, 13032, 13200, 13352, 13513, 13668, 13848, 14006, 14164, 14326, 14495, 14652, 14923, 15090, 15248, 15405, 15567, 15730, 16009, 16267, 16426, 16585, 16757, 16923, 17313, 17476, 17642, 17897, 18052, 18335, 18778, 19094, 19250, 19419, 19582, 19740, 20034, 20187, 20442, 20603, 20959, 21224, 21382, 21662, 21825, 21995, 22280, 22440, 22627, 22907, 23182, 23352, 23515, 23670, 23832, 24081, 24238, 24491, 24651, 24815, 25181, 25455, 25745, 25906, 26065, 26219, 26371, 26550, 26713, 26901, 27058, 27210, 27360, 27514, 27778, 28054, 28213, 28370, 28643, 28800, 29059, 29214, 29482, 29841]"
Episode reward,"[0, 49.92468465666033, 89.20715749458, 85.7006081010723, 70.2723853430085, 69.05329783848313, 85.4652475167882, 85.41726139838049, 85.44624478374824, 88.8139810139708, 85.36200917011796, 91.18459801024834, 77.46817109641464, 91.38110631884334, 86.12536842488413, 91.32006030488658, 91.06714843576779, 85.4599526975878, 79.23245410269973, 91.01264949520838, 89.63768279079298, 87.31227437128388, 86.2864689940299, 85.13243521315741, 90.62270370786366, 90.39640471388863, 73.20389824018157, 85.16364796275244, 89.9246764076199, 91.24074836020489, 90.51476754769662, 89.93863299661439, 90.94824652618816, 83.97051545346203, 90.95304819878817, 90.46682513707826, 77.36064936009191, 90.41882811160227, 83.95347020734894, 83.88164811571912, 89.20734924887543, 90.63397197049235, 83.98969954279917, 90.0837490251694, 90.33104627304562, 89.403845365676, 90.63864689019715, 90.64678894056672, 84.80744408276932, 89.99147229713057, 85.25791529892516, 90.47443602822784, 83.1264729171652, 90.78232213113951, 91.37352451637037, 84.19123223243936, 91.14260945897061, 90.86192496904343, 90.16779983452345, 90.39716601895582, 88.51307779121501, 90.73576832016366, 90.19586935220053, 89.87798093498166, 88.62840179931894, 90.34829056844464, 84.52595155489239, 88.69567889948877, 89.93791172804998, 90.30577205214884, 89.9903975128653, 89.67323399260832, 83.57586917646083, 82.67404626930929, 90.18673151464574, 90.08980159843853, 90.04931864082575, 89.57532944615144, 75.19252135685485, 90.10052801786321, 89.69002238717856, 83.50563272131453, 90.55643401263308, 82.55964547214398, 68.4401248967736, 79.92914638137671, 90.68494071942581, 89.33210848631627, 90.37268873198305, 90.17820286423321, 81.45876935531946, 90.21208417871274, 83.53496931052894, 89.48438405121591, 76.93166831558806, 83.50920083393859, 90.56655444154538, 83.52963815007018, 89.93844995002006, 89.21387525106675, 83.46557824888995, 90.04965809347348, 87.80842325589855, 81.25070518164884, 83.72250906481756, 89.31722294250311, 90.29192029755468, 90.45213275283518, 89.605502881048, 85.07324186056715, 90.06517884030161, 82.45837917817732, 90.572436742689, 89.6621115916573, 76.95018972231173, 84.0705512340783, 81.92658086369119, 89.63932612724008, 89.51928980745507, 91.0181614139839, 91.17753411439428, 90.47037115340424, 90.79998760722418, 89.08691582317302, 89.93369354653494, 91.25074123708761, 90.37891078062958, 90.82986453830192, 81.3755351090027, 83.75763449354369, 89.72481294113402, 89.77902058845649, 82.54313485589527, 90.64755076441001, 83.60630006611906, 90.8369094682784, 83.78917941046382, 76.42542417075111]"
Episode feedback,"[0.8, 0.27619047589821116, 0.14371257398974507, 0.1794871788297173, 0.11439842186509187, 0.09289617469417819, 0.127490039332709, 0.098039215301807, 0.10266159656782663, 0.09782608642485822, 0.06949806922973718, 0.04487179458415516, 0.07397260253706137, 0.09999999933333334, 0.07171314712464881, 0.06451612861602497, 0.08280254724329587, 0.057915057691447655, 0.03532608686052694, 0.05128205095332019, 0.0395480223754349, 0.06910569077599313, 0.014285714217687075, 0.026819923268889184, 0.030120481746262157, 0.0312499998046875, 0.022388059645800845, 0.01568627444828912, 0.02976190458475057, 0.051948051610726936, 0.0, 0.03658536563057704, 0.02631578930055402, 0.014925373078636667, 0.0253164555359718, 0.01910828013306828, 0.014204545414191633, 0.006410256369165024, 0.011111111069958848, 0.0039525691543376715, 0.012269938575031052, 0.01242236017128969, 0.00819672127788229, 0.025641025476660095, 0.012048192698504864, 0.0, 0.0, 0.0064516128616024975, 0.00819672127788229, 0.02409638539700973, 0.0, 0.012903225723204995, 0.0, 0.006211180085644845, 0.0, 0.0, 0.0, 0.0, 0.006249999960937501, 0.0, 0.0, 0.00636942671102276, 0.0, 0.0, 0.0, 0.012820512738330047, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.007782101137034626, 0.0, 0.0, 0.005847953182175712, 0.006060606023875115, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.005952380916950114, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0035842293778343033, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
total seconds,"[0, 85.9891746044159, 98.95876407623291, 119.66840982437134, 153.60314440727234, 189.11635088920593, 206.7267780303955, 223.8160858154297, 241.0820972919464, 253.37480092048645, 269.8346118927002, 279.70812129974365, 302.37902307510376, 312.7415556907654, 328.7964062690735, 338.9990692138672, 349.52316308021545, 365.40029311180115, 386.7482285499573, 396.50257682800293, 407.6207666397095, 423.06365752220154, 435.2670900821686, 450.67844557762146, 460.8030061721802, 470.58561730384827, 493.0390508174896, 507.65928292274475, 517.7524971961975, 527.5894923210144, 536.8006925582886, 546.9315609931946, 556.3549320697784, 571.5827085971832, 581.0728306770325, 590.4044923782349, 610.568990945816, 619.6449813842773, 634.8839421272278, 649.097457408905, 658.6283071041107, 668.3682537078857, 682.5194056034088, 691.9279773235321, 701.7950789928436, 711.7014238834381, 721.0304899215698, 730.1981153488159, 743.7826204299927, 753.6096601486206, 768.650640964508, 777.8576397895813, 792.2501473426819, 801.6383709907532, 810.3726217746735, 824.292754650116, 833.9061949253082, 842.7585210800171, 852.0390212535858, 861.0687417984009, 871.0431084632874, 880.2895810604095, 889.6914086341858, 899.0885653495789, 908.5984706878662, 917.853185415268, 932.6426827907562, 942.0409226417542, 951.0802404880524, 960.1965124607086, 969.4240736961365, 979.0221493244171, 994.9552011489868, 1009.2362534999847, 1018.1571662425995, 1027.2860915660858, 1037.353776216507, 1046.978098154068, 1067.946373462677, 1077.3238842487335, 1086.9420278072357, 1100.9770436286926, 1110.0508885383606, 1125.2458379268646, 1148.9269745349884, 1166.2345705032349, 1175.3499414920807, 1185.2773354053497, 1195.045375585556, 1204.0549104213715, 1220.4461479187012, 1229.3836677074432, 1243.6702926158905, 1253.1852295398712, 1273.0088322162628, 1287.6350774765015, 1296.8199923038483, 1312.1495161056519, 1321.5110483169556, 1331.2799232006073, 1346.94056391716, 1356.1719479560852, 1366.8172256946564, 1382.5161504745483, 1398.0827057361603, 1408.1989195346832, 1418.1197073459625, 1427.5555634498596, 1437.7515859603882, 1453.012134552002, 1462.3987731933594, 1477.170269727707, 1486.9051487445831, 1496.5997338294983, 1517.1262340545654, 1532.3654491901398, 1549.1268348693848, 1558.6334223747253, 1567.8363330364227, 1576.700080871582, 1585.8157451152802, 1595.9753184318542, 1605.7815136909485, 1616.5203127861023, 1625.6075527668, 1634.6061251163483, 1643.4954402446747, 1652.6570265293121, 1667.4419808387756, 1682.5467624664307, 1691.7307918071747, 1701.1665909290314, 1716.5419447422028, 1725.6510417461395, 1740.5021436214447, 1749.7070577144623, 1764.7987315654755, 1785.5164461135864]"
total minutes,"[0, 1.4331529100735982, 1.6493127346038818, 1.9944734970728557, 2.5600524067878725, 3.1519391814867657, 3.4454463005065916, 3.730268096923828, 4.018034954865773, 4.2229133486747745, 4.497243531545004, 4.661802021662394, 5.039650384585062, 5.2123592615127565, 5.479940104484558, 5.649984486897787, 5.825386051336924, 6.090004885196686, 6.445803809165954, 6.608376280466715, 6.793679443995158, 7.051060958703359, 7.254451501369476, 7.511307426293691, 7.68005010286967, 7.843093621730804, 8.217317513624828, 8.460988048712412, 8.629208286603292, 8.79315820535024, 8.94667820930481, 9.115526016553243, 9.272582201162974, 9.52637847661972, 9.684547177950542, 9.84007487297058, 10.176149849096934, 10.327416356404623, 10.581399035453796, 10.818290956815083, 10.977138451735179, 11.13947089513143, 11.37532342672348, 11.532132955392202, 11.696584649880727, 11.861690398057302, 12.017174832026164, 12.169968589146931, 12.396377007166544, 12.56016100247701, 12.810844016075134, 12.964293996493021, 13.204169122378032, 13.360639516512553, 13.506210362911224, 13.738212577501933, 13.89843658208847, 14.045975351333619, 14.20065035422643, 14.351145696640014, 14.51738514105479, 14.671493017673493, 14.828190143903097, 14.984809422492981, 15.14330784479777, 15.297553090254466, 15.54404471317927, 15.700682044029236, 15.85133734146754, 16.003275207678477, 16.157067894935608, 16.317035822073617, 16.582586685816448, 16.820604224999745, 16.969286104043324, 17.121434859434764, 17.28922960360845, 17.449634969234467, 17.79910622437795, 17.955398070812226, 18.11570046345393, 18.349617393811545, 18.50084814230601, 18.754097298781076, 19.148782908916473, 19.437242841720582, 19.589165691534678, 19.75462225675583, 19.917422926425935, 20.06758184035619, 20.34076913197835, 20.489727795124054, 20.727838210264842, 20.886420492331187, 21.216813870271046, 21.46058462460836, 21.61366653839747, 21.869158601760866, 22.025184138615927, 22.18799872001012, 22.449009398619335, 22.602865799268088, 22.78028709491094, 23.041935841242474, 23.301378428936005, 23.46998199224472, 23.635328455766043, 23.792592724164326, 23.962526432673137, 24.216868909200034, 24.37331288655599, 24.619504495461783, 24.781752479076385, 24.943328897158306, 25.285437234242757, 25.539424153168998, 25.818780581156414, 25.97722370624542, 26.130605550607047, 26.278334681193034, 26.430262418588004, 26.599588640530904, 26.763025228182475, 26.942005213101705, 27.093459212779997, 27.243435418605806, 27.391590670744577, 27.544283775488534, 27.79069968064626, 28.042446041107176, 28.195513196786244, 28.352776515483857, 28.609032412370045, 28.76085069576899, 29.008369060357413, 29.161784295241038, 29.413312192757925, 29.75860743522644]"
cummulative feedback,"[0, 261, 285, 334, 392, 443, 475, 500, 527, 545, 563, 570, 597, 612, 630, 640, 653, 668, 681, 689, 696, 713, 716, 723, 728, 733, 742, 746, 751, 759, 759, 765, 769, 773, 777, 780, 785, 786, 789, 790, 792, 794, 796, 800, 802, 802, 802, 803, 805, 809, 809, 811, 811, 812, 812, 812, 812, 812, 813, 813, 813, 814, 814, 814, 814, 816, 816, 816, 816, 816, 816, 816, 816, 818, 818, 818, 819, 820, 820, 820, 820, 820, 820, 820, 820, 820, 820, 821, 821, 821, 821, 821, 821, 821, 821, 821, 821, 822, 822, 822, 822, 822, 822, 822, 822, 822, 822, 822, 822, 822, 822, 822, 822, 822, 822, 822, 822, 822, 822, 822, 822, 822, 822, 822, 822, 822, 822, 822, 822, 822, 822, 822, 822, 822, 822, 822, 822, 822]"
e,"[0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01]"
buffer size,"[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]"
human model,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
tau,[0.0003]
