Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau,Human_model_lr,Policy_lr,Policy_batch_lr,Absolute_pos,Buffer_sampling_size,Alpha,Minutes
0,0,0,0,0.8,0.5,10000,True,0,0.003,0.003,0.003,False,8,0,0
5,653,0,173,0.222222219753086,0.5,10000,True,0,0.003,0.003,0.003,False,8,0,2.11505718628565
10,1375,0,637,0.818181812460267,0.5,10000,True,0,0.003,0.003,0.003,False,8,0,4.65343017975489
15,2000,1,945,0.566666661944444,0.5,10000,True,0,0.003,0.003,0.003,False,8,0,6.90862845977147
20,2466,0,1190,0.283018865254539,0.5,10000,True,0,0.003,0.003,0.003,False,8,0,8.83359107573827
25,2936,0,1519,0.578947360803324,0.5,10000,True,0,0.003,0.003,0.003,False,8,0,10.8332619229953
30,3363,0,1818,0.426829263087448,0.5,10000,True,0,0.003,0.003,0.003,False,8,0,12.7344554901123
35,3681,0,1983,0.555555534979425,0.5,10000,True,0,0.003,0.003,0.003,False,8,0,14.3387710571289
40,3903,0,2124,0.64705878546713,0.5,10000,True,0,0.003,0.003,0.003,False,8,0,15.755948360761
45,4272,0,2417,0.927536218441504,0.5,10000,True,0,0.003,0.003,0.003,False,8,0,17.5478542844454
50,4636,0,2657,0.955223866339942,0.5,10000,True,0,0.003,0.003,0.003,False,8,0,19.2928749918938
55,5071,0,2948,0.868131858591958,0.5,10000,True,0,0.003,0.003,0.003,False,8,0,21.2019840359688
60,5514,1,3208,0.230769228233305,0.5,10000,True,0,0.003,0.003,0.003,False,8,0,23.1005846778552
65,5936,0,3429,0.235955053528595,0.5,10000,True,0,0.003,0.003,0.003,False,8,0,24.9315950830777
70,6369,0,3679,0.683544295145009,0.5,10000,True,0,0.003,0.003,0.003,False,8,0,26.808120071888
75,6731,0,3882,0.490909086446281,0.5,10000,True,0,0.003,0.003,0.003,False,8,0,28.5213051199913
80,7379,0,4335,0.75531914090086,0.5,10000,True,0,0.003,0.003,0.003,False,8,0,30.9306241750717
85,7646,0,4525,0.833333313492064,0.5,10000,True,0,0.003,0.003,0.003,False,8,0,32.4670436779658
90,7883,0,4667,0.166666663580247,0.5,10000,True,0,0.003,0.003,0.003,False,8,0,33.9173587004344
95,8369,1,4947,0.72413790606421,0.5,10000,True,0,0.003,0.003,0.003,False,8,0,35.9111552913984
100,8801,1,5181,0.631578940720222,0.5,10000,True,0,0.003,0.003,0.003,False,8,0,37.7747180978457
105,9166,1,5434,0.716981118547526,0.5,10000,True,0,0.003,0.003,0.003,False,8,0,39.5345811208089
110,9357,0,5526,0.708333303819446,0.5,10000,True,0,0.003,0.003,0.003,False,8,0,40.8651138067246
115,9595,0,5690,0.857142844897959,0.5,10000,True,0,0.003,0.003,0.003,False,8,0,42.331587044398
120,9754,0,5773,0.919999963200001,0.5,10000,True,0,0.003,0.003,0.003,False,8,0,43.5984030445417
125,10100,1,5963,0.846153824457594,0.5,10000,True,0,0.003,0.003,0.003,False,8,0,45.2816998203596
130,10707,1,6208,0.753246743464328,0.5,10000,True,0,0.003,0.003,0.003,False,8,0,47.4646687547366
135,11113,1,6439,0,0.5,10000,True,0,0.003,0.003,0.003,False,8,0,49.284988172849
140,11461,1,6447,0.470588207612458,0.5,10000,True,0,0.003,0.003,0.003,False,8,0,50.8302566329638
145,11750,0,6670,0.844155833192781,0.5,10000,True,0,0.003,0.003,0.003,False,8,0,52.4388913551966
150,12149,1,6914,0.859649115266236,0.5,10000,True,0,0.003,0.003,0.003,False,8,0,54.2606486082077
155,12419,0,7042,0.612903215920916,0.5,10000,True,0,0.003,0.003,0.003,False,8,0,55.7624337832133
160,12815,1,7219,0.2842105233241,0.5,10000,True,0,0.003,0.003,0.003,False,8,0,57.5251713514328
165,13135,1,7365,0.887096759885536,0.5,10000,True,0,0.003,0.003,0.003,False,8,0,59.1287611444791
