Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau
0,0,0,0,0.8,0.01,500,True,4e-06
1,165,0,0,0.7317073126115408,0.01,500,True,4e-06
6,617,0,263,0.6823529331487891,0.01,500,True,4e-06
11,962,0,484,0.714285702947846,0.01,500,True,4e-06
16,1352,0,721,0.7285714181632654,0.01,500,True,4e-06
21,1698,0,920,0.6753246665542252,0.01,500,True,4e-06
26,2018,0,1101,0.7076922968047339,0.01,500,True,4e-06
31,2356,0,1289,0.6499999891666669,0.01,500,True,4e-06
36,2686,0,1464,0.6666666565656567,0.01,500,True,4e-06
41,3057,0,1677,0.6764705782871974,0.01,500,True,4e-06
46,3410,0,1853,0.6799999909333335,0.01,500,True,4e-06
51,3748,0,2029,0.7215189782086205,0.01,500,True,4e-06
56,4123,0,2240,0.7042253421940093,0.01,500,True,4e-06
61,4500,0,2425,0.5777777713580248,0.01,500,True,4e-06
66,4860,0,2624,0.6197183011307281,0.01,500,True,4e-06
71,5224,0,2812,0.6219512119274243,0.01,500,True,4e-06
76,5687,0,3083,0.6111111026234569,0.01,500,True,4e-06
81,6060,0,3293,0.7246376706574251,0.01,500,True,4e-06
86,6399,0,3480,0.6969696864095503,0.01,500,True,4e-06
91,6725,1,3646,0.6307692210650889,0.01,500,True,4e-06
96,7101,0,3854,0.6307692210650889,0.01,500,True,4e-06
101,7457,1,4037,0.6285714195918369,0.01,500,True,4e-06
106,7824,0,4249,0.6865671539318335,0.01,500,True,4e-06
111,8189,0,4433,0.6478873148184886,0.01,500,True,4e-06
116,8672,1,4629,0.5537634378829923,0.01,500,True,4e-06
121,9197,0,4926,0.5757575670339763,0.01,500,True,4e-06
126,9577,0,5115,0.6835442951450089,0.01,500,True,4e-06
131,9988,0,5322,0.6666666584362141,0.01,500,True,4e-06
136,10372,0,5505,0.6551724062623862,0.01,500,True,4e-06
141,10769,0,5722,0.6582278397692679,0.01,500,True,4e-06
146,11151,0,5905,0.6941176388927337,0.01,500,True,4e-06
151,11611,0,6151,0.6527777687114199,0.01,500,True,4e-06
156,11981,0,6335,0.6704545378357439,0.01,500,True,4e-06
161,12400,0,6522,0.6391752511425232,0.01,500,True,4e-06
166,12825,0,6770,0.6619718216623688,0.01,500,True,4e-06
171,13182,1,6959,0.676056328506249,0.01,500,True,4e-06
176,13537,0,7126,0.5333333262222223,0.01,500,True,4e-06
181,13927,1,7313,0.5952380881519276,0.01,500,True,4e-06
186,14300,1,7481,0.5180722829147918,0.01,500,True,4e-06
191,14660,0,7634,0.4999999935897437,0.01,500,True,4e-06
196,15062,0,7803,0.6216216160214268,0.01,500,True,4e-06
201,15447,0,7998,0.5483870879292405,0.01,500,True,4e-06
206,15817,1,8187,0.46774192793964636,0.01,500,True,4e-06
211,16173,1,8362,0.5428571351020409,0.01,500,True,4e-06
216,16570,1,8524,0.5436893151098124,0.01,500,True,4e-06
221,16947,1,8724,0.6119402893740256,0.01,500,True,4e-06
226,17350,1,8911,0.5416666591435186,0.01,500,True,4e-06
231,17723,0,9074,0.5999999929411766,0.01,500,True,4e-06
236,18126,1,9269,0.6376811501785341,0.01,500,True,4e-06
241,18560,0,9505,0.5942028899390885,0.01,500,True,4e-06
246,18935,0,9674,0.588235287197232,0.01,500,True,4e-06
251,19419,1,9926,0.6666666592592594,0.01,500,True,4e-06
256,19827,1,10144,0.57352940333045,0.01,500,True,4e-06
261,20294,0,10397,0.6811594104179796,0.01,500,True,4e-06
266,20652,0,10580,0.5303030222681361,0.01,500,True,4e-06
271,21010,0,10757,0.48529411051038074,0.01,500,True,4e-06
276,21397,1,10949,0.6399999914666668,0.01,500,True,4e-06
281,21795,0,11135,0.6391752511425232,0.01,500,True,4e-06
286,22204,0,11347,0.5975609683224272,0.01,500,True,4e-06
291,22590,0,11559,0.6388888800154322,0.01,500,True,4e-06
296,22958,0,11746,0.5925925852766347,0.01,500,True,4e-06
301,23332,0,11916,0.5428571351020409,0.01,500,True,4e-06
306,23720,1,12113,0.6417910351971488,0.01,500,True,4e-06
311,24070,1,12280,0.5373134248162176,0.01,500,True,4e-06
316,24456,1,12466,0.6222222153086421,0.01,500,True,4e-06
321,24826,0,12654,0.6249999902343751,0.01,500,True,4e-06
326,25171,1,12815,0.4492753558076036,0.01,500,True,4e-06
331,25570,0,12986,0.6111111043209877,0.01,500,True,4e-06
336,25911,1,13152,0.5806451519250783,0.01,500,True,4e-06
341,26293,1,13313,0.544303790578433,0.01,500,True,4e-06
346,26666,1,13496,0.5303030222681361,0.01,500,True,4e-06
351,27070,1,13681,0.6486486398831265,0.01,500,True,4e-06
356,27428,0,13822,0.5342465680240196,0.01,500,True,4e-06
361,27803,1,13988,0.7199999904000002,0.01,500,True,4e-06
366,28167,0,14136,0.578124990966797,0.01,500,True,4e-06
371,28537,1,14311,0.6060605968778697,0.01,500,True,4e-06
376,28855,1,14435,0.5079364998740238,0.01,500,True,4e-06
381,29242,0,14609,0.5714285640074213,0.01,500,True,4e-06
386,29598,1,14777,0.5652173831127916,0.01,500,True,4e-06
391,29941,1,14928,0.5441176390570935,0.01,500,True,4e-06
396,30386,1,15121,0.5544554400548967,0.01,500,True,4e-06
401,30791,0,15300,0.46666666148148156,0.01,500,True,4e-06
406,31177,1,15456,0.6811594104179796,0.01,500,True,4e-06
411,31539,0,15602,0.5882352854671282,0.01,500,True,4e-06
416,31927,1,15774,0.4843749924316408,0.01,500,True,4e-06
421,32286,1,15939,0.58730157797934,0.01,500,True,4e-06
426,32647,1,16098,0.41538460899408297,0.01,500,True,4e-06
431,33108,1,16305,0.5394736771121885,0.01,500,True,4e-06
436,33472,1,16443,0.5999999929411766,0.01,500,True,4e-06
441,33863,1,16623,0.5217391228733461,0.01,500,True,4e-06
446,34241,1,16773,0.5061728332571255,0.01,500,True,4e-06
451,34575,1,16907,0.6388888800154322,0.01,500,True,4e-06
456,34960,1,17084,0.5483870879292405,0.01,500,True,4e-06
461,35392,0,17280,0.523076915029586,0.01,500,True,4e-06
466,35755,1,17435,0.5138888817515433,0.01,500,True,4e-06
471,36089,0,17572,0.4931506781760181,0.01,500,True,4e-06
476,36440,1,17726,0.522388051904656,0.01,500,True,4e-06
