Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau
0,0,0,0,0.8,0.01,15000,True,4e-06
1,63,0,0,0.806451599895942,0.01,15000,True,4e-06
6,822,0,492,0.6707316991374184,0.01,15000,True,4e-06
11,1240,0,742,0.6571428477551022,0.01,15000,True,4e-06
16,1696,0,945,0.7368421004155125,0.01,15000,True,4e-06
21,2077,0,1157,0.6363636280991737,0.01,15000,True,4e-06
26,2477,0,1342,0.6557376995431337,0.01,15000,True,4e-06
31,2823,0,1523,0.6461538362130179,0.01,15000,True,4e-06
36,3167,0,1699,0.6029411676038063,0.01,15000,True,4e-06
41,3519,0,1886,0.6229508094598228,0.01,15000,True,4e-06
46,3843,0,2050,0.6190476092214665,0.01,15000,True,4e-06
51,4170,0,2215,0.5967741839229971,0.01,15000,True,4e-06
56,4528,1,2413,0.7384615271005919,0.01,15000,True,4e-06
61,4896,0,2620,0.5522387977277792,0.01,15000,True,4e-06
66,5234,1,2798,0.5797101365259401,0.01,15000,True,4e-06
71,5584,0,2996,0.6290322479188347,0.01,15000,True,4e-06
76,5912,1,3156,0.538461530177515,0.01,15000,True,4e-06
81,6318,0,3353,0.723577229889616,0.01,15000,True,4e-06
86,6673,0,3543,0.8152173824432893,0.01,15000,True,4e-06
91,7081,0,3754,0.7154471486549012,0.01,15000,True,4e-06
96,7497,0,4006,0.714285702947846,0.01,15000,True,4e-06
101,7862,1,4200,0.720588224697232,0.01,15000,True,4e-06
106,8195,1,4379,0.5666666572222224,0.01,15000,True,4e-06
111,8512,1,4544,0.6984126873267827,0.01,15000,True,4e-06
116,8833,1,4715,0.6307692210650889,0.01,15000,True,4e-06
121,9154,1,4882,0.7313432726665183,0.01,15000,True,4e-06
126,9470,0,5040,0.647058814013841,0.01,15000,True,4e-06
131,9783,1,5213,0.7288135469692619,0.01,15000,True,4e-06
136,10096,0,5380,0.58730157797934,0.01,15000,True,4e-06
141,10406,0,5525,0.7384615271005919,0.01,15000,True,4e-06
146,10721,1,5688,0.5806451519250783,0.01,15000,True,4e-06
151,11023,0,5826,0.6610169379488655,0.01,15000,True,4e-06
156,11328,1,5965,0.5789473582640815,0.01,15000,True,4e-06
161,11640,0,6102,0.58730157797934,0.01,15000,True,4e-06
166,11953,1,6254,0.403225799947971,0.01,15000,True,4e-06
171,12260,1,6397,0.5423728721631716,0.01,15000,True,4e-06
176,12562,0,6524,0.5573770400429994,0.01,15000,True,4e-06
181,12861,0,6648,0.5573770400429994,0.01,15000,True,4e-06
186,13171,0,6782,0.5409835976887934,0.01,15000,True,4e-06
191,13471,0,6901,0.4918032706261759,0.01,15000,True,4e-06
196,13771,1,7029,0.5079364998740238,0.01,15000,True,4e-06
201,14071,0,7156,0.633333322777778,0.01,15000,True,4e-06
206,14379,0,7294,0.5901639247514111,0.01,15000,True,4e-06
211,14687,1,7422,0.5396825311161503,0.01,15000,True,4e-06
216,14984,0,7549,0.46551723335315115,0.01,15000,True,4e-06
221,15288,1,7679,0.5409835976887934,0.01,15000,True,4e-06
226,15590,1,7797,0.5333333244444446,0.01,15000,True,4e-06
231,15882,1,7913,0.5087719208987382,0.01,15000,True,4e-06
236,16178,0,8026,0.5166666580555557,0.01,15000,True,4e-06
241,16482,1,8157,0.47457626314277523,0.01,15000,True,4e-06
246,16783,1,8287,0.48333332527777795,0.01,15000,True,4e-06
251,17078,0,8402,0.5737704823972052,0.01,15000,True,4e-06
256,17377,1,8534,0.5166666580555557,0.01,15000,True,4e-06
261,17678,1,8637,0.43548386394380867,0.01,15000,True,4e-06
266,17982,1,8754,0.44999999250000017,0.01,15000,True,4e-06
271,18281,1,8864,0.40983605885514657,0.01,15000,True,4e-06
276,18578,1,8982,0.4838709599375652,0.01,15000,True,4e-06
281,18870,1,9101,0.44642856345663284,0.01,15000,True,4e-06
286,19168,1,9225,0.4576271108876761,0.01,15000,True,4e-06
291,19465,1,9336,0.47457626314277523,0.01,15000,True,4e-06
296,19765,1,9449,0.43333332611111125,0.01,15000,True,4e-06
301,20063,1,9576,0.4915254153978743,0.01,15000,True,4e-06
306,20365,1,9705,0.4237288063774779,0.01,15000,True,4e-06
311,20666,0,9808,0.5172413703923902,0.01,15000,True,4e-06
316,20973,1,9929,0.47540982827197004,0.01,15000,True,4e-06
321,21268,1,10019,0.40677965412237876,0.01,15000,True,4e-06
326,21570,1,10139,0.403225799947971,0.01,15000,True,4e-06
331,21871,1,10253,0.3333333277777779,0.01,15000,True,4e-06
336,22168,1,10349,0.3965517173008325,0.01,15000,True,4e-06
341,22465,1,10447,0.4999999916666668,0.01,15000,True,4e-06
346,22768,1,10559,0.360655731792529,0.01,15000,True,4e-06
351,23063,1,10660,0.36206895927467314,0.01,15000,True,4e-06
356,23363,1,10766,0.47540982827197004,0.01,15000,True,4e-06
361,23663,1,10876,0.39344261650094076,0.01,15000,True,4e-06
366,23966,1,10991,0.4915254153978743,0.01,15000,True,4e-06
371,24267,1,11114,0.5333333244444446,0.01,15000,True,4e-06
376,24569,1,11228,0.5166666580555557,0.01,15000,True,4e-06
381,24867,1,11323,0.43103447532699185,0.01,15000,True,4e-06
386,25172,0,11442,0.499999991935484,0.01,15000,True,4e-06
391,25481,1,11547,0.3859649055093876,0.01,15000,True,4e-06
396,25790,1,11655,0.33870967195629564,0.01,15000,True,4e-06
401,26093,1,11733,0.4426229435635583,0.01,15000,True,4e-06
406,26399,1,11828,0.5333333244444446,0.01,15000,True,4e-06
411,26704,1,11940,0.30645160796045795,0.01,15000,True,4e-06
416,27005,1,12051,0.43333332611111125,0.01,15000,True,4e-06
421,27307,1,12164,0.46666665888888903,0.01,15000,True,4e-06
426,27616,1,12267,0.41666665972222233,0.01,15000,True,4e-06
431,27924,1,12383,0.4838709599375652,0.01,15000,True,4e-06
436,28229,1,12471,0.41269840614764436,0.01,15000,True,4e-06
441,28539,1,12539,0.4426229435635583,0.01,15000,True,4e-06
446,28837,1,12664,0.2999999950000001,0.01,15000,True,4e-06
451,29136,1,12761,0.32258063995837677,0.01,15000,True,4e-06
456,29433,1,12858,0.3793103382877528,0.01,15000,True,4e-06
461,29738,1,12946,0.33870967195629564,0.01,15000,True,4e-06
466,30043,1,13046,0.360655731792529,0.01,15000,True,4e-06
471,30349,1,13140,0.3666666605555557,0.01,15000,True,4e-06
476,30656,1,13239,0.38983050186727963,0.01,15000,True,4e-06
481,30958,1,13335,0.3666666605555557,0.01,15000,True,4e-06
486,31266,1,13438,0.5081967129803818,0.01,15000,True,4e-06
491,31572,1,13549,0.4576271108876761,0.01,15000,True,4e-06
496,31878,1,13651,0.403225799947971,0.01,15000,True,4e-06
501,32185,1,13769,0.316666661388889,0.01,15000,True,4e-06
506,32499,1,13863,0.29508196237570555,0.01,15000,True,4e-06
511,32810,1,13936,0.38095237490551787,0.01,15000,True,4e-06
516,33122,1,14014,0.34920634366339137,0.01,15000,True,4e-06
521,33432,1,14097,0.27419354396462026,0.01,15000,True,4e-06
526,33742,1,14187,0.2786885200214997,0.01,15000,True,4e-06
531,34047,1,14257,0.34426228943832315,0.01,15000,True,4e-06
536,34358,1,14346,0.23728813157138762,0.01,15000,True,4e-06
541,34669,1,14437,0.360655731792529,0.01,15000,True,4e-06
546,34984,1,14505,0.2812499956054688,0.01,15000,True,4e-06
551,35293,1,14578,0.41666665972222233,0.01,15000,True,4e-06
556,35608,1,14670,0.276923072662722,0.01,15000,True,4e-06
561,35914,1,14745,0.32258063995837677,0.01,15000,True,4e-06
566,36224,1,14827,0.384615378698225,0.01,15000,True,4e-06
571,36540,1,14900,0.30645160796045795,0.01,15000,True,4e-06
576,36856,0,14974,0.35483870395421446,0.01,15000,True,4e-06
581,37161,1,15054,0.38333332694444455,0.01,15000,True,4e-06
586,37469,1,15139,0.19672130825047038,0.01,15000,True,4e-06
