Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau
0,0,0,0,0.8,0.01,500,True,4e-06
1,68,0,0,0.6417910351971488,0.01,500,True,4e-06
6,538,0,213,0.7784431091111191,0.01,500,True,4e-06
11,921,0,450,0.7424242311753905,0.01,500,True,4e-06
16,1297,0,677,0.6307692210650889,0.01,500,True,4e-06
21,1618,0,856,0.7118643947141629,0.01,500,True,4e-06
26,1973,0,1067,0.6610169379488655,0.01,500,True,4e-06
31,2314,0,1261,0.6290322479188347,0.01,500,True,4e-06
36,2662,1,1468,0.650793640463593,0.01,500,True,4e-06
41,3076,0,1715,0.6818181714876035,0.01,500,True,4e-06
46,3426,0,1919,0.7058823425605538,0.01,500,True,4e-06
51,3836,0,2146,0.702127652105025,0.01,500,True,4e-06
56,4223,1,2330,0.7012986921909261,0.01,500,True,4e-06
61,4558,0,2506,0.6557376941682346,0.01,500,True,4e-06
66,4886,0,2679,0.7222222121913582,0.01,500,True,4e-06
71,5247,0,2870,0.7027026932067204,0.01,500,True,4e-06
76,5638,0,3069,0.6476190414512473,0.01,500,True,4e-06
81,5990,0,3264,0.7096774079084289,0.01,500,True,4e-06
86,6346,0,3449,0.7199999904000002,0.01,500,True,4e-06
91,6701,0,3643,0.5294117569204153,0.01,500,True,4e-06
96,7121,0,3828,0.6884057921130016,0.01,500,True,4e-06
101,7501,1,4032,0.76923075739645,0.01,500,True,4e-06
106,7893,1,4243,0.6984126873267827,0.01,500,True,4e-06
111,8300,0,4465,0.6172839429964946,0.01,500,True,4e-06
116,8661,0,4654,0.535211260067447,0.01,500,True,4e-06
121,9100,0,4888,0.6428571352040817,0.01,500,True,4e-06
126,9485,0,5079,0.6344085953289399,0.01,500,True,4e-06
131,9837,1,5263,0.6666666565656567,0.01,500,True,4e-06
136,10186,0,5448,0.569230760473373,0.01,500,True,4e-06
141,10537,0,5624,0.5671641706393408,0.01,500,True,4e-06
146,10899,0,5811,0.569230760473373,0.01,500,True,4e-06
151,11266,1,5969,0.6142857055102042,0.01,500,True,4e-06
156,11665,0,6170,0.6329113843935268,0.01,500,True,4e-06
161,12009,0,6329,0.6865671539318335,0.01,500,True,4e-06
166,12371,0,6524,0.523076915029586,0.01,500,True,4e-06
171,12737,0,6719,0.6617646961505192,0.01,500,True,4e-06
176,13095,0,6884,0.5897435821827746,0.01,500,True,4e-06
181,13534,0,7132,0.6153846086221472,0.01,500,True,4e-06
186,14010,0,7396,0.6373626303586525,0.01,500,True,4e-06
191,14364,0,7578,0.6093749904785158,0.01,500,True,4e-06
196,14746,0,7767,0.6714285618367348,0.01,500,True,4e-06
201,15110,0,7955,0.6290322479188347,0.01,500,True,4e-06
206,15492,1,8147,0.7303370704456509,0.01,500,True,4e-06
211,15875,0,8329,0.5999999929411766,0.01,500,True,4e-06
216,16241,0,8509,0.6285714195918369,0.01,500,True,4e-06
221,16611,0,8684,0.5402298788479324,0.01,500,True,4e-06
226,16980,0,8844,0.6708860674571384,0.01,500,True,4e-06
231,17366,1,9037,0.679012337296144,0.01,500,True,4e-06
