,0,1,2,3,4
Accumulated time steps,0.0,177.0,391.0,583.0,664.0
Episode reward,0.0,240.2487888244903,289.72772097222344,259.1784278418378,104.64964077452623
Episode feedback,0.8,0.3428571408979592,0.3708920170380656,0.3612565426112223,0.6749999915625001
total seconds,0.0,70.83460664749146,160.82368516921997,241.5478799343109,279.0860028266907
total minutes,0.0,1.180576777458191,2.680394752820333,4.0257979989051815,4.6514333804448444
cummulative feedback,0.0,60.0,139.0,208.0,262.0
e,1.0,1.0,1.0,1.0,1.0
buffer size,10000.0,10000.0,10000.0,10000.0,10000.0
human model,1.0,1.0,1.0,1.0,1.0
tau,0.00016,0.00016,0.00016,0.00016,0.00016
