,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
Accumulated time steps,0.0,1000.0,1999.0,2998.0,3997.0,4996.0,5995.0,6994.0,7993.0,8992.0,9991.0,10990.0,11989.0,12988.0,13987.0,14592.0,15313.0,15872.0,16332.0,16729.0,17201.0,17574.0,18050.0,18661.0,19109.0,19265.0,19534.0,19735.0
Episode reward,0.0,-53.43784687697949,-69.84183086785629,-76.43017936017142,-98.38039746762296,-55.967534063307376,-24.83165018566677,-10.763832693617099,-39.75891656226729,-64.2429816377904,-65.64794028869989,-63.4970852972563,-62.78888484921653,-53.92757663616161,-58.264742774746324,66.78419056843076,61.80762271030072,67.78824314875018,75.53662578380406,78.93371521234027,73.96916666897282,80.82857672796537,71.65467703159132,66.33659973122005,75.06040573625052,90.63443355492201,85.18424096765234,87.77656177020681
Episode feedback,0.8,0.1252505008765025,0.0851703405960217,0.10220440871522604,0.07214428850486544,0.0751503005259015,0.05110220435761302,0.04108216428749282,0.013026052091156261,0.00901803606310818,0.00200400801402404,0.00400801602804808,0.0,0.00100200400701202,0.00100200400701202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,62.64496731758118,122.2536289691925,183.54869079589844,242.73692107200623,304.0684130191803,363.2956190109253,419.59403109550476,473.2844409942627,526.3358795642853,579.0905890464783,631.917742729187,684.123054265976,736.5106909275055,789.1263463497162,823.4245615005493,862.8428149223328,893.2698307037354,918.5755608081818,940.1775221824646,965.8203682899475,985.9926297664642,1011.459742307663,1044.0181682109833,1067.9792532920837,1076.8737754821777,1091.5943698883057,1103.0192022323608
total minutes,0.0,1.0440827886263528,2.0375604828198752,3.0591448465983073,4.045615351200103,5.067806883653005,6.054926983515421,6.993233851591746,7.888074016571045,8.772264659404755,9.651509817441305,10.531962378819783,11.402050904432933,12.275178182125092,13.15210577249527,13.723742691675822,14.38071358203888,14.887830511728923,15.309592680136364,15.669625369707743,16.097006138165792,16.433210496107737,16.857662371794383,17.40030280351639,17.79965422153473,17.947896258036295,18.19323949813843,18.383653370539346
cummulative feedback,0.0,125.0,210.0,312.0,384.0,459.0,510.0,551.0,564.0,573.0,575.0,579.0,579.0,580.0,581.0,581.0,581.0,581.0,581.0,581.0,581.0,581.0,581.0,581.0,581.0,581.0,581.0,581.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
