,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
Accumulated time steps,0.0,1000.0,1999.0,2998.0,3997.0,4637.0,5636.0,6095.0,6577.0,7140.0,7432.0,8055.0,8574.0,8832.0,9168.0,9330.0,9669.0,10106.0,10359.0,10697.0,10973.0,11312.0,11737.0,11887.0,12030.0,12629.0,12874.0,13158.0,13414.0,13689.0,13946.0,14298.0,14719.0,15055.0,15388.0,15635.0,16058.0,16379.0,16527.0,16870.0,17206.0,17541.0,17884.0,18242.0,18593.0,18868.0,19222.0,19754.0
Episode reward,0.0,-56.76473778239112,-56.053716396136025,-61.528615515807864,-64.65150555628483,58.052247943626874,-65.19970677358963,72.56356429686035,69.4958453195539,65.21287529886902,81.47202297425477,61.149150317474955,67.2803491234105,84.38504720053834,79.8752344997795,89.03949998466207,79.57005863400846,71.33856192640486,84.53941016492098,79.04549772742399,83.50894143763381,79.56862338480673,73.93981811993025,91.10220467757347,91.69981067455757,63.13228521443986,85.60997722667778,82.69648477806268,84.22690797128676,83.23129587385742,84.82976267770891,79.30019738926147,72.35030461199798,79.37265818839008,80.08916225103054,85.33964475283075,74.8512154175078,81.42204767325552,90.83711082225233,80.10226091661055,79.95581264334916,80.04075654365903,80.20026227298587,78.84537243278143,78.91286885680786,83.33732860917007,78.56476320956138,69.3907304222719
Episode feedback,0.8,0.1342685369396107,0.14128256498869482,0.17835671324813956,0.06112224442773322,0.05007824718297614,0.01603206411219232,0.030567685522777978,0.024948024896157953,0.008896797137194311,0.006872852210058927,0.006430868156863556,0.001930501926775093,0.0,0.0029850746179550013,0.0,0.00295857987290361,0.0,0.0,0.002967359041639884,0.003636363623140496,0.0,0.0,0.0,0.007042253471533426,0.0,0.0,0.0035335688921075306,0.00392156861207228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00236966824083017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,63.63220739364624,135.77965092658997,208.60464644432068,267.1795508861542,304.1478295326233,358.9987027645111,385.07210993766785,411.7665665149689,441.85409212112427,457.84697222709656,492.10434651374817,520.1384909152985,534.4905209541321,552.7990102767944,561.9550070762634,580.6291782855988,604.1830570697784,618.3645126819611,636.9349348545074,652.2778403759003,671.3604717254639,696.2160167694092,705.7004466056824,715.0761358737946,750.2752718925476,764.9453408718109,780.499743938446,794.8510682582855,809.8472797870636,824.3979878425598,843.5566220283508,866.35089635849,884.4870932102203,902.4072713851929,916.2997200489044,938.990968465805,956.4649615287781,965.314537525177,983.8250548839569,1001.9825065135956,1020.4060122966766,1039.0983250141144,1058.6255469322205,1077.4198853969574,1092.295931816101,1111.5757014751434,1140.4324193000793
total minutes,0.0,1.060536789894104,2.262994182109833,3.4767441074053447,4.452992514769236,5.069130492210388,5.983311712741852,6.4178684989611305,6.862776108582815,7.364234868685404,7.630782870451609,8.20173910856247,8.668974848588308,8.908175349235535,9.213316837946573,9.36591678460439,9.677152971426645,10.06971761782964,10.306075211366018,10.615582247575125,10.871297339598337,11.189341195424397,11.603600279490154,11.761674110094706,11.917935597896577,12.504587864875793,12.749089014530181,13.008329065640767,13.247517804304758,13.497454663117727,13.739966464042663,14.059277033805847,14.439181605974833,14.741451553503673,15.040121189753215,15.271662000815073,15.649849474430084,15.941082692146301,16.088575625419615,16.397084248065948,16.69970844189326,17.006766871611276,17.318305416901907,17.64375911553701,17.95699808994929,18.20493219693502,18.52626169125239,19.007206988334655
cummulative feedback,0.0,134.0,275.0,453.0,514.0,546.0,562.0,576.0,588.0,593.0,595.0,599.0,600.0,600.0,601.0,601.0,602.0,602.0,602.0,603.0,604.0,604.0,604.0,604.0,605.0,605.0,605.0,606.0,607.0,607.0,607.0,607.0,607.0,607.0,607.0,607.0,608.0,608.0,608.0,608.0,608.0,608.0,608.0,608.0,608.0,608.0,608.0,608.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
