,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Accumulated time steps,0.0,1000.0,1999.0,2998.0,3997.0,4996.0,5995.0,6994.0,7993.0,8992.0,9991.0,10990.0,11989.0,12988.0,13987.0,14685.0,15684.0,16683.0,17343.0,17846.0,18209.0,18794.0,19528.0
Episode reward,0.0,-68.74212744006827,-36.62444059546887,-46.144292705725846,-61.84579871146403,-59.78243351115283,-66.79264563808795,-61.63146004644997,-59.82914858289023,-72.33005484167951,-57.18512313219792,-37.37044775453947,-53.98859524582864,-64.20752896928582,-76.79550863972723,71.62514353298373,-56.73201135688954,-66.57107083650706,86.96229495639056,74.15662711223882,76.70552584957441,67.99424507773077,48.310561370327115
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,40.85375618934631,83.52814388275146,126.78848028182983,169.6986165046692,211.92338013648987,255.20964193344116,298.0054316520691,340.03527092933655,383.3279275894165,426.5098304748535,469.2426133155823,511.5288100242615,554.3770434856415,596.6798722743988,626.1528127193451,668.3670418262482,709.4594693183899,737.1249313354492,758.5731394290924,774.6054193973541,799.5447118282318,830.0668318271637
total minutes,0.0,0.6808959364891052,1.392135731379191,2.113141338030497,2.8283102750778197,3.5320563356081647,4.25349403222402,4.9667571942011515,5.667254515488943,6.388798793156941,7.108497174580892,7.8207102219263716,8.525480167071025,9.239617391427357,9.944664537906647,10.435880211989085,11.139450697104136,11.824324488639832,12.285415522257487,12.64288565715154,12.910090323289236,13.325745197137197,13.834447197119395
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
