,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Accumulated time steps,0.0,1000.0,1417.0,1758.0,2178.0,2628.0,3163.0,3578.0,4025.0,4355.0,5192.0,6191.0,6951.0,7950.0,8627.0,9514.0,10513.0,11512.0,12511.0,13410.0,14409.0,15408.0,16407.0,17406.0,18405.0,19404.0
Episode reward,0.0,-20.145218917315304,88.74079821405068,88.32759201418291,85.98605815133092,69.348703623853,71.03255314895857,78.39889637155284,92.68803883748198,81.17844873004245,85.11973561921576,-39.36874349915127,67.17703725078809,-14.17216434718521,76.65301212159233,75.16642258192158,-17.827655841382892,-51.58737387364004,-46.06994511357367,66.45721068189044,-14.69611098155829,-40.52905217312776,-37.45298508999877,-32.530171780134594,-44.26722088520641,-25.521301123858894
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,42.019625425338745,60.70820951461792,76.29723906517029,96.13270258903503,116.5541353225708,140.80658340454102,159.37572836875916,180.00214886665344,195.2694821357727,232.41295433044434,276.73531007766724,310.6463747024536,354.5830912590027,384.96042919158936,424.4449017047882,468.60222125053406,512.6751689910889,556.5109086036682,596.3435728549957,640.2268915176392,683.9646167755127,728.1636283397675,772.3219709396362,815.1846311092377,856.7493937015533
total minutes,0.0,0.7003270904223124,1.0118034919102987,1.2716206510861714,1.6022117098172506,1.9425689220428466,2.3467763900756835,2.656262139479319,3.000035814444224,3.254491368929545,3.873549238840739,4.612255167961121,5.177439578374227,5.909718187650045,6.4160071531931555,7.074081695079803,7.810037020842234,8.544586149851481,9.275181810061136,9.939059547583263,10.670448191960652,11.399410279591878,12.136060472329458,12.872032848993937,13.586410518487295,14.279156561692556
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
