,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
Accumulated time steps,0.0,1000.0,1999.0,2998.0,3997.0,4996.0,5995.0,6856.0,7556.0,7997.0,8347.0,8591.0,8843.0,9239.0,9684.0,9939.0,10546.0,10881.0,11307.0,11915.0,12251.0,12508.0,12855.0,13015.0,13263.0,13508.0,13709.0,13949.0,14377.0,14533.0,14797.0,15047.0,15212.0,15456.0,15714.0,15991.0,16141.0,16382.0,16776.0,17038.0,17216.0,17464.0,17879.0,18244.0,18590.0,18740.0,18990.0,19232.0,19496.0,19765.0
Episode reward,0.0,-80.55483083556143,-52.19809312322813,-79.7706473125155,-55.555672872524504,-45.51912673078918,-48.18218454198195,59.50474689726867,65.33910907100719,76.11211348868164,82.6031935956057,87.195963341621,86.04531997549901,76.9820997317178,76.07946194225698,86.75949219462461,68.25247129100568,81.07666953441921,76.9862279095147,70.45408821035187,81.77893405411714,84.56568378351488,80.49623663152329,90.08702799357152,86.09109881620296,88.19451549684644,85.84435073546939,87.08784851649362,76.48890124411454,90.4757289333651,85.21792059780144,84.59074870963018,89.97121956788816,86.3229585318234,86.54157293828246,83.88406759001299,91.77040983212025,86.37496679188898,74.46464069055838,86.42362334693239,89.02718719003731,85.90262242159689,76.38279422883527,79.53685872504619,80.09488373614225,91.28687373049885,85.9121159867474,85.36345627116214,85.58874236660381,84.77475575683137
Episode feedback,0.8,0.16633266516399534,0.1943887773603319,0.1392785569746708,0.07715430853992554,0.0951903806661419,0.05310621237163706,0.01860465114115738,0.027181688087007598,0.011363636337809917,0.014326647523419347,0.0,0.003984063729147156,0.0050632911264220475,0.004504504494359224,0.003937007858515717,0.0016501650137786055,0.0,0.0,0.0,0.0029850746179550013,0.003906249984741211,0.005780346804103044,0.0,0.0,0.00819672127788229,0.004999999975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027472527397053494,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,68.64298391342163,141.70116090774536,206.59494853019714,265.3916721343994,325.9910316467285,382.47156620025635,431.14252638816833,471.17324447631836,496.60973072052,517.0515835285187,530.9155230522156,545.4210631847382,566.90021276474,591.5051755905151,605.4489872455597,637.6698954105377,655.6663510799408,678.8611817359924,710.8435034751892,729.1406569480896,743.0746238231659,762.0013811588287,771.2145071029663,784.9334244728088,798.4839861392975,809.7454071044922,822.9814846515656,846.0841197967529,855.1753180027008,869.7329258918762,883.5485534667969,893.044928073883,906.3243803977966,920.5136680603027,935.6672670841217,944.3684868812561,957.850001335144,978.8151860237122,993.4816498756409,1003.587824344635,1017.3371391296387,1039.5245385169983,1059.4699099063873,1078.0799753665924,1086.6748435497284,1100.3536956310272,1113.781517982483,1128.2886490821838,1142.747266292572
total minutes,0.0,1.1440497318903604,2.3616860151290893,3.4432491421699525,4.423194535573324,5.433183860778809,6.3745261033376055,7.185708773136139,7.852887407938639,8.276828845342001,8.617526392141977,8.84859205087026,9.090351053078969,9.448336879412333,9.858419593175253,10.090816454092662,10.627831590175628,10.927772517999014,11.314353028933207,11.847391724586487,12.15234428246816,12.384577063719432,12.700023019313813,12.853575118382771,13.08222374121348,13.308066435654958,13.49575678507487,13.716358077526092,14.101401996612548,14.25292196671168,14.495548764864603,14.725809224446614,14.884082134564718,15.105406339963277,15.341894467671713,15.594454451402028,15.739474781354268,15.964166688919068,16.313586433728535,16.55802749792735,16.72646373907725,16.955618985493977,17.325408975283306,17.657831831773123,17.967999589443206,18.111247392495475,18.33922826051712,18.56302529970805,18.804810818036398,19.045787771542866
cummulative feedback,0.0,166.0,360.0,499.0,576.0,671.0,724.0,740.0,759.0,764.0,769.0,769.0,770.0,772.0,774.0,775.0,776.0,776.0,776.0,776.0,777.0,778.0,780.0,780.0,780.0,782.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,783.0,784.0,784.0,784.0,784.0,784.0,784.0,784.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
