,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87
Accumulated time steps,0.0,866.0,1232.0,1494.0,1758.0,2105.0,2350.0,2610.0,2761.0,2918.0,3079.0,3369.0,3618.0,3980.0,4244.0,4506.0,4754.0,4916.0,5113.0,5260.0,5409.0,5563.0,5838.0,5998.0,6269.0,6619.0,6876.0,7073.0,7229.0,7584.0,7738.0,8002.0,8391.0,8549.0,8701.0,9008.0,9164.0,9317.0,9578.0,9732.0,9999.0,10337.0,10493.0,10765.0,11039.0,11282.0,11549.0,11709.0,11858.0,12128.0,12397.0,12564.0,12734.0,12993.0,13306.0,13466.0,13623.0,13902.0,14062.0,14318.0,14576.0,14832.0,14986.0,15161.0,15320.0,15474.0,15734.0,15923.0,16084.0,16244.0,16398.0,16658.0,16817.0,16974.0,17149.0,17301.0,17456.0,17833.0,17989.0,18260.0,18409.0,18561.0,18821.0,18992.0,19268.0,19434.0,19616.0,19899.0
Episode reward,0.0,60.06820722477887,81.66546800333461,85.5369748729769,85.66376599725774,81.63774122546127,86.26084093860179,85.31816671500943,91.92071755128963,91.09949236073822,90.58484507168062,81.97729695872782,86.48614402994163,78.4571357410885,83.78715151245318,84.75999095129849,84.9431593900635,90.14124499249974,87.1775188010937,91.38085123189077,91.34076196088625,90.62925449896198,83.30685547706383,90.73837155506378,84.24932983057968,79.15461291282205,85.06065110859193,86.20730085755497,90.29319391463292,77.03636023551267,90.71695134077143,84.06703091698412,77.55433688980483,90.70967718322228,90.91723685875911,83.03405239946468,90.18436240410844,90.1799816924687,84.01996266023212,90.5490561590054,84.25303585255736,76.93547339418096,90.3872159866165,83.26201102202708,85.04734285839103,84.02984963855138,84.38512547330706,89.66339709209329,91.17920140090854,83.7482894359209,84.53100129785852,89.183562263773,88.0894581231681,84.78663089657874,79.68813524273136,89.88975641538892,90.29693199788198,82.97756306301619,89.50612030883384,84.3434455811086,84.32987204042183,84.11113962028044,90.12611001580385,88.66030336193693,90.68976913279874,90.83027793208991,83.78346133246765,85.94991359816574,89.63942794838859,90.97788744809088,90.20857164419135,83.41537039097616,89.63942671486262,90.25480744692159,88.6785355483301,90.52585600806553,90.55804987697573,75.0234566991988,90.13133587270934,82.2943847251423,90.75565717003583,90.4711419300301,82.82479029714361,89.6535535916413,84.19717141468637,89.59730864078593,87.82602517528176,81.64901595060279
Episode feedback,0.8,0.30787037001403894,0.15616438313379621,0.13793103395428724,0.13688212875710218,0.11271676268000935,0.10245901597352862,0.08108108076802671,0.12666666582222222,0.05128205095332019,0.0562499996484375,0.04844290640677195,0.07258064486862643,0.052631578801574576,0.03802281354363949,0.026819923268889184,0.016194331918241572,0.037267080513869066,0.06632653027384423,0.013698630043160069,0.01351351342220599,0.019607843009099065,0.010948905069529544,0.006289308136545232,0.022222222139917695,0.00859598851405161,0.015624999938964844,0.0,0.0,0.01129943499632928,0.0,0.0038022813543639494,0.010309278323945159,0.0,0.0,0.0,0.0064516128616024975,0.006578947325138505,0.007692307662721894,0.0,0.007518796964215049,0.0,0.0064516128616024975,0.0036900368867526317,0.0,0.0,0.007518796964215049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,77.966233253479,103.8263087272644,121.86115407943726,140.44389152526855,163.04583930969238,179.74250268936157,197.24453139305115,208.5188271999359,219.15642523765564,229.75519728660583,247.53528380393982,264.00771594047546,286.3425543308258,302.3471055030823,317.80282950401306,332.1112208366394,342.13218784332275,354.6225197315216,363.3573591709137,372.1631352901459,381.51439452171326,396.9216847419739,406.30397629737854,421.9291341304779,441.24673295021057,455.81544613838196,466.8666009902954,475.80181884765625,495.373615026474,504.3780896663666,518.87451338768,540.2550182342529,549.1649394035339,558.0811200141907,574.8730928897858,583.9614322185516,592.9084746837616,607.7326428890228,616.7135572433472,631.4827070236206,649.7829236984253,658.8880522251129,673.7717418670654,688.8599851131439,702.274824142456,716.9843556880951,726.2042586803436,735.0311164855957,750.1624972820282,764.858964920044,774.5364563465118,784.6306130886078,799.0061326026917,815.966668844223,825.0799789428711,833.993665933609,849.512353181839,858.7631983757019,872.8065767288208,886.8631780147552,900.9540791511536,909.8741185665131,919.6591141223907,928.6740546226501,937.7850894927979,952.1822173595428,963.1360595226288,972.4219448566437,982.0245270729065,990.9160072803497,1006.4084007740021,1016.7717905044556,1026.5480060577393,1037.6078307628632,1047.2805578708649,1057.0230431556702,1078.445098400116,1087.56272315979,1103.2059442996979,1112.1338064670563,1121.1849870681763,1135.5504324436188,1145.668692111969,1161.023238658905,1170.7748322486877,1181.1318190097809,1196.691155910492
total minutes,0.0,1.2994372208913167,1.73043847878774,2.0310192346572875,2.3407315254211425,2.71743065516154,2.995708378156026,3.2874088565508526,3.4753137866655988,3.652607087294261,3.829253288110097,4.125588063398997,4.400128599007925,4.772375905513764,5.039118425051371,5.296713825066885,5.5351870139439905,5.7022031307220455,5.910375328858693,6.055955986181895,6.202718921502432,6.358573242028554,6.615361412366231,6.7717329382896425,7.032152235507965,7.354112215836843,7.596924102306366,7.781110016504924,7.930030314127604,8.2562269171079,8.406301494439443,8.647908556461335,9.004250303904216,9.1527489900589,9.30135200023651,9.581218214829763,9.732690536975861,9.881807911396027,10.128877381483713,10.27855928738912,10.52471178372701,10.829715394973755,10.981467537085216,11.229529031117757,11.480999751885731,11.704580402374267,11.94973926146825,12.10340431133906,12.250518608093262,12.502708288033803,12.747649415334065,12.90894093910853,13.07717688481013,13.316768876711528,13.59944448073705,13.751332982381184,13.899894432226818,14.158539219697316,14.312719972928365,14.54677627881368,14.781052966912588,15.015901319185893,15.164568642775217,15.327651902039845,15.477900910377503,15.629751491546632,15.869703622659047,16.05226765871048,16.207032414277396,16.367075451215108,16.515266788005828,16.773473346233366,16.946196508407592,17.109133434295654,17.293463846047718,17.454675964514415,17.61705071926117,17.974084973335266,18.126045385996502,18.386765738328297,18.535563441117606,18.68641645113627,18.92584054072698,19.09447820186615,19.350387310981752,19.512913870811463,19.68553031682968,19.9448525985082
cummulative feedback,0.0,266.0,323.0,359.0,395.0,434.0,459.0,480.0,499.0,507.0,516.0,530.0,548.0,567.0,577.0,584.0,588.0,594.0,607.0,609.0,611.0,614.0,617.0,618.0,624.0,627.0,631.0,631.0,631.0,635.0,635.0,636.0,640.0,640.0,640.0,640.0,641.0,642.0,644.0,644.0,646.0,646.0,647.0,648.0,648.0,648.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
