,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
Accumulated time steps,0.0,51.0,105.0,147.0,203.0,327.0,393.0,434.0,492.0,704.0,798.0,874.0,1045.0,1116.0,1282.0,1356.0,1431.0,1487.0,1564.0,1618.0,1905.0,2188.0,2466.0,2580.0,2668.0,2739.0,2885.0,3711.0,4068.0,4352.0,4511.0,4993.0,5171.0,6444.0,7714.0,7935.0,8294.0
Episode reward,0.0,300.7809999649498,287.8723169944028,210.5106702300078,281.90979078419525,982.2464191142667,322.8995855904263,201.42087456356134,313.46091155269943,1694.6825120003023,418.49264254313806,449.0977638442624,1216.061650500419,315.1148601743072,1241.1892131834895,347.35484105497807,385.59119806405994,290.3865404272323,387.65826133571903,257.19858533019766,2140.436370337804,1955.620159632996,2038.2996208531424,501.005316764868,460.78837948273105,324.6935614061047,1123.4705730501705,7381.369125543582,2565.496468137722,1528.3107440334986,657.2745934321589,4058.749146312229,685.4135261618501,1184.832708141845,849.3112553836064,1276.195435690396,1239.764525652327
Episode feedback,0.8,0.5510203969179511,0.5660377251690996,0.7804877858417614,0.5272727176859506,0.4308943054398837,0.46153845443786995,0.6999999825000005,0.49122806155740245,0.587677722333281,0.4838709625390219,0.4133333278222223,0.35882352730103806,0.39999999428571437,0.3272727252892562,0.4383561583786828,0.29729729327976634,0.2727272677685951,0.34210525865650976,0.2075471658953365,0.3321678310064062,0.2907801408128364,0.2779783383466486,0.2566371658704676,0.20689654934601667,0.15714285489795923,0.2344827570035672,0.12606060590780532,0.12359550527079914,0.15547703125273135,0.10759493602788016,0.08108108091251334,0.062146892304254846,0.05147058804606402,0.018587360525697545,0.013636363574380165,0.01675977648949783
total seconds,0.0,13.756727933883667,30.68772554397583,45.164472818374634,62.05082941055298,86.91905784606934,102.82086372375488,114.65617084503174,129.57947659492493,176.77579998970032,198.54239082336426,216.37040638923645,250.73008966445923,267.65252208709717,283.40478706359863,301.25689721107483,318.6426110267639,332.189745426178,355.07002210617065,371.48942017555237,436.8085277080536,491.07720375061035,543.4994733333588,567.6662871837616,587.009105682373,603.3757972717285,628.9059910774231,777.2627894878387,843.8902966976166,897.150533914566,928.7868912220001,961.4404327869415,995.2576880455017,1226.9903242588043,1449.185842514038,1489.9729290008545,1554.9573085308075
total minutes,0.0,0.2292787988980611,0.5114620923995972,0.7527412136395772,1.0341804901758829,1.4486509641011556,1.7136810620625813,1.910936180750529,2.1596579432487486,2.946263333161672,3.309039847056071,3.6061734398206076,4.178834827740987,4.460875368118286,4.723413117726644,5.020948286851247,5.310710183779398,5.5364957571029665,5.917833701769511,6.191490336259206,7.28014212846756,8.184620062510172,9.058324555555979,9.461104786396026,9.783485094706217,10.056263287862143,10.481766517957052,12.954379824797313,14.06483827829361,14.9525088985761,15.479781520366668,16.02400721311569,16.587628134091695,20.44983873764674,24.15309737523397,24.832882150014242,25.915955142180124
cummulative feedback,0.0,27.0,57.0,89.0,118.0,171.0,201.0,229.0,257.0,381.0,426.0,457.0,518.0,546.0,600.0,632.0,654.0,669.0,695.0,706.0,801.0,883.0,960.0,989.0,1007.0,1018.0,1052.0,1156.0,1200.0,1244.0,1261.0,1300.0,1311.0,1325.0,1330.0,1333.0,1339.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tau,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045
