,0,1
Accumulated time steps,0.0,43.0
Episode reward,0.0,205.6567164022003
Episode feedback,0.8,0.7317072992266512
total seconds,0.0,12.66904354095459
total minutes,0.0,0.2111507256825765
cummulative feedback,0.0,30.0
e,1.0,1.0
buffer size,10000.0,10000.0
human model,0.0,0.0
tau,0.00045,0.00045
