,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155
Accumulated time steps,0.0,44.0,98.0,148.0,201.0,246.0,295.0,352.0,406.0,456.0,512.0,801.0,905.0,978.0,1039.0,1105.0,1170.0,1232.0,1289.0,1348.0,1399.0,1447.0,1503.0,1560.0,1619.0,1683.0,1740.0,1799.0,1857.0,1913.0,1966.0,2019.0,2081.0,2134.0,2189.0,2239.0,2291.0,2342.0,2394.0,2448.0,2502.0,2555.0,2608.0,2657.0,2711.0,2769.0,2820.0,2875.0,3453.0,3545.0,3606.0,3677.0,4204.0,4311.0,4375.0,4443.0,4505.0,4566.0,4626.0,4683.0,4744.0,4801.0,4869.0,4934.0,4997.0,5064.0,5135.0,5211.0,5276.0,5543.0,5659.0,5721.0,5777.0,5842.0,5904.0,5965.0,6025.0,6085.0,6149.0,6646.0,7077.0,7232.0,7299.0,7382.0,7452.0,7520.0,7590.0,7654.0,7723.0,7785.0,8698.0,9220.0,9333.0,9403.0,9856.0,10271.0,10464.0,10545.0,10626.0,10705.0,10779.0,10855.0,10942.0,11023.0,11095.0,11174.0,11246.0,11738.0,12227.0,12770.0,12999.0,13086.0,13162.0,13634.0,13874.0,13964.0,14037.0,14116.0,14195.0,14269.0,14341.0,14411.0,14483.0,14556.0,14624.0,14983.0,15327.0,15951.0,16176.0,16270.0,16353.0,16431.0,17160.0,17296.0,17879.0,18498.0,18627.0,18714.0,18784.0,18851.0,18922.0,18997.0,19079.0,19768.0,19915.0,20500.0,21172.0,21939.0,22192.0,22287.0,22859.0,24729.0,25033.0,25784.0,28142.0,28373.0
Episode reward,0.0,244.28231884232684,300.97425352573174,261.92789929967046,308.09746453366324,229.27120772184543,283.493804492286,275.80626077299905,292.6527956415012,259.57080788558994,314.19273896234694,2232.0875038937247,437.54434191503816,362.6719861798997,309.0762399763462,372.14757070237766,318.08811967385293,328.71355834638996,292.5836715987373,306.9813942528579,259.2101176723985,245.3478356153564,306.1751599784086,306.59375478496816,321.136112681273,358.38487785131554,283.7483805963856,334.05236233960625,308.6351997844548,304.0131183531274,284.3053245388092,271.1357215845936,360.9150298711869,268.18627456419887,293.89077385441243,264.04044617128625,259.46230419133923,280.32639460183475,261.07065373377145,287.6488686691913,295.8387267038992,273.50828385753454,287.51944973526685,254.95984810911634,308.1346293326385,319.8783901624019,264.6652055218141,285.0078475241862,4651.319898152649,452.8758367223357,316.2871110439805,385.0868338675709,4454.383370771982,441.1112642466943,318.3494266751929,367.1650949504916,323.39882442462016,306.12039509797455,309.9264869328364,291.70143235186805,313.9238737099932,286.8733805075886,376.8929724900364,328.4648267714031,332.22080048172074,354.74028281393316,369.33098099802714,406.04497432296614,336.7994489261902,2136.0441682008554,429.69540041905253,311.96459061871775,284.93613153055213,355.36907154015626,309.1041833400733,314.7858432497336,299.2413542685619,323.9015656820926,326.14483928836944,3787.3721994195416,3165.440097371313,578.7071654567055,330.3033142730642,453.9158008447148,367.2458263157347,366.2625707330559,370.12440180429064,338.0210434010823,352.24087873314085,337.9169494566842,8107.47365936169,3984.741155550278,455.96138899330043,346.191039405159,3758.61938698392,3042.3619238994092,672.0687021912481,401.51426877908165,438.91059724136505,413.22390362320635,385.05850750498996,403.45669566469405,476.5327293890937,444.19793364291456,374.92106955720527,402.7721213156531,372.96706353179377,3783.0391843711923,3943.757902086784,3800.422765851719,702.2673605801625,476.0818538887941,398.5770334301594,3687.255834036774,723.3093083233614,438.2292764841037,374.73942888051613,420.3893538885059,401.262042344612,379.22625983773565,362.20838386974214,369.1635708755591,359.3897118449152,394.5440939135525,344.4495315616154,2723.7678046688948,2571.1320796055697,5302.528499066183,788.31782381422,459.804475137659,451.2380473970322,397.9138674020246,5610.358735997403,592.5363721961093,4469.248661053938,4280.76730054931,595.5664529141067,439.8520309765078,356.30355799065325,334.83645806615294,368.6034189720331,403.10811277861035,440.5459951015212,5316.342429795958,735.9469006925174,4592.477139544233,4800.682179374572,4774.457889133749,582.994512224149,532.8467121214192,4958.2956453483885,5626.789083550362,1159.1021279817812,5382.160142370067,1562.1625415239803,1118.7969771484563
Episode feedback,0.8,0.833333313492064,0.6037735735137062,0.7142856997084551,0.8269230610207104,0.7272727107438021,0.812499983072917,0.8571428418367351,0.7547169668921327,0.7346938625572681,0.7636363497520664,0.6701388865620178,0.6310679550381753,0.6666666574074076,0.7666666538888891,0.784615372544379,0.6249999902343751,0.6885245788766463,0.624999988839286,0.6896551605231869,0.6599999868000003,0.7446808352195567,0.6363636247933887,0.6964285589923472,0.7068965395362666,0.6190476092214665,0.57142856122449,0.8103448136147446,0.7017543736534321,0.6545454426446283,0.7884615232988169,0.7307692167159766,0.6229508094598228,0.6923076789940831,0.55555554526749,0.5714285597667641,0.5882352825836219,0.6999999860000004,0.6078431253364094,0.6226414976860095,0.5660377251690996,0.538461528106509,0.6153846035502961,0.43749999088541686,0.47169810430758297,0.6315789362880888,0.6599999868000003,0.55555554526749,0.5181975727587563,0.48351647820311566,0.4999999916666668,0.4285714224489797,0.4239543718175772,0.4622641465824137,0.5714285623582768,0.4776119331699712,0.6229508094598228,0.5499999908333335,0.44067795863257697,0.5892857037627554,0.43333332611111125,0.4107142783801022,0.43283581443528635,0.453124992919922,0.43548386394380867,0.42424241781450883,0.5999999914285715,0.4133333278222223,0.3593749943847657,0.4962405996381932,0.5217391258979207,0.5245901553345876,0.4545454462809919,0.3437499946289064,0.40983605885514657,0.44999999250000017,0.3559321973570814,0.5423728721631716,0.3650793592844546,0.37298387021575835,0.34418604571119527,0.2792207774076573,0.3787878730486686,0.3902438976799525,0.31884057508926705,0.41791044152372475,0.347826081915564,0.4603174530108341,0.2941176427335641,0.3114754047299114,0.24671052604527355,0.2648752394148268,0.34821428260522963,0.36231883532871256,0.2654867250763568,0.2995169074890896,0.29166666514756945,0.21249999734375005,0.24999999687500005,0.2692307657790928,0.2191780791893414,0.17333333102222226,0.22093022998918338,0.18749999765625003,0.18309858897044243,0.2435897404667982,0.23943661634596317,0.24236252496463845,0.23770491754568665,0.1900369000183821,0.21052631486611265,0.19767441630611143,0.17333333102222226,0.22505307807844357,0.21757322084697397,0.17977527887892947,0.15277777565586423,0.1923076898422091,0.1923076898422091,0.16438355939200605,0.18309858897044243,0.15942028754463353,0.16901408212656224,0.12499999826388891,0.1194029832924928,0.18994413354764209,0.1778425650791762,0.16051364340206478,0.1919642848573023,0.18279569695918607,0.21951219244497328,0.14285714100185531,0.13461538443047338,0.14074073969821674,0.11855670082722217,0.13592232987714833,0.13281249896240235,0.1046511615738237,0.21739130119722752,0.12121211937557395,0.09999999857142859,0.10810810664718776,0.16049382517908858,0.11918604633839237,0.07534246523738038,0.10445205461566429,0.1102831592991309,0.08485639675606214,0.07936507905013858,0.06382978655500227,0.07530647972800966,0.06674338312227458,0.039603960265333464,0.06533333324622222,0.030812324843662958,0.03478260854442344
total seconds,0.0,13.238344192504883,26.250240325927734,36.29648399353027,47.19452166557312,57.16833138465881,67.22342729568481,78.83273530006409,89.49852848052979,99.47267985343933,110.55882549285889,162.0362515449524,181.11350989341736,194.8442656993866,206.81080102920532,219.65124678611755,231.8338131904602,243.65706205368042,254.51364588737488,265.9216012954712,275.7793617248535,285.3277807235718,296.07707142829895,307.10593152046204,318.5324230194092,330.6401016712189,341.4170506000519,353.099755525589,364.3639862537384,375.15367007255554,385.66934037208557,396.07062339782715,407.7789943218231,418.110511302948,428.5311894416809,438.1339509487152,448.1166982650757,458.11075806617737,468.13106775283813,478.4470467567444,488.73100423812866,498.74519085884094,508.9639148712158,518.1199200153351,528.0864753723145,539.1165425777435,549.0309324264526,559.4078693389893,657.5321655273438,673.9522981643677,685.2554037570953,697.9849224090576,785.5566594600677,804.3892097473145,816.3123409748077,828.8174574375153,840.536116361618,851.9901058673859,862.9319584369659,873.7763645648956,884.96302318573,895.3384776115417,907.5617909431458,919.3597939014435,930.8156433105469,942.9972569942474,956.307708978653,969.8105261325836,981.3408257961273,1027.080409526825,1047.6465315818787,1059.1139838695526,1069.4044840335846,1080.9493794441223,1092.1370832920074,1103.2655794620514,1114.0377359390259,1125.2371768951416,1136.6463828086853,1218.2798273563385,1288.5653173923492,1314.1170551776886,1326.0832068920135,1340.669970035553,1353.1409087181091,1365.562908411026,1377.909882068634,1389.63392329216,1401.7037937641144,1412.6233134269714,1558.701241493225,1642.0379331111908,1666.1271097660065,1681.152160167694,1760.818285703659,1833.300273656845,1866.4893414974213,1880.8129670619965,1896.1520030498505,1910.2867901325226,1922.9276978969574,1935.7540493011475,1951.0237653255463,1964.929974079132,1977.2418403625488,1990.8753769397736,2003.355818271637,2082.017143011093,2160.332419395447,2245.7890734672546,2286.530106782913,2301.5169932842255,2314.48255443573,2393.8343205451965,2437.851573228836,2453.8877704143524,2467.2978653907776,2482.0562257766724,2497.002904176712,2510.8008592128754,2524.628611087799,2537.5058267116547,2550.6132605075836,2563.543391227722,2576.0188052654266,2638.1553869247437,2696.3988542556763,2801.7145023345947,2841.689684867859,2857.9892065525055,2872.273273706436,2885.5524270534515,2998.207879781723,3020.2632298469543,3109.78400015831,3205.876073360443,3226.8286361694336,3241.1759843826294,3253.2644736766815,3264.623971223831,3276.550663948059,3289.1771836280823,3303.0217006206512,3409.613626241684,3433.1488406658173,3522.857428073883,3626.318139076233,3743.308842420578,3783.688934326172,3799.120379924774,3886.651591539383,4169.265093326569,4215.772441625595,4332.305541276932,4685.421240091324,4724.936217069626
total minutes,0.0,0.2206390698750814,0.4375040054321289,0.6049413998921712,0.7865753610928853,0.9528055230776469,1.1203904549280803,1.3138789216677347,1.491642141342163,1.6578779975573221,1.842647091547648,2.7006041924158732,3.0185584982236224,3.24740442832311,3.446846683820089,3.6608541131019594,3.86389688650767,4.060951034228007,4.2418940981229145,4.432026688257853,4.596322695414226,4.75546301205953,4.934617857138316,5.118432192007701,5.308873716990153,5.510668361186982,5.690284176667531,5.884995925426483,6.072733104228973,6.252561167875926,6.427822339534759,6.601177056630452,6.796316572030386,6.9685085217158,7.142186490694682,7.30223251581192,7.468611637751262,7.635179301102956,7.802184462547302,7.97411744594574,8.145516737302144,8.31241984764735,8.482731914520263,8.635332000255584,8.80144125620524,8.98527570962906,9.150515540440876,9.323464488983154,10.95886942545573,11.232538302739462,11.420923395951588,11.63308204015096,13.092610991001129,13.406486829121908,13.605205682913462,13.813624290625254,14.008935272693634,14.199835097789764,14.382199307282766,14.562939409414927,14.749383719762166,14.922307960192363,15.12602984905243,15.322663231690724,15.513594055175782,15.716620949904124,15.938461816310882,16.163508768876394,16.355680429935454,17.118006825447083,17.460775526364646,17.65189973115921,17.82340806722641,18.015822990735373,18.202284721533456,18.387759657700858,18.567295598983765,18.75395294825236,18.944106380144756,20.304663789272308,21.476088623205822,21.901950919628142,22.10138678153356,22.34449950059255,22.552348478635153,22.759381806850435,22.9651647011439,23.160565388202667,23.361729896068574,23.543721890449525,25.978354024887086,27.367298885186514,27.768785162766775,28.019202669461567,29.34697142839432,30.555004560947417,31.108155691623686,31.346882784366606,31.602533384164175,31.838113168875378,32.04879496494929,32.26256748835246,32.51706275542577,32.74883290131887,32.954030672709145,33.18125628232956,33.389263637860616,34.70028571685155,36.00554032325745,37.42981789112091,38.108835113048556,38.35861655473709,38.5747092405955,39.89723867575328,40.630859553813934,40.898129506905875,41.1216310898463,41.36760376294454,41.616715069611864,41.84668098688125,42.077143518129986,42.291763778527574,42.51022100845973,42.7257231871287,42.933646754423776,43.969256448745725,44.93998090426127,46.69524170557658,47.36149474779765,47.63315344254176,47.871221228440604,48.09254045089086,49.970131329695384,50.33772049744924,51.82973333597183,53.43126788934072,53.78047726949056,54.01959973971049,54.22107456127802,54.410399520397185,54.60917773246765,54.81961972713471,55.050361677010855,56.82689377069473,57.21914734443029,58.71429046789805,60.43863565127055,62.388480707009634,63.06148223876953,63.31867299874624,64.77752652565638,69.48775155544281,70.26287402709325,72.20509235461553,78.09035400152206,78.74893695116043
cummulative feedback,0.0,35.0,67.0,102.0,145.0,177.0,216.0,264.0,304.0,340.0,382.0,575.0,640.0,688.0,734.0,785.0,825.0,867.0,902.0,942.0,975.0,1010.0,1045.0,1084.0,1125.0,1164.0,1196.0,1243.0,1283.0,1319.0,1360.0,1398.0,1436.0,1472.0,1502.0,1530.0,1560.0,1595.0,1626.0,1659.0,1689.0,1717.0,1749.0,1770.0,1795.0,1831.0,1864.0,1894.0,2193.0,2237.0,2267.0,2297.0,2520.0,2569.0,2605.0,2637.0,2675.0,2708.0,2734.0,2767.0,2793.0,2816.0,2845.0,2874.0,2901.0,2929.0,2971.0,3002.0,3025.0,3157.0,3217.0,3249.0,3274.0,3296.0,3321.0,3348.0,3369.0,3401.0,3424.0,3609.0,3757.0,3800.0,3825.0,3857.0,3879.0,3907.0,3931.0,3960.0,3980.0,3999.0,4224.0,4362.0,4401.0,4426.0,4546.0,4670.0,4726.0,4743.0,4763.0,4784.0,4800.0,4813.0,4832.0,4847.0,4860.0,4879.0,4896.0,5015.0,5131.0,5234.0,5282.0,5299.0,5312.0,5418.0,5470.0,5486.0,5497.0,5512.0,5527.0,5539.0,5552.0,5563.0,5575.0,5584.0,5592.0,5660.0,5721.0,5821.0,5864.0,5881.0,5899.0,5910.0,6008.0,6027.0,6096.0,6180.0,6197.0,6206.0,6221.0,6229.0,6236.0,6244.0,6257.0,6339.0,6350.0,6411.0,6485.0,6550.0,6570.0,6576.0,6619.0,6677.0,6689.0,6738.0,6749.0,6757.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tau,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
