,0,1,2,3
Accumulated time steps,0.0,146.0,212.0,272.0
Episode reward,0.0,997.7207109730862,307.5906931830482,279.43318937727963
Episode feedback,0.8,0.56249999609375,0.5999999907692309,0.5084745676529735
total seconds,0.0,29.42423105239868,45.896960735321045,58.93476605415344
total minutes,0.0,0.49040385087331134,0.7649493455886841,0.9822461009025574
cummulative feedback,0.0,81.0,120.0,150.0
e,1.0,1.0,1.0,1.0
buffer size,10000.0,10000.0,10000.0,10000.0
human model,0.0,0.0,0.0,0.0
tau,0.00045,0.00045,0.00045,0.00045
