,0,1,2,3,4
Accumulated time steps,0.0,37.0,76.0,122.0,168.0
Episode reward,0.0,204.3586962871123,236.19718722836086,282.40311052306544,230.27018674344964
Episode feedback,0.8,0.3428571330612248,0.289473676592798,0.6666666518518523,0.622222208395062
total seconds,0.0,8.052698612213135,15.625227928161621,25.1753089427948,34.529335260391235
total minutes,0.0,0.13421164353688558,0.2604204654693604,0.4195884823799133,0.5754889210065206
cummulative feedback,0.0,12.0,23.0,53.0,81.0
e,1.0,1.0,1.0,1.0,1.0
buffer size,10000.0,10000.0,10000.0,10000.0,10000.0
human model,0.0,0.0,0.0,0.0,0.0
tau,0.00045,0.00045,0.00045,0.00045,0.00045
