,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
Accumulated time steps,0.0,88.0,269.0,359.0,435.0,495.0,559.0,607.0,678.0,751.0,1035.0,1110.0,1390.0,1458.0,1543.0,1627.0,1682.0,1764.0,1850.0,1916.0,1992.0,2054.0,2128.0,2213.0,2304.0,2377.0,2428.0,2483.0,2908.0,2973.0,3054.0,3142.0,3535.0,3669.0,4803.0,5364.0,5907.0,6050.0,7201.0,7673.0,9073.0,9172.0
Episode reward,0.0,366.40808590065996,1471.503860273378,448.2303682378822,435.82800708938424,283.5259864137024,338.20417053738623,265.4633615110522,379.2139347529062,453.4355272714507,2432.4864153549574,357.34808690052546,2531.512215328141,328.6097701417046,424.36939647332184,423.99345615843646,275.8109044471004,448.8926318533841,441.523506129196,375.31432512383907,364.48110701121334,372.20868454725024,342.99370983955356,502.493424174299,463.62859960377773,412.47688714116697,295.2208272191263,275.7595392138346,3877.526971535653,313.78443888420566,387.5532509903811,507.9302704050137,3406.7329242206474,631.7933358655707,602.1177536231382,4396.874300732052,3803.2404745380622,669.0622984268252,697.4739433458644,3861.3173798614657,2224.376767597814,462.36906806102
Episode feedback,0.8,0.744186037858302,0.4499999975,0.5168539267769222,0.5199999930666668,0.47457626314277523,0.41269840614764436,0.5106382870076961,0.44285713653061237,0.5277777704475309,0.42402826705290364,0.3783783732651571,0.3261648733829216,0.41791044152372475,0.3333333293650794,0.2530120451444332,0.29629629080932796,0.2839506137783875,0.2705882321107267,0.33846153325443795,0.23999999680000006,0.2622950776672938,0.28767122893601055,0.1666666646825397,0.26666666370370373,0.23611110783179018,0.2199999956000001,0.38888888168724295,0.18632075427754538,0.2343749963378907,0.19999999750000003,0.17241379112168057,0.18367346891920033,0.12781954791113123,0.10526315710328453,0.06785714273596939,0.07380073787121635,0.03521126735766713,0.05333333297777778,0.040339702674438,0.010025062631516134,0.0
total seconds,0.0,21.674232006072998,59.94734191894531,81.09959435462952,99.10254430770874,114.2673728466034,130.06511974334717,142.7621705532074,160.05990505218506,177.8907072544098,236.0474374294281,253.70812487602234,309.78885293006897,326.2237684726715,345.1464421749115,364.35838985443115,379.9885461330414,402.5082507133484,425.2108955383301,441.9673044681549,459.1970143318176,474.05742835998535,490.99279594421387,510.88529753685,532.8514127731323,551.3857312202454,566.5802414417267,581.5330069065094,664.2808184623718,679.5368413925171,696.5401101112366,719.5830619335175,813.9947743415833,842.4929971694946,1043.3691155910492,1143.5378046035767,1241.0689625740051,1269.7343392372131,1477.6406033039093,1574.8716695308685,1870.850991010666,1896.1148591041565
total minutes,0.0,0.3612372001012166,0.9991223653157552,1.351659905910492,1.6517090717951457,1.9044562141100565,2.167751995722453,2.3793695092201235,2.6676650842030845,2.96484512090683,3.934123957157135,4.2284687479337055,5.163147548834483,5.437062807877859,5.752440702915192,6.072639830907186,6.333142435550689,6.7084708452224735,7.086848258972168,7.366121741135915,7.65328357219696,7.900957139333089,8.183213265736898,8.5147549589475,8.880856879552205,9.189762187004089,9.443004024028777,9.692216781775157,11.071346974372863,11.325614023208619,11.609001835187277,11.99305103222529,13.566579572359721,14.04154995282491,17.38948525985082,19.05896341005961,20.68448270956675,21.162238987286887,24.62734338839849,26.247861158847808,31.180849850177765,31.60191431840261
cummulative feedback,0.0,64.0,145.0,191.0,230.0,258.0,284.0,308.0,339.0,377.0,497.0,525.0,616.0,644.0,672.0,693.0,709.0,732.0,755.0,777.0,795.0,811.0,832.0,846.0,870.0,887.0,898.0,919.0,998.0,1013.0,1029.0,1044.0,1116.0,1133.0,1147.0,1185.0,1225.0,1230.0,1238.0,1257.0,1261.0,1261.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tau,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045
