,0,1,2,3,4,5
Accumulated time steps,0.0,62.0,170.0,233.0,295.0,332.0
Episode reward,0.0,317.96429983269473,829.9689980074495,307.6821463746751,329.14419779949225,192.02110979364033
Episode feedback,0.8,0.8499999858333336,0.6074766298366671,0.6290322479188347,0.47540982827197004,0.6666666481481487
total seconds,0.0,16.540014266967773,44.306668519973755,60.39984941482544,75.48705196380615,85.86792874336243
total minutes,0.0,0.2756669044494629,0.7384444753328959,1.0066641569137573,1.2581175327301026,1.431132145722707
cummulative feedback,0.0,51.0,116.0,155.0,184.0,208.0
e,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0
tau,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045
