,0,1
Accumulated time steps,0.0,51.0
Episode reward,0.0,362.57387495975007
Episode feedback,0.8,0.6530612111620161
total seconds,0.0,12.013580560684204
total minutes,0.0,0.20022634267807007
cummulative feedback,0.0,32.0
e,1.0,1.0
buffer size,10000.0,10000.0
human model,0.0,0.0
tau,0.00045,0.00045
