,0,1,2,3
Accumulated time steps,0.0,54.0,109.0,163.0
Episode reward,0.0,120.36994542911148,131.06679692400883,126.2600152364767
Episode feedback,0.8,0.7692307544378701,0.6296296179698219,0.4905660284798863
total seconds,0.0,12.142603158950806,23.29711890220642,34.115137338638306
total minutes,0.0,0.20237671931584675,0.38828531503677366,0.5685856223106385
cummulative feedback,0.0,40.0,74.0,100.0
e,1.0,1.0,1.0,1.0
buffer size,10000.0,10000.0,10000.0,10000.0
human model,0.0,0.0,0.0,0.0
tau,0.0002,0.0002,0.0002,0.0002
