,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
Accumulated time steps,0.0,48.0,103.0,163.0,211.0,254.0,349.0,408.0,457.0,511.0,700.0,858.0,934.0,1001.0,1111.0,1193.0,1254.0,1308.0,1362.0,1414.0,1465.0,1524.0,1580.0,1630.0,2018.0,2271.0,2375.0,2452.0
Episode reward,0.0,253.38825080915854,318.2355210410571,313.3012791756245,237.0109006542712,215.41605418724305,626.7714857548693,313.20938225895407,264.9803614819094,281.1951908493151,1567.4421770129704,1007.8957090739601,371.7856535162615,326.73749197909734,696.6615388726863,375.181372157093,310.93305231645013,279.61069982555466,292.22952833389905,271.94727292444264,251.89219698160613,306.8255547763049,275.68678746630354,257.94151917457043,2992.7704875984396,1977.9239614404423,457.20506710376833,443.6061184558582
Episode feedback,0.8,0.5434782490548207,0.7037036906721539,0.593220328928469,0.40425531054775937,0.6904761740362816,0.6276595677908556,0.5172413703923902,0.43749999088541686,0.6037735735137062,0.5053191462483024,0.38216560266136557,0.4133333278222223,0.4545454476584023,0.33944953817018775,0.45679011781740597,0.44999999250000017,0.415094331790673,0.3207547109291564,0.33333332679738575,0.4199999916000002,0.31034482223543414,0.2909090856198348,0.3877550941274471,0.29715762197116896,0.3174603162005543,0.18446601762654352,0.1842105238919668
total seconds,0.0,12.294804573059082,28.30121088027954,45.92249035835266,57.836057901382446,68.47533082962036,88.99724674224854,102.7068772315979,114.48270201683044,127.29105401039124,163.90696096420288,194.60277605056763,211.00874376296997,226.08740282058716,236.65754771232605,255.89439272880554,270.55329728126526,283.82107067108154,297.04988622665405,309.2059369087219,321.6756637096405,335.13584542274475,348.06223130226135,359.33740520477295,431.1813280582428,481.4093282222748,503.6926691532135,520.8754947185516
total minutes,0.0,0.2049134095509847,0.47168684800465904,0.7653748393058777,0.9639342983563741,1.141255513827006,1.4832874457041423,1.7117812871932983,1.9080450336138408,2.121517566839854,2.7317826827367147,3.2433796008427938,3.5168123960494997,3.7681233803431193,3.944292461872101,4.264906545480092,4.509221621354421,4.730351177851359,4.950831437110901,5.153432281812032,5.361261061827341,5.585597423712413,5.801037188371023,5.988956753412882,7.18635546763738,8.023488803704579,8.394877819220225,8.681258245309193
cummulative feedback,0.0,25.0,63.0,98.0,117.0,146.0,205.0,235.0,256.0,288.0,383.0,443.0,474.0,504.0,541.0,578.0,605.0,627.0,644.0,661.0,682.0,700.0,716.0,735.0,850.0,930.0,949.0,963.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tau,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045
