,0,1,2
Accumulated time steps,0.0,50.0,103.0
Episode reward,0.0,267.25732355115946,262.6084282937028
Episode feedback,0.8,0.7083333185763893,0.6538461412721897
total seconds,0.0,11.65936279296875,23.347652435302734
total minutes,0.0,0.19432271321614583,0.3891275405883789
cummulative feedback,0.0,34.0,68.0
e,1.0,1.0,1.0
buffer size,10000.0,10000.0,10000.0
human model,0.0,0.0,0.0
tau,0.00045,0.00045,0.00045
