,0,1,2,3,4,5
Accumulated time steps,0.0,79.0,142.0,210.0,284.0,360.0
Episode reward,0.0,425.06915427009125,319.62416562416644,377.9648877478791,363.4512625123591,381.48462895338184
Episode feedback,0.8,0.7662337562826785,0.6774193439125913,0.7014925268433951,0.6849314974666918,0.5866666588444446
total seconds,0.0,14.174364805221558,27.129814863204956,40.769808292388916,56.73090434074402,71.18526887893677
total minutes,0.0,0.23623941342035928,0.4521635810534159,0.6794968048731486,0.9455150723457336,1.1864211479822795
cummulative feedback,0.0,59.0,101.0,148.0,198.0,242.0
e,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0
tau,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
