,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153
Episode,0.0,1.0,6.0,11.0,16.0,21.0,26.0,31.0,36.0,41.0,46.0,51.0,56.0,61.0,66.0,71.0,76.0,81.0,86.0,91.0,96.0,101.0,106.0,111.0,116.0,121.0,126.0,131.0,136.0,141.0,146.0,151.0,156.0,161.0,166.0,171.0,176.0,181.0,186.0,191.0,196.0,201.0,206.0,211.0,216.0,221.0,226.0,231.0,236.0,241.0,246.0,251.0,256.0,261.0,266.0,271.0,276.0,281.0,286.0,291.0,296.0,301.0,306.0,311.0,316.0,321.0,326.0,331.0,336.0,341.0,346.0,351.0,356.0,361.0,366.0,371.0,376.0,381.0,386.0,391.0,396.0,401.0,406.0,411.0,416.0,421.0,426.0,431.0,436.0,441.0,446.0,451.0,456.0,461.0,466.0,471.0,476.0,481.0,486.0,491.0,496.0,501.0,506.0,511.0,516.0,521.0,526.0,531.0,536.0,541.0,546.0,551.0,556.0,561.0,566.0,571.0,576.0,581.0,586.0,591.0,596.0,601.0,606.0,611.0,616.0,621.0,626.0,631.0,636.0,641.0,646.0,651.0,656.0,661.0,666.0,671.0,676.0,681.0,686.0,691.0,696.0,701.0,706.0,711.0,716.0,721.0,726.0,731.0,736.0,741.0,746.0,751.0,756.0,761.0
Accumulated time steps,0.0,67.0,407.0,1210.0,1812.0,2191.0,2539.0,2952.0,3285.0,3624.0,3953.0,4324.0,4635.0,4993.0,5310.0,5658.0,5978.0,6286.0,6645.0,6947.0,7242.0,7544.0,7884.0,8188.0,8473.0,8775.0,9069.0,9356.0,9707.0,10000.0,10294.0,10633.0,11005.0,11307.0,11609.0,11898.0,12317.0,12615.0,12945.0,13465.0,13806.0,14092.0,14422.0,14717.0,14997.0,15296.0,15583.0,15891.0,16195.0,16542.0,16836.0,17129.0,17418.0,17715.0,17998.0,18290.0,18578.0,18870.0,19159.0,19458.0,19728.0,20016.0,20302.0,20594.0,20864.0,21152.0,21435.0,21733.0,22054.0,22350.0,22716.0,23148.0,23454.0,23725.0,24029.0,24320.0,24603.0,24888.0,25182.0,25465.0,25752.0,26079.0,26357.0,26633.0,27320.0,27621.0,27922.0,28216.0,28504.0,28798.0,29091.0,29382.0,29659.0,29943.0,30239.0,30523.0,30809.0,31100.0,31401.0,31679.0,31963.0,32254.0,32542.0,32835.0,33116.0,33382.0,33660.0,33934.0,34213.0,34498.0,34782.0,35068.0,35346.0,35617.0,35900.0,36186.0,36469.0,36760.0,37042.0,37314.0,37580.0,37850.0,38146.0,38423.0,38708.0,38996.0,39283.0,39575.0,39869.0,40144.0,40496.0,41199.0,41642.0,42115.0,43018.0,43683.0,44599.0,45162.0,45882.0,46366.0,47500.0,48442.0,49233.0,49673.0,50365.0,51135.0,51888.0,52808.0,53972.0,55158.0,56235.0,56565.0,58380.0,59645.0
Episode reward,0.0,144.93868740128062,190.16910082134757,160.9048236496278,256.54951323413223,178.3247866917425,140.98041573603692,152.9513159044239,140.01651068806885,195.83664906406668,160.24993253093,168.96016949390005,120.41392593373037,142.81742354532116,148.40699637398836,133.5342880324771,133.67406736165168,129.79226896988314,151.3886127164273,133.75278813687635,187.6024541796075,124.70154676143187,216.62428384243248,173.45850797950666,123.35875342815615,174.43350998996047,178.9638218669992,154.29728502230034,160.23083057998252,125.45689785575289,168.06962095829374,173.83017669888412,173.15331398176227,185.8462452640924,192.5618672504321,114.38624256190347,127.36706928834255,187.52253191354197,144.5260188651238,178.13332967138973,189.640865068664,174.2011031231861,151.66772045335958,165.6131837201102,131.46745083447226,169.84489609499147,129.61873110710943,175.86466866431581,174.4097103040191,413.9694856902431,166.01396914592615,173.14492851928964,155.84959788664483,175.82054552445035,117.43550929327876,128.08547582389016,160.06530257311368,183.6613874034568,127.33325615866984,178.80776449563635,153.15309614242014,174.82808945387984,127.90916089412002,121.59229325142347,156.22359810418578,145.62935777502844,150.3515766639875,158.92281538124726,156.1895689288531,165.11644164849935,141.114924908707,173.1544542628738,180.35929041203548,176.26177877005932,182.77989104529746,165.76546861859904,157.8728333812882,186.28244819294628,157.91538071131737,167.50187647399696,168.63295499381724,281.9941594877029,111.85063131680187,119.40373003223117,185.28557226786964,188.14531746916245,136.28032656347773,185.7539458005082,162.97533509919825,147.37605011207143,180.34998261316514,128.89057076662408,136.6653143508777,173.3210742371376,182.19332382532698,183.8730396169637,172.19965064889436,170.79825375763156,157.17680383972393,118.3384403670779,147.05871453604334,176.11481078882343,155.1699188720901,143.74977348872162,179.35236923822714,133.24379747432891,127.51336671984137,162.37752261290228,124.46983458455782,160.70982587158187,129.30621244865767,177.62562692604402,146.75719058301078,134.27930546936005,126.93698771169986,174.79326358991506,155.18468415404377,137.8898733739744,151.6208706548477,121.88024438691824,155.8432309551812,163.22715269642202,189.11891189493488,144.441947228834,164.1624200758607,169.31461551279267,155.65172376628354,163.85750610721826,128.40645649682628,153.21075613821654,193.55625815623782,167.41266588518565,177.7934588461436,175.79209138408783,132.59318215659272,674.4839864875738,659.9802644450112,428.52257567439716,309.13902689115844,229.77969043778856,1162.1293516488217,264.23990795815973,1129.5061083305288,121.89810427799223,182.35418186555307,598.3865260687842,818.4310760226076,926.7105160573301,1731.104701434474,901.1133118735152,213.0617899374578,138.86208607829684,625.3054523998231,500.95148662328256
Episode feedback,0.8,0.7424242311753905,0.7761193914012031,0.7999999885714287,0.8775510114535612,0.7721518889601027,0.6231883967653856,0.799999987692308,0.6999999883333335,0.6617646961505192,0.6231883967653856,0.6941176388927337,0.6101694811835682,0.6093749904785158,0.720588224697232,0.6166666563888891,0.5254237199080726,0.6034482654577885,0.6438356076186903,0.41818181057851256,0.58730157797934,0.4999999907407409,0.6639344207874228,0.4426229435635583,0.6415094218583128,0.4999999916666668,0.5245901553345876,0.5535714186862247,0.32142856568877565,0.44444443621399193,0.40677965412237876,0.3666666605555557,0.44999999250000017,0.4062499936523439,0.49999999218750013,0.2199999956000001,0.781818167603306,0.26562499584960947,0.43636362842975224,0.2857142811791384,0.3650793592844546,0.37288134961218056,0.32142856568877565,0.43859648353339503,0.46296295438957497,0.44067795863257697,0.3269230706360948,0.2499999958333334,0.2833333286111112,0.5495495445986528,0.3050847405917841,0.09999999833333337,0.3157894681440444,0.3333333277777779,0.33999999320000013,0.35185184533607694,0.23728813157138762,0.27419354396462026,0.22641509006763982,0.3278688470841173,0.2363636320661158,0.2666666622222223,0.26415093841224646,0.2692307640532545,0.25454544991735545,0.43396225596297633,0.2727272677685951,0.32203389284688316,0.34545453917355384,0.24137930618311543,0.26315789012003704,0.44999999250000017,0.360655731792529,0.2622950776672938,0.12903225598335072,0.18644067480609028,0.17857142538265314,0.22580644797086374,0.26315789012003704,0.3559321973570814,0.1896551691438764,0.5106382924400181,0.41176469780853536,0.15999999680000007,0.3333333280423281,0.27419354396462026,0.2909090856198348,0.30158729680020163,0.3749999933035716,0.37037036351166,0.25806451196670144,0.37037036351166,0.2678571380739797,0.18333333027777785,0.23809523431594867,0.20967741597294492,0.32258063995837677,0.23333332944444451,0.32142856568877565,0.31999999360000014,0.16363636066115708,0.22950819295888208,0.2727272677685951,0.11475409647944104,0.17741935197710723,0.2363636320661158,0.13207546920612323,0.20689654815695607,0.26415093841224646,0.1929824527546938,0.2884615329142013,0.27419354396462026,0.0943396208615166,0.16363636066115708,0.2075471658953365,0.2499999958333334,0.24999999553571436,0.2727272677685951,0.14814814540466398,0.23529411303344877,0.25454544991735545,0.24999999553571436,0.22727272382920116,0.15094339337842655,0.21666666305555562,0.2711864360815858,0.18181817851239676,0.17543859341335802,0.26415093841224646,0.24999999553571436,0.4521739091115312,0.41935483194588985,0.4237288063774779,0.41935483194588985,0.5087719208987382,0.5141242908806537,0.5196629198885873,0.5230769190532545,0.4012738827944339,0.4615384583109199,0.4853556465047881,0.464566925475851,0.4108280241693375,0.6271186334386673,0.4843749924316408,0.4999999980314961,0.4686648488592238,0.46629213352165133,0.4585152828416697,0.45497630116124976,0.39130434215500953,0.4918032706261759,0.42962962803840876,0.4776119388728002
total seconds,0.0,3.997526168823242,18.128077268600464,70.15993475914001,110.16377711296082,133.762677192688,154.67429566383362,181.1921350955963,203.86968398094177,225.96873235702515,244.7668538093567,264.89071679115295,282.69779801368713,304.1711664199829,321.14570236206055,341.4664478302002,359.8002290725708,375.98957109451294,397.5830018520355,412.37577867507935,426.96337842941284,442.34056639671326,460.9691381454468,474.3811981678009,490.0768690109253,504.77678871154785,518.2023468017578,532.0127773284912,548.0486495494843,560.1681795120239,572.6716871261597,588.8033990859985,605.0235352516174,618.3070013523102,633.0751233100891,644.3542048931122,666.3588089942932,677.4216842651367,690.3560633659363,713.1866292953491,727.1846082210541,738.1477742195129,753.9157094955444,766.3989696502686,777.7711737155914,789.6854827404022,799.6734623908997,809.6650114059448,820.0774507522583,832.6741473674774,843.261045217514,852.1865389347076,861.6622219085693,871.5307083129883,882.5370593070984,892.2599899768829,900.0252594947815,909.2083702087402,918.7583456039429,929.864902973175,938.7259955406189,949.3120238780975,960.3067376613617,969.2788336277008,978.4940376281738,987.8574283123016,996.1218085289001,1004.4110655784607,1015.4401032924652,1024.5488307476044,1038.419352531433,1056.3395295143127,1066.912218093872,1077.0618979930878,1087.2063887119293,1094.96054148674,1103.5340411663055,1111.5138533115387,1121.9161522388458,1130.9239287376404,1140.6912937164307,1151.2063610553741,1161.1549887657166,1170.2024834156036,1198.6455352306366,1208.173024892807,1217.9034337997437,1228.6058478355408,1239.3598265647888,1252.011402606964,1260.4865262508392,1269.9193658828735,1278.3101353645325,1286.1836469173431,1295.549878358841,1304.6322855949402,1314.4272890090942,1322.4208717346191,1331.763013124466,1341.2127058506012,1348.7046308517456,1357.2163307666779,1365.1027886867523,1374.2489256858826,1383.341905117035,1391.5498597621918,1399.014689207077,1406.7533569335938,1415.0111801624298,1424.933422088623,1434.918565750122,1442.935613155365,1450.6729388237,1458.3246626853943,1467.8707723617554,1476.609177827835,1485.152484178543,1494.1361453533173,1501.8263850212097,1509.2975482940674,1516.4097986221313,1524.5700297355652,1534.063016653061,1542.0202765464783,1550.242431640625,1559.605036497116,1566.7713794708252,1574.3172752857208,1583.2635765075684,1590.3719446659088,1599.2047114372253,1620.8343605995178,1635.4445378780365,1648.5454337596893,1678.8409144878387,1702.3012344837189,1732.3354840278625,1750.5317454338074,1773.9203991889954,1791.5700433254242,1826.457664489746,1856.8244757652283,1882.083774805069,1899.0081753730774,1922.71506690979,1947.6022686958313,1971.745632648468,2003.1369426250458,2038.2547974586487,2074.245141506195,2105.2392525672913,2117.138479948044,2173.588494539261,2212.4560685157776
total minutes,0.0,0.06662543614705403,0.30213462114334105,1.169332245985667,1.8360629518826803,2.2293779532114666,2.57790492773056,3.0198689182599385,3.3978280663490295,3.7661455392837526,4.079447563489278,4.414845279852549,4.711629966894786,5.069519440333049,5.352428372701009,5.69110746383667,5.996670484542847,6.266492851575216,6.626383364200592,6.872929644584656,7.116056307156881,7.372342773278555,7.682818969090779,7.906353302796682,8.167947816848756,8.412946478525798,8.636705780029297,8.86687962214152,9.13414415915807,9.336136325200398,9.544528118769328,9.813389984766642,10.083725587526958,10.30511668920517,10.551252055168153,10.739236748218536,11.105980149904887,11.290361404418945,11.505934389432271,11.886443821589152,12.119743470350901,12.302462903658549,12.56526182492574,12.77331616083781,12.962852895259857,13.161424712340038,13.327891039848328,13.494416856765747,13.667957512537638,13.877902456124623,14.054350753625235,14.203108982245128,14.36103703180949,14.525511805216471,14.70895098845164,14.87099983294805,15.000420991579691,15.153472836812337,15.312639093399047,15.49774838288625,15.645433259010314,15.82186706463496,16.005112294356028,16.154647227128347,16.308233960469565,16.464290471871696,16.602030142148337,16.740184426307678,16.924001721541085,17.075813845793405,17.306989208857217,17.605658825238546,17.781870301564535,17.95103163321813,18.120106478532154,18.249342358112337,18.392234019438426,18.525230888525645,18.6986025373141,18.84873214562734,19.011521561940512,19.186772684256237,19.352583146095277,19.503374723593392,19.977425587177276,20.136217081546782,20.29839056332906,20.476764130592347,20.655997109413146,20.866856710116068,21.008108770847322,21.16532276471456,21.305168922742208,21.43639411528905,21.592497972647347,21.743871426582338,21.907121483484904,22.040347862243653,22.1960502187411,22.35354509751002,22.47841051419576,22.62027217944463,22.751713144779206,22.904148761431376,23.055698418617247,23.192497662703197,23.316911486784615,23.445889282226563,23.583519669373832,23.748890368143716,23.9153094291687,24.04892688592275,24.177882313728333,24.30541104475657,24.464512872695924,24.61015296379725,24.75254140297572,24.902269089221953,25.030439750353494,25.154959138234457,25.273496643702188,25.409500495592752,25.567716944217683,25.700337942441305,25.837373860677083,25.993417274951934,26.112856324513753,26.238621254762013,26.387726275126138,26.506199077765146,26.65341185728709,27.013906009991963,27.257408964633942,27.475757229328156,27.980681908130645,28.371687241395314,28.872258067131042,29.175529090563455,29.565339986483256,29.859500722090402,30.4409610748291,30.947074596087138,31.368062913417816,31.650136256217955,32.04525111516317,32.46003781159719,32.8624272108078,33.38561571041743,33.97091329097748,34.570752358436586,35.087320876121524,35.2856413324674,36.22647490898768,36.874267808596294
cummulative feedback,0.0,49.0,101.0,157.0,243.0,304.0,347.0,399.0,441.0,486.0,529.0,588.0,624.0,663.0,712.0,749.0,780.0,815.0,862.0,885.0,922.0,949.0,1030.0,1057.0,1091.0,1121.0,1153.0,1184.0,1202.0,1226.0,1250.0,1272.0,1299.0,1325.0,1357.0,1368.0,1411.0,1428.0,1452.0,1470.0,1493.0,1515.0,1533.0,1558.0,1583.0,1609.0,1626.0,1641.0,1658.0,1719.0,1737.0,1743.0,1761.0,1781.0,1798.0,1817.0,1831.0,1848.0,1860.0,1880.0,1893.0,1909.0,1923.0,1937.0,1951.0,1974.0,1989.0,2008.0,2027.0,2041.0,2056.0,2083.0,2105.0,2121.0,2129.0,2140.0,2150.0,2164.0,2179.0,2200.0,2211.0,2259.0,2280.0,2288.0,2309.0,2326.0,2342.0,2361.0,2382.0,2402.0,2418.0,2438.0,2453.0,2464.0,2479.0,2492.0,2512.0,2526.0,2544.0,2560.0,2569.0,2583.0,2598.0,2605.0,2616.0,2629.0,2636.0,2648.0,2662.0,2673.0,2688.0,2705.0,2710.0,2719.0,2730.0,2745.0,2759.0,2774.0,2782.0,2794.0,2808.0,2822.0,2837.0,2845.0,2858.0,2874.0,2884.0,2894.0,2908.0,2922.0,2974.0,3000.0,3025.0,3051.0,3080.0,3171.0,3356.0,3424.0,3487.0,3553.0,3669.0,3728.0,3857.0,3894.0,3925.0,4052.0,4224.0,4390.0,4600.0,4696.0,4723.0,4753.0,4869.0,5029.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
