,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159
Episode,0.0,1.0,6.0,11.0,16.0,21.0,26.0,31.0,36.0,41.0,46.0,51.0,56.0,61.0,66.0,71.0,76.0,81.0,86.0,91.0,96.0,101.0,106.0,111.0,116.0,121.0,126.0,131.0,136.0,141.0,146.0,151.0,156.0,161.0,166.0,171.0,176.0,181.0,186.0,191.0,196.0,201.0,206.0,211.0,216.0,221.0,226.0,231.0,236.0,241.0,246.0,251.0,256.0,261.0,266.0,271.0,276.0,281.0,286.0,291.0,296.0,301.0,306.0,311.0,316.0,321.0,326.0,331.0,336.0,341.0,346.0,351.0,356.0,361.0,366.0,371.0,376.0,381.0,386.0,391.0,396.0,401.0,406.0,411.0,416.0,421.0,426.0,431.0,436.0,441.0,446.0,451.0,456.0,461.0,466.0,471.0,476.0,481.0,486.0,491.0,496.0,501.0,506.0,511.0,516.0,521.0,526.0,531.0,536.0,541.0,546.0,551.0,556.0,561.0,566.0,571.0,576.0,581.0,586.0,591.0,596.0,601.0,606.0,611.0,616.0,621.0,626.0,631.0,636.0,641.0,646.0,651.0,656.0,661.0,666.0,671.0,676.0,681.0,686.0,691.0,696.0,701.0,706.0,711.0,716.0,721.0,726.0,731.0,736.0,741.0,746.0,751.0,756.0,761.0,766.0,771.0,776.0,781.0,786.0,791.0
Accumulated time steps,0.0,72.0,402.0,741.0,2318.0,2762.0,3263.0,3692.0,4020.0,4587.0,4962.0,5284.0,5665.0,5961.0,6292.0,6618.0,6915.0,7245.0,7681.0,8010.0,8342.0,8635.0,8939.0,9219.0,9517.0,9814.0,10108.0,10404.0,10694.0,10984.0,11259.0,11573.0,11859.0,12139.0,12423.0,12708.0,12991.0,13284.0,13563.0,13844.0,14139.0,14427.0,14722.0,15020.0,15305.0,15597.0,15885.0,16180.0,16467.0,16754.0,17044.0,17317.0,17610.0,17913.0,18200.0,18478.0,18759.0,19060.0,19344.0,19621.0,19917.0,20204.0,20490.0,20772.0,21051.0,21347.0,21634.0,21918.0,22207.0,22495.0,22781.0,23091.0,23380.0,23684.0,23959.0,24243.0,24668.0,25003.0,25350.0,25645.0,25949.0,26226.0,26522.0,26812.0,27094.0,27385.0,27663.0,27943.0,28226.0,28509.0,28797.0,29065.0,29348.0,29629.0,29920.0,30200.0,30489.0,30788.0,31067.0,31350.0,31629.0,31919.0,32598.0,32890.0,33183.0,33509.0,33802.0,34087.0,34362.0,34645.0,34932.0,35229.0,35517.0,35802.0,36090.0,36380.0,36659.0,36944.0,37226.0,37524.0,37808.0,38092.0,38373.0,38661.0,38941.0,39222.0,39506.0,39786.0,40199.0,41231.0,41600.0,41967.0,42490.0,43106.0,43655.0,44241.0,44743.0,45283.0,46261.0,46837.0,47786.0,48507.0,49005.0,49448.0,50249.0,50876.0,51509.0,52046.0,52537.0,53092.0,53824.0,54534.0,55334.0,55957.0,56665.0,57694.0,58680.0,59073.0,59703.0,60501.0
Episode reward,0.0,216.8893749573028,189.15801270935626,185.2169963681204,114.94806214843786,161.55923815804542,154.45514860447054,134.23392450728085,190.0124073197661,133.12700381371263,129.82152966203137,189.64514887411062,461.58657529412136,166.24121369086325,178.8975633205556,162.49022430960423,132.52440789383806,135.65997345358804,176.4915539712587,187.8248928409323,183.16083966100715,187.4981103799321,180.6375132681971,122.42258244547679,196.43282248231944,189.7971966918422,141.85890375697142,147.94365051278746,134.57176043451128,189.32656359081486,182.40883056752781,248.8671641347302,160.80917378666408,180.56029341352615,182.44242952014784,186.68935622025268,156.88674786582527,164.88503847073056,135.68749875827356,143.10152751128516,171.96075747983835,180.93990085713585,170.94496922749428,181.5408754839448,174.61411174606707,160.34033301343462,131.55386548142982,170.7092646402526,152.88915467098843,166.46673032374196,182.5227241143516,160.87880151859898,177.20913093875777,178.89196586335632,165.47592557145958,134.90352993658993,127.84831687550239,136.42235106727324,127.2434729325029,126.16580895528932,160.32619451824831,166.87240309144082,154.0380224428932,127.9438779686995,171.1644314137449,161.67784431719625,132.21813841641855,168.61758513640143,161.59174289368875,170.92129037305554,135.30819795689607,193.98090290491953,167.24753231100263,222.47625973896817,162.09637081640375,172.59302452699873,128.7421887814429,250.6413350494682,162.7305179757743,128.2126910938606,180.31471696599377,168.8182327462413,172.1689683439112,147.95694683073953,164.69534298483205,156.87790504981345,126.08762556140162,145.22937240035876,137.13666636986432,153.81976114324056,126.28587179290703,123.14569520513349,140.8974552376254,176.1650863171366,185.57097525567838,122.39887144149057,147.3511467781459,172.40986925909573,137.21295741339702,125.33551806278642,127.23160967190125,189.56774019324405,142.63219410306658,147.11426820148003,168.32691567955916,125.09443900691565,133.61511867191555,155.1144983021666,117.24193895442035,182.216280728186,170.59535563451018,158.70652945809178,127.27028046544314,127.6514223429872,133.68625979890498,177.5436267917294,134.10002003235746,164.37621427985647,141.34168384021515,124.62523035543704,163.45241736104026,161.45254167295445,161.07407667947356,121.30386369409379,174.74447318056738,134.30203826194375,164.481889882314,172.89062072447294,523.7205864651647,630.6046836475763,132.30610652626277,186.86446707567632,233.90132755966206,139.3453248424932,205.90554867812065,191.64403574428061,549.0921721094926,272.115025445602,199.98092084492436,219.25249811857495,649.9765582790787,139.32923150008787,218.49760717388844,276.9026250313509,224.90620695093887,196.88116410327504,180.90405929482463,478.124436251673,250.54413401589076,348.2206618909055,765.3193226670711,374.510480367468,682.8259377781014,176.51742271608384,318.74818608130107,656.3601273335985,1264.1132839261945,167.3910841588311,363.4720634118976,45.58646115175288
Episode feedback,0.8,0.7042253421940093,0.6056337942868479,0.4393939327364556,0.74074072702332,0.6724137815101072,0.6455696120813973,0.5357142761479594,0.6883116793725756,0.6065573671056169,0.7543859516774395,0.7941176353806231,0.6869565157655956,0.5254237199080726,0.6461538362130179,0.6206896444708683,0.5818181712396696,0.7457626992243611,0.5714285623582768,0.4920634842529606,0.6229508094598228,0.499999991935484,0.5737704823972052,0.43396225596297633,0.4925373060815328,0.32258063995837677,0.5964912176054172,0.3962264076183697,0.25454544991735545,0.4603174530108341,0.45901638591776417,0.6029411676038063,0.41379309631391215,0.35483870395421446,0.3333333280423281,0.403225799947971,0.3571428507653063,0.3684210461680518,0.2909090856198348,0.43636362842975224,0.3859649055093876,0.30645160796045795,0.23333332944444451,0.2539682499370119,0.38983050186727963,0.24561403077870123,0.2678571380739797,0.23333332944444451,0.21428571045918376,0.29310344322235443,0.2419354799687826,0.3571428507653063,0.3333333277777779,0.25806451196670144,0.3559321973570814,0.285714280612245,0.3207547109291564,0.3275862012485138,0.30769230177514806,0.3846153772189351,0.3157894681440444,0.2586206851961951,0.21428571045918376,0.21818181421487612,0.2999999950000001,0.25423728382648675,0.3653846083579883,0.2586206851961951,0.20689654815695607,0.25423728382648675,0.3571428507653063,0.36923076355029594,0.16949152255099115,0.40298506861216316,0.12280701538935061,0.15517241111771707,0.46296295438957497,0.4599999954000001,0.3275862012485138,0.24528301423994314,0.20967741597294492,0.25423728382648675,0.2786885200214997,0.18181817851239676,0.3050847405917841,0.23214285299744905,0.2075471658953365,0.31481480898491093,0.21666666305555562,0.12280701538935061,0.277777772633745,0.17307691974852077,0.3157894681440444,0.316666661388889,0.14516128798126957,0.2692307640532545,0.23214285299744905,0.2666666622222223,0.15384615088757403,0.21153845747041428,0.11320754503381991,0.2857142811791384,0.4561403428747308,0.24137930618311543,0.2711864360815858,0.24528301423994314,0.3749999933035716,0.22413792717003575,0.2653061170345691,0.3278688470841173,0.16949152255099115,0.1578947340720222,0.15094339337842655,0.3636363570247935,0.14814814540466398,0.2666666622222223,0.23214285299744905,0.2586206851961951,0.24561403077870123,0.24999999519230778,0.2622950776672938,0.24561403077870123,0.2982456088027086,0.23999999520000012,0.21666666305555562,0.24074073628257897,0.17241379013079672,0.2833333286111112,0.491803276001075,0.5228426369398851,0.5081967129803818,0.5074626789930944,0.4831460619871229,0.5689655074316292,0.504424774297126,0.43749999316406263,0.5254237265871876,0.5496183164151274,0.3857142802040817,0.5217391247637052,0.4676616892156135,0.3965517173008325,0.5399999946,0.5338345824523716,0.4383561583786828,0.5217391228733461,0.4516128959417275,0.5461847367623103,0.4629629586762689,0.49253731098240144,0.49246230908310396,0.4657534225308063,0.4999999982876712,0.49275361604704904,0.4568527895591229,0.4787234017089181,0.433999999132,0.4999999913793105,0.4210526288088643,0.5238095113378688
total seconds,0.0,4.031627416610718,18.119746685028076,30.805643320083618,130.28689432144165,158.519460439682,187.90002393722534,214.50823497772217,233.93364214897156,268.6819100379944,292.97723746299744,310.98852133750916,333.4700963497162,349.7321538925171,370.13229179382324,389.65200877189636,405.4121518135071,424.3899357318878,450.5274953842163,465.8718087673187,485.3463671207428,499.04679226875305,515.355094909668,528.3314044475555,543.6026456356049,555.7052364349365,569.9987301826477,583.0442087650299,594.6784429550171,607.6230480670929,619.4386105537415,634.6676144599915,646.2130768299103,656.6106946468353,670.1177606582642,682.044506072998,694.274525642395,705.2295844554901,714.3548729419708,725.2117276191711,735.8574528694153,746.2831888198853,756.1065909862518,768.3656861782074,778.3859694004059,788.6694767475128,800.2636122703552,809.3701629638672,818.6402838230133,826.4361407756805,835.9973514080048,846.0331499576569,857.10506772995,867.67467212677,879.8865733146667,890.4035115242004,900.3463213443756,910.1077950000763,919.347386598587,927.3462812900543,937.4202604293823,946.9738147258759,957.0737974643707,966.8272440433502,977.6355500221252,987.2317478656769,995.9948692321777,1005.5095958709717,1013.7704970836639,1021.6585233211517,1030.1526865959167,1040.155382156372,1049.484932899475,1061.792287349701,1070.598172903061,1078.3730776309967,1096.2252233028412,1108.8062953948975,1121.1337146759033,1132.638569355011,1142.3972525596619,1150.6799025535583,1160.10919880867,1169.3689923286438,1177.657368183136,1187.365430355072,1196.7596745491028,1205.8762292861938,1213.9190394878387,1220.875058889389,1229.0544168949127,1237.5365495681763,1247.5880906581879,1255.6584355831146,1263.436308145523,1272.2224922180176,1281.3876371383667,1289.8009579181671,1297.3559324741364,1306.669528722763,1315.0095386505127,1323.3059883117676,1352.9241452217102,1363.4480628967285,1373.5086295604706,1384.7788088321686,1394.3353803157806,1402.4606096744537,1411.514460325241,1420.1338212490082,1428.3558661937714,1437.8361916542053,1446.7598938941956,1455.9071261882782,1464.6452462673187,1472.439717054367,1481.2714149951935,1490.4198558330536,1499.8087284564972,1508.416209936142,1516.4089720249176,1523.6662046909332,1531.662838935852,1540.2685754299164,1547.6803362369537,1556.7005512714386,1564.1067039966583,1573.115021944046,1587.0034437179565,1621.2887315750122,1635.1056683063507,1649.5380673408508,1667.8448767662048,1691.0109629631042,1710.4628474712372,1729.6890211105347,1747.7449531555176,1766.3442857265472,1797.0693471431732,1817.252904176712,1844.4582827091217,1867.7512791156769,1881.6874997615814,1897.7053034305573,1923.5340671539307,1943.7723543643951,1964.3364350795746,1980.8983173370361,1998.0353968143463,2016.6446585655212,2038.54194521904,2061.3367981910706,2086.756293296814,2106.28014421463,2129.380331993103,2160.1801087856293,2188.440144300461,2202.2212595939636,2222.1162412166595,2245.726543188095
total minutes,0.0,0.0671937902768453,0.3019957780838013,0.5134273886680603,2.171448238690694,2.6419910073280333,3.131667065620422,3.575137249628703,3.8988940358161925,4.478031833966573,4.882953957716624,5.183142022291819,5.557834939161936,5.828869231541952,6.1688715298970545,6.494200146198272,6.756869196891785,7.073165595531464,7.508791589736939,7.764530146121979,8.089106118679046,8.31744653781255,8.5892515818278,8.805523407459258,9.060044093926747,9.261753940582276,9.499978836377462,9.717403479417165,9.911307382583619,10.127050801118214,10.323976842562358,10.57779357433319,10.770217947165172,10.943511577447255,11.168629344304403,11.367408434549967,11.571242094039917,11.753826407591502,11.905914549032847,12.086862126986185,12.26429088115692,12.438053146998088,12.60177651643753,12.80609476963679,12.973099490006765,13.144491279125214,13.337726871172586,13.489502716064454,13.644004730383555,13.773935679594675,13.933289190133413,14.100552499294281,14.285084462165832,14.461244535446166,14.664776221911113,14.840058525403341,15.00577202240626,15.168463250001272,15.322456443309784,15.455771354834239,15.623671007156371,15.78289691209793,15.951229957739512,16.113787400722504,16.293925833702087,16.45386246442795,16.599914487202962,16.758493264516193,16.8961749513944,17.02764205535253,17.16921144326528,17.335923035939533,17.491415548324586,17.696538122495017,17.843302881717683,17.97288462718328,18.270420388380685,18.48010492324829,18.685561911265054,18.877309489250184,19.039954209327696,19.17799837589264,19.335153313477836,19.489483205477395,19.627622803052265,19.7894238392512,19.94599457581838,20.097937154769898,20.23198399146398,20.347917648156486,20.48424028158188,20.625609159469604,20.793134844303133,20.927640593051912,21.057271802425383,21.203708203633628,21.35646061897278,21.496682631969453,21.62259887456894,21.777825478712717,21.916825644175212,22.055099805196125,22.54873575369517,22.724134381612142,22.89181049267451,23.079646813869477,23.23892300526301,23.37434349457423,23.525241005420686,23.668897020816804,23.805931103229522,23.963936527570088,24.11266489823659,24.265118769804637,24.41075410445531,24.540661950906117,24.687856916586558,24.840330930550895,24.99681214094162,25.140270165602367,25.27348286708196,25.394436744848885,25.5277139822642,25.67114292383194,25.794672270615894,25.94500918785731,26.068445066610973,26.218583699067434,26.450057395299275,27.021478859583535,27.25176113843918,27.492301122347513,27.79741461277008,28.18351604938507,28.50771412452062,28.828150351842243,29.12908255259196,29.439071428775787,29.951155785719553,30.287548402945202,30.740971378485362,31.129187985261282,31.36145832935969,31.62842172384262,32.058901119232175,32.396205906073256,32.738940584659574,33.01497195561727,33.300589946905774,33.61074430942536,33.975699086984,34.35561330318451,34.7792715549469,35.10466907024384,35.48967219988505,36.003001813093825,36.47400240500768,36.703687659899394,37.03527068694432,37.428775719801585
cummulative feedback,0.0,50.0,93.0,122.0,162.0,201.0,252.0,282.0,335.0,372.0,415.0,469.0,548.0,579.0,621.0,657.0,689.0,733.0,769.0,800.0,838.0,869.0,904.0,927.0,960.0,980.0,1014.0,1035.0,1049.0,1078.0,1106.0,1147.0,1171.0,1193.0,1214.0,1239.0,1259.0,1280.0,1296.0,1320.0,1342.0,1361.0,1375.0,1391.0,1414.0,1428.0,1443.0,1457.0,1469.0,1486.0,1501.0,1521.0,1541.0,1557.0,1578.0,1594.0,1611.0,1630.0,1646.0,1666.0,1684.0,1699.0,1711.0,1723.0,1741.0,1756.0,1775.0,1790.0,1802.0,1817.0,1837.0,1861.0,1871.0,1898.0,1905.0,1914.0,1939.0,1985.0,2004.0,2017.0,2030.0,2045.0,2062.0,2072.0,2090.0,2103.0,2114.0,2131.0,2144.0,2151.0,2166.0,2175.0,2193.0,2212.0,2221.0,2235.0,2248.0,2264.0,2272.0,2283.0,2289.0,2307.0,2333.0,2347.0,2363.0,2376.0,2397.0,2410.0,2423.0,2443.0,2453.0,2462.0,2470.0,2490.0,2498.0,2514.0,2527.0,2542.0,2556.0,2569.0,2585.0,2599.0,2616.0,2628.0,2641.0,2654.0,2664.0,2681.0,2771.0,2874.0,2905.0,2939.0,2982.0,3015.0,3072.0,3100.0,3224.0,3296.0,3323.0,3371.0,3465.0,3488.0,3542.0,3613.0,3645.0,3681.0,3709.0,3845.0,3895.0,3994.0,4092.0,4194.0,4340.0,4374.0,4464.0,4554.0,4771.0,4800.0,4864.0,4886.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
