,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188
Episode,0.0,1.0,6.0,11.0,16.0,21.0,26.0,31.0,36.0,41.0,46.0,51.0,56.0,61.0,66.0,71.0,76.0,81.0,86.0,91.0,96.0,101.0,106.0,111.0,116.0,121.0,126.0,131.0,136.0,141.0,146.0,151.0,156.0,161.0,166.0,171.0,176.0,181.0,186.0,191.0,196.0,201.0,206.0,211.0,216.0,221.0,226.0,231.0,236.0,241.0,246.0,251.0,256.0,261.0,266.0,271.0,276.0,281.0,286.0,291.0,296.0,301.0,306.0,311.0,316.0,321.0,326.0,331.0,336.0,341.0,346.0,351.0,356.0,361.0,366.0,371.0,376.0,381.0,386.0,391.0,396.0,401.0,406.0,411.0,416.0,421.0,426.0,431.0,436.0,441.0,446.0,451.0,456.0,461.0,466.0,471.0,476.0,481.0,486.0,491.0,496.0,501.0,506.0,511.0,516.0,521.0,526.0,531.0,536.0,541.0,546.0,551.0,556.0,561.0,566.0,571.0,576.0,581.0,586.0,591.0,596.0,601.0,606.0,611.0,616.0,621.0,626.0,631.0,636.0,641.0,646.0,651.0,656.0,661.0,666.0,671.0,676.0,681.0,686.0,691.0,696.0,701.0,706.0,711.0,716.0,721.0,726.0,731.0,736.0,741.0,746.0,751.0,756.0,761.0,766.0,771.0,776.0,781.0,786.0,791.0,796.0,801.0,806.0,811.0,816.0,821.0,826.0,831.0,836.0,841.0,846.0,851.0,856.0,861.0,866.0,871.0,876.0,881.0,886.0,891.0,896.0,901.0,906.0,911.0,916.0,921.0,926.0,931.0,936.0
Accumulated time steps,0.0,68.0,393.0,726.0,1654.0,2070.0,2835.0,3179.0,3542.0,3881.0,4222.0,4555.0,5155.0,5460.0,5797.0,6206.0,6517.0,6857.0,7171.0,7467.0,7884.0,8182.0,8475.0,8751.0,9035.0,9320.0,9613.0,9888.0,10182.0,10468.0,10777.0,11079.0,11372.0,11662.0,11948.0,12758.0,13040.0,13341.0,13613.0,13903.0,14187.0,14483.0,14772.0,15095.0,15642.0,15936.0,16222.0,16660.0,17149.0,17443.0,17735.0,18029.0,18334.0,18614.0,18929.0,19211.0,19495.0,19789.0,20071.0,20431.0,21120.0,21454.0,21740.0,22025.0,22306.0,22595.0,22885.0,23165.0,23456.0,23743.0,24024.0,24307.0,24596.0,24864.0,25154.0,25452.0,25738.0,26018.0,26304.0,26591.0,26884.0,27170.0,27453.0,27742.0,28036.0,28315.0,28606.0,28894.0,29188.0,29462.0,29755.0,30048.0,30338.0,30650.0,30942.0,31227.0,31520.0,31813.0,32111.0,32386.0,32655.0,33076.0,33361.0,33641.0,33935.0,34223.0,34504.0,34802.0,35086.0,35371.0,35652.0,35938.0,36226.0,36509.0,36797.0,37084.0,37368.0,37660.0,37959.0,38250.0,38536.0,38823.0,39110.0,39404.0,39693.0,39970.0,40249.0,40540.0,40825.0,41098.0,41382.0,41679.0,41971.0,42261.0,42551.0,42830.0,43112.0,43390.0,43677.0,43974.0,44257.0,44541.0,44818.0,45093.0,45382.0,45680.0,45962.0,46357.0,46640.0,46919.0,47217.0,48010.0,48292.0,49054.0,49881.0,50359.0,50638.0,51027.0,51365.0,51633.0,51910.0,52196.0,52481.0,52770.0,53049.0,53345.0,53633.0,53954.0,54534.0,54839.0,55150.0,55481.0,55760.0,56046.0,56325.0,56610.0,56933.0,57331.0,57622.0,57900.0,58228.0,58504.0,58816.0,59092.0,59370.0,59659.0,59957.0,60235.0,60501.0
Episode reward,0.0,137.92995757515195,192.81264067984216,180.75548470105707,533.8946613081663,164.60956334436992,126.8231760767548,147.00347720814503,128.2351739751559,217.47353412167413,132.39807881878858,182.38976044784621,186.48103784267963,134.4681105653881,199.27106765361174,131.02068429688637,137.9334543690593,129.11172936336592,130.72857289027235,126.51924914955143,132.29115091826094,185.45073134098536,139.99083109035672,164.70593077243203,139.75598557311756,126.36429163682487,185.90252712331173,163.81356558689933,185.70398586135278,168.87260218828058,257.07393636556037,161.29205493091237,140.83653709548406,166.625870042299,155.31336283796952,177.15657336179456,170.90930888249446,165.58719574047362,117.52440654319892,184.8161608090295,180.9667635756902,176.40728077392137,146.74107281356595,128.70712315148032,172.02876103507032,168.5710532127326,158.72914676829637,179.80606335737042,1119.2763625639998,156.60397848648356,159.56293978309725,129.76202753068654,180.88038199495057,164.3644590356477,163.80097141177208,176.59654449149144,160.02927176012443,171.0651966947487,187.02184483279498,162.07960393483955,172.2004189171541,174.79560754997723,138.9763580953406,166.1410348611903,172.02323153117953,187.07640565630106,157.74827420701874,146.77091031335044,142.0815389181283,166.46233063539725,123.8287021089944,159.03225633481048,120.48037206049987,158.585022229575,166.80852543862736,172.76349688184843,166.3012699357891,150.482779012728,151.09411055139373,134.09528421811015,164.64399775336594,124.44251402682922,171.61455540899715,154.07401796951297,179.51489684887042,154.20618301227228,132.61888565293054,144.0011083173382,182.05370512301425,135.87383644120484,148.6972227374024,164.7536141885007,124.74791284053167,141.47699944663862,122.00634498796417,155.76245970649597,142.750172048481,159.17612314286856,169.65213545817713,161.0761792958981,154.11992074885674,162.14383556744627,126.48248525593293,176.62788024395735,164.69188126547252,176.55401117257648,155.5055608457454,129.43258912556448,134.80348949596456,176.8980059229035,182.08933185879962,115.08243976360359,138.50582679090465,157.64523033779415,168.67537458897934,166.08214537762768,158.0306363421646,177.002967763745,176.53347482026186,182.66949151979745,164.3840228209082,156.27147979282043,148.15297649861773,158.56708214563454,136.84599599000833,119.23828136475434,174.77541527335728,162.51631732971077,182.2096238843024,119.89745169878483,187.1043606268825,163.65759462066436,152.99047655624977,191.15281104165845,167.24417416707,133.1331020840448,157.41836010273212,167.84314062872065,174.01753722921936,173.24422561328169,158.04461846159438,132.32083650459487,174.31593538058027,152.49545387554653,159.26437040198743,167.12973381445227,181.87859700142565,719.7954970898879,187.31241483010285,169.78272423965896,165.4112242666913,109.5889897161688,159.8910752338498,179.40460324105513,200.65967547879728,160.87088387060294,124.64931917099274,122.27448652135502,136.6481672354362,167.3918021426702,132.6589178571741,187.16465874710678,182.16904411296358,129.31659764880808,174.93785621241003,167.32039275893976,177.1510458713668,211.20097875031706,147.59221628871484,120.08691366085466,195.96147845108896,136.93184273966324,132.75798939071714,164.6896972258872,171.3688131740746,163.25352565719635,169.7210190817506,676.1252556626564,114.09940288446062,179.20589372840575,137.029000998751,124.84381050406897,239.9823072755045,184.92057423986662,123.04084829121157,173.5240752495951,168.8097331770869,118.68864474427761,38.967401314160384
Episode feedback,0.8,0.6417910351971488,0.7027026932067204,0.6716417810202719,0.7333333288888889,0.6777777702469137,0.7230769119526629,0.5857142773469389,0.5999999900000001,0.6986301274160257,0.7068965395362666,0.6999999900000001,0.6624999917187501,0.6140350769467531,0.6714285618367348,0.5737704823972052,0.6666666555555558,0.6363636247933887,0.6363636247933887,0.6545454426446283,0.618181806942149,0.5312499916992189,0.5263157802400741,0.40677965412237876,0.43859648353339503,0.6153846035502961,0.5714285623582768,0.40350876485072346,0.3770491741467349,0.44999999250000017,0.552941169965398,0.36206895927467314,0.3207547109291564,0.3389830451019823,0.43636362842975224,0.316666661388889,0.43103447532699185,0.2982456088027086,0.3877550941274471,0.30158729680020163,0.3709677359521333,0.3770491741467349,0.23214285299744905,0.42592591803840896,0.3559321973570814,0.2833333286111112,0.21428571045918376,0.2786885200214997,0.5930232535154137,0.4642857059948981,0.32142856568877565,0.35849055927376305,0.3114754047299114,0.20689654815695607,0.34482758026159344,0.40983605885514657,0.24999999553571436,0.2666666622222223,0.26984126555807514,0.3965517173008325,0.3499999941666668,0.2622950776672938,0.5892857037627554,0.3684210461680518,0.28813558833668496,0.1803278658962645,0.2982456088027086,0.24561403077870123,0.20338982706118938,0.29310344322235443,0.2549019557862362,0.32142856568877565,0.25999999480000013,0.3749999933035716,0.31034482223543414,0.3559321973570814,0.2758620642092748,0.19999999636363644,0.3090909034710745,0.1428571403061225,0.3050847405917841,0.37254901230296056,0.2499999958333334,0.2727272677685951,0.360655731792529,0.19999999636363644,0.31481480898491093,0.34482758026159344,0.2786885200214997,0.24561403077870123,0.24999999553571436,0.2982456088027086,0.34615383949704154,0.49122806155740245,0.2830188625845498,0.19642856792091845,0.31034482223543414,0.3157894681440444,0.2758620642092748,0.1929824527546938,0.10909090710743806,0.28070174946137283,0.2692307640532545,0.2622950776672938,0.2999999950000001,0.2666666622222223,0.24137930618311543,0.33928570822704096,0.2678571380739797,0.23333332944444451,0.20967741597294492,0.3061224427321951,0.2727272677685951,0.14035087473068641,0.11864406578569381,0.23728813157138762,0.17543859341335802,0.20967741597294492,0.1803278658962645,0.29508196237570555,0.20338982706118938,0.17543859341335802,0.25454544991735545,0.1428571403061225,0.3114754047299114,0.21568627028066137,0.16666666388888896,0.22413792717003575,0.24590163531308795,0.1764705847750866,0.1428571405895692,0.2280701714373654,0.12962962722908097,0.3770491741467349,0.21666666305555562,0.2884615329142013,0.2909090856198348,0.08771929670667901,0.22033897931628849,0.23333332944444451,0.19999999636363644,0.23214285299744905,0.15254237029589204,0.16363636066115708,0.16071428284438782,0.10344827407847804,0.08064515998959419,0.39024390005948845,0.22222221869488543,0.17241379013079672,0.24561403077870123,0.5957446681756454,0.43636362842975224,0.5056179718469891,0.4857142787755103,0.3684210461680518,0.24999999519230778,0.3529411695501732,0.43636362842975224,0.33333332748538025,0.33333332716049396,0.3333333280423281,0.25806451196670144,0.33962263510145974,0.316666661388889,0.24137930618311543,0.2833333286111112,0.41379309869203335,0.34848484320477513,0.43396225596297633,0.35227272326962816,0.2727272677685951,0.20370369993141296,0.3389830451019823,0.23728813157138762,0.21052631209602962,0.1896551691438764,0.3373493955581362,0.22448979133694305,0.15254237029589204,0.17857142538265314,0.29411764129181095,0.3978494580876403,0.14516128798126957,0.19607842752787397,0.18333333027777785,0.33333332748538025,0.2199999956000001,0.19999999428571447
total seconds,0.0,3.8023605346679688,18.144028186798096,33.65944576263428,91.75436234474182,118.07798767089844,166.60074615478516,187.32307815551758,209.0626096725464,230.20090055465698,251.16222620010376,270.87320709228516,307.9466450214386,324.56407713890076,344.9510452747345,365.73316740989685,383.98035502433777,403.1826477050781,421.515189409256,439.3637583255768,464.2859117984772,479.62263107299805,494.88305044174194,507.17974162101746,520.3102107048035,534.2449231147766,547.2826716899872,560.759948015213,573.0430867671967,584.2982120513916,597.284138917923,609.6223721504211,622.5795896053314,633.1408717632294,644.3763120174408,681.9046523571014,692.5544810295105,703.2878413200378,713.0866544246674,724.7938723564148,734.5536320209503,744.5370836257935,754.7481052875519,766.9005610942841,790.8184559345245,802.5303375720978,813.5673472881317,832.4977715015411,853.5394184589386,864.8560569286346,875.8641254901886,887.5312132835388,897.7971022129059,907.490377664566,920.382646560669,930.5602993965149,940.1080815792084,950.6174709796906,959.4875199794769,975.2606778144836,1002.2269666194916,1015.9069921970367,1026.9264347553253,1035.5522365570068,1046.5113847255707,1055.4651000499725,1066.954476594925,1076.5937714576721,1087.4839634895325,1097.520744085312,1106.8848593235016,1115.7388997077942,1126.0459549427032,1135.0138232707977,1145.8303561210632,1154.8349199295044,1164.7017867565155,1176.0506632328033,1186.119116306305,1195.0139963626862,1205.312270641327,1216.2438292503357,1224.7039058208466,1234.7202219963074,1245.7380120754242,1253.6701917648315,1262.8600006103516,1273.1314046382904,1282.4030678272247,1291.4869225025177,1302.1239213943481,1312.0720357894897,1323.410574913025,1335.8853850364685,1347.3740293979645,1355.9906010627747,1365.1923508644104,1376.4710428714752,1386.6888813972473,1395.6994235515594,1404.2162554264069,1420.4856622219086,1429.70494556427,1438.3850586414337,1448.7118031978607,1459.9828910827637,1470.3719103336334,1480.3576712608337,1489.7981374263763,1499.0964822769165,1507.8419036865234,1516.7990906238556,1525.538727760315,1534.7375600337982,1542.304365158081,1551.5261631011963,1560.795872926712,1570.9069240093231,1579.9581489562988,1589.2401866912842,1598.125019311905,1607.1664078235626,1615.562647819519,1624.7424502372742,1634.1323997974396,1641.9192299842834,1647.8194379806519,1653.760843038559,1660.2204194068909,1666.7287435531616,1672.7577722072601,1678.9702513217926,1685.5069954395294,1694.4933016300201,1701.2879197597504,1708.7475974559784,1715.5107157230377,1720.6616899967194,1726.1208672523499,1732.1961152553558,1738.7271618843079,1743.9832558631897,1749.4657440185547,1756.6457104682922,1762.209398984909,1768.040018081665,1774.0207331180573,1783.05881857872,1789.376895904541,1794.8495252132416,1801.8189804553986,1827.4392790794373,1835.7363250255585,1862.1521699428558,1887.6866657733917,1905.0508794784546,1913.7138142585754,1925.8177571296692,1935.585372686386,1942.886189699173,1951.7145431041718,1959.5313308238983,1966.238534450531,1973.5602481365204,1980.3480818271637,1988.5000281333923,1995.7928218841553,2003.452672958374,2021.5028467178345,2030.8795282840729,2037.9906768798828,2045.6643528938293,2052.4258313179016,2059.860543012619,2067.0418558120728,2074.6217436790466,2082.0363385677338,2091.86310172081,2098.3645102977753,2105.2352373600006,2112.4835393428802,2119.8873558044434,2128.2932744026184,2135.1143774986267,2141.745760202408,2148.6948800086975,2156.4181163311005,2162.9648303985596,2169.008411169052
total minutes,0.0,0.06337267557779948,0.30240046977996826,0.5609907627105712,1.5292393724123636,1.9679664611816405,2.776679102579753,3.12205130259196,3.484376827875773,3.83668167591095,4.186037103335063,4.514553451538086,5.132444083690643,5.409401285648346,5.749184087912242,6.095552790164947,6.399672583738963,6.7197107950846355,7.025253156820933,7.32272930542628,7.73809852997462,7.993710517883301,8.248050840695699,8.452995693683624,8.671836845080058,8.904082051912944,9.121377861499786,9.345999133586883,9.55071811278661,9.73830353418986,9.954735648632049,10.160372869173687,10.37632649342219,10.55234786272049,10.73960520029068,11.365077539285023,11.542574683825174,11.72146402200063,11.884777573744456,12.079897872606914,12.242560533682505,12.408951393763225,12.579135088125865,12.781676018238068,13.180307598908742,13.37550562620163,13.559455788135528,13.87496285835902,14.225656974315644,14.414267615477245,14.597735424836477,14.79218688805898,14.963285036881764,15.124839627742768,15.339710776011149,15.509338323275248,15.66846802632014,15.843624516328175,15.991458666324615,16.254344630241395,16.703782776991527,16.931783203283945,17.115440579255424,17.259203942616782,17.441856412092843,17.591085000832877,17.782574609915414,17.943229524294534,18.12473272482554,18.292012401421864,18.448080988725028,18.595648328463238,18.767432582378387,18.916897054513296,19.09717260201772,19.24724866549174,19.411696445941924,19.60084438721339,19.768651938438417,19.9168999393781,20.088537844022117,20.270730487505595,20.411731763680777,20.578670366605124,20.76230020125707,20.894503196080525,21.047666676839192,21.218856743971507,21.37338446378708,21.52478204170863,21.70206535657247,21.867867263158164,22.056842915217082,22.264756417274477,22.456233823299407,22.599843351046243,22.753205847740173,22.94118404785792,23.11148135662079,23.261657059192657,23.40360425710678,23.67476103703181,23.8284157594045,23.973084310690563,24.145196719964346,24.333048184712727,24.50619850556056,24.67262785434723,24.82996895710627,24.98494137128194,25.13069839477539,25.279984843730926,25.425645462671916,25.578959333896638,25.705072752634685,25.858769385019936,26.013264548778533,26.181782066822052,26.332635815938314,26.487336444854737,26.635416988531748,26.78610679705938,26.926044130325316,27.079040837287902,27.23553999662399,27.365320499738058,27.463657299677532,27.562680717309316,27.67034032344818,27.778812392552695,27.879296203454334,27.982837522029875,28.091783257325492,28.241555027167003,28.354798662662507,28.479126624266307,28.59184526205063,28.677694833278657,28.768681120872497,28.86993525425593,28.978786031405132,29.066387597719828,29.157762400309245,29.27742850780487,29.370156649748484,29.467333634694416,29.567012218634286,29.717646976312,29.822948265075684,29.914158753554027,30.03031634092331,30.457321317990623,30.595605417092642,31.035869499047596,31.46144442955653,31.750847991307577,31.895230237642924,32.09696261882782,32.25975621143977,32.38143649498622,32.52857571840286,32.65885551373164,32.770642240842186,32.89267080227534,33.00580136378606,33.14166713555654,33.26321369806926,33.390877882639565,33.69171411196391,33.84799213806788,33.96651128133138,34.09440588156382,34.20709718863169,34.33100905021032,34.450697596867876,34.57702906131745,34.700605642795566,34.86438502868017,34.97274183829625,35.08725395600001,35.208058989048006,35.33145593007406,35.47155457337697,35.58523962497711,35.69576267004013,35.811581333478294,35.940301938851675,36.04941383997599,36.15014018615087
cummulative feedback,0.0,43.0,95.0,140.0,261.0,322.0,369.0,410.0,446.0,497.0,538.0,587.0,640.0,675.0,722.0,757.0,797.0,832.0,867.0,903.0,937.0,971.0,1001.0,1025.0,1050.0,1082.0,1118.0,1141.0,1164.0,1191.0,1238.0,1259.0,1276.0,1296.0,1320.0,1339.0,1364.0,1381.0,1400.0,1419.0,1442.0,1465.0,1478.0,1501.0,1522.0,1539.0,1551.0,1568.0,1721.0,1747.0,1765.0,1784.0,1803.0,1815.0,1835.0,1860.0,1874.0,1890.0,1907.0,1930.0,1951.0,1967.0,2000.0,2021.0,2038.0,2049.0,2066.0,2080.0,2092.0,2109.0,2122.0,2140.0,2153.0,2174.0,2192.0,2213.0,2229.0,2240.0,2257.0,2265.0,2283.0,2302.0,2317.0,2332.0,2354.0,2365.0,2382.0,2402.0,2419.0,2433.0,2447.0,2464.0,2482.0,2510.0,2525.0,2536.0,2554.0,2572.0,2588.0,2599.0,2605.0,2621.0,2635.0,2651.0,2669.0,2685.0,2699.0,2718.0,2733.0,2747.0,2760.0,2775.0,2790.0,2798.0,2805.0,2819.0,2829.0,2842.0,2853.0,2871.0,2883.0,2893.0,2907.0,2915.0,2934.0,2945.0,2955.0,2968.0,2983.0,2992.0,3001.0,3014.0,3021.0,3044.0,3057.0,3072.0,3088.0,3093.0,3106.0,3120.0,3131.0,3144.0,3153.0,3162.0,3171.0,3177.0,3182.0,3246.0,3260.0,3270.0,3284.0,3312.0,3336.0,3381.0,3415.0,3436.0,3449.0,3467.0,3491.0,3510.0,3528.0,3549.0,3565.0,3583.0,3602.0,3616.0,3633.0,3669.0,3692.0,3715.0,3746.0,3761.0,3772.0,3792.0,3806.0,3818.0,3829.0,3885.0,3896.0,3905.0,3915.0,3930.0,3967.0,3976.0,3986.0,3997.0,4016.0,4027.0,4034.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
