,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178
Episode,0.0,1.0,6.0,11.0,16.0,21.0,26.0,31.0,36.0,41.0,46.0,51.0,56.0,61.0,66.0,71.0,76.0,81.0,86.0,91.0,96.0,101.0,106.0,111.0,116.0,121.0,126.0,131.0,136.0,141.0,146.0,151.0,156.0,161.0,166.0,171.0,176.0,181.0,186.0,191.0,196.0,201.0,206.0,211.0,216.0,221.0,226.0,231.0,236.0,241.0,246.0,251.0,256.0,261.0,266.0,271.0,276.0,281.0,286.0,291.0,296.0,301.0,306.0,311.0,316.0,321.0,326.0,331.0,336.0,341.0,346.0,351.0,356.0,361.0,366.0,371.0,376.0,381.0,386.0,391.0,396.0,401.0,406.0,411.0,416.0,421.0,426.0,431.0,436.0,441.0,446.0,451.0,456.0,461.0,466.0,471.0,476.0,481.0,486.0,491.0,496.0,501.0,506.0,511.0,516.0,521.0,526.0,531.0,536.0,541.0,546.0,551.0,556.0,561.0,566.0,571.0,576.0,581.0,586.0,591.0,596.0,601.0,606.0,611.0,616.0,621.0,626.0,631.0,636.0,641.0,646.0,651.0,656.0,661.0,666.0,671.0,676.0,681.0,686.0,691.0,696.0,701.0,706.0,711.0,716.0,721.0,726.0,731.0,736.0,741.0,746.0,751.0,756.0,761.0,766.0,771.0,776.0,781.0,786.0,791.0,796.0,801.0,806.0,811.0,816.0,821.0,826.0,831.0,836.0,841.0,846.0,851.0,856.0,861.0,866.0,871.0,876.0,881.0,886.0
Accumulated time steps,0.0,63.0,417.0,754.0,1483.0,2098.0,2479.0,2831.0,3131.0,3577.0,3891.0,4184.0,4884.0,5257.0,5557.0,5945.0,6230.0,6573.0,6859.0,7160.0,7451.0,7734.0,8097.0,8405.0,8686.0,8971.0,9271.0,9570.0,9870.0,10154.0,10440.0,10754.0,11094.0,11385.0,11669.0,11969.0,12261.0,12582.0,12892.0,13675.0,14195.0,14490.0,14782.0,15257.0,15551.0,15817.0,16109.0,16421.0,16761.0,17042.0,17340.0,17630.0,17922.0,18221.0,18488.0,18791.0,19072.0,19350.0,19636.0,19927.0,20284.0,20726.0,21056.0,21349.0,21636.0,21939.0,22508.0,22805.0,23095.0,23387.0,23666.0,23955.0,24245.0,24538.0,24816.0,25106.0,25378.0,25670.0,25958.0,26234.0,26527.0,26814.0,27107.0,27383.0,27653.0,27941.0,28359.0,28644.0,28927.0,29255.0,29546.0,29839.0,30129.0,30411.0,30703.0,30991.0,31283.0,31571.0,31860.0,32143.0,32420.0,32717.0,33010.0,33301.0,33585.0,33874.0,34151.0,34425.0,34712.0,35013.0,35293.0,35575.0,35858.0,36141.0,36420.0,36703.0,36984.0,37274.0,37559.0,37848.0,38140.0,38424.0,38863.0,39149.0,39449.0,39724.0,40013.0,40495.0,40785.0,41090.0,41391.0,42183.0,42482.0,42781.0,43071.0,43449.0,43742.0,44043.0,44508.0,44910.0,45381.0,46045.0,46415.0,46738.0,47047.0,47369.0,47668.0,48126.0,48510.0,48854.0,49356.0,49737.0,50082.0,50393.0,50685.0,51245.0,51624.0,52260.0,52565.0,53151.0,53549.0,53928.0,54409.0,54700.0,55005.0,55367.0,55648.0,55952.0,56253.0,56770.0,57133.0,57429.0,57724.0,58016.0,58499.0,58976.0,59278.0,59582.0,60382.0
Episode reward,0.0,159.01270998227488,196.49026799786463,146.70069028134054,389.3104292458481,218.67442774903412,200.4043291851809,140.2911513027785,145.25251685001194,125.90086353871327,169.84529152708356,174.23908000369573,189.28364416418788,185.99387951234854,124.86534312652984,166.31605230636657,135.28534069122364,190.89246821827643,120.75473262932113,170.45322529184324,162.65688426223088,118.48287644575736,189.62092175199106,135.55252643895935,118.47619987546909,179.029155622736,182.73600588054134,154.53238333237604,182.73935729332834,131.80030877193232,130.50009184995133,173.16933185492826,162.55367658162632,164.9700767799945,174.57101846471474,157.78578707215212,160.65516469059227,132.49305715267224,180.93394186937735,260.1451217674573,123.81297947667791,127.42190536778674,171.4803274243743,656.2169802122442,178.01948627935272,118.98523857978259,142.7450567189099,117.4551909465957,130.99908952503964,162.67870075839622,122.88177771467858,135.63583921838097,172.03946096378368,185.94425141844937,124.21315341208692,181.4701372042844,134.05127415275572,169.3519945035743,158.77222832704854,180.4331958750431,336.9955339041878,234.73177679901804,186.8855548092546,167.04914401126163,154.48319641930678,177.922626856957,169.2995012821274,186.1302044810619,131.27011501782647,190.44613368263538,121.4029764712524,181.17873764899372,162.7826055891496,169.3999420815473,127.66814484770568,157.93836960795866,155.26660784522858,168.55563785012043,135.4895290462597,137.6578436864361,146.40585758559266,157.44546208060945,185.666397989687,175.83124858630097,123.65250999014481,163.43936340050502,181.93507402961404,133.31602661982586,162.88018197018306,126.75628938822993,162.5041738139617,141.5062703604766,143.95165492916738,162.7396414993894,166.0364574355207,119.75504014030825,189.74024429015583,168.50655317023646,153.67810897212655,163.40875308164337,120.71538973780548,161.48722785861196,162.39499687709645,175.13208983780228,155.14369300502733,126.9976337304634,148.19635333103164,134.94422696471463,126.8147328290107,185.76745210526516,126.0561677231367,159.22016733014718,172.29666079528238,173.10025805580372,127.22731955910524,129.3347424084014,152.48433132365236,191.02490606099985,124.58885505830321,174.4389389825779,138.17107179215938,136.72650693554564,167.67559926988739,130.34926483153234,189.94128040568694,122.23271776070132,121.18493375823464,176.84713812587566,162.87167277607043,164.0904233636167,170.2528556569152,177.01730812535783,180.78136244088032,156.4930345548243,154.40764163851102,182.93054564911884,160.550698535032,179.26036240790893,125.12404967088555,163.93144823736665,192.99915163973208,162.52120009404248,398.54623358302456,180.43589138459643,301.22006019142657,161.92156777805224,150.31902057410443,168.4130375823166,181.01012180133046,181.94389991541246,1266.842726335766,171.8054232790336,120.07782942215195,193.9109092502025,174.8424665528159,180.1449559091726,325.68266860912416,457.82680048633773,193.01646684510902,300.3935476222295,664.5767471261516,166.7189375006176,810.5826131465016,176.66115401445495,180.65711056239067,185.56444597949894,159.49410367589593,189.30462393858377,173.45281850812958,157.5304080988788,178.68264560856952,182.3536344421901,138.78154250653233,172.75732868958994,365.33083788576346,185.14214222956485,167.5328010088536,167.5981409411369,168.83181657437032
Episode feedback,0.8,0.7419354719042666,0.7714285604081634,0.5522387977277792,0.807547166763973,0.6692913333126667,0.6338028079746083,0.593220328928469,0.6833333219444446,0.6271186334386673,0.5901639247514111,0.4576271108876761,0.7052631504709143,0.6301369776693565,0.5660377251690996,0.4576271108876761,0.37037036351166,0.538461530177515,0.4999999900000002,0.48275861236623085,0.3684210461680518,0.47058822606689754,0.5156249919433595,0.4909090819834713,0.49019606881968497,0.3278688470841173,0.3968253905265811,0.4821428485331634,0.4426229435635583,0.33928570822704096,0.4545454462809919,0.43333332611111125,0.45901638591776417,0.28070174946137283,0.2711864360815858,0.42105262419205924,0.3684210461680518,0.46296295438957497,0.44444443738977085,0.6666666622222223,0.45283018013527965,0.47169810430758297,0.46666665888888903,0.6290322555280957,0.3114754047299114,0.49019606881968497,0.2586206851961951,0.23999999520000012,0.29629629080932796,0.26315789012003704,0.30769230177514806,0.3859649055093876,0.32203389284688316,0.2857142811791384,0.2692307640532545,0.32812499487304697,0.35185184533607694,0.2999999950000001,0.26315789012003704,0.2419354799687826,0.672131142031712,0.6122448917117869,0.403225799947971,0.3389830451019823,0.33928570822704096,0.25806451196670144,0.4576271108876761,0.2539682499370119,0.2363636320661158,0.32812499487304697,0.29411764129181095,0.2786885200214997,0.30357142315051033,0.22033897931628849,0.40384614607988184,0.3571428507653063,0.2909090856198348,0.22413792717003575,0.24999999553571436,0.34545453917355384,0.3749999933035716,0.29310344322235443,0.4516128959417275,0.19999999666666674,0.24528301423994314,0.2666666622222223,0.21666666305555562,0.2363636320661158,0.2586206851961951,0.33962263510145974,0.20689654815695607,0.2982456088027086,0.2909090856198348,0.2758620642092748,0.2711864360815858,0.21568627028066137,0.292307687810651,0.18333333027777785,0.17857142538265314,0.31034482223543414,0.29999999400000016,0.08928571269132657,0.22413792717003575,0.16666666388888896,0.17857142538265314,0.14814814540466398,0.16981131755072987,0.24999999553571436,0.3207547109291564,0.26984126555807514,0.24999999519230778,0.23214285299744905,0.08474576127549557,0.21666666305555562,0.2692307640532545,0.13207546920612323,0.18181817851239676,0.18749999707031256,0.15094339337842655,0.2622950776672938,0.28070174946137283,0.24999999553571436,0.3499999941666668,0.21153845747041428,0.20312499682617194,0.09615384430473377,0.2549019557862362,0.19999999666666674,0.21428571045918376,0.18644067480609028,0.18644067480609028,0.3333333277777779,0.29508196237570555,0.24999999553571436,0.3818181748760332,0.4516128959417275,0.14035087473068641,0.16666666388888896,0.3207547109291564,0.2982456088027086,0.2968749953613282,0.3684210461680518,0.36697247369750025,0.30645160796045795,0.4074074023776864,0.2758620642092748,0.22222221810699597,0.2586206851961951,0.24590163531308795,0.27419354396462026,0.4128787863148531,0.43103447532699185,0.41176469780853536,0.292307687810651,0.2711864360815858,0.23333332944444451,0.5531914834766863,0.4488188941037882,0.27272726859504137,0.44186045997836676,0.45070422217813927,0.31034482223543414,0.3818181800826446,0.24590163531308795,0.27419354396462026,0.2539682499370119,0.3090909034710745,0.24999999609375007,0.1803278658962645,0.16071428284438782,0.2833333286111112,0.21311475060467622,0.19642856792091845,0.2833333286111112,0.45631067518144974,0.1311475388336469,0.2586206851961951,0.22033897931628849,0.31034482223543414
total seconds,0.0,2.6059064865112305,12.928133726119995,22.215704679489136,59.02417349815369,95.03509092330933,120.09372663497925,141.32963585853577,158.0207920074463,182.67027807235718,198.79369688034058,215.06754660606384,256.0019736289978,278.70367550849915,293.64948320388794,315.63925671577454,327.6788811683655,343.85431432724,357.9028277397156,371.66465067863464,387.0772650241852,400.13943243026733,418.49105525016785,432.4029583930969,445.3828556537628,457.2963478565216,469.31546926498413,481.83803939819336,494.3159694671631,505.6372663974762,517.2806272506714,530.4347932338715,544.5326719284058,556.5290858745575,567.1193974018097,579.2439498901367,589.5946283340454,604.3141028881073,616.7458691596985,657.8695721626282,683.9555811882019,695.9887728691101,708.7237753868103,733.0328505039215,745.3317341804504,755.8215529918671,766.2931430339813,778.1213328838348,791.2319293022156,800.7335638999939,809.8221893310547,820.0668845176697,829.2812256813049,840.5476560592651,849.2091691493988,859.6006722450256,869.5184876918793,878.1020097732544,886.7922270298004,897.1372849941254,913.5164625644684,936.6612417697906,951.8491108417511,961.7565388679504,970.5892450809479,980.4671657085419,1005.8373639583588,1016.1106808185577,1025.100875377655,1033.8930401802063,1044.4130737781525,1053.5289206504822,1063.7052028179169,1071.6476583480835,1081.0033736228943,1090.6768498420715,1099.9291942119598,1108.611986875534,1117.257009267807,1126.6866581439972,1136.0570743083954,1145.4266114234924,1156.1019835472107,1165.586707830429,1175.2700893878937,1182.4840183258057,1199.899560213089,1209.1491315364838,1218.5152089595795,1231.0165507793427,1240.7464594841003,1251.091821193695,1260.9659309387207,1269.407960176468,1278.215713262558,1287.0196981430054,1296.5016384124756,1304.3777995109558,1313.476357460022,1322.599041223526,1329.9028470516205,1336.9136083126068,1344.9097669124603,1351.6584086418152,1360.4606263637543,1368.345006942749,1375.1424748897552,1383.0066175460815,1390.4871265888214,1397.8528697490692,1405.7478120326996,1413.4054188728333,1421.233733177185,1429.4904067516327,1439.0395200252533,1446.4504837989807,1453.9880282878876,1461.4672944545746,1469.2589902877808,1477.9206631183624,1486.326892375946,1493.5547547340393,1510.2680008411407,1520.4637274742126,1529.2130014896393,1537.1577508449554,1545.039222240448,1558.9999883174896,1565.785845041275,1574.0026981830597,1580.4116101264954,1601.6577591896057,1609.3698229789734,1618.648268699646,1625.815628528595,1635.8950757980347,1643.390741109848,1651.1962704658508,1664.6617171764374,1677.8856272697449,1690.0671741962433,1709.0533950328827,1721.316439151764,1729.3707151412964,1737.822108745575,1745.9117782115936,1752.9339525699615,1765.7407031059265,1776.0549540519714,1785.693924665451,1800.0752956867218,1811.255833864212,1819.9762661457062,1827.7140419483185,1837.0132751464844,1851.413429260254,1861.9963567256927,1880.2007789611816,1887.827302455902,1904.2573156356812,1916.311369419098,1926.3952023983002,1938.771863937378,1945.679348707199,1953.259473323822,1962.9945087432861,1970.501574754715,1977.3522534370422,1984.6429846286774,1997.170137166977,2006.881714105606,2014.7477207183838,2022.9728481769562,2030.7795844078064,2043.5627422332764,2055.0446062088013,2063.8939628601074,2072.5048439502716,2095.3556554317474
total minutes,0.0,0.04343177477518718,0.21546889543533326,0.37026174465815226,0.9837362249692281,1.5839181820551553,2.0015621105829875,2.3554939309755962,2.6336798667907715,3.0445046345392863,3.3132282813390095,3.584459110101064,4.266699560483297,4.6450612584749855,4.894158053398132,5.260654278596243,5.461314686139425,5.730905238787333,5.96504712899526,6.194410844643911,6.451287750403086,6.668990540504455,6.974850920836131,7.206715973218282,7.42304759422938,7.6216057976086935,7.821924487749736,8.030633989969889,8.238599491119384,8.42728777329127,8.62134378751119,8.840579887231192,9.075544532140096,9.275484764575959,9.451989956696828,9.654065831502278,9.826577138900756,10.071901714801788,10.279097819328308,10.964492869377136,11.399259686470032,11.599812881151836,11.812062923113505,12.217214175065358,12.422195569674175,12.597025883197784,12.771552383899689,12.968688881397247,13.187198821703593,13.345559398333231,13.497036488850911,13.667781408627828,13.821353761355082,14.009127600987751,14.15348615248998,14.326677870750427,14.491974794864655,14.635033496220906,14.779870450496674,14.952288083235423,15.225274376074474,15.611020696163177,15.864151847362518,16.029275647799174,16.1764874180158,16.341119428475697,16.763956065972646,16.93517801364263,17.085014589627583,17.231550669670106,17.406884562969207,17.558815344174704,17.72842004696528,17.86079430580139,18.016722893714906,18.17794749736786,18.332153236866,18.476866447925566,18.62095015446345,18.77811096906662,18.93428457180659,19.090443523724876,19.268366392453512,19.42644513050715,19.587834823131562,19.708066972096763,19.998326003551483,20.152485525608064,20.308586815992992,20.516942512989043,20.67910765806834,20.851530353228252,21.01609884897868,21.156799336274464,21.303595221042634,21.450328302383422,21.608360640207927,21.739629991849263,21.8912726243337,22.043317353725435,22.165047450860342,22.28189347187678,22.41516278187434,22.527640144030254,22.674343772729237,22.805750115712485,22.91904124816259,23.05011029243469,23.174785443147023,23.297547829151153,23.429130200544993,23.556756981213887,23.687228886286416,23.824840112527212,23.983992000420887,24.107508063316345,24.233133804798126,24.357788240909578,24.48764983812968,24.632011051972707,24.772114872932434,24.892579245567322,25.171133347352345,25.34106212457021,25.486883358160654,25.619295847415923,25.750653704007465,25.983333138624825,26.09643075068792,26.233378303050994,26.340193502108256,26.69429598649343,26.82283038298289,26.9774711449941,27.09692714214325,27.264917929967243,27.389845685164133,27.519937841097512,27.744361952940622,27.96476045449575,28.167786236604055,28.484223250548045,28.688607319196066,28.82284525235494,28.963701812426248,29.098529636859894,29.215565876166025,29.429011718432108,29.60091590086619,29.76156541109085,30.00125492811203,30.1875972310702,30.332937769095103,30.461900699138642,30.616887919108073,30.8568904876709,31.03327261209488,31.336679649353027,31.463788374265036,31.73762192726135,31.93852282365163,32.10658670663834,32.3128643989563,32.42798914511999,32.55432455539703,32.716575145721436,32.84169291257858,32.95587089061737,33.077383077144624,33.28616895278295,33.44802856842677,33.57912867863973,33.7162141362826,33.84632640679677,34.05937903722127,34.25074343681335,34.39823271433512,34.54174739917119,34.92259425719579
cummulative feedback,0.0,46.0,100.0,137.0,351.0,436.0,481.0,516.0,557.0,594.0,630.0,657.0,724.0,770.0,800.0,827.0,847.0,882.0,907.0,935.0,956.0,980.0,1013.0,1040.0,1065.0,1085.0,1110.0,1137.0,1164.0,1183.0,1208.0,1234.0,1262.0,1278.0,1294.0,1318.0,1339.0,1364.0,1392.0,1492.0,1516.0,1541.0,1569.0,1725.0,1744.0,1769.0,1784.0,1796.0,1812.0,1827.0,1843.0,1865.0,1884.0,1902.0,1916.0,1937.0,1956.0,1974.0,1989.0,2004.0,2086.0,2146.0,2171.0,2191.0,2210.0,2226.0,2253.0,2269.0,2282.0,2303.0,2318.0,2335.0,2352.0,2365.0,2386.0,2406.0,2422.0,2435.0,2449.0,2468.0,2489.0,2506.0,2534.0,2546.0,2559.0,2575.0,2588.0,2601.0,2616.0,2634.0,2646.0,2663.0,2679.0,2695.0,2711.0,2722.0,2741.0,2752.0,2762.0,2780.0,2795.0,2800.0,2813.0,2823.0,2833.0,2841.0,2850.0,2864.0,2881.0,2898.0,2911.0,2924.0,2929.0,2942.0,2956.0,2963.0,2973.0,2985.0,2993.0,3009.0,3025.0,3039.0,3060.0,3071.0,3084.0,3089.0,3102.0,3114.0,3126.0,3137.0,3148.0,3168.0,3186.0,3200.0,3221.0,3249.0,3257.0,3267.0,3284.0,3301.0,3320.0,3341.0,3381.0,3400.0,3433.0,3449.0,3461.0,3476.0,3491.0,3508.0,3617.0,3642.0,3663.0,3682.0,3698.0,3712.0,3764.0,3821.0,3839.0,3877.0,3941.0,3959.0,4043.0,4058.0,4075.0,4091.0,4108.0,4124.0,4135.0,4144.0,4161.0,4174.0,4185.0,4202.0,4249.0,4257.0,4272.0,4285.0,4303.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
