,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184
Episode,0.0,1.0,6.0,11.0,16.0,21.0,26.0,31.0,36.0,41.0,46.0,51.0,56.0,61.0,66.0,71.0,76.0,81.0,86.0,91.0,96.0,101.0,106.0,111.0,116.0,121.0,126.0,131.0,136.0,141.0,146.0,151.0,156.0,161.0,166.0,171.0,176.0,181.0,186.0,191.0,196.0,201.0,206.0,211.0,216.0,221.0,226.0,231.0,236.0,241.0,246.0,251.0,256.0,261.0,266.0,271.0,276.0,281.0,286.0,291.0,296.0,301.0,306.0,311.0,316.0,321.0,326.0,331.0,336.0,341.0,346.0,351.0,356.0,361.0,366.0,371.0,376.0,381.0,386.0,391.0,396.0,401.0,406.0,411.0,416.0,421.0,426.0,431.0,436.0,441.0,446.0,451.0,456.0,461.0,466.0,471.0,476.0,481.0,486.0,491.0,496.0,501.0,506.0,511.0,516.0,521.0,526.0,531.0,536.0,541.0,546.0,551.0,556.0,561.0,566.0,571.0,576.0,581.0,586.0,591.0,596.0,601.0,606.0,611.0,616.0,621.0,626.0,631.0,636.0,641.0,646.0,651.0,656.0,661.0,666.0,671.0,676.0,681.0,686.0,691.0,696.0,701.0,706.0,711.0,716.0,721.0,726.0,731.0,736.0,741.0,746.0,751.0,756.0,761.0,766.0,771.0,776.0,781.0,786.0,791.0,796.0,801.0,806.0,811.0,816.0,821.0,826.0,831.0,836.0,841.0,846.0,851.0,856.0,861.0,866.0,871.0,876.0,881.0,886.0,891.0,896.0,901.0,906.0,911.0,916.0
Accumulated time steps,0.0,501.0,985.0,1544.0,1995.0,2335.0,2672.0,3005.0,3345.0,3652.0,4057.0,4393.0,4773.0,5126.0,5420.0,5713.0,6009.0,6375.0,6659.0,6959.0,7269.0,7568.0,7874.0,8226.0,8583.0,8877.0,9179.0,9465.0,9775.0,10078.0,10532.0,10838.0,11191.0,11494.0,11784.0,12349.0,12661.0,12972.0,13264.0,13556.0,13933.0,14221.0,14515.0,14800.0,15097.0,15392.0,15696.0,15975.0,16349.0,16624.0,16921.0,17202.0,17561.0,17870.0,18383.0,18726.0,19036.0,19337.0,19630.0,19926.0,20225.0,20520.0,20828.0,21106.0,21389.0,21684.0,21967.0,22264.0,22548.0,22845.0,23127.0,23410.0,23709.0,23994.0,24289.0,24578.0,24859.0,25144.0,25466.0,25766.0,26057.0,26344.0,26650.0,26960.0,27243.0,27541.0,27820.0,28103.0,28398.0,28687.0,28966.0,29264.0,29551.0,29840.0,30274.0,30600.0,31067.0,31370.0,31689.0,32005.0,32302.0,32599.0,32878.0,33163.0,33436.0,33721.0,34062.0,34364.0,34712.0,35346.0,35676.0,35959.0,36245.0,36554.0,36948.0,37250.0,37602.0,37893.0,38203.0,38558.0,38850.0,39133.0,39432.0,39712.0,40013.0,40307.0,40617.0,40922.0,41232.0,41611.0,41906.0,42201.0,42494.0,43230.0,43549.0,43845.0,44141.0,44470.0,45267.0,45562.0,45926.0,46235.0,46526.0,47251.0,47542.0,47817.0,48122.0,48405.0,48703.0,48990.0,49284.0,49572.0,49881.0,50179.0,50455.0,50742.0,51040.0,51334.0,51621.0,51985.0,52268.0,52614.0,53058.0,53354.0,53643.0,54162.0,54457.0,54753.0,55055.0,55421.0,55723.0,56019.0,56315.0,56604.0,56904.0,57182.0,57465.0,57827.0,58128.0,58475.0,59201.0,59481.0,59787.0,60083.0,60364.0
Episode reward,0.0,246.21045493364787,200.55122338131926,203.48625274628466,296.3688505816041,142.4124895798205,130.83873837003162,163.0779523833666,161.25693847537917,139.03287298033095,381.5445220315671,179.6983281680265,199.6518408041644,239.97925083812265,122.85776211057072,175.17656663064164,135.69273071873343,122.3918819187869,120.01092423190833,174.08160352033394,176.73827077159106,165.49700065646127,180.43069040001697,169.25483538063284,138.17044470495864,161.44930085342352,180.05305160390208,167.21634067917674,167.5260312166526,169.88729715883915,177.14804394495127,165.61504974745557,311.29687928866775,184.4257034917643,166.3605679030278,172.88330458188295,173.9374950630302,175.36421524279376,189.68367805793446,139.5656638451531,193.43002132046212,145.4219170391695,187.97246107696816,122.44663163257623,163.0287181634926,136.83344792365926,179.96822409982244,124.701529723674,391.6638514203994,126.34439672261226,190.7075107536848,158.5835549810471,169.39761756442624,182.72945988552058,178.67460656169746,176.1196442808169,195.7253274162961,185.70724171275054,157.38059614945823,174.77166235993346,166.22862523354925,187.52827190993509,188.20622886726102,153.79783360886694,167.27546715797345,124.55696951148381,151.19318660425552,192.37382698422715,120.83078352568154,186.55273286431114,162.14290305107426,120.17272272378638,124.46033138910155,155.82580950066662,183.8718982918113,186.82440940141763,130.78387952742466,138.6185735606711,187.10404130091382,196.0808545703334,165.8558318740932,163.02626139031418,166.69278338904348,192.9412257137632,129.08191282856106,175.4021320647095,169.6211729122944,176.0031350362564,136.87403792658264,141.53880780510946,196.18683968399841,134.83390402642954,192.06451464838275,127.46872284971813,178.64229639005072,277.2244407154598,154.9381593524659,162.2519963726662,166.14395181970738,123.78366455228574,188.0241483775408,192.18829400076964,155.483068999462,184.65416118280663,157.68477462572497,173.3787341917164,176.31261598601304,164.09624609603583,130.04150831365556,164.8650384032736,194.43294037584104,120.97665005574694,142.04547173221042,171.54495545840453,448.91920502211354,168.04073079507955,181.82815619846463,144.62400712321048,138.0300252133463,148.06115727410292,183.63010201012068,162.57292128193458,173.32815741131094,166.8143197115466,212.2684474423125,136.51503030443544,194.26884190398988,169.79202569545794,183.03738112293928,172.9375016828097,178.67634129758179,191.8623885741438,173.790829154526,1322.2561137097082,187.86386533466856,154.0746825165378,175.3963768228606,140.1288930462457,185.40693994836502,137.1362605294472,187.8762300606686,188.56596485189817,142.08538446707885,1692.7632563157156,180.62439183511734,117.2608564821966,173.8874439781201,171.73481660784657,163.54691467818535,119.63849283003164,166.7860129049559,160.3577243720902,192.80518416533113,170.41151196566355,139.04948978472817,119.70565951756367,171.95765937091417,187.6372098725612,166.79066927504448,508.9881937779931,130.70304232367667,147.03427842297242,130.26935398692842,177.6156186436698,161.26097332989912,127.51503499521645,118.69664589396231,177.628253341818,176.29361115589614,251.24486730095992,138.94194863638543,177.3862423827628,134.51958673868418,179.1783082602327,185.73550186728173,131.05119725093886,126.97411173944447,130.20947384898403,140.90686817916526,296.1876997928307,133.21608022693903,175.89635334869575,179.7618166953648,168.9137344907874,120.7217603342084
Episode feedback,0.8,0.755999998488,0.7380952293083901,0.5874999926562501,0.7142857096474954,0.5666666572222224,0.5689655074316292,0.5396825311161503,0.40677965412237876,0.6190476092214665,0.7333333284444445,0.6119402893740256,0.7053571365593113,0.5399999946,0.5370370270919069,0.5322580559313217,0.5344827494054699,0.7037036906721539,0.48076922152366885,0.41666665972222233,0.453124992919922,0.4237288063774779,0.44444443738977085,0.48333332527777795,0.4909090819834713,0.5833333236111113,0.5937499907226564,0.36206895927467314,0.40677965412237876,0.41379309631391215,0.46774192793964636,0.5833333236111113,0.6666666606606607,0.5624999912109376,0.5666666572222224,0.5937499907226564,0.523076915029586,0.360655731792529,0.6190476092214665,0.4821428485331634,0.5757575670339763,0.47457626314277523,0.49999999218750013,0.5882352825836219,0.3157894681440444,0.5178571336096941,0.3114754047299114,0.40384614607988184,0.6515151465794308,0.5094339526521896,0.2812499956054688,0.3793103382877528,0.5344827494054699,0.6349206248425298,0.44615383928994096,0.41666665972222233,0.5882352854671282,0.46153845443786995,0.24999999553571436,0.34426228943832315,0.3275862012485138,0.41269840614764436,0.30158729680020163,0.3999999927272729,0.24137930618311543,0.3962264076183697,0.2363636320661158,0.3437499946289064,0.43137254056132274,0.3437499946289064,0.29310344322235443,0.47999999040000024,0.33962263510145974,0.3090909034710745,0.29032257596253913,0.4285714217687076,0.44444443621399193,0.2280701714373654,0.31249999511718757,0.19696969398530767,0.36206895927467314,0.23728813157138762,0.3499999941666668,0.3906249938964845,0.29629629080932796,0.1803278658962645,0.3050847405917841,0.41379309631391215,0.33928570822704096,0.33333332716049396,0.292307687810651,0.4107142783801022,0.36923076355029594,0.35849055927376305,0.39344261650094076,0.5142857093877552,0.43103447532699185,0.3793103382877528,0.5409835976887934,0.40384614607988184,0.3593749943847657,0.3650793592844546,0.41818181057851256,0.4920634842529606,0.285714280612245,0.36206895927467314,0.41935483194588985,0.31034482223543414,0.38888888168724295,0.42105262419205924,0.522388051904656,0.40384614607988184,0.41379309631391215,0.4999999916666668,0.5030302999816345,0.4426229435635583,0.3823529355536333,0.3793103382877528,0.43859648353339503,0.5185185089163239,0.34920634366339137,0.46551723335315115,0.38333332694444455,0.3965517173008325,0.3823529355536333,0.3090909034710745,0.3174603124212649,0.3050847405917841,0.3114754047299114,0.3559321973570814,0.45901638591776417,0.44615383928994096,0.45901638591776417,0.477999999044,0.37681158874186105,0.3499999941666668,0.31249999511718757,0.360655731792529,0.42647058196366794,0.4561403428747308,0.49999999218750013,0.41538460899408297,0.3050847405917841,0.4462474635978753,0.30645160796045795,0.33999999320000013,0.34426228943832315,0.38709676795005216,0.5087719208987382,0.3529411695501732,0.3666666605555557,0.28070174946137283,0.34920634366339137,0.40677965412237876,0.3636363570247935,0.37999999240000015,0.3559321973570814,0.47619046863189735,0.31034482223543414,0.5123966899801926,0.3636363570247935,0.45283018013527965,0.3207547109291564,0.38709676795005216,0.30357142315051033,0.415094331790673,0.5192307592455624,0.47692306958579894,0.27272726859504137,0.41121494942789766,0.29310344322235443,0.316666661388889,0.19999999666666674,0.2833333286111112,0.3650793592844546,0.29629629080932796,0.35849055927376305,0.3962264076183697,0.31034482223543414,0.38181817834710746,0.2678571380739797,0.2786885200214997,0.32258063995837677,0.5166666580555557,0.41176469780853536
total seconds,0.0,20.805155515670776,39.374438524246216,61.272305488586426,77.6071879863739,91.23108983039856,103.64248561859131,115.6920268535614,126.35132384300232,136.44791626930237,151.19249391555786,163.73490643501282,176.9287567138672,189.5326271057129,199.0050961971283,211.37085604667664,220.8074848651886,233.0713746547699,242.03880834579468,251.17747712135315,260.1418967247009,269.1961953639984,277.65023732185364,291.06522393226624,303.0550889968872,313.67907214164734,324.84796714782715,334.9064214229584,343.255410194397,352.18285489082336,367.30867981910706,376.51045536994934,388.4634916782379,397.97426080703735,407.62531089782715,428.38038325309753,440.07249569892883,449.82226824760437,459.89318203926086,468.9637451171875,481.45185565948486,490.8411238193512,499.58392214775085,509.23664832115173,516.2318964004517,524.4872245788574,532.5257799625397,541.3941473960876,551.6812832355499,560.6069190502167,569.1241915225983,577.0664744377136,586.8056650161743,598.3724598884583,617.0305759906769,629.1077213287354,639.2551052570343,649.3211190700531,657.6830337047577,667.2183585166931,675.3356347084045,683.717294216156,692.1323933601379,699.3859643936157,708.4066529273987,715.9271790981293,723.786295413971,731.6128914356232,739.4362442493439,746.1682653427124,752.1387486457825,760.2407774925232,768.4617927074432,775.044581413269,781.6980595588684,789.1306929588318,796.272064447403,802.6786608695984,811.3023505210876,818.4518184661865,826.6200618743896,834.483170747757,841.3535828590393,848.412246465683,855.2695863246918,861.3750216960907,868.4157755374908,875.0345430374146,883.1325678825378,890.8884234428406,898.1478190422058,905.9171018600464,915.4651119709015,921.5487999916077,933.8707709312439,943.278422832489,954.7962379455566,964.3509559631348,974.2869336605072,984.8650758266449,993.0447232723236,1002.8405175209045,1010.4597866535187,1019.2009575366974,1026.2275891304016,1032.4641501903534,1040.3032021522522,1047.9602808952332,1057.7340891361237,1077.210214138031,1087.2229492664337,1094.7492938041687,1103.0085489749908,1112.297304391861,1123.8437702655792,1132.5361437797546,1143.722587108612,1153.2008638381958,1161.814952135086,1171.5830671787262,1181.0099165439606,1188.91441488266,1196.4197421073914,1202.3108716011047,1209.8760015964508,1216.6580078601837,1223.5742979049683,1230.2956960201263,1238.6426560878754,1247.8848679065704,1254.730839729309,1263.1821777820587,1270.7499930858612,1289.9097275733948,1299.585458278656,1308.3246958255768,1316.4336640834808,1324.3776812553406,1347.8800077438354,1356.1357073783875,1367.070746421814,1375.7973668575287,1382.353816986084,1400.7723734378815,1408.2008905410767,1417.0251393318176,1425.672658443451,1433.186188697815,1441.3446922302246,1448.46506357193,1456.13693857193,1463.4070506095886,1470.6535494327545,1479.0276341438293,1486.939754486084,1494.215324640274,1500.626415014267,1507.4075973033905,1513.6534075737,1523.118511915207,1532.218201160431,1541.3709342479706,1554.8049094676971,1563.7992556095123,1572.0843589305878,1584.8235096931458,1592.4182014465332,1601.170090675354,1608.694950580597,1617.7171103954315,1625.1935679912567,1632.9120478630066,1639.7769136428833,1646.874226808548,1653.5223898887634,1660.1112456321716,1668.4635503292084,1679.5973773002625,1685.868726015091,1695.2344424724579,1712.004593372345,1718.9752435684204,1726.7811386585236,1734.5444295406342,1742.3504538536072
total minutes,0.0,0.3467525919278463,0.6562406420707703,1.0212050914764403,1.2934531331062318,1.520518163839976,1.727374760309855,1.9282004475593566,2.105855397383372,2.274131937821706,2.519874898592631,2.728915107250214,2.9488126118977864,3.1588771184285482,3.316751603285472,3.522847600777944,3.680124747753143,3.8845229109128314,4.033980139096578,4.186291285355886,4.335698278745015,4.4866032560666405,4.627503955364228,4.8510870655377705,5.05091814994812,5.227984535694122,5.414132785797119,5.581773690382639,5.720923503239949,5.869714248180389,6.121811330318451,6.275174256165823,6.474391527970632,6.632904346783956,6.793755181630453,7.139673054218292,7.334541594982147,7.497037804126739,7.664886367321015,7.816062418619792,8.024197594324749,8.180685396989187,8.326398702462514,8.487277472019196,8.603864940007528,8.741453742980957,8.875429666042328,9.023235789934795,9.194688053925832,9.343448650836944,9.485403192043304,9.617774573961894,9.780094416936238,9.972874331474305,10.283842933177947,10.485128688812257,10.654251754283905,10.822018651167552,10.961383895079296,11.12030597527822,11.255593911806743,11.395288236935933,11.535539889335633,11.656432739893596,11.806777548789977,11.932119651635487,12.063104923566183,12.19354819059372,12.323937404155732,12.436137755711874,12.535645810763041,12.670679624875387,12.807696545124054,12.91740969022115,13.028300992647807,13.15217821598053,13.271201074123383,13.377977681159972,13.521705842018127,13.640863641103108,13.777001031239827,13.908052845795948,14.022559714317321,14.140204107761383,14.25449310541153,14.356250361601512,14.47359625895818,14.583909050623577,14.71887613137563,14.84814039071401,14.969130317370096,15.098618364334106,15.25775186618169,15.359146666526794,15.564512848854065,15.72130704720815,15.913270632425943,16.07251593271891,16.238115561008453,16.41441793044408,16.55074538787206,16.71400862534841,16.84099644422531,16.986682625611625,17.10379315217336,17.20773583650589,17.338386702537537,17.46600468158722,17.62890148560206,17.953503568967182,18.120382487773895,18.24582156340281,18.38347581624985,18.538288406531017,18.73072950442632,18.875602396329246,19.06204311847687,19.220014397303263,19.36358253558477,19.52638445297877,19.68349860906601,19.815240248044333,19.940329035123188,20.03851452668508,20.164600026607513,20.277633464336397,20.392904965082803,20.504928267002107,20.644044268131257,20.798081131776176,20.91218066215515,21.053036296367644,21.17916655143102,21.49849545955658,21.6597576379776,21.805411597092945,21.940561068058013,22.072961354255675,22.46466679573059,22.60226178963979,22.784512440363567,22.929956114292146,23.0392302831014,23.346206223964693,23.47001484235128,23.617085655530293,23.761210974057516,23.886436478296915,24.02241153717041,24.141084392865498,24.268948976198832,24.39011751015981,24.51089249054591,24.65046056906382,24.782329241434734,24.90358874400457,25.01044025023778,25.123459955056507,25.227556792894998,25.385308531920113,25.536970019340515,25.68951557079951,25.91341515779495,26.063320926825206,26.201405982176464,26.413725161552428,26.54030335744222,26.686168177922568,26.811582509676615,26.96195183992386,27.086559466520946,27.215200797716776,27.32961522738139,27.447903780142465,27.55870649814606,27.668520760536193,27.80772583882014,27.993289621671043,28.097812100251517,28.253907374540965,28.533409889539083,28.649587392807007,28.779685644308724,28.909073825677236,29.039174230893455
cummulative feedback,0.0,378.0,440.0,487.0,597.0,631.0,664.0,698.0,722.0,761.0,871.0,912.0,991.0,1045.0,1074.0,1107.0,1138.0,1176.0,1201.0,1226.0,1255.0,1280.0,1308.0,1337.0,1364.0,1399.0,1437.0,1458.0,1482.0,1506.0,1535.0,1570.0,1644.0,1680.0,1714.0,1752.0,1786.0,1808.0,1847.0,1874.0,1912.0,1940.0,1972.0,2002.0,2020.0,2049.0,2068.0,2089.0,2175.0,2202.0,2220.0,2242.0,2273.0,2313.0,2342.0,2367.0,2407.0,2437.0,2451.0,2472.0,2491.0,2517.0,2536.0,2558.0,2572.0,2593.0,2606.0,2628.0,2650.0,2672.0,2689.0,2713.0,2731.0,2748.0,2766.0,2793.0,2817.0,2830.0,2850.0,2863.0,2884.0,2898.0,2919.0,2944.0,2960.0,2971.0,2989.0,3013.0,3032.0,3050.0,3069.0,3092.0,3116.0,3135.0,3159.0,3213.0,3238.0,3260.0,3293.0,3314.0,3337.0,3360.0,3383.0,3414.0,3430.0,3451.0,3477.0,3495.0,3516.0,3540.0,3575.0,3596.0,3620.0,3650.0,3733.0,3760.0,3786.0,3808.0,3833.0,3861.0,3883.0,3910.0,3933.0,3956.0,3982.0,3999.0,4019.0,4037.0,4056.0,4077.0,4105.0,4134.0,4162.0,4401.0,4427.0,4448.0,4468.0,4490.0,4519.0,4545.0,4577.0,4604.0,4622.0,4842.0,4861.0,4878.0,4899.0,4923.0,4952.0,4970.0,4992.0,5008.0,5030.0,5054.0,5074.0,5093.0,5114.0,5144.0,5162.0,5224.0,5244.0,5268.0,5285.0,5309.0,5326.0,5348.0,5375.0,5406.0,5424.0,5468.0,5485.0,5504.0,5516.0,5533.0,5556.0,5572.0,5591.0,5612.0,5630.0,5672.0,5687.0,5704.0,5724.0,5755.0,5776.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
