,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165
Episode,0.0,1.0,6.0,11.0,16.0,21.0,26.0,31.0,36.0,41.0,46.0,51.0,56.0,61.0,66.0,71.0,76.0,81.0,86.0,91.0,96.0,101.0,106.0,111.0,116.0,121.0,126.0,131.0,136.0,141.0,146.0,151.0,156.0,161.0,166.0,171.0,176.0,181.0,186.0,191.0,196.0,201.0,206.0,211.0,216.0,221.0,226.0,231.0,236.0,241.0,246.0,251.0,256.0,261.0,266.0,271.0,276.0,281.0,286.0,291.0,296.0,301.0,306.0,311.0,316.0,321.0,326.0,331.0,336.0,341.0,346.0,351.0,356.0,361.0,366.0,371.0,376.0,381.0,386.0,391.0,396.0,401.0,406.0,411.0,416.0,421.0,426.0,431.0,436.0,441.0,446.0,451.0,456.0,461.0,466.0,471.0,476.0,481.0,486.0,491.0,496.0,501.0,506.0,511.0,516.0,521.0,526.0,531.0,536.0,541.0,546.0,551.0,556.0,561.0,566.0,571.0,576.0,581.0,586.0,591.0,596.0,601.0,606.0,611.0,616.0,621.0,626.0,631.0,636.0,641.0,646.0,651.0,656.0,661.0,666.0,671.0,676.0,681.0,686.0,691.0,696.0,701.0,706.0,711.0,716.0,721.0,726.0,731.0,736.0,741.0,746.0,751.0,756.0,761.0,766.0,771.0,776.0,781.0,786.0,791.0,796.0,801.0,806.0,811.0,816.0,821.0
Accumulated time steps,0.0,63.0,420.0,735.0,2100.0,2580.0,3356.0,4296.0,4625.0,5356.0,5706.0,5998.0,6399.0,6734.0,7030.0,7335.0,7638.0,7937.0,8225.0,8515.0,8809.0,9097.0,9373.0,9660.0,9939.0,10243.0,10533.0,10817.0,11126.0,11577.0,11880.0,12182.0,12455.0,12871.0,13164.0,13554.0,13847.0,14142.0,14438.0,14728.0,15060.0,15338.0,15649.0,16071.0,16359.0,16640.0,16935.0,17227.0,17525.0,17804.0,18105.0,18403.0,18676.0,18955.0,19235.0,19513.0,19800.0,20105.0,20403.0,20746.0,21052.0,21344.0,21634.0,21907.0,22209.0,22500.0,22787.0,23073.0,23357.0,23632.0,23922.0,24202.0,24476.0,24763.0,25032.0,25329.0,25624.0,25908.0,26201.0,26684.0,26975.0,27273.0,27573.0,27860.0,28149.0,28440.0,28717.0,29001.0,29282.0,29630.0,29924.0,30205.0,30496.0,30788.0,31061.0,31339.0,31627.0,31976.0,32261.0,32813.0,33217.0,33530.0,33818.0,34108.0,34395.0,34678.0,34968.0,35258.0,35537.0,35829.0,36556.0,36944.0,37237.0,37528.0,37823.0,38116.0,38406.0,38735.0,39020.0,39313.0,39592.0,39896.0,40190.0,40939.0,41436.0,41920.0,42258.0,42560.0,43068.0,43544.0,44000.0,44299.0,44746.0,45134.0,45482.0,45866.0,46161.0,46463.0,46917.0,47460.0,48158.0,48786.0,49360.0,49868.0,50346.0,50810.0,51271.0,51753.0,52277.0,52656.0,52997.0,53532.0,54031.0,54725.0,55072.0,55870.0,56181.0,56563.0,56925.0,57256.0,57719.0,58184.0,58544.0,59197.0,59744.0,60222.0
Episode reward,0.0,174.95955808340912,167.79982141478163,136.19277519340218,197.62925733308347,126.95052536621617,136.33483269723826,214.71092895514028,173.34029822712253,198.7065674937673,176.84961953628445,167.82182253348768,197.74847875498688,163.26111464151597,164.29644495947412,187.37676240378826,148.1879875380978,180.9714061207976,163.33835780873693,124.2403510809504,171.0252508074362,124.44225686904954,123.46411075321515,171.42150392377303,165.05832793303486,185.40912400465993,140.3085576004485,124.16307958095996,180.10895619082993,132.75698436479257,170.3248337271801,168.3052685155402,121.63967899614278,893.4959015399023,134.24704480343175,373.4909331387467,175.09209450288407,189.668050337054,132.28178636656665,161.4773078751991,174.40939560010165,160.10072808474627,165.7842539801964,168.68001228671025,137.85786792049274,137.48444248232414,121.58030781969492,169.26673390704184,155.41758763302923,148.71260183357606,138.97778717554894,137.31231887067653,149.1708921100514,162.3923784107848,185.1650592728477,168.76250591555458,143.70978634333144,154.69811068494593,149.68210691962304,137.15717790204425,139.40660116640913,175.9484695540739,127.37804287313921,119.65286275843891,168.4550114998442,175.39796459803446,118.25967219077285,135.72296288237078,185.62422984445766,126.2592296646002,124.66103845316788,122.06725533475591,129.13929888985928,152.67836385557953,153.92647082158317,147.8388611973797,158.38468762070949,170.43078865969122,170.27915851808422,160.46423698369904,182.0420479880112,165.39818747708762,173.1261290922522,171.05381883536393,177.99573193049994,184.86478192723737,120.80453772884172,137.5938876582633,179.62508106407967,124.61438596330798,125.33367602531698,179.33115494911817,136.32194382543955,131.69117287351784,127.9749501112014,124.65751923823565,174.35868361525436,127.31849711580438,165.64560467218567,1232.62807702837,134.81169960611876,202.2434297098502,122.06984222399875,158.1787573481124,173.2785012464823,159.97338596305923,181.01392600933366,161.62857007813264,169.13483416966463,133.73909059591531,123.97166598423155,174.11547652750374,127.31797393259808,169.05436322811462,164.54602252552888,178.795574965675,170.57597489054993,122.14455728132187,121.11678105350911,185.61022049496185,141.51820443546066,172.1431263164234,165.548033492426,196.9521604688596,173.43030579435995,320.6943669907504,165.44068694832157,168.641599155024,133.72990478070355,184.19305372777532,199.75896924397654,164.07254330600261,248.5239616634463,209.14749656081352,207.55716362469363,136.04785112564332,176.54963341302135,133.79973944657635,160.51545890598175,486.02959825730767,861.6390456579579,182.95355525999096,520.7702588223931,140.28922353547557,151.05138762097022,278.6569648981638,185.60003735592375,257.84886813894315,180.8634082533638,191.43719499218497,311.3499812013947,168.96849049478308,150.549448793395,257.4725656620678,255.14743474128605,179.30544862039827,197.93766398721883,370.4419001764989,355.0484362465199,170.98286394383786,590.367628154871,376.67076561471856,211.9124692739128,302.68624526027304,236.3195585684583,166.10885018146874
Episode feedback,0.8,0.7741935359001043,0.523809515495087,0.453124992919922,0.8030302908631775,0.6842105143120962,0.7118643947141629,0.7894736759002772,0.7049180212308521,0.6714285618367348,0.6562499897460939,0.7413792975624259,0.6292134760762531,0.7118643947141629,0.44067795863257697,0.5156249919433595,0.6774193439125913,0.47619046863189735,0.5172413703923902,0.5283018768244929,0.41666665972222233,0.3653846083579883,0.415094331790673,0.3559321973570814,0.48275861236623085,0.403225799947971,0.38888888168724295,0.48076922152366885,0.34920634366339137,0.5471698009967962,0.4426229435635583,0.2711864360815858,0.40384614607988184,0.5549738190839067,0.45901638591776417,0.6762589879405828,0.360655731792529,0.3333333280423281,0.3818181748760332,0.26315789012003704,0.3499999941666668,0.29310344322235443,0.21052631209602962,0.29508196237570555,0.32727272132231416,0.35185184533607694,0.3818181748760332,0.38983050186727963,0.3636363570247935,0.16363636066115708,0.35087718682671604,0.21052631209602962,0.21428571045918376,0.1929824527546938,0.2812499956054688,0.15517241111771707,0.32142856568877565,0.25454544991735545,0.26315789012003704,0.4603174530108341,0.48275861236623085,0.360655731792529,0.22641509006763982,0.2799999944000001,0.22033897931628849,0.48275861236623085,0.2745097985390236,0.33928570822704096,0.30158729680020163,0.2692307640532545,0.45283018013527965,0.23529411303344877,0.31481480898491093,0.2280701714373654,0.16363636066115708,0.20370369993141296,0.2727272677685951,0.18644067480609028,0.23333332944444451,0.3859649055093876,0.3114754047299114,0.28070174946137283,0.24590163531308795,0.3965517173008325,0.39344261650094076,0.1428571405895692,0.30769230177514806,0.23076922633136104,0.21311475060467622,0.2692307640532545,0.25925925445816195,0.25806451196670144,0.19999999636363644,0.18181817851239676,0.16981131755072987,0.22222221810699597,0.2666666622222223,0.33333332716049396,0.1929824527546938,0.501547986063319,0.4576271108876761,0.3787878730486686,0.47368420221606666,0.3157894681440444,0.34482758026159344,0.2982456088027086,0.2857142811791384,0.3928571358418369,0.2999999950000001,0.29629629080932796,0.34615383949704154,0.2786885200214997,0.44444443621399193,0.3559321973570814,0.33333332748538025,0.22950819295888208,0.2622950776672938,0.2884615329142013,0.17307691974852077,0.2419354799687826,0.32727272132231416,0.3333333280423281,0.3684210461680518,0.36363635812672185,0.39999999333333347,0.407692304556213,0.3859649055093876,0.5263157802400741,0.41269840614764436,0.360655731792529,0.44776118734684794,0.3275862012485138,0.4923076885207101,0.6039603900597982,0.4199999958,0.34848484320477513,0.403225799947971,0.21818181421487612,0.36206895927467314,0.5499999975000001,0.4629080104958219,0.4218749934082032,0.5297297268663258,0.42105262419205924,0.5454545355371903,0.3958333305844908,0.42424241781450883,0.43511450049530914,0.24590163531308795,0.5697674352352624,0.38596490889504464,0.31034482223543414,0.4057970955681581,0.4214875998224165,0.4899999951000001,0.4426229435635583,0.38805969570060156,0.4117647031910804,0.3867924491812033,0.2999999950000001,0.4619883013918813,0.2799999972,0.42857142300556594,0.34999999562500006,0.5161290267082901,0.2758620642092748
total seconds,0.0,4.676698923110962,19.19719624519348,32.502203941345215,116.47896599769592,149.83749270439148,195.08630323410034,251.76355814933777,274.1020300388336,318.4517250061035,341.03816866874695,356.2594885826111,379.17193508148193,399.43331241607666,417.67811036109924,431.74187874794006,448.05332231521606,460.2697515487671,474.4613366127014,487.6121847629547,498.48491406440735,510.3472557067871,522.5935842990875,534.8076918125153,545.527233839035,557.5973689556122,568.2163798809052,579.2651281356812,590.6390521526337,614.4617705345154,627.0808691978455,639.8115608692169,649.8140943050385,667.9619727134705,680.4058632850647,699.3556363582611,711.8473703861237,723.6895482540131,734.8257763385773,744.5063395500183,758.2037997245789,769.9257411956787,779.8641543388367,801.8468260765076,813.5645000934601,824.4425930976868,835.9889893531799,847.1363863945007,858.8379821777344,869.4085719585419,880.505871295929,890.7618300914764,900.0714917182922,908.2581069469452,917.1484599113464,925.1426403522491,936.1921548843384,948.0888235569,957.2433850765228,971.1787195205688,985.5124146938324,996.6088864803314,1006.6909081935883,1016.0453162193298,1025.046942949295,1035.728618144989,1045.3533771038055,1054.526593208313,1064.1053190231323,1073.3682565689087,1083.168261051178,1092.1646330356598,1102.3637533187866,1111.916296005249,1121.49263048172,1129.9242568016052,1138.9478785991669,1148.7205045223236,1157.418916940689,1178.5099501609802,1188.8114800453186,1199.0261361598969,1209.986442565918,1220.4317753314972,1230.4130284786224,1239.083283662796,1248.2720038890839,1256.2157766819,1265.401103258133,1279.3659818172455,1288.2320964336395,1297.2986245155334,1305.3635709285736,1314.305489063263,1324.1043155193329,1332.8430800437927,1340.4992768764496,1353.6288771629333,1360.8616514205933,1381.9151101112366,1401.1958694458008,1416.7419800758362,1429.1275248527527,1442.0836062431335,1452.3876371383667,1462.7463274002075,1473.6091368198395,1483.4079246520996,1492.808128118515,1502.0706136226654,1532.3205060958862,1548.2071521282196,1558.9662945270538,1569.6733186244965,1579.7175233364105,1588.4024112224579,1597.2284607887268,1608.7916979789734,1616.9706075191498,1625.1749956607819,1635.3798491954803,1645.1843452453613,1652.7198791503906,1674.6082253456116,1690.2258787155151,1705.2752530574799,1715.4735760688782,1724.0367503166199,1739.5692486763,1754.2725629806519,1767.7402493953705,1775.537193775177,1790.7638983726501,1804.2109215259552,1815.8132462501526,1828.0661981105804,1837.0724561214447,1845.1462185382843,1860.9709787368774,1877.8075692653656,1898.042328119278,1918.53280544281,1936.2711458206177,1950.9315922260284,1966.436001777649,1981.539046049118,1995.231788635254,2009.6820442676544,2023.4310991764069,2033.809829711914,2043.2422199249268,2057.380171060562,2070.4060938358307,2090.474541425705,2101.038381099701,2126.1632771492004,2134.9805631637573,2145.8890902996063,2157.460880279541,2167.789240837097,2183.2364354133606,2197.4953010082245,2207.891563653946,2226.364766597748,2243.823730945587,2257.1628453731537
total minutes,0.0,0.07794498205184937,0.3199532707532247,0.5417033990224203,1.9413160999615988,2.497291545073191,3.2514383872350057,4.196059302488963,4.568367167313894,5.307528750101725,5.683969477812449,5.937658143043518,6.319532251358032,6.657221873601277,6.961301839351654,7.195697979132334,7.467555371920268,7.671162525812785,7.907688943545024,8.126869746049245,8.308081901073455,8.505787595113118,8.709893071651459,8.913461530208588,9.092120563983917,9.293289482593536,9.470272998015085,9.654418802261352,9.843984202543895,10.24102950890859,10.451347819964091,10.66352601448695,10.830234905083975,11.132699545224508,11.340097721417745,11.655927272637685,11.864122839768728,12.061492470900218,12.247096272309621,12.408438992500304,12.636729995409647,12.832095686594645,12.997735905647279,13.364113767941793,13.559408334891002,13.740709884961445,13.933149822552998,14.11893977324168,14.313966369628906,14.490142865975697,14.67509785493215,14.846030501524607,15.001191528638204,15.13763511578242,15.285807665189107,15.41904400587082,15.60320258140564,15.801480392615,15.954056417942047,16.186311992009482,16.425206911563873,16.610148108005525,16.77818180322647,16.934088603655496,17.084115715821586,17.262143635749815,17.422556285063425,17.57544322013855,17.73508865038554,17.889470942815144,18.052804350852966,18.202743883927663,18.372729221979778,18.53193826675415,18.691543841361998,18.83207094669342,18.98246464331945,19.145341742038728,19.290315282344817,19.641832502683005,19.813524667421976,19.98376893599828,20.166440709431967,20.340529588858285,20.50688380797704,20.6513880610466,20.8045333981514,20.936929611365,21.09001838763555,21.322766363620758,21.470534940560658,21.621643741925556,21.756059515476228,21.905091484387714,22.06840525865555,22.21405133406321,22.341654614607492,22.56048128604889,22.681027523676555,23.031918501853944,23.353264490763348,23.61236633459727,23.818792080879213,24.034726770718894,24.206460618972777,24.379105456670125,24.56015228033066,24.723465410868325,24.880135468641917,25.034510227044425,25.538675101598105,25.803452535470328,25.982771575450897,26.16122197707494,26.328625388940175,26.4733735203743,26.62047434647878,26.813194966316225,26.94951012531916,27.0862499276797,27.256330819924674,27.419739087422688,27.545331319173176,27.910137089093528,28.170431311925253,28.421254217624664,28.591226267814637,28.73394583861033,28.992820811271667,29.23787604967753,29.46233748992284,29.592286562919618,29.846064972877503,30.070182025432587,30.26355410416921,30.467769968509675,30.617874268690745,30.752436975638073,31.016182978947956,31.296792821089426,31.634038801987966,31.97554675738017,32.27118576367696,32.51552653710048,32.77393336296082,33.0256507674853,33.253863143920896,33.49470073779424,33.72385165294011,33.896830495198564,34.05403699874878,34.28966951767604,34.50676823059718,34.84124235709508,35.01730635166168,35.43605461915334,35.58300938606262,35.7648181716601,35.95768133799235,36.12982068061829,36.38727392355601,36.62492168347041,36.79819272756576,37.1060794432958,37.39706218242645,37.61938075621923
cummulative feedback,0.0,48.0,81.0,110.0,163.0,202.0,244.0,319.0,362.0,409.0,451.0,494.0,550.0,592.0,618.0,651.0,693.0,723.0,753.0,781.0,806.0,825.0,847.0,868.0,896.0,921.0,942.0,967.0,989.0,1018.0,1045.0,1061.0,1082.0,1188.0,1216.0,1310.0,1332.0,1353.0,1374.0,1389.0,1410.0,1427.0,1439.0,1457.0,1475.0,1494.0,1515.0,1538.0,1558.0,1567.0,1587.0,1599.0,1611.0,1622.0,1640.0,1649.0,1667.0,1681.0,1696.0,1725.0,1753.0,1775.0,1787.0,1801.0,1814.0,1842.0,1856.0,1875.0,1894.0,1908.0,1932.0,1944.0,1961.0,1974.0,1983.0,1994.0,2009.0,2020.0,2034.0,2056.0,2075.0,2091.0,2106.0,2129.0,2153.0,2162.0,2178.0,2190.0,2203.0,2217.0,2231.0,2247.0,2258.0,2268.0,2277.0,2289.0,2305.0,2323.0,2334.0,2496.0,2523.0,2548.0,2575.0,2593.0,2613.0,2630.0,2648.0,2670.0,2688.0,2704.0,2722.0,2739.0,2763.0,2784.0,2803.0,2817.0,2833.0,2848.0,2857.0,2872.0,2890.0,2911.0,2932.0,2956.0,2980.0,3033.0,3055.0,3085.0,3111.0,3133.0,3163.0,3182.0,3246.0,3307.0,3349.0,3372.0,3397.0,3409.0,3430.0,3551.0,3707.0,3734.0,3832.0,3856.0,3886.0,3943.0,3971.0,4028.0,4043.0,4092.0,4136.0,4154.0,4182.0,4233.0,4282.0,4309.0,4335.0,4398.0,4439.0,4457.0,4536.0,4564.0,4597.0,4625.0,4673.0,4689.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
