,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88
Accumulated time steps,0.0,1000.0,1611.0,2090.0,2346.0,2511.0,2778.0,3173.0,3325.0,3481.0,3764.0,3946.0,4100.0,4371.0,4624.0,4783.0,4948.0,5213.0,5365.0,5735.0,5889.0,6047.0,6208.0,6382.0,6560.0,6916.0,7186.0,7444.0,7597.0,7962.0,8119.0,8275.0,8428.0,8618.0,8878.0,9033.0,9290.0,9563.0,9718.0,10085.0,10237.0,10489.0,10674.0,10853.0,11117.0,11376.0,11532.0,11690.0,12002.0,12263.0,12532.0,12684.0,13055.0,13320.0,13504.0,13766.0,13922.0,14102.0,14257.0,14415.0,14572.0,14855.0,15013.0,15175.0,15550.0,15824.0,15976.0,16137.0,16392.0,16656.0,16811.0,16965.0,17213.0,17378.0,17529.0,17685.0,17847.0,17999.0,18155.0,18319.0,18481.0,18759.0,18907.0,19061.0,19327.0,19480.0,19636.0,19787.0,19931.0
Episode reward,0.0,-67.80030139222852,67.0063133836764,76.02358067188314,87.96551684763735,91.30307549852964,86.19923088081829,79.21922535134584,91.45596361301524,91.52450128965519,85.22698186529466,88.35454382327124,90.71320391126544,84.25851894554296,85.5122414096172,90.13661146060923,90.1254833459478,84.72463395416129,90.82171386027605,79.51197041432283,91.05828013322989,90.51616917872988,90.18416426051583,89.60095628961209,88.81521446123476,80.03607451540873,84.27389548584732,84.4398110967813,90.71200905883144,78.29316101865392,90.82124740799132,90.56399152245304,90.16391160669863,86.91565097764702,85.13268803652132,91.58304880633419,83.60802284704208,82.37954844383574,90.77460773669817,78.53090699441347,90.5871016892346,84.41805402421204,87.1455866802255,89.00479362072764,86.3691282666782,84.61277958051528,90.91637678338036,90.42602220941592,78.354490355079,84.57655759395948,84.48950806879844,90.8105469371805,78.1862854719031,85.32267799953658,87.67022969271952,84.96171277527309,90.6315098736839,88.59451781180435,90.67534508752263,90.94925686512393,90.40914338925704,84.43497300933629,89.90974793272139,89.68445445944823,76.45786684037046,84.27019419004638,90.91009057597063,90.26265253129507,85.0825131756004,84.5290881625334,90.47508267849518,91.09097569806175,85.40530979587568,89.36571029577425,90.71789423690763,90.55058122245964,91.35873605567662,90.87254684038624,90.4812624856696,90.25230017133336,90.38785712811026,82.97813647989669,90.81392852999905,90.9762207446998,85.46918577910512,90.33634897381087,90.02879192992503,90.3321236314314,91.18906237688904
Episode feedback,0.8,0.2304609216127646,0.20983606522977694,0.1778242674104095,0.18431372476739716,0.1768292672144557,0.13157894687376337,0.13959390827514237,0.09933774768650498,0.04516129003121749,0.09929077978974901,0.0828729277189341,0.1176470580545944,0.08888888855967078,0.03571428557256236,0.0759493666079154,0.05487804844586556,0.04924242405589991,0.07284768163677033,0.07046070441609566,0.06535947669699689,0.07006369382125036,0.0562499996484375,0.04624277429917471,0.03389830489322992,0.03380281680618925,0.02973977684111607,0.02334630341110388,0.02631578930055402,0.016483516438232097,0.025641025476660095,0.02580645144640999,0.03289473662569252,0.021164021052042216,0.011583011538289532,0.025974025805363468,0.003906249984741211,0.0073529411494377165,0.012987012902681734,0.010928961718773328,0.0,0.003984063729147156,0.0,0.01685393248958465,0.007604562708727899,0.0038759689772249264,0.012903225723204995,0.01273885342204552,0.00321543407326227,0.01153846149408284,0.0,0.006622516512433666,0.0,0.0,0.005464480844456389,0.0038314176098413117,0.0064516128616024975,0.0,0.0,0.01273885342204552,0.0,0.007092198556410643,0.0,0.006211180085644845,0.005347593568589322,0.0,0.006622516512433666,0.0,0.007874015717031434,0.0038022813543639494,0.006493506451340867,0.0,0.008097165959120786,0.006097560938429507,0.0,0.0,0.0,0.0,0.0,0.006134969287515526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,73.48487138748169,117.96976113319397,151.2210352420807,170.3294599056244,183.02476406097412,201.30685782432556,228.3868100643158,238.79720640182495,248.44562530517578,266.75786542892456,278.61399960517883,289.05773735046387,306.38418316841125,321.55317664146423,332.0663573741913,342.51690649986267,358.4504199028015,368.17618775367737,390.81190299987793,400.70725774765015,410.92462682724,421.0037624835968,431.84808564186096,442.58039379119873,462.94077467918396,478.52455830574036,493.4168815612793,502.55221128463745,522.7387714385986,532.2599029541016,541.6532380580902,550.8648815155029,562.0156290531158,576.680890083313,586.1005654335022,600.5226094722748,615.8247969150543,624.9569618701935,645.1241896152496,653.8649094104767,668.0971436500549,678.6336228847504,689.2854166030884,703.8784930706024,718.3387851715088,727.8276898860931,737.6780564785004,757.0638513565063,773.3975884914398,789.6812655925751,799.4508135318756,820.6934285163879,836.2185573577881,847.4017691612244,862.6774334907532,872.3372271060944,882.7138624191284,891.8626291751862,901.3052146434784,910.6209511756897,926.5808334350586,935.8163666725159,945.3868143558502,966.2959954738617,981.6009845733643,990.6461360454559,1000.0929479598999,1014.5996243953705,1029.5524551868439,1038.773651599884,1047.6090981960297,1061.6776089668274,1071.269359111786,1080.224880695343,1089.3852982521057,1098.7406702041626,1107.6291122436523,1116.831316947937,1126.4886367321014,1136.0651955604553,1151.414469718933,1160.070243358612,1168.951608657837,1184.010187625885,1193.0623152256012,1202.201123714447,1211.0398409366608,1219.8038113117218
total minutes,0.0,1.224747856458028,1.9661626855532328,2.5203505873680117,2.8388243317604065,3.050412734349569,3.3551142970720926,3.8064468344052633,3.9799534400304157,4.14076042175293,4.4459644238154095,4.6435666600863135,4.817628955841064,5.106403052806854,5.359219610691071,5.534439289569855,5.708615108331045,5.974173665046692,6.136269795894623,6.513531716664632,6.678454295794169,6.848743780454,7.016729374726613,7.197468094031016,7.376339896519979,7.715679577986399,7.975409305095672,8.223614692687988,8.375870188077291,8.712312857309977,8.87099838256836,9.027553967634837,9.181081358591715,9.366927150885264,9.611348168055217,9.768342757225037,10.008710157871246,10.263746615250906,10.415949364503225,10.752069826920827,10.897748490174612,11.134952394167582,11.310560381412506,11.48809027671814,11.731308217843374,11.972313086191813,12.130461498101551,12.294634274641673,12.617730855941772,12.889959808190664,13.161354426542918,13.32418022553126,13.678223808606466,13.936975955963135,14.123362819353739,14.377957224845886,14.538953785101572,14.711897706985473,14.864377152919769,15.021753577391307,15.177015852928161,15.443013890584309,15.596939444541931,15.756446905930837,16.104933257897695,16.36001640955607,16.510768934090933,16.668215799331666,16.909993739922843,17.159207586447398,17.3128941933314,17.460151636600493,17.69462681611379,17.854489318529765,18.00374801158905,18.156421637535097,18.31234450340271,18.460485204060873,18.613855282465618,18.77481061220169,18.93441992600759,19.190241161982218,19.33450405597687,19.48252681096395,19.733503127098082,19.884371920426688,20.036685395240784,20.183997348944345,20.33006352186203
cummulative feedback,0.0,230.0,358.0,443.0,490.0,519.0,554.0,609.0,624.0,631.0,659.0,674.0,692.0,716.0,725.0,737.0,746.0,759.0,770.0,796.0,806.0,817.0,826.0,834.0,840.0,852.0,860.0,866.0,870.0,876.0,880.0,884.0,889.0,893.0,896.0,900.0,901.0,903.0,905.0,909.0,909.0,910.0,910.0,913.0,915.0,916.0,918.0,920.0,921.0,924.0,924.0,925.0,925.0,925.0,926.0,927.0,928.0,928.0,928.0,930.0,930.0,932.0,932.0,933.0,935.0,935.0,936.0,936.0,938.0,939.0,940.0,940.0,942.0,943.0,943.0,943.0,943.0,943.0,943.0,944.0,944.0,944.0,944.0,944.0,944.0,944.0,944.0,944.0,944.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
