,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
Accumulated time steps,0.0,1000.0,1261.0,1552.0,1977.0,2231.0,2387.0,2551.0,2842.0,3108.0,3367.0,3519.0,3784.0,4228.0,4380.0,4730.0,5012.0,5269.0,5520.0,5682.0,5942.0,6465.0,6739.0,6991.0,7220.0,7479.0,7730.0,8067.0,8706.0,8860.0,9104.0,9265.0,9416.0,9572.0,9824.0,10087.0,10244.0,10516.0,10765.0,11146.0,11307.0,11650.0,11905.0,12194.0,12356.0,12779.0,13027.0,13292.0,13551.0,13738.0,13998.0,14156.0,14550.0,14813.0,14976.0,15236.0,15404.0,15685.0,16126.0,16491.0,16773.0,17117.0,17274.0,17534.0,17896.0,18054.0,18306.0,18668.0,19011.0,19168.0,19332.0,19588.0,19788.0
Episode reward,0.0,-75.90513848082954,87.21975540416456,84.52236016048386,76.31085985860055,86.0047920611764,90.48042299659615,89.9172758571847,81.61087550210345,85.81030943491066,85.902008540155,91.7910346654817,86.40957393227018,75.51695494530313,91.26567306535217,80.66514584765484,83.50974605740915,84.87033281494239,85.67529236551923,91.2248877024721,83.6116500966498,70.47567945160282,85.67589006459148,85.84960056491056,83.68008408624351,85.9033655997541,85.9581728032452,80.41283954812565,63.474831506370684,91.22144915634061,86.32677473981633,90.24738642598979,91.83938630671156,90.43665772355946,83.86640312686018,83.9856368325624,90.76840774672824,83.49662467146254,87.19028670937611,79.3221709911249,90.67837405022674,80.9192430038186,86.01115217341217,85.71637857188414,90.37052001224713,76.41008513840909,86.36766642399388,86.65273029210229,85.39758576479258,87.82444707475696,86.57878640199182,91.24238965528461,80.23839779904498,84.83023268700433,89.83791259326554,85.68936987301855,91.1979575497938,84.0646453733354,74.30335479455391,79.29271541172949,82.15334561886226,78.47271471581936,90.09787991863853,85.86168862587097,78.52601576877932,90.7080648564891,85.13456999054412,79.59382909352856,83.13388057892124,91.94267202512184,90.69717699961433,86.4236702059302,86.00218674286738
Episode feedback,0.8,0.09418837665912988,0.22692307605029585,0.134482758156956,0.15566037699136703,0.13043478209314316,0.11612903150884496,0.10429447788776394,0.13793103400713436,0.11320754674261303,0.1162790693167478,0.13907284676110698,0.06818181792355373,0.0632054174645476,0.09933774768650498,0.08882521464519996,0.09964412775927357,0.03906249984741211,0.05999999976,0.04968944068515876,0.06563706538364067,0.042145593788993116,0.043956043795032804,0.07569721085379598,0.030701754251308097,0.03100775181779941,0.03999999984,0.011904761869331065,0.028213166099979363,0.032679738348498445,0.012345678961540416,0.012499999921875001,0.019999999866666666,0.0064516128616024975,0.007968127458294312,0.015267175514247422,0.012820512738330047,0.02214022132051579,0.02822580633779917,0.018421052583102494,0.012499999921875001,0.011695906398549982,0.0,0.010416666630497685,0.0,0.00947867296332068,0.004048582979560393,0.011363636320592287,0.01162790693167478,0.0,0.00386100384609651,0.00636942671102276,0.010178117022447539,0.0038167938785618554,0.006172839468068892,0.0,0.0,0.0,0.00681818180268595,0.0,0.0,0.0,0.006410256369165024,0.00386100384609651,0.0027700830948197146,0.00636942671102276,0.0,0.0,0.0,0.006410256369165024,0.006134969287515526,0.00392156861207228,0.0
total seconds,0.0,59.50639319419861,78.96146559715271,98.28158140182495,127.81877136230469,146.15906381607056,158.4388928413391,170.18367314338684,191.29592275619507,210.80181670188904,228.61686301231384,239.7696030139923,256.76312947273254,284.1689646244049,294.7171776294708,317.0200481414795,335.70841240882874,351.0166597366333,366.63649702072144,376.965628862381,393.1446957588196,423.17134189605713,439.4637837409973,455.0949203968048,468.57557368278503,483.9283125400543,498.97620725631714,517.8404693603516,553.4424209594727,562.9066007137299,576.8450665473938,586.2497873306274,595.3782444000244,604.6091289520264,618.7771427631378,634.0696122646332,643.6559965610504,659.273199558258,673.8505480289459,695.3458211421967,704.7967214584351,723.9291276931763,737.9496583938599,754.024388551712,763.3352200984955,786.7391445636749,800.9281446933746,815.9566583633423,830.3488311767578,840.8695914745331,855.5352900028229,864.8534016609192,886.3663554191589,901.3224074840546,910.6918637752533,925.1543581485748,934.7006919384003,950.3808188438416,974.097687959671,993.7769570350647,1009.1664943695068,1027.6909601688385,1036.897143125534,1051.2400715351105,1070.9951491355896,1080.2276194095612,1094.2616806030273,1113.6341428756714,1132.2734761238098,1141.3981475830078,1151.0157363414764,1165.0395798683167,1176.2102990150452
total minutes,0.0,0.9917732199033101,1.3160244266192118,1.6380263566970825,2.1303128560384113,2.435984396934509,2.6406482140223186,2.836394552389781,3.1882653792699176,3.513363611698151,3.810281050205231,3.9961600502332053,4.279385491212209,4.736149410406749,4.91195296049118,5.283667469024659,5.595140206813812,5.850277662277222,6.11060828367869,6.282760481039683,6.552411595980327,7.052855698267619,7.324396395683289,7.584915339946747,7.8095928947130835,8.065471875667573,8.316270120938619,8.630674489339192,9.224040349324545,9.381776678562165,9.614084442456564,9.770829788843791,9.922970740000407,10.076818815867107,10.31295237938563,10.56782687107722,10.727599942684174,10.987886659304301,11.230842467149099,11.589097019036611,11.74661202430725,12.065485461552937,12.299160973230999,12.567073142528534,12.722253668308259,13.11231907606125,13.348802411556244,13.599277639389038,13.839147186279297,14.014493191242218,14.258921500047048,14.41422336101532,14.772772590319315,15.022040124734243,15.178197729587556,15.419239302476248,15.578344865640004,15.839680314064026,16.234961465994516,16.562949283917746,16.819441572825113,17.12818266948064,17.281619052092235,17.520667858918507,17.849919152259826,18.00379365682602,18.237694676717123,18.560569047927856,18.871224602063496,19.023302459716795,19.183595605691274,19.41732633113861,19.603504983584084
cummulative feedback,0.0,94.0,153.0,192.0,258.0,291.0,309.0,326.0,366.0,396.0,426.0,447.0,465.0,493.0,508.0,539.0,567.0,577.0,592.0,600.0,617.0,639.0,651.0,670.0,677.0,685.0,695.0,699.0,717.0,722.0,725.0,727.0,730.0,731.0,733.0,737.0,739.0,745.0,752.0,759.0,761.0,765.0,765.0,768.0,768.0,772.0,773.0,776.0,779.0,779.0,780.0,781.0,785.0,786.0,787.0,787.0,787.0,787.0,790.0,790.0,790.0,790.0,791.0,792.0,793.0,794.0,794.0,794.0,794.0,795.0,796.0,797.0,797.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
