,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Accumulated time steps,0.0,321.0,502.0,1285.0,1544.0,2184.0,3183.0,3816.0,4557.0,5556.0,6078.0,7077.0,8076.0,9075.0,10074.0,11073.0,12072.0,13071.0,14070.0,15069.0,16068.0,17067.0,18066.0,19065.0
Episode reward,0.0,86.88338353809561,90.53324274480383,70.73129846426014,88.79067170493552,74.53350906501043,-38.386781823006785,74.70243832633244,69.89044048488572,-33.11960647738167,81.41949383659212,-36.480214272604606,-32.81225929292549,-30.76919218862228,-31.536798617708246,-30.41282384690024,-30.49390009896679,-32.96965341222153,-33.10794347067949,-33.38442543339065,-31.880538429394306,-31.49062480059002,-31.91860330138921,-31.746067276030814
Episode feedback,0.8,0.5235109701457337,0.3833333312037037,0.3938618920794605,0.3333333320413437,0.2942097021999848,0.21142284547953621,0.19778480981363164,0.16891891869065012,0.13226452892558666,0.12092130495024701,0.0851703405960217,0.0651302604557813,0.06112224442773322,0.035070140245420704,0.03406813623840868,0.02104208414725242,0.014028056098168281,0.00901803606310818,0.0060120240420721205,0.007014028049084141,0.00901803606310818,0.00100200400701202,0.0030060120210360602
total seconds,0.0,24.903929471969604,38.35748028755188,96.46151924133301,114.60806083679199,162.39812517166138,227.65010619163513,270.0829429626465,317.8121964931488,376.0187530517578,405.74746203422546,459.80979776382446,511.5283100605011,562.7438244819641,612.5309913158417,662.198422908783,711.0589928627014,759.7891061306,808.3142397403717,856.7026619911194,905.0079350471497,953.2206158638,1001.0273861885071,1049.026195049286
total minutes,0.0,0.41506549119949343,0.6392913381258647,1.6076919873555502,1.9101343472798666,2.70663541952769,3.794168436527252,4.501382382710775,5.2968699415524805,6.266979217529297,6.762457700570424,7.663496629397074,8.525471834341685,9.37906374136607,10.208849855264027,11.036640381813049,11.850983214378356,12.663151768843333,13.471903995672863,14.27837769985199,15.08346558411916,15.887010264396668,16.683789769808453,17.483769917488097
cummulative feedback,0.0,167.0,236.0,544.0,630.0,818.0,1029.0,1154.0,1279.0,1411.0,1474.0,1559.0,1624.0,1685.0,1720.0,1754.0,1775.0,1789.0,1798.0,1804.0,1811.0,1820.0,1821.0,1824.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
