,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Accumulated time steps,0.0,1000.0,1635.0,2634.0,3633.0,4632.0,5631.0,6630.0,7629.0,8628.0,9627.0,10626.0,11625.0,12624.0,13623.0,14622.0,15621.0,16620.0,17619.0,18618.0,19617.0
Episode reward,0.0,-34.858545509505284,76.16556878655462,-37.676795391252575,-35.83872525798734,-31.989215344427773,-31.929507312456174,-32.6428370621154,-35.28551394053723,-33.69776541153524,-34.11972816743268,-32.540034586912405,-33.70083858053386,-33.185027357767794,-34.247319756134374,-33.34472516010776,-33.191134961930764,-32.208381193522825,-31.340976674624816,-31.530211268552012,-30.552264555658116
Episode feedback,0.8,0.46593186326058933,0.36277602466439113,0.3096192381667142,0.20641282544447612,0.1893787573252718,0.14228456899570685,0.12424849686949048,0.08917835662406978,0.06913827648382938,0.037074148259444745,0.0200400801402404,0.01903807613322838,0.013026052091156261,0.0150300601051803,0.01102204407713222,0.0060120240420721205,0.00100200400701202,0.0030060120210360602,0.0030060120210360602,0.0
total seconds,0.0,75.91742467880249,127.16027235984802,200.76513028144836,264.97943115234375,325.1006090641022,381.6860570907593,436.0511612892151,489.3742151260376,540.7484004497528,590.4068946838379,639.2547605037689,688.1407933235168,736.6065359115601,785.2735822200775,833.7673585414886,881.9384708404541,929.6875081062317,977.7489762306213,1025.5751996040344,1073.345386505127
total minutes,0.0,1.265290411313375,2.1193378726641336,3.346085504690806,4.416323852539063,5.418343484401703,6.361434284845988,7.2675193548202515,8.156236918767293,9.012473340829214,9.840114911397299,10.654246008396148,11.469013222058614,12.276775598526001,13.087893037001292,13.896122642358144,14.698974514007569,15.494791801770528,16.295816270510354,17.092919993400574,17.88908977508545
cummulative feedback,0.0,465.0,695.0,1004.0,1210.0,1399.0,1541.0,1665.0,1754.0,1823.0,1860.0,1880.0,1899.0,1912.0,1927.0,1938.0,1944.0,1945.0,1948.0,1951.0,1951.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
