,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
Accumulated time steps,0.0,1000.0,1999.0,2998.0,3997.0,4996.0,5995.0,6994.0,7993.0,8992.0,9883.0,10638.0,10994.0,11543.0,11967.0,12177.0,12705.0,13059.0,13404.0,13559.0,13814.0,14095.0,14452.0,14692.0,14863.0,15127.0,15385.0,15536.0,15690.0,15851.0,16010.0,16279.0,16626.0,16776.0,17033.0,17314.0,17590.0,17779.0,18014.0,18262.0,18505.0,18758.0,19028.0,19180.0,19337.0,19590.0,19951.0
Episode reward,0.0,-65.4274338694233,-52.598059519956635,-59.020665233593505,-59.74747923058965,-60.85678705911996,-64.21695541530849,-64.84880377971484,-68.84818826402949,-62.895664574958055,43.60384621717387,54.622720180054934,77.92849784811901,66.86748170215438,75.9025617064081,85.1282418173116,68.59764955115622,79.771575340503,78.79412258506139,90.4697494308342,84.99524268168489,82.51841443194715,78.2023230614818,85.54107448192802,89.72893474435449,84.61248079827996,85.65525810402187,90.70219299884701,90.96289582777976,89.70479470458544,91.62834427838955,84.66755329620445,80.11436614151323,91.84026559998834,84.92151463707232,83.88313695259026,82.35001504274393,90.48904511646263,84.36918646297508,84.70320772572398,85.43451695274908,85.50095209567786,85.32488469028854,90.33965873737098,91.03383137121622,84.58923903391344,78.30062582309057
Episode feedback,0.8,0.1703406811920434,0.21342685349356028,0.2204408815426444,0.14428857700973088,0.1553106210868631,0.11222444878534625,0.0400801602804808,0.07214428850486544,0.0400801602804808,0.01797752806968817,0.01591511934228764,0.008450704201547312,0.010948905089509298,0.009456264753058476,0.014354066916966187,0.005692599609691462,0.002832861181776597,0.0029069767357355327,0.0,0.0,0.0,0.0,0.008368200801806691,0.0,0.0,0.0,0.0,0.006535947669699688,0.006249999960937501,0.0,0.0037313432696591668,0.0,0.006711409350930139,0.003906249984741211,0.0,0.003636363623140496,0.0,0.004273504255241435,0.004048582979560393,0.0,0.0,0.003717472105139509,0.006622516512433666,0.0,0.003968253952506929,0.0
total seconds,0.0,72.84389758110046,157.18554830551147,242.7912130355835,317.04533076286316,389.25946044921875,453.97701048851013,510.91226291656494,570.1531188488007,626.2286667823792,674.3608658313751,715.4238986968994,735.2107357978821,765.0843958854675,788.2866914272308,800.3274734020233,828.8227527141571,848.2441737651825,867.0233132839203,875.8852505683899,890.3353886604309,906.1751475334167,925.5599431991577,939.093353509903,949.0429508686066,963.3819010257721,977.646002292633,986.4903702735901,995.7132670879364,1005.1449689865112,1014.3106827735901,1029.3793036937714,1048.5701773166656,1057.5139923095703,1072.665142774582,1089.6411106586456,1106.0540871620178,1117.3162457942963,1130.9780623912811,1144.8681528568268,1158.798278093338,1173.1781523227692,1188.6193141937256,1197.9901554584503,1207.3475377559662,1222.2741403579712,1242.2267105579376
total minutes,0.0,1.2140649596850077,2.619759138425191,4.046520217259725,5.28408884604772,6.487657674153646,7.566283508141836,8.515204381942748,9.502551980813344,10.437144446372987,11.239347763856252,11.923731644948324,12.253512263298035,12.751406598091126,13.138111523787181,13.338791223367055,13.813712545235951,14.137402896086375,14.450388554732005,14.598087509473165,14.838923144340516,15.102919125556946,15.425999053319295,15.651555891831716,15.817382514476776,16.0563650170962,16.29410003821055,16.4415061712265,16.595221118132272,16.752416149775186,16.905178046226503,17.15632172822952,17.47616962194443,17.625233205159507,17.877752379576364,18.160685177644094,18.43423478603363,18.62193742990494,18.849634373188017,19.081135880947112,19.31330463488897,19.552969205379487,19.81032190322876,19.966502590974173,20.122458962599435,20.371235672632853,20.70377850929896
cummulative feedback,0.0,170.0,383.0,603.0,747.0,902.0,1014.0,1054.0,1126.0,1166.0,1182.0,1194.0,1197.0,1203.0,1207.0,1210.0,1213.0,1214.0,1215.0,1215.0,1215.0,1215.0,1215.0,1217.0,1217.0,1217.0,1217.0,1217.0,1218.0,1219.0,1219.0,1220.0,1220.0,1221.0,1222.0,1222.0,1223.0,1223.0,1224.0,1225.0,1225.0,1225.0,1226.0,1227.0,1227.0,1228.0,1228.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
