,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Accumulated time steps,0.0,607.0,1034.0,1485.0,2256.0,3255.0,4254.0,5140.0,5382.0,5925.0,6924.0,7923.0,8922.0,9921.0,10737.0,11736.0,12735.0,13734.0,14733.0,15732.0,16731.0,17730.0,18729.0,19728.0
Episode reward,0.0,75.11923519749018,82.53640204278133,81.44836757302596,71.05928460775552,-33.177006616786024,-36.85364551702262,69.80968473846231,91.54967619375248,78.88733648145326,-32.1868845576052,-31.347010982953304,-32.796351628787896,-28.95632560815251,73.4619375412524,-30.425450504709726,-30.87821092023778,-28.01075159779035,-27.715326080390646,-30.7740950561002,-31.828976787902214,-32.87924574769002,-29.72449125406026,-30.638008761137094
Episode feedback,0.8,0.4958677677754252,0.401408449761952,0.33555555480987653,0.3285714281447124,0.21943887753563238,0.18837675331825976,0.14576271169970315,0.1286307048604535,0.09594095923258125,0.10821643275729817,0.06813627247681736,0.04308617230151686,0.04208416829450484,0.04049079749633031,0.02204408815426444,0.02204408815426444,0.012024048084144241,0.01102204407713222,0.00901803606310818,0.00100200400701202,0.0060120240420721205,0.00100200400701202,0.0030060120210360602
total seconds,0.0,48.32632756233215,79.30945253372192,110.0575339794159,161.3506555557251,221.00818276405334,279.1008973121643,329.08978629112244,343.3793685436249,373.08800625801086,427.1984417438507,478.4521994590759,529.3522567749023,579.4669380187988,620.2752919197083,669.6323850154877,718.6051230430603,767.2165641784668,815.4315955638885,863.5287849903107,911.4006621837616,959.8412246704102,1007.5420269966125,1055.4896352291107
total minutes,0.0,0.8054387927055359,1.3218242088953653,1.834292232990265,2.6891775925954184,3.6834697127342224,4.651681621869405,5.484829771518707,5.722989475727081,6.218133437633514,7.119974029064179,7.974203324317932,8.822537612915038,9.657782300313313,10.337921531995137,11.160539750258128,11.976752050717671,12.78694273630778,13.590526592731475,14.392146416505177,15.190011036396026,15.997353744506835,16.792367116610208,17.591493920485178
cummulative feedback,0.0,300.0,471.0,622.0,875.0,1094.0,1282.0,1411.0,1442.0,1494.0,1602.0,1670.0,1713.0,1755.0,1788.0,1810.0,1832.0,1844.0,1855.0,1864.0,1865.0,1871.0,1872.0,1875.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
