,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
Accumulated time steps,0.0,1000.0,1345.0,1707.0,1867.0,2117.0,2288.0,2551.0,2901.0,3050.0,3304.0,3564.0,3819.0,3966.0,4150.0,4307.0,4459.0,4614.0,4784.0,4971.0,5219.0,5570.0,5720.0,5876.0,6205.0,6450.0,6702.0,6881.0,7130.0,7460.0,7638.0,7790.0,8055.0,8311.0,8764.0,9094.0,9341.0,9483.0,9742.0,9884.0,10323.0,10790.0,10930.0,11283.0,11431.0,11607.0,11855.0
Episode reward,0.0,-58.29320940541871,80.92097841098268,80.22328664595749,91.16561975831512,87.32340421623047,89.97167481331243,84.3131408985499,80.59278340276407,91.30695378623318,85.30411862746553,84.21913330775148,87.10134424244268,91.38140382781899,88.51314649719328,91.2269341228287,91.92905928798001,90.96771942386083,89.2988390611111,88.5229131038085,85.25115457953008,81.52032635515666,90.78096954918892,90.58331137386841,82.34799729777137,86.10017533735757,84.31204789319347,88.48957028356651,86.52718710117642,81.70985590653414,89.65737969660314,91.25789489254132,84.19490466473628,86.35703871935134,75.28304073989857,81.34354065610627,85.57904948395212,92.6580562023721,86.81647300755162,91.73919995398492,74.19458317657786,75.92990287223628,91.57863489368208,80.19785079777418,91.77083057719202,88.05889295161927,86.44484100259045
Episode feedback,0.8,0.22745490959172854,0.2499999992732558,0.13296398855134628,0.1572327034136308,0.13253011994967823,0.09999999941176471,0.06488549593555154,0.10888252117798705,0.06756756711102996,0.1383399204018185,0.10038609999850927,0.08267716502883006,0.06164383519422031,0.03825136591119472,0.03205128184582512,0.04635761558703566,0.06493506451340868,0.02366863891320332,0.08064516085674645,0.05263157873428511,0.025714285640816327,0.026845637403720556,0.02580645144640999,0.018292682871058893,0.03278688511152916,0.019920318645735784,0.01685393248958465,0.02016129024128512,0.02127659568001035,0.011299434964409973,0.039735099074601994,0.011363636320592287,0.00392156861207228,0.017699115005090454,0.00911854100571872,0.008130081267763897,0.007092198531261003,0.0,0.02127659559378301,0.002283105017618482,0.0,0.0,0.0028409090828383264,0.00680272104215836,0.0,0.004048582979560393
total seconds,0.0,64.30416750907898,89.20496439933777,111.73831725120544,122.35424065589905,138.2366316318512,148.98019194602966,164.39468502998352,185.24624300003052,194.36591744422913,210.5842936038971,226.36658668518066,241.54676628112793,250.42298984527588,261.17274260520935,270.4857587814331,279.60476446151733,289.07726526260376,298.9222388267517,310.23289465904236,324.5328121185303,343.7064211368561,352.4913103580475,361.67373061180115,379.41548442840576,393.22150206565857,407.3674645423889,417.56387281417847,431.426705121994,449.3057601451874,459.3934397697449,468.4966242313385,483.0507354736328,497.0623588562012,521.1860594749451,539.0274674892426,552.6014773845673,560.862987279892,574.6337637901306,582.9716093540192,606.127279996872,630.6479556560516,638.5767896175385,657.3916251659393,665.9283006191254,675.766836643219,689.2819881439209
total minutes,0.0,1.0717361251513162,1.4867494066556295,1.8623052875200907,2.039237344264984,2.303943860530853,2.4830031991004944,2.739911417166392,3.087437383333842,3.2394319574038186,3.5097382267316184,3.772776444753011,4.025779438018799,4.173716497421265,4.352879043420156,4.508095979690552,4.660079407691955,4.817954421043396,4.982037313779196,5.170548244317373,5.408880201975505,5.728440352280935,5.874855172634125,6.027895510196686,6.323591407140096,6.553691701094309,6.789457742373148,6.959397880236308,7.190445085366567,7.488429335753123,7.656557329495748,7.808277070522308,8.050845591227214,8.284372647603353,8.686434324582418,8.983791124820709,9.210024623076121,9.347716454664866,9.577229396502178,9.716193489233653,10.102121333281199,10.510799260934194,10.64294649362564,10.956527086098989,11.098805010318756,11.262780610720316,11.488033135732016
cummulative feedback,0.0,227.0,313.0,361.0,386.0,419.0,436.0,453.0,491.0,501.0,536.0,562.0,583.0,592.0,599.0,604.0,611.0,621.0,625.0,640.0,653.0,662.0,666.0,670.0,676.0,684.0,689.0,692.0,697.0,704.0,706.0,712.0,715.0,716.0,724.0,727.0,729.0,730.0,730.0,733.0,734.0,734.0,734.0,735.0,736.0,736.0,737.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,344.0,361.0,159.0,249.0,170.0,262.0,349.0,148.0,253.0,259.0,254.0,146.0,183.0,156.0,151.0,154.0,169.0,186.0,247.0,350.0,149.0,155.0,328.0,244.0,251.0,178.0,248.0,329.0,177.0,151.0,264.0,255.0,452.0,329.0,246.0,141.0,258.0,141.0,438.0,466.0,139.0,352.0,147.0,175.0,247.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
