,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Accumulated time steps,0.0,306.0,466.0,614.0,756.0,878.0,1163.0,1305.0,2304.0,3303.0,3584.0,4583.0,5462.0,6461.0,7460.0,8459.0,9458.0,10457.0,11456.0
Episode reward,0.0,81.77351811267263,88.39847106963558,90.18217443678058,91.33446751418576,93.85693032902591,83.65979487729571,91.31376817068909,-72.44177237978886,-79.13386110290314,74.96707324829426,-97.11022480495717,14.201495107790961,-99.3371131433977,-99.53660434853279,-97.70654992856075,-99.81985397355508,-99.81644651635034,-99.7977476012203
Episode feedback,0.8,0.24013157815746192,0.3396226393734425,0.29931972585496786,0.24822694859413513,0.3966942115975685,0.21478873163806786,0.2340425515316131,0.1563126250938751,0.13226452892558666,0.22499999919642857,0.07014028049084141,0.08769931652881627,0.03106212421737262,0.0200400801402404,0.0150300601051803,0.01803607212621636,0.0100200400701202,0.0150300601051803
total seconds,0.0,18.72040581703186,31.332004070281982,42.89004135131836,53.371368646621704,63.72254800796509,83.14949440956116,93.36017274856567,155.22438383102417,215.55757904052734,234.89173483848572,290.86886858940125,341.39729380607605,394.4691722393036,446.9943082332611,499.1883919239044,551.5623464584351,603.5556383132935,655.7070157527924
total minutes,0.0,0.31200676361719765,0.5222000678380331,0.7148340225219727,0.8895228107770284,1.0620424667994182,1.3858249068260193,1.5560028791427611,2.587073063850403,3.5926263173421225,3.914862247308095,4.84781447649002,5.689954896767934,6.574486203988394,7.449905137221019,8.319806532065074,9.192705774307251,10.05926063855489,10.928450262546539
cummulative feedback,0.0,73.0,127.0,171.0,206.0,254.0,315.0,348.0,504.0,636.0,699.0,769.0,846.0,877.0,897.0,912.0,930.0,940.0,955.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,304.0,159.0,147.0,141.0,121.0,284.0,141.0,998.0,998.0,280.0,998.0,878.0,998.0,998.0,998.0,998.0,998.0,998.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
