,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Accumulated time steps,0.0,1000.0,1999.0,2998.0,3997.0,4996.0,5995.0,6994.0,7605.0,8604.0,9272.0,10076.0,10534.0,10719.0,10879.0,11253.0,11724.0
Episode reward,0.0,-71.99976293165761,-68.5962557934165,-62.14106243167497,-62.67078433129973,-64.33564565256131,-60.8289579161344,-63.421448413899604,62.62101036908855,-62.628298600283976,59.85370772709275,54.47038448735351,77.89096144220353,90.07575561474907,90.19814817610984,81.08119899448558,76.13830768574601
Episode feedback,0.8,0.00801603205609616,0.03907815627346878,0.11623246481339432,0.07915831655394959,0.0651302604557813,0.06913827648382938,0.024048096168288482,0.02131147537489922,0.0150300601051803,0.017991004470778105,0.00373599003270736,0.00656455140795503,0.00543478257915879,0.0,0.005361930280531018,0.00212765956994115
total seconds,0.0,45.370256662368774,94.92480134963989,154.1288800239563,210.64592146873474,266.2697024345398,322.0051119327545,374.81261801719666,407.3115360736847,459.3966085910797,494.86725544929504,536.3242733478546,560.549391746521,570.9557340145111,579.9827241897583,599.8077147006989,624.5962178707123
total minutes,0.0,0.756170944372813,1.5820800224939982,2.568814667065938,3.5107653578122457,4.437828373908997,5.3667518655459086,6.246876966953278,6.788525601228078,7.656610143184662,8.247787590821584,8.93873788913091,9.342489862442017,9.515928900241851,9.666378736495972,9.996795245011647,10.409936964511871
cummulative feedback,0.0,8.0,47.0,163.0,242.0,307.0,376.0,400.0,413.0,428.0,440.0,443.0,446.0,447.0,447.0,449.0,450.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,610.0,998.0,667.0,803.0,457.0,184.0,159.0,373.0,470.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
