,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
Accumulated time steps,0.0,1000.0,1534.0,1797.0,1956.0,2142.0,2297.0,2631.0,2878.0,3121.0,3460.0,3626.0,3921.0,4083.0,4235.0,4635.0,4898.0,5060.0,5214.0,5368.0,5572.0,5729.0,5980.0,6335.0,6602.0,6748.0,7099.0,7376.0,7824.0,7977.0,8136.0,8280.0,8530.0,8950.0,9286.0,9438.0,9683.0,9838.0,10264.0,10433.0,10719.0,10982.0,11157.0,11509.0,11676.0,11926.0,12172.0,12329.0,12808.0,13076.0,13237.0,13387.0,13535.0,13779.0,14046.0,14304.0,14457.0,14718.0,14868.0,15016.0,15165.0,15403.0,15554.0,15709.0,15958.0,16242.0,16388.0,16539.0,16787.0,17018.0,17170.0,17406.0,17559.0,17817.0,17973.0,18339.0,18487.0,18639.0,18900.0,19044.0,19198.0,19452.0,19603.0,19755.0,20000.0
Episode reward,0.0,-59.84621355446558,68.13869602417759,84.3593995212201,90.59596604699648,88.03052192883912,91.36821223077337,80.84068709683758,86.76823165257971,85.84114907433712,81.87071334938297,90.54821665167725,82.04462933820525,90.78875651368304,91.41111521565549,78.41286749239605,84.26984300906855,91.04991455277603,90.95908343871491,91.59030764152978,86.76532443982708,90.71696968019415,86.33954259488351,79.83686319468018,84.80476966977,90.75700702240869,80.0434576347289,84.02979527259433,75.47127516578813,90.83550994744044,91.70577761603845,92.0431383190231,87.48598197290312,77.37312188781559,81.95685926690085,90.53215549335124,85.43328238325526,91.35240304668622,75.03765992701972,91.1403045176445,83.72099522023456,84.40924017746237,88.67898118998684,80.26848602092161,90.18270850977844,84.58136059721585,85.20111193693455,90.94034669742396,72.5770495920058,85.22717877563711,89.68832868423205,90.65896890830022,91.05974140729242,84.59357543314076,83.62920612499997,84.74566685673983,91.13171026028961,87.42939831808755,90.93496912670399,91.85865700315252,90.90272207608781,85.2185226838602,91.93004728235827,91.07120205693562,85.2000355149932,85.44190301342992,92.86092750138694,90.89153518861394,84.1429151981037,86.35380504986801,90.12803465009753,85.52494355246411,91.53745943933642,85.98834547507941,90.91825090637776,79.14336625376433,91.02470282108223,90.34051641474397,83.77464695710063,91.61535396445328,91.05350809507166,84.7186701894019,90.49166317041012,90.05315802685966,85.01030198253736
Episode feedback,0.8,0.2745490979212935,0.20075046866650945,0.17557251841384536,0.10759493602788016,0.11351351289992696,0.09740259677011301,0.06906906886165445,0.1260162596503404,0.08264462775766683,0.0917159760600119,0.036363636143250694,0.02721088426118747,0.06832298094209328,0.04635761558703566,0.017543859605153235,0.0343511449070567,0.02484472034257938,0.026143790678798753,0.026143790678798753,0.01970443340047077,0.012820512738330047,0.027999999888,0.02542372874174088,0.022556390892645148,0.0,0.008571428546938776,0.007246376785339214,0.022371364603196053,0.006578947325138505,0.00632911388399295,0.0,0.00401606424089934,0.0,0.008955223853865003,0.0,0.004098360638941145,0.006493506451340867,0.0047058823418685124,0.0,0.007017543835026162,0.0038167938785618554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,77.23133969306946,117.40148305892944,136.34144616127014,147.2150433063507,160.06019139289856,170.391943693161,190.7652838230133,207.37383270263672,222.62743496894836,243.9724416732788,253.9987165927887,270.77841424942017,280.94509387016296,290.318724155426,312.28298830986023,327.4584560394287,336.9434394836426,346.25288105010986,355.4510500431061,367.2926661968231,376.4235110282898,390.77823424339294,411.5470697879791,428.5269899368286,436.9649612903595,456.23689222335815,471.59412145614624,496.9232745170593,505.8091650009155,515.1932592391968,523.3668792247772,537.2041168212891,559.4723949432373,578.1676895618439,587.1501610279083,600.6554923057556,609.6007943153381,633.0793771743774,643.0377924442291,659.2922003269196,674.2051777839661,684.265120267868,703.6315100193024,713.228488445282,726.9228155612946,740.5777840614319,749.630313873291,774.9525878429413,790.0361213684082,799.2007894515991,807.8914000988007,816.4805638790131,829.6846933364868,844.107996225357,858.5636837482452,867.254034280777,881.5070216655731,890.100090265274,898.6035866737366,907.192271232605,920.2542459964752,928.9684641361237,937.797367811203,951.4804544448853,966.9751858711243,975.3760786056519,984.1166377067566,998.0935666561127,1011.5314502716064,1020.6422955989838,1033.9564945697784,1042.8919715881348,1057.4380371570587,1066.9432322978973,1088.3998124599457,1097.9199278354645,1106.9567241668701,1122.1992387771606,1131.5060358047485,1141.7743065357208,1156.6745405197144,1165.7515301704407,1175.2992918491364,1189.4156513214111
total minutes,0.0,1.287188994884491,1.9566913843154907,2.272357436021169,2.453584055105845,2.6676698565483092,2.8398657282193502,3.1794213970502216,3.4562305450439452,3.710457249482473,4.066207361221314,4.2333119432131445,4.51297357082367,4.6824182311693825,4.8386454025904335,5.204716471831004,5.457640933990478,5.615723991394043,5.770881350835165,5.924184167385102,6.121544436613719,6.27372518380483,6.5129705707232155,6.8591178297996525,7.142116498947144,7.282749354839325,7.603948203722636,7.859902024269104,8.282054575284322,8.430152750015258,8.58655432065328,8.722781320412954,8.953401947021485,9.324539915720623,9.636128159364064,9.785836017131805,10.010924871762594,10.160013238588968,10.551322952906292,10.717296540737152,10.988203338781993,11.2367529630661,11.404418671131134,11.72719183365504,11.887141474088033,12.11538025935491,12.342963067690532,12.493838564554851,12.915876464049022,13.16726868947347,13.320013157526652,13.464856668313343,13.608009397983551,13.82807822227478,14.068466603755951,14.30939472913742,14.454233904679617,14.691783694426219,14.835001504421234,14.976726444562276,15.119871187210084,15.33757076660792,15.48280773560206,15.629956130186716,15.858007574081421,16.11625309785207,16.256267976760864,16.401943961779278,16.634892777601877,16.858857504526775,17.01070492664973,17.23260824282964,17.381532859802245,17.62396728595098,17.782387204964955,18.13999687433243,18.298665463924408,18.4492787361145,18.70332064628601,18.85843393007914,19.029571775595347,19.277909008661904,19.429192169507346,19.588321530818938,19.823594188690187
cummulative feedback,0.0,274.0,381.0,427.0,444.0,465.0,480.0,503.0,534.0,554.0,585.0,591.0,599.0,610.0,617.0,624.0,633.0,637.0,641.0,645.0,649.0,651.0,658.0,667.0,673.0,673.0,676.0,678.0,688.0,689.0,690.0,690.0,691.0,691.0,694.0,694.0,695.0,696.0,698.0,698.0,700.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,533.0,262.0,158.0,185.0,154.0,333.0,246.0,242.0,338.0,165.0,294.0,161.0,151.0,399.0,262.0,161.0,153.0,153.0,203.0,156.0,250.0,354.0,266.0,145.0,350.0,276.0,447.0,152.0,158.0,143.0,249.0,419.0,335.0,151.0,244.0,154.0,425.0,168.0,285.0,262.0,174.0,351.0,166.0,249.0,245.0,156.0,478.0,267.0,160.0,149.0,147.0,243.0,266.0,257.0,152.0,260.0,149.0,147.0,148.0,237.0,150.0,154.0,248.0,283.0,145.0,150.0,247.0,230.0,151.0,235.0,152.0,257.0,155.0,365.0,147.0,151.0,260.0,143.0,153.0,253.0,150.0,151.0,244.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
