,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
Accumulated time steps,0.0,1000.0,1999.0,2353.0,2618.0,2884.0,3160.0,3421.0,3589.0,3861.0,4337.0,4493.0,4754.0,5036.0,5292.0,5458.0,6073.0,6672.0,7098.0,7344.0,7593.0,7935.0,8189.0,8356.0,8691.0,9034.0,9181.0,9610.0,9861.0,10213.0,10388.0,10721.0,11080.0,11416.0,11711.0,12063.0,12323.0,12477.0,12742.0,12997.0,13254.0,13406.0,13558.0,13705.0,13979.0,14222.0,14382.0,14551.0,14710.0,14956.0,15108.0,15457.0,15795.0,15951.0,16098.0,16249.0,16500.0,16654.0,16807.0,17165.0,17313.0,17470.0,17813.0,18275.0,18429.0,18786.0,19142.0,19399.0,19753.0
Episode reward,0.0,-69.07625532852032,-58.04601421742946,80.29446886067012,86.91267669979169,86.68566241822722,85.28933660793219,86.93733854907504,91.12211743665674,85.8504451614902,76.54389975059786,92.22153918659288,87.72876592753289,85.03367539896244,86.67755571532881,91.34025122063649,70.20261798348696,68.2215669534269,76.5756242690631,87.47246838836989,86.13856414206617,82.72943325127667,87.80647896595593,91.49944135060866,84.2672052460754,83.00575774437013,92.52067588828426,79.03654295251533,87.07311311139142,82.63905943412442,88.81551135195753,82.34700466715526,78.69407846287842,82.63072557722094,81.72385765671774,78.92490324848528,85.97633214221774,91.50935185902016,85.3544206855674,87.09021619514712,85.1375945959015,91.10496285110464,91.42948041865588,91.462290171935,83.19104309034843,85.88517181244895,90.30067049551688,89.76525713111882,90.57002378063979,86.13500672105539,90.61781694874611,79.12558798953448,80.35196231158788,90.75265486939014,91.21101096901506,90.57255059647758,85.2846078959199,90.89585935313437,91.08828514892983,78.57534035661865,91.39141232184433,91.05596057461592,78.60810999957118,72.2928706785828,91.23237086989376,79.36178484365291,79.71594616258875,86.03715349337352,79.32199144117908
Episode feedback,0.8,0.0060120240420721205,0.20841683345850018,0.10481586372573409,0.12499999952651515,0.11698113163403347,0.10909090869421488,0.08076923045857988,0.07185628699487254,0.04428044264103158,0.06526315775734072,0.012903225723204995,0.02307692298816568,0.042704626182545814,0.03529411750865052,0.04242424216712581,0.037459283326613545,0.028428093597946333,0.016470588196539793,0.016326530545605997,0.008064516096514047,0.011730205244192946,0.027667984080363698,0.006024096349252432,0.014970059835418983,0.0,0.0,0.002336448592671849,0.0,0.014245014204430159,0.0,0.0030120481836986503,0.0,0.0,0.0,0.0028490028408860316,0.0,0.0,0.0,0.003937007858515717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,44.33258247375488,117.24902176856995,140.20553350448608,158.2826964855194,176.7766411304474,194.75847792625427,211.38723421096802,222.0191307067871,238.18469882011414,265.95143866539,275.1150686740875,289.77243280410767,306.5724892616272,321.3950672149658,331.4315400123596,365.53093218803406,398.4586772918701,425.70008516311646,439.42712235450745,453.2243254184723,473.79506397247314,488.9403586387634,498.6179025173187,517.3682131767273,535.8665645122528,544.3156414031982,566.9444842338562,580.7002604007721,600.1319150924683,609.9169962406158,628.033127784729,647.605625629425,665.7207036018372,682.4072442054749,701.5249812602997,716.1215577125549,725.2830789089203,739.9345288276672,754.4678580760956,768.6383302211761,777.3759999275208,786.082230091095,794.5023286342621,809.3978681564331,822.8509817123413,831.9910717010498,841.7421450614929,850.8836839199066,864.3499462604523,873.0167737007141,891.5791337490082,909.954187631607,919.1073968410492,927.5952260494232,936.247095823288,949.977000951767,958.8922159671783,967.586569070816,986.582083940506,995.1536111831665,1004.0596714019775,1022.4810252189636,1047.2056124210358,1056.242718219757,1076.254094362259,1095.6060764789581,1110.1389782428741,1130.1542446613312
total minutes,0.0,0.7388763745625814,1.9541503628094992,2.3367588917414346,2.6380449414253233,2.946277352174123,3.2459746321042378,3.5231205701828,3.7003188451131184,3.9697449803352356,4.4325239777565,4.585251144568125,4.829540546735128,5.109541487693787,5.356584453582764,5.523859000205993,6.092182203133901,6.640977954864502,7.095001419385274,7.3237853725751245,7.553738756974538,7.8965843995412195,8.149005977312724,8.310298375288646,8.622803552945454,8.931109408537546,9.071927356719971,9.449074737230937,9.678337673346201,10.00219858487447,10.16528327067693,10.46721879641215,10.79342709382375,11.095345060030619,11.373454070091247,11.692083021004995,11.935359295209249,12.088051315148672,12.332242147127788,12.574464301268259,12.810638837019603,12.95626666545868,13.10137050151825,13.241705477237701,13.489964469273884,13.714183028539022,13.866517861684164,14.029035751024882,14.181394731998443,14.405832437674205,14.550279561678568,14.859652229150136,15.16590312719345,15.318456614017487,15.459920434157054,15.604118263721466,15.832950015862783,15.981536932786305,16.126442817846932,16.443034732341765,16.58589351971944,16.734327856699625,17.04135042031606,17.45342687368393,17.60404530366262,17.937568239370982,18.2601012746493,18.502316304047902,18.835904077688852
cummulative feedback,0.0,6.0,214.0,251.0,284.0,315.0,345.0,366.0,378.0,390.0,421.0,423.0,429.0,441.0,450.0,457.0,480.0,497.0,504.0,508.0,510.0,514.0,521.0,522.0,527.0,527.0,527.0,528.0,528.0,533.0,533.0,534.0,534.0,534.0,534.0,535.0,535.0,535.0,535.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,353.0,264.0,265.0,275.0,260.0,167.0,271.0,475.0,155.0,260.0,281.0,255.0,165.0,614.0,598.0,425.0,245.0,248.0,341.0,253.0,166.0,334.0,342.0,146.0,428.0,250.0,351.0,174.0,332.0,358.0,335.0,294.0,351.0,259.0,153.0,264.0,254.0,256.0,151.0,151.0,146.0,273.0,242.0,159.0,168.0,158.0,245.0,151.0,348.0,337.0,155.0,146.0,150.0,250.0,153.0,152.0,357.0,147.0,156.0,342.0,461.0,153.0,356.0,355.0,256.0,353.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
