,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
Accumulated time steps,0.0,1000.0,1999.0,2266.0,2531.0,2793.0,3264.0,3512.0,3931.0,4082.0,4236.0,4406.0,4668.0,4831.0,5069.0,5225.0,5392.0,5540.0,5793.0,5952.0,6116.0,6273.0,6433.0,6687.0,6941.0,7188.0,7430.0,7575.0,7823.0,8076.0,8353.0,8507.0,8664.0,8810.0,9175.0,9331.0,9490.0,9763.0,10121.0,10360.0,10718.0,10880.0,11038.0,11288.0,11443.0,11744.0,11905.0,12256.0,12719.0,12936.0,13179.0,13417.0,13788.0,14058.0,14416.0,14671.0,14827.0,15192.0,15342.0,15603.0,15759.0,15920.0,16245.0,16615.0,16946.0,17098.0,17249.0,17595.0,17851.0,17999.0,18255.0,18512.0,18782.0,19033.0,19308.0,19467.0,19640.0,19900.0
Episode reward,0.0,-62.07816483246719,-63.16963430908357,85.8266455782828,85.85734955301993,86.33778012834993,73.17166938205175,86.30963503787643,74.48985151369725,91.82704703976147,91.77804654689152,90.35057840014171,84.18950496038235,90.33946235893826,87.90241629726208,90.71035735795257,90.36990852654449,91.2466583296607,86.63041419183658,90.59008439967675,91.29517029653546,90.30943622334034,90.01789468300846,87.40266160454175,84.31181106815878,86.09982832965358,87.53039628995478,91.50958029238666,86.3702639592297,88.12847662314412,82.50840567971807,90.78961375622448,91.48653837263308,91.78493246489913,81.92851051796418,91.16500059075122,89.89829307228044,84.24363876454781,81.09819054960366,88.78027813942863,82.40323940627663,90.79341836901543,91.59151168333219,86.83634858621801,91.60072131480226,87.16439558493632,91.95528479351196,82.60740515938136,75.23729390311559,86.58445286838314,88.77809407936621,86.46608804547044,83.32106235404024,84.19523019358809,79.26003566202618,88.38441480412455,91.001759258634,80.70668032379113,90.9284290259328,86.16179943471937,92.27795616593552,91.61906456045298,86.33034446514688,80.83300486873867,82.99314848998107,91.80407597681813,91.5226892286334,81.65531035968131,88.51582642713002,92.65511371748906,85.72721832350733,85.14152973335656,83.18380540314178,86.95226129501249,87.37169961825602,91.60054516770117,89.85595494791954,85.32587203498368
Episode feedback,0.8,0.16733466917100734,0.20340681342344008,0.09398496205268811,0.12499999952651515,0.06896551697714362,0.07234042537799909,0.07692307661164746,0.04784688983768687,0.07333333284444445,0.03921568601819813,0.03550295836980498,0.05363984653777837,0.05555555521262003,0.042194092648970075,0.05806451575442248,0.006024096349252432,0.02721088416863344,0.03174603162005543,0.0126582277679859,0.012269938575031052,0.03205128184582512,0.006289308136545232,0.019762845771688357,0.011857707463013014,0.008130081267763897,0.016597510304574646,0.03472222198109568,0.008097165959120786,0.007936507905013858,0.010869565178008822,0.006535947669699688,0.012820512738330047,0.006896551676575506,0.0027472527397053494,0.0064516128616024975,0.0,0.0,0.008403361320998988,0.0,0.002801120440332996,0.0,0.01273885342204552,0.00401606424089934,0.0,0.0033333333222222224,0.0,0.0,0.0,0.0,0.004132231387883341,0.0,0.0,0.0,0.0,0.0,0.0064516128616024975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002898550716236085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,62.693270683288574,131.40948820114136,148.4220747947693,166.70404076576233,183.10599541664124,212.86295676231384,230.04092144966125,257.2596709728241,268.0020685195923,277.81652212142944,288.3575830459595,304.35275864601135,314.89731192588806,329.2681691646576,339.2568795681,349.0208592414856,357.95548152923584,372.7520513534546,382.1218116283417,391.6364002227783,401.05871510505676,410.22695779800415,424.5467255115509,438.6972246170044,452.1591467857361,465.66892433166504,474.62377762794495,488.4246258735657,502.2531507015228,517.43008852005,526.1606502532959,535.2493803501129,543.6382279396057,562.953283071518,571.6940176486969,580.4307682514191,594.927435874939,614.0025720596313,626.8856904506683,645.9085712432861,654.8694643974304,663.9036412239075,677.5632708072662,686.6004264354706,702.5771102905273,711.516205072403,730.1748261451721,754.4386601448059,766.186686038971,779.2972009181976,792.1772968769073,811.8924143314362,826.3369097709656,845.1909301280975,858.8438386917114,867.6143004894257,886.9071521759033,895.385406255722,909.3407347202301,917.9957146644592,927.0064177513123,944.3064444065094,963.8305747509003,981.4863710403442,990.065582036972,998.6212377548218,1016.9839015007019,1030.752292394638,1039.0729718208313,1052.9051990509033,1066.751324415207,1081.254081249237,1094.9076926708221,1109.72714304924,1118.7030627727509,1128.3522028923035,1142.44442653656
total minutes,0.0,1.0448878447214762,2.1901581366856893,2.473701246579488,2.7784006794293723,3.051766590277354,3.547715946038564,3.834015357494354,4.287661182880401,4.466701141993204,4.630275368690491,4.805959717432658,5.072545977433522,5.248288532098134,5.48780281941096,5.654281326135,5.817014320691427,5.965924692153931,6.212534189224243,6.368696860472361,6.527273337046306,6.684311918417612,6.837115963300069,7.075778758525848,7.311620410283407,7.535985779762268,7.761148738861084,7.910396293799082,8.140410431226094,8.37088584502538,8.623834808667501,8.769344170888266,8.920823005835215,9.060637132326763,9.382554717858632,9.528233627478281,9.67384613752365,9.915457264582317,10.233376200993856,10.448094840844472,10.76514285405477,10.914491073290508,11.065060687065124,11.292721180121104,11.443340440591177,11.709618504842123,11.858603417873383,12.169580435752868,12.573977669080099,12.769778100649516,12.98828668196996,13.202954947948456,13.53154023885727,13.772281829516093,14.08651550213496,14.31406397819519,14.460238341490427,14.781785869598389,14.923090104262034,15.155678912003834,15.299928577740987,15.45010696252187,15.73844074010849,16.063842912515003,16.358106184005738,16.501093033949534,16.643687295913697,16.949731691678366,17.179204873243968,17.31788286368052,17.548419984181724,17.77918874025345,18.020901354153953,18.248461544513702,18.495452384154003,18.645051046212515,18.80587004820506,19.040740442276
cummulative feedback,0.0,167.0,370.0,395.0,428.0,446.0,480.0,499.0,519.0,530.0,536.0,542.0,556.0,565.0,575.0,584.0,585.0,589.0,597.0,599.0,601.0,606.0,607.0,612.0,615.0,617.0,621.0,626.0,628.0,630.0,633.0,634.0,636.0,637.0,638.0,639.0,639.0,639.0,642.0,642.0,643.0,643.0,645.0,646.0,646.0,647.0,647.0,647.0,647.0,647.0,648.0,648.0,648.0,648.0,648.0,648.0,649.0,649.0,649.0,649.0,649.0,649.0,649.0,649.0,649.0,649.0,649.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,266.0,264.0,261.0,470.0,247.0,418.0,150.0,153.0,169.0,261.0,162.0,237.0,155.0,166.0,147.0,252.0,158.0,163.0,156.0,159.0,253.0,253.0,246.0,241.0,144.0,247.0,252.0,276.0,153.0,156.0,145.0,364.0,155.0,158.0,272.0,357.0,238.0,357.0,161.0,157.0,249.0,154.0,300.0,160.0,350.0,462.0,216.0,242.0,237.0,370.0,269.0,357.0,254.0,155.0,364.0,149.0,260.0,155.0,160.0,324.0,369.0,330.0,151.0,150.0,345.0,255.0,147.0,255.0,256.0,269.0,250.0,274.0,158.0,172.0,259.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
