,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
Accumulated time steps,0.0,1000.0,1326.0,1580.0,1924.0,2361.0,2518.0,2777.0,2932.0,3291.0,3548.0,3708.0,3855.0,4024.0,4187.0,4551.0,5065.0,5321.0,5582.0,5828.0,6085.0,6379.0,6658.0,6847.0,7106.0,7270.0,7530.0,7798.0,8171.0,8432.0,8698.0,8945.0,9293.0,9459.0,9667.0,9831.0,9993.0,10254.0,10771.0,11046.0,11203.0,11452.0,11612.0,11762.0,12015.0,12278.0,12831.0,13107.0,13355.0,13714.0,13876.0,14215.0,14656.0,15009.0,15391.0,15656.0,15816.0,15966.0,16307.0,16466.0,16767.0,16945.0,17100.0,17267.0,17425.0,17876.0,18226.0,18383.0,18724.0,18964.0,19410.0,19565.0,19907.0
Episode reward,0.0,-60.60980611195219,81.64468202260687,84.375977842502,80.92422309423725,75.19130869344858,91.37650121297823,85.4392443511144,91.37963077779169,80.61771025242612,85.31830112462134,91.42588975048196,91.60811481010138,89.69966630234151,90.66549345581085,78.4481805112911,72.6060220264943,85.85075782685394,85.42112391718379,86.27350900251372,85.01253305992368,83.95872236671717,83.79164220219141,89.83694350681002,85.28892332262866,90.31098310559,85.67855219808447,85.38732537855888,79.0624545111567,87.02921191581314,85.90157489944167,86.61226690356254,81.69984596457452,90.73049865074005,86.88057127015846,89.6064115333937,89.97993518253989,84.49074945151705,74.27755384569045,86.10219492588301,91.12708949853096,86.06714827220456,90.67433219476948,91.3510052794783,86.6199537272015,85.20396787751862,68.76220394602404,84.54465657266446,87.32632696413867,83.74380176293539,91.71842743439777,83.38133104673359,76.23355782333451,80.85029950038117,78.25738946760248,86.11790513195848,91.31493800467393,91.5524072954829,83.10933680618803,91.31789709175662,82.89480728438127,90.06106185920596,91.18085796321819,90.16319202224643,90.9836544619708,77.91162442380184,82.52360704575796,91.46243322999777,81.38135568533389,86.32095004484545,77.64206711155018,92.02763367331974,82.97274613082807
Episode feedback,0.8,0.29258517004750983,0.26769230686863904,0.19762845771688356,0.17201166130608844,0.13990825655984346,0.12820512738330048,0.10077519340784809,0.08441558386743127,0.08379888244748916,0.05859374977111816,0.05031446509236186,0.06849315021580034,0.07142857100340136,0.06172839468068892,0.04407713486480128,0.05263157884477275,0.01568627444828912,0.04999999980769231,0.024489795818409,0.02734374989318848,0.013651877086512365,0.021582733735313907,0.010638297815753735,0.019379844886124632,0.012269938575031052,0.023166023076579063,0.011235955014097547,0.010752688143137935,0.01153846149408284,0.007547169782840869,0.0,0.0057636887441968624,0.0,0.0,0.0,0.0,0.0,0.0,0.0036496350231765146,0.006410256369165024,0.0,0.0,0.0,0.0,0.0038167938785618554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,82.52259588241577,112.86066675186157,133.9785017967224,160.40038800239563,196.52139472961426,208.1703643798828,225.3406708240509,236.162903547287,259.0335886478424,276.18299770355225,286.60426926612854,296.5069670677185,308.50099635124207,319.52265787124634,341.5487039089203,372.56859064102173,387.3823208808899,403.3706474304199,417.7155306339264,432.8514904975891,449.3977036476135,465.26190638542175,476.3102593421936,491.4542667865753,501.1002902984619,516.0893318653107,531.4034535884857,552.1274235248566,567.1793384552002,582.1619911193848,596.0429399013519,616.4223845005035,627.6522486209869,642.2066748142242,652.1088109016418,661.4280035495758,675.7353284358978,704.0713772773743,718.8498032093048,727.8700470924377,741.9633169174194,751.1939198970795,759.7285213470459,773.4782464504242,788.0772140026093,817.1296947002411,832.2396473884583,845.7646505832672,864.7745094299316,874.0039772987366,892.0438239574432,915.1397771835327,934.0011916160583,954.2633633613586,968.399031162262,977.5644915103912,986.0785849094391,1004.356856584549,1013.6150314807892,1029.7534420490265,1039.8078973293304,1048.533701658249,1057.8694286346436,1066.7034583091736,1091.0069270133972,1109.6307542324066,1118.632704257965,1137.0217826366425,1150.3975267410278,1174.151519536972,1183.0783047676086,1201.3070266246796
total minutes,0.0,1.3753765980402628,1.8810111125310263,2.2329750299453734,2.673339800039927,3.275356578826904,3.4695060729980467,3.755677847067515,3.9360483924547833,4.3172264774640405,4.603049961725871,4.7767378211021425,4.941782784461975,5.141683272520701,5.325377631187439,5.692478398482005,6.209476510683696,6.456372014681498,6.722844123840332,6.96192551056544,7.214191508293152,7.4899617274602255,7.754365106423696,7.9385043223698935,8.190904446442921,8.351671504974366,8.601488864421844,8.856724226474762,9.202123725414276,9.452988974253337,9.702699851989745,9.934048998355866,10.273706408341726,10.460870810349782,10.70344458023707,10.86848018169403,11.023800059159596,11.26225547393163,11.734522954622905,11.980830053488413,12.131167451540628,12.36605528195699,12.519898664951324,12.662142022450764,12.89130410750707,13.13462023337682,13.618828245004018,13.870660789807637,14.09607750972112,14.412908490498861,14.566732954978942,14.867397065957388,15.252329619725545,15.566686526934307,15.904389389355977,16.139983852704365,16.292741525173188,16.434643081823985,16.739280943075816,16.89358385801315,17.162557367483775,17.33013162215551,17.475561694304147,17.631157143910727,17.778390971819558,18.18344878355662,18.493845903873442,18.643878404299418,18.95036304394404,19.173292112350463,19.569191992282867,19.71797174612681,20.021783777077992
cummulative feedback,0.0,292.0,379.0,429.0,488.0,549.0,569.0,595.0,608.0,638.0,653.0,661.0,671.0,683.0,693.0,709.0,736.0,740.0,753.0,759.0,766.0,770.0,776.0,778.0,783.0,785.0,791.0,794.0,798.0,801.0,803.0,803.0,805.0,805.0,805.0,805.0,805.0,805.0,805.0,806.0,807.0,807.0,807.0,807.0,807.0,808.0,808.0,808.0,808.0,808.0,808.0,808.0,808.0,808.0,808.0,808.0,808.0,808.0,808.0,808.0,808.0,808.0,808.0,808.0,808.0,808.0,808.0,808.0,808.0,808.0,808.0,808.0,808.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,325.0,253.0,343.0,436.0,156.0,258.0,154.0,358.0,256.0,159.0,146.0,168.0,162.0,363.0,513.0,255.0,260.0,245.0,256.0,293.0,278.0,188.0,258.0,163.0,259.0,267.0,372.0,260.0,265.0,246.0,347.0,165.0,207.0,163.0,161.0,260.0,516.0,274.0,156.0,248.0,159.0,149.0,252.0,262.0,552.0,275.0,247.0,358.0,161.0,338.0,440.0,352.0,381.0,264.0,159.0,149.0,340.0,158.0,300.0,177.0,154.0,166.0,157.0,450.0,349.0,156.0,340.0,239.0,445.0,154.0,341.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
