,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
Accumulated time steps,0.0,1000.0,1973.0,2637.0,2905.0,3183.0,3431.0,3694.0,3946.0,4200.0,4456.0,4710.0,4955.0,5103.0,5342.0,5498.0,5649.0,5904.0,6263.0,6601.0,7006.0,7266.0,7519.0,8137.0,8367.0,8612.0,8764.0,8932.0,9085.0,9355.0,9521.0,9754.0,9907.0,10062.0,10315.0,10612.0,10760.0,11171.0,11358.0,11705.0,11856.0,12018.0,12276.0,12550.0,12707.0,13002.0,13347.0,13505.0,13656.0,14001.0,14243.0,14682.0,14849.0,14997.0,15149.0,15605.0,15750.0,16004.0,16403.0,16740.0,17004.0,17277.0,17424.0,17691.0,17960.0,18120.0,18365.0,18628.0,18878.0,19142.0,19551.0,19801.0,19956.0
Episode reward,0.0,-64.69267379179162,45.69082808287777,65.03655815270443,83.68938388575737,81.93976907335465,85.98742004236566,84.60255197636697,86.13162694675304,86.19871078432121,85.30338896019262,85.03403909531376,86.44556966699022,91.87612442385566,85.46784668627203,91.07037363845619,91.11592852539476,85.98212763454876,79.64013763952764,80.25823612767078,79.39021818944397,83.90029976767495,84.91222653105747,66.14805468294603,87.19837195713853,84.51950943744261,89.92750354364618,88.98034077181526,89.57330462366667,83.32447695269668,90.5729709547135,85.39416214794507,90.87634679621345,91.89023797236648,83.93185273496522,84.32967493313949,91.79068936542522,76.75699972577956,87.6597049168921,83.41275673657069,91.453206473551,90.35478750298088,85.27141245365223,82.6886012223072,90.09122170756537,82.19364859329424,78.16911246311213,90.3629355723341,91.18039140914951,80.50248858737413,86.55468761105357,73.80890761404493,89.9212893816303,92.14568676319867,91.67051151088575,76.37192892854448,92.24721744828662,87.13940660224995,78.62825108760318,81.65621658639549,84.96871172423116,84.22761086314055,91.95031114697842,84.5709178578088,85.61911410211138,90.72333296188413,86.508249470682,86.49983263897188,85.9588290636065,85.53485902081829,80.73672270701316,85.78316642721828,90.97278403607127
Episode feedback,0.8,0.09619238467315393,0.2664609050756575,0.11010558052774422,0.08614232177474786,0.07220216580432431,0.07287449363208708,0.08396946532836082,0.0916334657703846,0.047430829852052055,0.06666666640522877,0.03557312238903904,0.05327868830623488,0.0680272104215836,0.021008403273073937,0.05806451575442248,0.02666666648888889,0.015748031434062868,0.019553072571080802,0.026706231374758957,0.027227722704881874,0.01544401538438604,0.015873015810027716,0.011345218782260585,0.0,0.00819672127788229,0.0,0.005988023916239378,0.01315789465027701,0.011152416315418526,0.006060606023875115,0.0043103448090071345,0.0,0.012987012902681734,0.0,0.003378378366964938,0.00680272104215836,0.0073170731528851875,0.0,0.002890173402051522,0.0066666666222222224,0.0,0.003891050568517313,0.007326007299172135,0.0,0.0034013605326484336,0.0058139534714710655,0.00636942671102276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007905138308675343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,55.832104206085205,129.35290455818176,169.4774661064148,185.6571433544159,202.12669277191162,216.91055035591125,232.86472916603088,248.16326999664307,262.7149233818054,277.8951196670532,292.07774448394775,306.47456455230713,315.67756175994873,328.889689207077,338.3220295906067,347.1210265159607,361.1568703651428,380.66037344932556,399.28610038757324,421.2227716445923,435.39123940467834,449.360121011734,481.9758369922638,494.5288996696472,507.9219045639038,516.4280524253845,525.8732464313507,534.6173622608185,549.1947078704834,558.4022738933563,571.152378320694,579.8675899505615,588.7691550254822,602.5570480823517,618.664097070694,627.1602985858917,649.0699248313904,659.3119101524353,677.9642310142517,686.4022755622864,695.6655440330505,709.7087965011597,724.426362991333,733.3013801574707,749.1765406131744,767.6442511081696,776.7063257694244,785.1972801685333,803.6671214103699,816.6572613716125,839.3488142490387,848.5666127204895,856.9726824760437,865.4449334144592,889.2376909255981,897.4873971939087,911.454746723175,932.1491024494171,949.8462173938751,964.2454607486725,978.8378462791443,987.2383618354797,1001.6624112129211,1016.0589349269867,1025.0477104187012,1038.227515220642,1052.3308324813843,1065.8514504432678,1080.0369873046875,1101.4754083156586,1114.9812014102936,1123.6916172504425
total minutes,0.0,0.9305350701014201,2.1558817426363626,2.824624435106913,3.094285722573598,3.3687782128651937,3.6151758392651874,3.881078819433848,4.136054499944051,4.378582056363424,4.6315853277842205,4.867962408065796,5.107909409205119,5.2612926959991455,5.48149482011795,5.638700493176779,5.785350441932678,6.019281172752381,6.34433955748876,6.654768339792887,7.0203795274098715,7.256520656744639,7.489335350195566,8.03293061653773,8.242148327827454,8.465365076065064,8.607134207089741,8.764554107189179,8.910289371013642,9.153245131174723,9.306704564889271,9.5192063053449,9.664459832509358,9.812819250424702,10.042617468039195,10.311068284511567,10.452671643098196,10.817832080523173,10.988531835873921,11.299403850237528,11.440037926038107,11.594425733884176,11.828479941685995,12.073772716522218,12.221689669291179,12.48627567688624,12.794070851802825,12.945105429490408,13.086621336142223,13.394452023506165,13.610954356193542,13.989146904150646,14.142776878674825,14.282878041267395,14.42408222357432,14.820628182093303,14.958123286565145,15.190912445386251,15.535818374156952,15.830770289897918,16.070757679144542,16.313964104652406,16.453972697257996,16.694373520215354,16.934315582116444,17.084128506978352,17.303791920344036,17.53884720802307,17.76419084072113,18.000616455078124,18.35792347192764,18.583020023504893,18.72819362084071
cummulative feedback,0.0,96.0,355.0,428.0,451.0,471.0,489.0,511.0,534.0,546.0,563.0,572.0,585.0,595.0,600.0,609.0,613.0,617.0,624.0,633.0,644.0,648.0,652.0,659.0,659.0,661.0,661.0,662.0,664.0,667.0,668.0,669.0,669.0,671.0,671.0,672.0,673.0,676.0,676.0,677.0,678.0,678.0,679.0,681.0,681.0,682.0,684.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,687.0,687.0,687.0,687.0,687.0,687.0,687.0,687.0,687.0,687.0,687.0,687.0,687.0,687.0,687.0,687.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,972.0,663.0,267.0,277.0,247.0,262.0,251.0,253.0,255.0,253.0,244.0,147.0,238.0,155.0,150.0,254.0,358.0,337.0,404.0,259.0,252.0,617.0,229.0,244.0,151.0,167.0,152.0,269.0,165.0,232.0,152.0,154.0,252.0,296.0,147.0,410.0,186.0,346.0,150.0,161.0,257.0,273.0,156.0,294.0,344.0,157.0,150.0,344.0,241.0,438.0,166.0,147.0,151.0,455.0,144.0,253.0,398.0,336.0,263.0,272.0,146.0,266.0,268.0,159.0,244.0,262.0,249.0,263.0,408.0,249.0,154.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
