,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Accumulated time steps,0.0,1000.0,1700.0,2699.0,3698.0,4278.0,5277.0,6276.0,7275.0,8274.0,9273.0,10272.0,11271.0,12270.0,13269.0,14268.0,15267.0,16266.0,17265.0,18264.0,19263.0
Episode reward,0.0,-22.85229990090689,83.10745459237062,-20.071879546852276,-49.34488305432396,80.60192769082144,-19.829182134300176,-32.98317265270543,-45.321507408409445,-8.626444177349644,-23.836275860317595,-14.943598390416165,-34.790773376982955,-17.440349169159276,-24.769391429049353,-31.781986007503093,-23.548157080512198,-27.70047783431302,-24.797222904248486,-30.438389591935405,-26.23796489216073
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,43.27419638633728,75.12622404098511,118.22645401954651,161.72695970535278,187.46079635620117,231.11400032043457,274.129905462265,317.608922958374,359.703551530838,401.8795087337494,445.1683144569397,487.7371828556061,529.9018266201019,572.5017504692078,615.5257406234741,658.4828369617462,700.8135035037994,745.1391382217407,788.4464476108551,831.9788665771484
total minutes,0.0,0.7212366064389547,1.2521037340164185,1.9704409003257752,2.6954493284225465,3.1243466059366862,3.851900005340576,4.568831757704417,5.293482049306234,5.9950591921806335,6.697991812229157,7.419471907615661,8.128953047593434,8.831697110335032,9.541695841153462,10.258762343724568,10.974713949362437,11.680225058396656,12.418985637029012,13.140774126847585,13.866314442952474
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,699.0,998.0,998.0,579.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
